DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;3.39;4.2;1.28;ND;22.64;27.26;NA;NA;ND;NA;NA;NA;
1;1;5.85;6.21;7.72;ND;10.67;9.52;NA;NA;ND;NA;NA;NA;
1;2;11.89;4.19;4.87;ND;8.75;8.95;NA;NA;ND;NA;NA;NA;
1;3;10.1;5.18;4.74;ND;9.95;23.8;NA;NA;ND;NA;NA;NA;
1;4;13.6;6.53;11.14;ND;12.85;17.28;NA;NA;ND;NA;NA;NA;
1;5;10.48;8.1;8.93;ND;18.55;14.6;NA;NA;ND;NA;NA;NA;
1;6;11.04;17.42;10.46;ND;40.03;26.51;NA;NA;ND;NA;NA;NA;
1;7;15.34;17.01;11.44;ND;59.48;9.11;NA;NA;ND;NA;NA;NA;
1;8;13.41;9.23;21.85;ND;39.02;4.11;NA;NA;ND;NA;NA;NA;
1;9;18.91;21.18;31.14;ND;24.62;39.96;NA;NA;ND;NA;NA;NA;
1;10;13.07;11.24;13.63;ND;19.71;40.28;NA;NA;ND;NA;NA;NA;
1;11;19.27;13.3;25.62;ND;ND;10.5;NA;NA;ND;NA;NA;NA;
1;12;18.57;14.78;28.55;ND;28.35;37.32;NA;NA;ND;NA;NA;NA;
1;13;10.75;15.72;14.65;ND;15.58;40.19;NA;NA;ND;NA;NA;NA;
1;14;7.83;16.61;5.23;ND;4.41;39.22;NA;NA;ND;NA;NA;NA;
1;15;1.13;7.06;13.94;ND;15.58;26.59;NA;NA;ND;NA;NA;NA;
1;16;7.43;10.59;19.41;ND;3.85;11.23;NA;NA;ND;NA;NA;NA;
1;17;18.1;7.56;19.9;ND;17.14;12.25;NA;NA;ND;NA;NA;NA;
1;18;18.08;6.64;24.7;ND;24.35;4.11;NA;NA;ND;NA;NA;NA;
1;19;10.59;11.41;18.13;ND;28.34;23.76;NA;NA;ND;NA;NA;NA;
1;20;6.05;8.96;20.25;ND;30.52;24.45;NA;NA;ND;NA;NA;NA;
1;21;13.68;10.92;6.03;ND;7.88;11.8;NA;NA;ND;NA;NA;NA;
1;22;9.95;6.34;3.22;ND;6.99;8.54;NA;NA;ND;NA;NA;NA;
1;23;6.76;7.4;5.63;ND;3.1;4.76;NA;NA;ND;NA;NA;NA;
2;0;2.48;6.89;15.13;ND;5.07;20.75;NA;NA;ND;NA;NA;NA;
2;1;2.4;6.61;8.97;ND;7.51;11.93;NA;NA;ND;NA;NA;NA;
2;2;14.69;7.09;6.91;ND;4.46;5.74;NA;NA;ND;NA;NA;NA;
2;3;4.82;3.26;10.51;ND;12.79;4.56;NA;NA;ND;NA;NA;NA;
2;4;4.98;9.7;21.29;ND;15.92;5.92;NA;NA;ND;NA;NA;NA;
2;5;10.45;13.54;8.95;ND;15.14;9.82;NA;NA;ND;NA;NA;NA;
2;6;13.07;22.55;20.49;ND;22.81;20.64;NA;NA;ND;NA;NA;NA;
2;7;19.36;23.21;17.49;ND;30.38;25.26;NA;NA;ND;NA;NA;NA;
2;8;14.88;11.65;24.73;ND;20.84;26.06;NA;NA;ND;NA;NA;NA;
2;9;11.39;5.39;18.11;ND;25.03;30.21;NA;NA;ND;NA;NA;NA;
2;10;13.54;17.98;8.68;ND;17.51;8.56;NA;NA;ND;NA;NA;NA;
2;11;13.69;17.25;12.25;ND;13.32;19.9;NA;NA;ND;NA;NA;NA;
2;12;5.98;3.37;24.73;ND;9.8;20.99;NA;NA;ND;NA;NA;NA;
