DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;ND;0.73;ND;0.45;0.27;ND;0.36;NA;ND;NA;NA;NA;
1;1;0.21;0.7;ND;0.39;0.23;0.52;0.38;NA;ND;NA;NA;NA;
1;2;0.17;0.67;ND;0.39;0.26;0.47;0.44;NA;ND;NA;NA;NA;
1;3;0.18;0.7;ND;0.32;0.21;0.43;0.46;NA;ND;NA;NA;NA;
1;4;0.23;0.77;ND;0.37;0.24;0.46;0.44;NA;ND;NA;NA;NA;
1;5;0.37;0.86;ND;0.47;0.5;0.76;0.44;NA;ND;NA;NA;NA;
1;6;0.56;1.01;ND;0.69;0.98;1.59;0.33;NA;ND;NA;NA;NA;
1;7;0.8;1.31;ND;1.06;1.35;2.6;0.93;NA;ND;NA;NA;NA;
1;8;0.83;1.11;ND;1.16;1.17;1.58;0.31;NA;ND;NA;NA;NA;
1;9;0.62;0.94;ND;0.93;0.49;0.9;0.31;NA;ND;NA;NA;NA;
1;10;0.35;0.89;ND;0.89;0.37;0.66;0.35;NA;ND;NA;NA;NA;
1;11;0.27;0.79;ND;0.83;0.36;0.75;0.37;NA;ND;NA;NA;NA;
1;12;0.28;0.75;ND;0.64;0.62;0.59;0.45;NA;ND;NA;NA;NA;
1;13;0.24;ND;ND;0.74;0.75;0.78;0.54;NA;ND;NA;NA;NA;
1;14;0.24;0.44;ND;0.69;0.7;0.82;0.55;NA;ND;NA;NA;NA;
1;15;0.23;0.4;ND;0.56;0.67;0.7;0.67;NA;ND;NA;NA;NA;
1;16;0.27;0.4;1.2;0.66;0.67;1.08;0.64;NA;ND;NA;NA;NA;
1;17;0.61;0.5;1.77;1.17;0.71;1.67;0.95;NA;ND;NA;NA;NA;
1;18;0.93;0.76;1.58;ND;1.02;1.63;1.18;NA;ND;NA;NA;NA;
1;19;0.65;0.55;1.16;1.39;1.07;1.35;1.08;NA;ND;NA;NA;NA;
1;20;0.84;0.96;0.87;1.18;1.14;1.24;0.71;NA;ND;NA;NA;NA;
1;21;0.83;1.42;0.95;0.93;0.69;1.32;0.58;NA;ND;NA;NA;NA;
1;22;1.03;1.6;1.1;1.04;1.03;1.53;0.53;NA;ND;NA;NA;NA;
1;23;0.98;1.6;1.41;1.7;0.79;1.18;0.91;NA;ND;NA;NA;NA;
2;0;0.96;ND;ND;1.73;ND;1.28;ND;NA;ND;NA;NA;NA;
2;1;0.88;0.69;1.13;1.31;0.6;0.97;0.26;NA;ND;NA;NA;NA;
2;2;1;0.83;0.88;1.08;0.74;1.05;0.26;NA;ND;NA;NA;NA;
2;3;0.73;0.98;1.04;1.37;0.91;1.23;0.25;NA;ND;NA;NA;NA;
2;4;0.86;1.18;0.99;1.49;0.94;1.54;0.26;NA;ND;NA;NA;NA;
2;5;1;1.74;1.22;1.46;1.63;1.96;0.29;NA;ND;NA;NA;NA;
2;6;1.32;2.2;1.36;ND;2.72;1.11;0.4;NA;ND;NA;NA;NA;
2;7;1.09;1.35;1.51;ND;1.9;1.11;0.43;NA;ND;NA;NA;NA;
2;8;1.27;0.95;0.9;1.31;0.68;1.03;0.49;NA;ND;NA;NA;NA;
2;9;1.02;0.8;0.72;1.29;0.53;0.78;0.5;NA;ND;NA;NA;NA;
2;10;0.62;0.59;0.51;0.75;0.37;0.77;0.43;NA;ND;NA;NA;NA;
2;11;0.39;0.46;0.57;0.75;0.3;0.62;0.4;NA;ND;NA;NA;NA;
2;12;0.31;0.5;0.44;0.64;0.39;0.67;0.41;NA;ND;NA;NA;NA;
2;13;0.49;0.52;0.52;0.47;0.52;0.69;0.47;NA;ND;NA;NA;NA;
2;14;0.31;0.5;0.5;0.37;0.55;0.71;0.47;NA;ND;NA;NA;NA;
2;15;0.3;0.44;0.38;0.36;0.51;0.69;0.53;NA;ND;NA;NA;NA;
2;16;0.34;0.47;0.45;0.45;0.63;0.9;0.69;NA;ND;NA;NA;NA;
2;17;0.37;0.46;0.48;0.5;0.67;1.19;0.78;NA;ND;NA;NA;NA;
2;18;0.39;0.59;0.76;0.64;0.83;1.52;1.22;NA;ND;NA;NA;NA;
2;19;0.51;0.69;1.05;0.86;0.99;1.44;1.22;NA;ND;NA;NA;NA;
2;20;0.67;0.72;1.45;1.16;1.2;1.6;0.78;NA;ND;NA;NA;NA;
2;21;0.65;0.67;0.9;1.34;0.95;1.6;0.7;NA;ND;NA;NA;NA;
2;22;0.67;0.71;1.02;0.92;0.7;1.19;0.56;NA;ND;NA;NA;NA;
2;23;0.99;0.7;1.28;0.95;0.75;1.44;0.91;NA;ND;NA;NA;NA;
3;0;ND;0.72;ND;0.98;0.92;ND;0.63;NA;ND;NA;NA;NA;
3;1;0.91;0.78;0.7;0.79;0.91;1.28;0.43;NA;ND;NA;NA;NA;
3;2;0.91;0.83;0.65;0.72;0.82;0.93;0.44;NA;ND;NA;NA;NA;
3;3;1.04;0.8;0.58;0.83;0.82;1.02;0.72;NA;ND;NA;NA;NA;
3;4;0.88;0.64;0.44;0.45;0.96;1;0.3;NA;ND;NA;NA;NA;
3;5;0.7;0.65;0.43;0.39;1.13;1.17;0.31;NA;ND;NA;NA;NA;
3;6;0.69;0.73;0.58;0.59;1.57;1.22;0.36;NA;ND;NA;NA;NA;
3;7;0.83;0.68;1.2;0.73;1.38;2.19;0.44;NA;ND;NA;NA;NA;
