DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;14.6;25.06;22.83;10.95;18.46;17.92;NA;NA;ND;NA;NA;NA;
1;1;12.7;13.89;21.07;23.5;19.34;35.35;NA;NA;ND;NA;NA;NA;
1;2;13.02;13.54;25.72;18.39;25.69;26.03;NA;NA;ND;NA;NA;NA;
1;3;14.74;11.06;21.74;21.73;13.14;26.29;NA;NA;ND;NA;NA;NA;
1;4;13.87;23.49;20.41;24.33;29.3;12.04;NA;NA;ND;NA;NA;NA;
1;5;16.74;17.47;20;25.95;24.37;36.94;NA;NA;ND;NA;NA;NA;
1;6;22.15;30.48;27.36;33.74;36.98;9.26;NA;NA;ND;NA;NA;NA;
1;7;28.17;27.4;25.39;35.11;43.73;67.36;NA;NA;ND;NA;NA;NA;
1;8;20.59;24.81;26.02;29.51;36.32;41.05;NA;NA;ND;NA;NA;NA;
1;9;29.19;34.54;34.32;43.95;38.53;16.14;NA;NA;ND;NA;NA;NA;
1;10;13.15;30.12;39.13;46.06;28.64;35.69;NA;NA;ND;NA;NA;NA;
1;11;19.15;22.46;34.01;13.04;26.36;35.99;NA;NA;ND;NA;NA;NA;
1;12;9.68;9.56;12.75;15.49;8.53;10.58;NA;NA;ND;NA;NA;NA;
1;13;14.03;17.59;3.55;6.15;6.68;12.61;NA;NA;ND;NA;NA;NA;
1;14;6.98;13.08;14.42;8.73;10.61;19.69;NA;NA;ND;NA;NA;NA;
1;15;13.49;9.02;11.76;14.92;6.44;24.7;NA;NA;ND;NA;NA;NA;
1;16;4.83;16.35;11.71;14.17;24.35;9.03;NA;NA;ND;NA;NA;NA;
1;17;12.9;17.29;15.03;12.47;15.39;11.48;NA;NA;ND;NA;NA;NA;
1;18;14.62;12.43;14.13;14.54;17.19;14.38;NA;NA;ND;NA;NA;NA;
1;19;12.06;12.99;24.83;25.22;23.87;32.47;NA;NA;ND;NA;NA;NA;
1;20;12.76;8.28;16.27;24.76;27.32;26.35;NA;NA;ND;NA;NA;NA;
1;21;17.65;12.94;9.98;14.73;24.51;24.29;NA;NA;ND;NA;NA;NA;
1;22;18.32;20.96;11.16;14.05;25.47;29.67;NA;NA;ND;NA;NA;NA;
1;23;25.44;28.31;19.92;18.18;32.1;ND;NA;NA;ND;NA;NA;NA;
2;0;16.44;12.92;4.03;20.33;27.7;29.28;NA;NA;ND;NA;NA;NA;
2;1;28.35;12.03;19.53;19.78;29.52;7.24;NA;NA;ND;NA;NA;NA;
2;2;18.99;13.78;21.94;24.08;21.64;31.47;NA;NA;ND;NA;NA;NA;
2;3;21.64;13.9;19.8;29.82;15.29;24.86;NA;NA;ND;NA;NA;NA;
2;4;10.1;15.95;8.92;27.08;26.8;16.61;NA;NA;ND;NA;NA;NA;
2;5;22.57;23.93;18.43;22.7;21.2;14.47;NA;NA;ND;NA;NA;NA;
2;6;26.72;34.52;17.45;34.25;51.88;16.98;NA;NA;ND;NA;NA;NA;
2;7;27.85;49.94;28.2;44.46;81.18;18.58;NA;NA;ND;NA;NA;NA;
2;8;42.07;38.83;35.01;22.34;61.52;59.53;NA;NA;ND;NA;NA;NA;
2;9;25.28;19.47;44.21;15.65;36.33;53.54;NA;NA;ND;NA;NA;NA;
2;10;13.44;23.88;35.92;17.74;12.98;19.3;NA;NA;ND;NA;NA;NA;
2;11;8.45;17.59;9.21;8.84;17.93;10.23;NA;NA;ND;NA;NA;NA;
2;12;13.16;14.9;6.9;6.72;2.77;1.71;NA;NA;ND;NA;NA;NA;
2;13;6.89;16.56;10.79;7.54;7.14;4.17;NA;NA;ND;NA;NA;NA;
2;14;4.5;7.73;11.99;16.54;18.67;25.7;NA;NA;ND;NA;NA;NA;
2;15;11.2;12.92;8.84;8.34;14.27;13.48;NA;NA;ND;NA;NA;NA;
2;16;13.3;9.94;11.18;14.52;10.22;14.86;NA;NA;ND;NA;NA;NA;
2;17;5.62;12.94;9.41;9.99;26.56;18.16;NA;NA;ND;NA;NA;NA;
2;18;8.8;12.17;17.89;11.3;20.98;38.18;NA;NA;ND;NA;NA;NA;
2;19;7.81;8.29;19.05;12.43;15.8;27.92;NA;NA;ND;NA;NA;NA;
2;20;10.38;13.68;21.97;13.65;19.31;15.09;NA;NA;ND;NA;NA;NA;
2;21;5.35;9.57;5.76;2.89;9.42;18.86;NA;NA;ND;NA;NA;NA;
2;22;22.92;13.7;11.11;19.12;15.27;0.25;NA;NA;ND;NA;NA;NA;
2;23;16.8;13.53;7.83;17.24;15.92;ND;NA;NA;ND;NA;NA;NA;
3;0;13.81;3.1;32.61;29.72;9.73;12.66;NA;NA;ND;NA;NA;NA;
3;1;8.84;9.87;14.12;18.78;19.11;28.29;NA;NA;ND;NA;NA;NA;
3;2;5.65;6.59;18.61;13.43;17.88;5.07;NA;NA;ND;NA;NA;NA;
3;3;10.82;7.62;12.62;12.3;20.21;27.15;NA;NA;ND;NA;NA;NA;
3;4;3.15;12.05;19.83;9.46;22.76;37.26;NA;NA;ND;NA;NA;NA;
3;5;21.74;17.78;8.74;11.89;20.7;33.71;NA;NA;ND;NA;NA;NA;
3;6;11.12;18.31;18.52;22.29;32.61;45.15;NA;NA;ND;NA;NA;NA;
3;7;29.94;22.51;25.85;34.03;42.65;35.08;NA;NA;ND;NA;NA;NA;
3;8;34.37;26.96;42.33;34.5;63.93;36.55;NA;NA;ND;NA;NA;NA;
3;9;25.9;31.16;23.19;16.89;34.8;20.98;NA;NA;ND;NA;NA;NA;
3;10;8.66;11.5;13.68;ND;11.62;39.04;NA;NA;ND;NA;NA;NA;
3;11;5.34;10.86;10.56;9.52;7.56;5.81;NA;NA;ND;NA;NA;NA;
3;12;2.99;8.88;8.76;7.87;2.5;0.01;NA;NA;ND;NA;NA;NA;
3;13;8.15;5.71;0.86;2.68;4.87;14.47;NA;NA;ND;NA;NA;NA;
3;14;15.59;11.27;3.87;8.23;6.35;9.56;NA;NA;ND;NA;NA;NA;
3;15;2.24;14.15;4.72;6.57;11.3;27.45;NA;NA;ND;NA;NA;NA;
3;16;10.69;4.04;18.22;8.88;10.61;10.12;NA;NA;ND;NA;NA;NA;
3;17;5.91;17.96;12.34;11.39;12.71;22.44;NA;NA;ND;NA;NA;NA;
3;18;12.04;8.25;13.6;15.31;22.21;17.95;NA;NA;ND;NA;NA;NA;
3;19;12.09;6.03;13.14;12.37;16.67;12.38;NA;NA;ND;NA;NA;NA;
3;20;8.09;12.74;25.14;23.29;19.74;33.91;NA;NA;ND;NA;NA;NA;
3;21;15.85;9.18;16.65;18.53;15.13;30.68;NA;NA;ND;NA;NA;NA;
3;22;12.22;5.6;22.11;20.62;21.06;16.76;NA;NA;ND;NA;NA;NA;
3;23;4.1;5.11;10.55;11.21;19.16;ND;NA;NA;ND;NA;NA;NA;
4;0;22.75;15.63;16.47;14.82;33.2;42.6;NA;NA;ND;NA;NA;NA;
