DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;43.51;28.94;22.46;NA;43.2;35.9;40.37;28.49;37.25;NA;NA;NA;
1;1;23.82;32.49;26.78;NA;34.5;28.29;44;10.92;25.52;NA;NA;NA;
1;2;28.72;22.16;21.54;NA;27.72;24.85;40.88;9.45;13.77;NA;NA;NA;
1;3;32.36;22.41;23.37;NA;22.32;22.9;43.76;4.8;14.02;NA;NA;NA;
1;4;5.89;5.57;14.22;NA;12.02;22.37;40.23;3.29;7.03;NA;NA;NA;
1;5;0.71;1.87;8.07;NA;6.76;17.19;20.28;1.96;5.18;NA;NA;NA;
1;6;0.73;1.93;2.2;NA;3.14;1.91;12.7;4.61;1.94;NA;NA;NA;
1;7;7.6;12.7;10.04;NA;9.17;6.85;24.27;11.19;6.08;NA;NA;NA;
1;8;30.39;32.51;30.9;NA;25.33;23.12;49.54;19.33;16.91;NA;NA;NA;
1;9;56.35;49.94;50.91;NA;42.37;45.03;55.71;40.51;18.07;NA;NA;NA;
1;10;68.99;59.43;60.9;NA;55.35;68.72;67.1;62.79;21.88;NA;NA;NA;
1;11;65;60.22;71.57;NA;76.32;82.32;56.49;76.93;34.8;NA;NA;NA;
1;12;54.99;53.74;75.51;NA;53.41;86.1;86.1;76.73;66.46;NA;NA;NA;
1;13;46.61;49.26;61.21;NA;46.95;59.42;79.16;67.75;79.48;NA;NA;NA;
1;14;45.53;47.4;34.92;NA;30.11;31.78;53.9;58.91;43.5;NA;NA;NA;
1;15;44.82;44.08;25.22;NA;32.15;29.48;36.93;56.05;34.86;NA;NA;NA;
1;16;39.61;39.15;25.72;NA;33.54;26.56;36.7;50.49;32.18;NA;NA;NA;
1;17;26.99;23.33;14.91;NA;32.01;22.39;30.75;44.64;38.85;NA;NA;NA;
1;18;18.91;17.3;16.11;NA;38.49;18.41;36.61;28.54;32.92;NA;NA;NA;
1;19;6.83;10.96;4.21;NA;10.56;22.37;34.84;ND;32.25;NA;NA;NA;
1;20;13.57;10.29;1.63;NA;7.63;2.97;12.57;ND;18.62;NA;NA;NA;
1;21;15.66;19.95;2.52;NA;10.06;8.93;5.73;ND;8.8;NA;NA;NA;
1;22;11.37;15.25;9.23;NA;24.66;4.82;12.7;1.33;2.24;NA;NA;NA;
1;23;8.35;3.65;3.62;NA;6.52;0.48;21.9;4.86;2.54;NA;NA;NA;
2;0;15.87;1.37;1.27;NA;4.24;0.14;12.5;4.09;1.09;NA;NA;NA;
2;1;7.57;1.49;0.82;NA;2.29;0.42;11.8;0.93;1.71;NA;NA;NA;
2;2;3.39;3.87;1.62;NA;0.83;1.71;16.82;0.87;3.74;NA;NA;NA;
2;3;1.06;4.35;1.71;NA;2.14;0.54;28.79;0.63;6.25;NA;NA;NA;
2;4;0.08;1.09;2.92;NA;1.06;0.08;34.8;0.54;0.75;NA;NA;NA;
2;5;4.32;1.87;3.13;NA;2.49;0.4;13.5;0.59;0.37;NA;NA;NA;
2;6;3.14;2.75;1.45;NA;2.22;1.17;6.64;1.09;1.91;NA;NA;NA;
2;7;7.67;5.31;5.71;NA;5.26;2.3;17.57;3.16;2.3;NA;NA;NA;
2;8;22.88;14.07;17.78;NA;13.13;12.15;48.35;10.76;7.94;NA;NA;NA;
2;9;33.08;34.41;38.17;NA;48.24;46.83;60.02;31.06;32.1;NA;NA;NA;
2;10;57.28;57.64;74.71;NA;65.63;63.96;61.21;72.21;50.46;NA;NA;NA;
2;11;70.47;83.42;95.42;NA;61.71;94.22;62.44;89.8;39.61;NA;NA;NA;
2;12;43.53;63.29;77.02;NA;39.91;73.93;50.7;104.68;109.95;NA;NA;NA;
2;13;37.28;39.71;49.66;NA;40.36;55.44;49.18;71.27;91.4;NA;NA;NA;
2;14;35.36;39.22;61.1;NA;40.25;55.73;40.21;62.36;56.02;NA;NA;NA;
2;15;34.33;36.92;52.52;NA;37.16;47.79;41.32;53.31;42.66;NA;NA;NA;
2;16;32.23;36.32;29.46;NA;35.9;30.68;49.06;45.55;26.89;NA;NA;NA;
