DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;3.39;3.64;25.93;14.05;1.44;13.49;NA;NA;ND;NA;NA;NA;
1;1;3.82;4.6;9.76;4.79;7.15;9.6;NA;NA;ND;NA;NA;NA;
1;2;3.95;5.24;0;9.54;3.27;6.46;NA;NA;ND;NA;NA;NA;
1;3;4.24;1.74;8.28;6.27;8.2;1.87;NA;NA;ND;NA;NA;NA;
1;4;9.44;3.36;2.85;8.24;4.82;16.18;NA;NA;ND;NA;NA;NA;
1;5;11;2.37;0.82;2.12;13.29;7.18;NA;NA;ND;NA;NA;NA;
1;6;10.65;3.23;9.3;9.25;17.8;0.63;NA;NA;ND;NA;NA;NA;
1;7;5.04;5.83;4.37;2.64;17.37;17.49;NA;NA;ND;NA;NA;NA;
1;8;10.81;11.35;25.89;12.57;24.91;14.55;NA;NA;ND;NA;NA;NA;
1;9;14.76;5.21;6.51;13.76;8.16;5.1;NA;NA;ND;NA;NA;NA;
1;10;26.7;12.29;7.14;14.69;18.39;10.94;NA;NA;ND;NA;NA;NA;
1;11;1.23;11.98;6.84;11.37;14.18;7.95;NA;NA;ND;NA;NA;NA;
1;12;12.93;12.5;15.13;15.75;24.02;18.22;NA;NA;ND;NA;NA;NA;
1;13;10.29;5.38;16.71;14.21;25.82;12.52;NA;NA;ND;NA;NA;NA;
1;14;8.45;6.78;14.17;16.07;23.13;14.54;NA;NA;ND;NA;NA;NA;
1;15;9.98;12.76;19.01;13.69;8.49;23.75;NA;NA;ND;NA;NA;NA;
1;16;12.08;7.25;23.29;15.38;12.08;37.87;NA;NA;ND;NA;NA;NA;
1;17;17.34;17.79;15.75;20.09;20.13;25.25;NA;NA;ND;NA;NA;NA;
1;18;15.81;7.5;21.46;11.44;17.41;2.4;NA;NA;ND;NA;NA;NA;
1;19;17.47;21.68;23.81;26.48;26.61;42.1;NA;NA;ND;NA;NA;NA;
1;20;31.95;16.73;25.48;39.2;20.58;53.56;NA;NA;ND;NA;NA;NA;
1;21;9.89;14.29;33.22;32.59;23.59;45.12;NA;NA;ND;NA;NA;NA;
1;22;29.63;21.77;31.68;21.04;38.28;40.11;NA;NA;ND;NA;NA;NA;
1;23;3.88;11.83;28.33;12.9;11.78;21.17;NA;NA;ND;NA;NA;NA;
2;0;20.86;16.99;17.32;25.37;18.92;8.54;NA;NA;ND;NA;NA;NA;
2;1;2.38;20.95;23.15;13.21;17.8;16.9;NA;NA;ND;NA;NA;NA;
2;2;16.07;18.01;9.39;14.74;19.96;40.13;NA;NA;ND;NA;NA;NA;
2;3;14.05;15.4;19.8;13.03;25.61;27.87;NA;NA;ND;NA;NA;NA;
2;4;4.33;9.78;14.19;8;26.74;25.36;NA;NA;ND;NA;NA;NA;
2;5;20.19;11.21;11.05;10.43;27.35;29.62;NA;NA;ND;NA;NA;NA;
2;6;5.98;20.23;11.5;11.57;37.29;22.47;NA;NA;ND;NA;NA;NA;
2;7;10.08;23.3;26.3;24.46;47.12;35.65;NA;NA;ND;NA;NA;NA;
2;8;13.94;15.89;26.61;14.12;54.97;46;NA;NA;ND;NA;NA;NA;
2;9;23.71;10.41;28.12;33.8;43.33;41.37;NA;NA;ND;NA;NA;NA;
2;10;36.67;24.28;28.23;23.45;38.58;49.18;NA;NA;ND;NA;NA;NA;
2;11;4.59;14.29;24.44;24.13;24.34;22.37;NA;NA;ND;NA;NA;NA;
2;12;28.29;22.03;15.98;19.81;27.03;26.14;NA;NA;ND;NA;NA;NA;
2;13;22.03;18.55;30.04;18.5;15.28;45.84;NA;NA;ND;NA;NA;NA;
2;14;4.05;18.05;6.19;17.69;14.64;37.89;NA;NA;ND;NA;NA;NA;
2;15;3.63;7.91;31.52;13.71;12.21;25.66;NA;NA;ND;NA;NA;NA;
2;16;18.21;16.85;30.77;18.05;25.86;37.28;NA;NA;ND;NA;NA;NA;
2;17;15.56;12.05;19.89;15.87;25.38;16.66;NA;NA;ND;NA;NA;NA;
2;18;29.16;18.08;10.42;18.56;35.34;17.56;NA;NA;ND;NA;NA;NA;
2;19;20.42;17.99;14.09;9.67;16.19;7.6;NA;NA;ND;NA;NA;NA;
2;20;12.64;34.39;7.5;15.56;31.1;15.91;NA;NA;ND;NA;NA;NA;
2;21;6.05;34.72;10.91;28.17;29.46;42.27;NA;NA;ND;NA;NA;NA;
2;22;8.61;42.39;18.02;34.32;44.95;18.97;NA;NA;ND;NA;NA;NA;
2;23;13.77;19.27;17.06;31.14;43.26;21.57;NA;NA;ND;NA;NA;NA;
3;0;20.55;30.2;16.38;21.69;35.88;37.44;NA;NA;ND;NA;NA;NA;
3;1;6.01;11.64;5.53;35.14;37.27;44.13;NA;NA;ND;NA;NA;NA;
3;2;20.61;18.48;16.55;21.63;37.16;33.85;NA;NA;ND;NA;NA;NA;
3;3;27.02;10.29;14.86;19.6;29.21;31;NA;NA;ND;NA;NA;NA;
3;4;3.42;26.26;16.26;26.29;28.52;46.06;NA;NA;ND;NA;NA;NA;
3;5;26.42;43.43;14.69;18.12;40.96;43.88;NA;NA;ND;NA;NA;NA;
3;6;26.59;44.84;18.19;23.15;43.24;57.27;NA;NA;ND;NA;NA;NA;
3;7;1.23;49.45;27.23;42.59;67.4;43.47;NA;NA;ND;NA;NA;NA;
3;8;31.76;10.67;45.03;29.33;22.14;28.82;NA;NA;ND;NA;NA;NA;
3;9;29.25;17.74;33.61;32.68;22.73;37.07;NA;NA;ND;NA;NA;NA;
3;10;10.58;16.76;22.44;20.88;10.91;17.01;NA;NA;ND;NA;NA;NA;
3;11;41.41;23.3;17.27;21.82;15.31;23.65;NA;NA;ND;NA;NA;NA;
3;12;20.21;21.85;12.63;22.94;21.6;30.49;NA;NA;ND;NA;NA;NA;
3;13;12.17;21.21;11.07;16.93;11.65;19.69;NA;NA;ND;NA;NA;NA;
3;14;29.05;16.1;25.07;15.69;18.54;14.28;NA;NA;ND;NA;NA;NA;
3;15;9.82;9.23;25.53;12.09;18.09;19.16;NA;NA;ND;NA;NA;NA;
3;16;23.81;11.44;12.92;13.58;23.7;31.18;NA;NA;ND;NA;NA;NA;
3;17;5.45;7.91;24.95;15.53;19.35;26.48;NA;NA;ND;NA;NA;NA;
3;18;1.39;11.31;4.44;11.56;23.53;14.85;NA;NA;ND;NA;NA;NA;
3;19;26.45;13.91;5.96;9.66;19.86;25.32;NA;NA;ND;NA;NA;NA;
3;20;25.23;15.19;19.65;13.46;16.11;10.53;NA;NA;ND;NA;NA;NA;
3;21;5.26;15.29;13.32;13.48;26.98;9.41;NA;NA;ND;NA;NA;NA;
3;22;16.89;13.14;4.01;19.84;10.63;24.91;NA;NA;ND;NA;NA;NA;
3;23;7.24;4.97;4.53;12.18;4.72;10.37;NA;NA;ND;NA;NA;NA;
4;0;16.17;13.96;46.72;32.29;17.2;8.03;NA;NA;ND;NA;NA;NA;
4;1;22.81;13.73;11.01;13.73;16.69;31.17;NA;NA;ND;NA;NA;NA;
