DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;18.89;27.38;15.44;NA;14.99;4.67;16.44;31.25;27.11;NA;NA;NA;
1;1;20.7;26.33;11.22;NA;20.89;3.97;ND;32.66;ND;NA;NA;NA;
1;2;ND;24.35;10.73;NA;27.64;ND;20.61;32.44;29.76;NA;NA;NA;
1;3;20.85;24.05;16.22;NA;25.28;8.97;19.64;31.92;31.15;NA;NA;NA;
1;4;16.4;23.47;17.89;NA;18.41;12.39;11.35;33.7;32.07;NA;NA;NA;
1;5;7.9;24.69;19.59;NA;8.81;9.96;10.78;35.23;31.9;NA;NA;NA;
1;6;5.57;19.49;12.77;NA;10.25;8.04;15.38;34.35;29.5;NA;NA;NA;
1;7;11.27;16.74;12.79;NA;15.49;15.49;17.4;31.63;28.85;NA;NA;NA;
1;8;8.86;22.2;18.31;NA;16.19;17.43;23.52;34.42;24.1;NA;NA;NA;
1;9;18.12;36.99;22.44;NA;24.32;29.21;37.28;40.66;16.93;NA;NA;NA;
1;10;34.9;44.21;41.49;NA;30.58;42.75;40.8;47.54;13.19;NA;NA;NA;
1;11;35.28;32.47;33.41;NA;39.14;45.41;44.94;56.07;32.01;NA;NA;NA;
1;12;30.92;33.57;29.97;NA;42.75;41.45;32.91;53.14;50.8;NA;NA;NA;
1;13;28.02;32.22;23.98;NA;22.44;26.66;31.52;38.73;36.02;NA;NA;NA;
1;14;18.67;25.46;9.39;NA;20.81;18.09;28.52;30.6;27.95;NA;NA;NA;
1;15;6.37;13.03;7.31;NA;15.66;7.84;28.98;33.36;30.13;NA;NA;NA;
1;16;13.95;20.02;7.8;NA;17.34;14.19;27.93;38.53;51.39;NA;NA;NA;
1;17;9.74;13.6;4.68;NA;16.37;6.26;21.85;27.19;35.41;NA;NA;NA;
1;18;10.2;11.53;1.02;NA;4.65;7.11;17.11;22.16;18.74;NA;NA;NA;
1;19;6.5;15.24;0.45;NA;6.79;4.78;8.7;23.9;26.45;NA;NA;NA;
1;20;8.2;8.63;0.83;NA;5.74;2.84;8.28;16.95;10.75;NA;NA;NA;
1;21;5.55;8.59;4.15;NA;6.74;4.41;10.87;10.18;21.86;NA;NA;NA;
