DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;ND;1.38;3.13;ND;13.61;3.56;ND;1.32;ND;NA;NA;NA;
1;1;ND;1.23;ND;ND;ND;ND;ND;0.98;ND;NA;NA;NA;
1;2;ND;1.68;2.93;ND;13.51;5.8;ND;0.86;ND;NA;NA;NA;
1;3;ND;2.32;3.87;ND;3.73;6.43;ND;1.18;ND;NA;NA;NA;
1;4;ND;2.14;5.27;ND;22.78;5.41;ND;0.73;ND;NA;NA;NA;
1;5;ND;2.71;7.47;ND;43.88;8.28;ND;3.72;ND;NA;NA;NA;
1;6;ND;4.26;9.93;ND;76.08;9.94;ND;5.46;ND;NA;NA;NA;
1;7;ND;5.59;17.64;ND;87.92;20.93;ND;9.56;ND;NA;NA;NA;
1;8;ND;6.37;23.53;ND;77.84;17.43;ND;17.89;ND;NA;NA;NA;
1;9;ND;7.55;17.55;ND;25.51;10.69;ND;14.09;ND;NA;NA;NA;
1;10;ND;6.95;17.29;ND;11.29;11.89;ND;7.39;ND;NA;NA;NA;
1;11;ND;4.96;11.4;ND;9.47;12.07;ND;2.95;ND;NA;NA;NA;
1;12;ND;2.62;6.63;ND;7.96;6.91;ND;3.41;ND;NA;NA;NA;
1;13;ND;1.81;5.7;ND;2.55;4.83;ND;1.57;ND;NA;NA;NA;
1;14;ND;1.47;4.91;ND;2.35;2.01;ND;1.7;ND;NA;NA;NA;
1;15;ND;1.49;4.26;ND;2.15;2.06;ND;1.41;ND;NA;NA;NA;
1;16;ND;1.16;5.61;ND;2.3;2.24;ND;1.17;ND;NA;NA;NA;
1;17;ND;1.25;5.69;ND;2.76;2.6;ND;0.98;ND;NA;NA;NA;
1;18;1.96;1.44;5.06;ND;4.54;3.66;ND;1.4;ND;NA;NA;NA;
1;19;2.63;1.84;5.78;ND;8.87;3.86;ND;1.72;ND;NA;NA;NA;
1;20;4.72;3.08;5.62;ND;14.12;3.27;ND;1.44;ND;NA;NA;NA;
1;21;3.44;3.85;4.27;ND;6.22;2.77;ND;1.25;ND;NA;NA;NA;
1;22;3.9;3.59;4.79;ND;9.36;3.41;ND;1.79;ND;NA;NA;NA;
1;23;4.58;4.25;13.83;ND;11.21;8.15;ND;1.18;ND;NA;NA;NA;
2;0;4.46;9.41;12.36;ND;20.7;6.67;ND;1.26;ND;NA;NA;NA;
2;1;4.55;ND;18.05;ND;28.59;7.01;ND;1.49;ND;NA;NA;NA;
2;2;5.89;4.84;8.98;ND;19.6;9.78;ND;1.25;ND;NA;NA;NA;
2;3;5.84;3.81;10.32;ND;9.09;8.68;ND;1.9;ND;NA;NA;NA;
2;4;5.37;5.5;10.96;ND;14.72;7.43;ND;2.99;ND;NA;NA;NA;
2;5;9.11;6.95;9.32;ND;15.77;4.82;ND;2.71;ND;NA;NA;NA;
2;6;10.74;9.51;13.35;ND;44.76;8.76;ND;6.23;ND;NA;NA;NA;
2;7;12.03;27.4;14.13;ND;87.65;17.48;ND;7.59;ND;NA;NA;NA;
2;8;18.5;34.52;24.93;ND;21.02;23.37;ND;15.13;ND;NA;NA;NA;
2;9;22.88;19.2;15.59;ND;9.53;13.63;ND;12.19;ND;NA;NA;NA;
2;10;13.32;11.66;16.89;ND;18.61;13.76;ND;ND;ND;NA;NA;NA;
2;11;8.41;7.59;13.27;ND;11.08;11.6;ND;ND;ND;NA;NA;NA;
2;12;5.19;4.6;8.4;ND;9.91;8.24;ND;ND;ND;NA;NA;NA;
2;13;2.72;3.42;3.28;ND;4.01;6.47;ND;2.34;ND;NA;NA;NA;
2;14;2.45;2.21;4.6;ND;2.71;3.01;ND;0.66;ND;NA;NA;NA;
2;15;2.17;1.87;5.15;ND;2.97;2.45;ND;0.53;ND;NA;NA;NA;
2;16;2.14;1.58;6.02;ND;2.82;2.7;ND;0.34;ND;NA;NA;NA;
2;17;3.28;1.86;6.86;ND;3.6;3.56;ND;0.32;ND;NA;NA;NA;
2;18;4.44;2.61;6.91;ND;6.72;3.76;ND;0.71;ND;NA;NA;NA;
2;19;2.64;2.48;7.85;ND;11.06;3.78;ND;0.44;ND;NA;NA;NA;
2;20;3.15;2.13;6.7;ND;9.08;4.21;ND;0.39;ND;NA;NA;NA;
2;21;3.95;2.32;5.99;ND;8.03;4.46;ND;0.58;ND;NA;NA;NA;
2;22;3.2;2.36;4.76;ND;15.32;ND;ND;0.45;ND;NA;NA;NA;
2;23;3.1;1.87;3.83;ND;5.16;ND;ND;1.08;ND;NA;NA;NA;
3;0;4.05;2.18;2.66;ND;4.64;3.04;ND;0.71;ND;NA;NA;NA;
3;1;ND;2;ND;ND;ND;ND;ND;0.4;ND;NA;NA;NA;
3;2;3.09;1.84;2.99;ND;5.43;2.05;ND;0.25;ND;NA;NA;NA;
3;3;2.81;1.63;3.21;ND;6.98;2.49;ND;0.57;ND;NA;NA;NA;
3;4;3.28;1.95;3.86;ND;4.32;3.43;ND;0.52;ND;NA;NA;NA;
3;5;4.8;2.03;3.78;ND;6.09;7.36;ND;1.29;ND;NA;NA;NA;
3;6;9.01;3.06;6.49;ND;15.9;9.92;ND;2.81;ND;NA;NA;NA;
3;7;9.6;4.79;11.38;ND;19.11;15.13;ND;2.93;ND;NA;NA;NA;
3;8;11.87;8.76;21.29;ND;20.26;21.4;ND;6.04;ND;NA;NA;NA;
3;9;10.11;10.1;15.91;ND;11.75;14.44;ND;7.28;ND;NA;NA;NA;
3;10;10.39;6.86;11.16;ND;11.65;10.7;ND;3.78;ND;NA;NA;NA;
3;11;5.74;4.9;10.38;ND;14.3;11.08;ND;3;ND;NA;NA;NA;
3;12;3.24;ND;6.47;ND;7.42;6.64;ND;3.71;ND;NA;NA;NA;
3;13;2.53;ND;5.61;ND;3.86;4.37;ND;1.75;ND;NA;NA;NA;
3;14;2.25;2.11;5.29;ND;3.52;4.46;ND;1.41;ND;NA;NA;NA;
3;15;2.39;1.9;9.43;ND;2.77;3.53;ND;0.98;ND;NA;NA;NA;
3;16;2.55;2.02;8.12;ND;3.07;3.32;ND;0.86;ND;NA;NA;NA;
3;17;2.66;2.1;6.86;ND;4.88;3.77;ND;1.06;ND;NA;NA;NA;
3;18;3.42;1.96;6.44;ND;5.99;3.87;ND;0.9;ND;NA;NA;NA;
3;19;3.76;2.11;7.05;ND;8.91;3.78;ND;0.91;ND;NA;NA;NA;
3;20;4.22;2.47;6.71;ND;13.7;4.17;ND;0.91;ND;NA;NA;NA;
3;21;3.64;3.07;5.92;ND;5.16;6.36;ND;1.9;ND;NA;NA;NA;
3;22;3.46;4.58;5.18;ND;15.45;9.81;ND;2.21;ND;NA;NA;NA;
3;23;3.89;2.85;4.5;ND;11.83;5.75;ND;2.17;ND;NA;NA;NA;
4;0;3.76;3.28;4.32;ND;8.57;3.52;ND;1.67;ND;NA;NA;NA;
4;1;3.4;ND;4.15;ND;12.41;3.52;ND;2.25;ND;NA;NA;NA;
4;2;3.6;2.39;6.28;ND;10.94;6.05;ND;1.71;ND;NA;NA;NA;
4;3;3.18;2.81;12.29;ND;10.75;6.72;ND;0.87;ND;NA;NA;NA;
4;4;4.27;3.78;15.02;ND;17.22;9.63;ND;1.21;ND;NA;NA;NA;
4;5;5.57;2.82;14.35;ND;14.65;9.32;ND;1.48;ND;NA;NA;NA;
4;6;5.22;3.54;7.18;ND;11.48;10.55;ND;1.98;ND;NA;NA;NA;
4;7;5.37;4.21;10.41;ND;12.66;8.92;ND;4.5;ND;NA;NA;NA;
4;8;9.34;4.37;6.57;ND;9.83;5.94;ND;59.66;ND;NA;NA;NA;
4;9;6.03;4.13;7.4;ND;15;7.03;ND;13.3;ND;NA;NA;NA;
4;10;4.09;2.93;8.65;ND;20.26;10.65;ND;4.06;ND;NA;NA;NA;
4;11;3.09;2.37;5.09;ND;12.72;7.51;ND;3.36;ND;NA;NA;NA;
4;12;2.69;2.07;3.79;ND;7.68;4.59;ND;2.01;ND;NA;NA;NA;
4;13;2.22;2.06;2.54;ND;4.21;3.19;ND;1.58;ND;NA;NA;NA;
4;14;1.88;1.9;3.63;ND;3.57;3.34;ND;1.87;ND;NA;NA;NA;
4;15;2.04;1.78;3.46;ND;3.22;3.28;ND;1.47;ND;NA;NA;NA;
4;16;2.17;1.64;4.21;ND;2.75;2.76;ND;1.1;ND;NA;NA;NA;
4;17;2.23;1.71;4.21;ND;2.08;2.88;ND;0.97;ND;NA;NA;NA;
