DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;ND;ND;ND;1.4;1.97;1.34;ND;NA;ND;NA;NA;NA;
1;1;1.29;0.96;1.44;1.25;1.8;1.61;1.25;NA;ND;NA;NA;NA;
1;2;1.1;0.88;1.31;0.96;1.12;1.77;0.97;NA;ND;NA;NA;NA;
1;3;0.83;0.59;1.02;0.74;1.3;1.31;1.47;NA;ND;NA;NA;NA;
1;4;0.6;0.53;0.66;0.48;1.09;0.78;1.13;NA;ND;NA;NA;NA;
1;5;0.47;0.67;0.79;0.49;0.9;0.97;0.81;NA;ND;NA;NA;NA;
1;6;0.64;0.65;0.88;0.66;1.46;1.39;0.9;NA;ND;NA;NA;NA;
1;7;0.66;0.6;0.92;0.79;1.56;1.2;0.74;NA;ND;NA;NA;NA;
1;8;0.55;0.55;0.93;0.61;1.04;1.03;0.55;NA;ND;NA;NA;NA;
1;9;0.4;0.45;0.6;0.33;0.74;0.8;0.48;NA;ND;NA;NA;NA;
1;10;0.25;0.31;0.55;0.24;0.65;0.6;0.52;NA;ND;NA;NA;NA;
1;11;0.18;0.27;0.54;0.19;0.61;0.57;0.66;NA;ND;NA;NA;NA;
1;12;0.18;0.28;0.49;0.2;0.66;0.48;0.56;NA;ND;NA;NA;NA;
1;13;0.2;0.29;0.5;0.15;0.61;0.48;0.58;NA;ND;NA;NA;NA;
1;14;0.18;0.29;0.43;0.13;0.52;0.46;0.54;NA;ND;NA;NA;NA;
1;15;0.17;0.31;0.45;0.13;0.53;0.5;0.6;NA;ND;NA;NA;NA;
1;16;0.19;0.32;0.44;0.16;0.66;0.51;0.69;NA;ND;NA;NA;NA;
1;17;0.25;0.31;0.53;0.19;0.69;0.73;0.7;NA;ND;NA;NA;NA;
1;18;0.25;0.35;0.66;0.19;0.83;0.84;0.87;NA;ND;NA;NA;NA;
1;19;0.36;0.4;0.7;0.29;0.95;0.89;0.83;NA;ND;NA;NA;NA;
1;20;0.43;0.38;0.79;0.44;1.07;1.11;0.81;NA;ND;NA;NA;NA;
1;21;0.47;0.41;0.85;0.56;1.27;1.49;0.65;NA;ND;NA;NA;NA;
1;22;0.58;0.38;1.02;0.7;1.45;1.52;0.88;NA;ND;NA;NA;NA;
1;23;0.41;0.37;0.64;0.33;0.83;0.91;0.68;NA;ND;NA;NA;NA;
2;0;0.32;0.29;0.64;0.29;ND;0.72;0.71;NA;ND;NA;NA;NA;
2;1;0.2;0.24;0.57;0.22;0.78;0.7;0.64;NA;ND;NA;NA;NA;
2;2;0.14;0.23;0.43;0.1;0.58;0.54;0.54;NA;ND;NA;NA;NA;
2;3;0.16;0.26;0.39;0.1;0.56;0.49;0.51;NA;ND;NA;NA;NA;
2;4;0.21;0.27;0.29;0.07;0.5;0.46;0.47;NA;ND;NA;NA;NA;
2;5;0.33;0.42;0.38;0.08;0.68;0.57;0.58;NA;ND;NA;NA;NA;
2;6;0.59;0.48;0.53;0.31;1.05;1.06;0.71;NA;ND;NA;NA;NA;
2;7;0.45;0.58;0.64;0.22;1.16;1.09;0.62;NA;ND;NA;NA;NA;
2;8;0.59;0.58;0.83;0.38;1.24;0.94;0.63;NA;ND;NA;NA;NA;
2;9;0.6;0.47;0.85;0.54;1.04;0.92;0.61;NA;ND;NA;NA;NA;
2;10;0.5;0.47;0.76;0.44;0.73;0.86;0.52;NA;ND;NA;NA;NA;
2;11;0.52;0.44;0.69;0.43;0.65;0.71;0.55;NA;ND;NA;NA;NA;
2;12;0.4;0.37;0.73;0.42;0.58;0.61;0.56;NA;ND;NA;NA;NA;
2;13;0.27;0.34;0.5;0.26;0.62;0.62;0.53;NA;ND;NA;NA;NA;
2;14;0.26;0.3;0.5;0.26;0.65;0.58;0.48;NA;ND;NA;NA;NA;
2;15;0.32;0.38;0.59;0.22;0.75;0.68;0.68;NA;ND;NA;NA;NA;
2;16;0.35;0.39;0.67;0.25;0.87;0.79;0.73;NA;ND;NA;NA;NA;
2;17;0.49;0.37;0.71;0.28;0.96;0.93;0.81;NA;ND;NA;NA;NA;
2;18;0.49;0.59;0.89;0.37;1.05;1.25;0.87;NA;ND;NA;NA;NA;
2;19;0.55;0.46;0.96;0.57;1.15;1.07;1.07;NA;ND;NA;NA;NA;
