DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;8.73;14.42;10.91;NA;30.34;12.18;14.96;19.73;15.79;NA;NA;NA;
1;1;6.34;11.41;11.22;NA;23.42;14.36;ND;18.63;7.88;NA;NA;NA;
1;2;ND;10.76;ND;NA;4.91;8.51;10.17;21.93;12.48;NA;NA;NA;
1;3;1.74;11.98;3.57;NA;9.71;3.64;8.34;22.57;12.12;NA;NA;NA;
1;4;2.7;12.66;3.5;NA;7.42;2.6;3.8;19.82;8.29;NA;NA;NA;
1;5;6.52;8.59;4.53;NA;4.24;4.69;7.17;19.18;15.43;NA;NA;NA;
1;6;6.31;6.64;2.3;NA;6.06;5.33;8.13;7.73;9.25;NA;NA;NA;
1;7;10.94;16.77;12.81;NA;19.67;9.39;18.08;13;4.27;NA;NA;NA;
1;8;37.19;37.69;39.66;NA;37.09;34.83;30.08;22.03;12.94;NA;NA;NA;
1;9;53.8;53.08;36.7;NA;57.85;51.31;43.4;37.61;29.38;NA;NA;NA;
1;10;57.68;47;63.44;NA;44.87;41.52;51.19;66.65;22.93;NA;NA;NA;
1;11;50.86;44.3;73.09;NA;63.75;72.19;47.81;74.87;35.97;NA;NA;NA;
1;12;48.37;43.54;58.78;NA;60.78;59.05;67.98;61.78;75.74;NA;NA;NA;
1;13;45.98;41.49;51.11;NA;54.43;54.8;69.2;54;53.86;NA;NA;NA;
1;14;44.78;42.15;51.15;NA;47.78;52.55;48.92;42.79;42.58;NA;NA;NA;
1;15;38.92;40.41;45.79;NA;40.51;45.23;43.41;44.92;38.97;NA;NA;NA;
1;16;35.31;37.19;41.4;NA;34.48;44.12;41.89;43.62;34.47;NA;NA;NA;
1;17;29.21;35.5;31.36;NA;24.62;31.81;32.79;37.93;33.63;NA;NA;NA;
1;18;26.74;30.56;17.55;NA;17.18;14.61;18.72;31.27;27.66;NA;NA;NA;
1;19;19.55;23.9;13.84;NA;13.33;9.61;14.51;25.37;28.25;NA;NA;NA;
1;20;12.31;19.06;3.68;NA;2.68;4.87;9.33;24.48;19.88;NA;NA;NA;
1;21;7.08;16.96;0.79;NA;5.75;2.47;16.37;24.05;19.34;NA;NA;NA;
1;22;2.15;15.67;0.78;NA;0.72;3.42;11.2;ND;3.17;NA;NA;NA;
1;23;3.73;14.83;0.57;NA;5.54;3.72;8.96;ND;10.38;NA;NA;NA;
2;0;7.11;19.1;0.23;NA;1.36;2.75;7.26;20.48;12.92;NA;NA;NA;
2;1;14.88;23.04;1.29;NA;2.71;2.52;9.41;19.05;4.51;NA;NA;NA;
2;2;23.34;ND;13.3;NA;ND;6.69;11.72;20.6;5.39;NA;NA;NA;
2;3;21.4;19.01;15.8;NA;8.69;11.64;14.95;21.32;14.43;NA;NA;NA;
2;4;9.93;16.38;23.52;NA;13.82;13.34;20.64;16.86;15.19;NA;NA;NA;
2;5;0.91;9.16;21.29;NA;3.5;11.09;11.55;12.49;17.59;NA;NA;NA;
2;6;0.08;4.48;5.74;NA;ND;3.28;4.75;7.97;14.54;NA;NA;NA;
2;7;4.6;4.52;4.8;NA;12.56;2.98;15.11;16.56;7.5;NA;NA;NA;
2;8;9.46;12.56;8.55;NA;16.01;7.85;17.56;17.91;9.16;NA;NA;NA;
2;9;16.16;22.54;14.21;NA;23.44;19.79;24.24;27.25;14.53;NA;NA;NA;
2;10;24.49;29.48;13.25;NA;26.4;20.45;36.13;31.89;28.87;NA;NA;NA;
2;11;37.03;39.95;24.23;NA;32;33.49;38.74;26.3;41.32;NA;NA;NA;
2;12;41.78;48.54;18.08;NA;39.19;36.45;36.7;39.3;20.54;NA;NA;NA;
2;13;50.04;57.56;39.86;NA;38.75;38.64;39.91;46.3;34.92;NA;NA;NA;
2;14;44.38;44.6;42.36;NA;42.88;41.68;44.47;47.07;38.75;NA;NA;NA;
2;15;31.72;35.95;40.1;NA;36.83;39.53;40.97;45.64;34.6;NA;NA;NA;
2;16;28.72;30.74;26.05;NA;28.04;24.45;33.31;36.68;39.05;NA;NA;NA;
2;17;16.17;25.88;20.65;NA;17.53;13.38;25.29;32.35;28.09;NA;NA;NA;
2;18;12.94;19.12;9.32;NA;13.8;4.98;14.5;20.37;23.96;NA;NA;NA;
2;19;6.05;16.34;2.81;NA;8.04;3.79;6.26;20.05;17.34;NA;NA;NA;
2;20;1.6;22.59;0.76;NA;4.92;3.88;3.82;24.73;12.42;NA;NA;NA;
2;21;0.01;18.49;0.13;NA;6.21;2.81;17.5;22.74;13.57;NA;NA;NA;
2;22;0.03;8.56;0.57;NA;0.42;2.56;18.82;17.27;9.12;NA;NA;NA;
2;23;0.17;14.89;0.93;NA;2.28;3.05;21.09;1.35;5.07;NA;NA;NA;
3;0;0.27;12.44;0.25;NA;2.12;1.73;22.32;4.31;0;NA;NA;NA;
3;1;0.12;9.16;0.26;NA;3.16;2.12;ND;1.81;0.13;NA;NA;NA;
3;2;ND;9.61;ND;NA;1.98;1.81;14.02;0.04;0.13;NA;NA;NA;
3;3;8.59;16.62;2.64;NA;2.87;1.46;7.24;0;0;NA;NA;NA;
3;4;2.64;17.63;5.02;NA;1.89;3.27;3.79;0;0;NA;NA;NA;
3;5;2.36;9.91;8.35;NA;1.96;3.6;5.32;0;0.22;NA;NA;NA;
3;6;1.3;4.63;3.48;NA;2.31;3.66;1.58;0.04;0.24;NA;NA;NA;
3;7;7.08;12.9;13;NA;9.16;8.81;10.17;1.67;5.15;NA;NA;NA;
