DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;210.4;232.05;87.63;ND;155.96;160.38;NA;NA;ND;NA;NA;NA;
1;1;434.31;345.21;176.07;ND;573.05;379.71;NA;NA;ND;NA;NA;NA;
1;2;284.12;377.37;197.31;ND;438.65;272.56;NA;NA;ND;NA;NA;NA;
1;3;193.88;128.51;145.76;ND;416.26;270.14;NA;NA;ND;NA;NA;NA;
1;4;121.37;12.67;101.21;ND;ND;231.03;NA;NA;ND;NA;NA;NA;
1;5;110.66;6.41;137.34;ND;342.54;196.59;NA;NA;ND;NA;NA;NA;
1;6;129.78;14.54;ND;ND;237.97;160.32;NA;NA;ND;NA;NA;NA;
1;7;120.42;65.83;121.38;ND;112;95.69;NA;NA;ND;NA;NA;NA;
1;8;129.66;53.4;34.47;ND;12.42;7.39;NA;NA;ND;NA;NA;NA;
1;9;92.89;22.63;30.22;ND;0.23;2.24;NA;NA;ND;NA;NA;NA;
1;10;45.32;7.78;31.3;ND;20.15;12.43;NA;NA;ND;NA;NA;NA;
1;11;30.96;14.75;21.37;ND;15.79;13.22;NA;NA;ND;NA;NA;NA;
1;12;24.05;15.5;16.02;ND;13.87;15.45;NA;NA;ND;NA;NA;NA;
1;13;28.35;20.43;10.78;ND;17.14;10.96;NA;NA;ND;NA;NA;NA;
1;14;17.89;15.38;10.99;ND;18.62;25.49;NA;NA;ND;NA;NA;NA;
1;15;19.04;14.86;15.3;ND;19.36;14.43;NA;NA;ND;NA;NA;NA;
1;16;24.6;11.83;15.14;ND;20.91;11.28;NA;NA;ND;NA;NA;NA;
1;17;12.39;4.32;16.81;ND;16.93;19;NA;NA;ND;NA;NA;NA;
1;18;14.17;18.97;19.84;ND;25.13;29.25;NA;NA;ND;NA;NA;NA;
1;19;18.23;12.51;19.95;ND;18.96;40;NA;NA;ND;NA;NA;NA;
1;20;14.46;13.07;21.06;ND;19.5;23.87;NA;NA;ND;NA;NA;NA;
1;21;19.01;9.75;14.83;ND;14.92;30.93;NA;NA;ND;NA;NA;NA;
1;22;12.58;4.77;11.68;ND;10.5;8.12;NA;NA;ND;NA;NA;NA;
