DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;4.63;6.05;5.98;ND;50.07;11.98;NA;NA;ND;NA;NA;NA;
1;1;11.31;20.17;6.8;ND;24.83;13.34;NA;NA;ND;NA;NA;NA;
1;2;9.78;28.18;5.5;ND;13.76;10.17;NA;NA;ND;NA;NA;NA;
1;3;14.43;6.95;8.24;ND;6.44;7.24;NA;NA;ND;NA;NA;NA;
1;4;14.76;28.22;6.97;ND;5.53;8.5;NA;NA;ND;NA;NA;NA;
1;5;20.7;22.87;7.46;ND;13.44;8.3;NA;NA;ND;NA;NA;NA;
1;6;37;70.48;13.34;ND;36.19;16.28;NA;NA;ND;NA;NA;NA;
1;7;35.81;121.85;28.62;ND;55.98;19.32;NA;NA;ND;NA;NA;NA;
1;8;33.95;20.93;19.05;ND;83.92;25.97;NA;NA;ND;NA;NA;NA;
1;9;20.54;14.2;12.61;ND;24.94;11.57;NA;NA;ND;NA;NA;NA;
1;10;15.38;24.22;14.42;ND;14.17;8.58;NA;NA;ND;NA;NA;NA;
1;11;15.43;22.06;8.18;ND;10.04;18.63;NA;NA;ND;NA;NA;NA;
1;12;18.37;31.27;8.99;ND;10.09;ND;NA;NA;ND;NA;NA;NA;
1;13;13.31;30.05;5.86;ND;11.59;ND;NA;NA;ND;NA;NA;NA;
1;14;8.71;24.81;7.26;ND;10.36;ND;NA;NA;ND;NA;NA;NA;
1;15;22.42;24.3;4.63;ND;13.33;ND;NA;NA;ND;NA;NA;NA;
1;16;14.35;13.41;16.94;ND;15.84;10.82;NA;NA;ND;NA;NA;NA;
1;17;14.27;16.15;14.14;ND;24.44;23.37;NA;NA;ND;NA;NA;NA;
1;18;13.15;14.24;16.59;ND;6.82;3.84;NA;NA;ND;NA;NA;NA;
1;19;3.32;5.26;10.35;ND;4.6;0;NA;NA;ND;NA;NA;NA;
1;20;6.21;6;10.5;ND;7.55;0.03;NA;NA;ND;NA;NA;NA;
1;21;8.65;2.57;4.27;ND;15.51;1.74;NA;NA;ND;NA;NA;NA;
1;22;6.22;ND;3.35;ND;20.61;5.27;NA;NA;ND;NA;NA;NA;
1;23;3.32;ND;7.05;ND;5.33;7.84;NA;NA;ND;NA;NA;NA;
2;0;7.3;8.59;5.57;ND;9.07;15.74;NA;NA;ND;NA;NA;NA;
2;1;3.91;13.68;3.88;ND;14.03;7.76;NA;NA;ND;NA;NA;NA;
2;2;1.6;2.6;0.41;ND;16.96;9.35;NA;NA;ND;NA;NA;NA;
2;3;2.24;19.36;7.67;ND;10.2;10.62;NA;NA;ND;NA;NA;NA;
2;4;7.74;28.58;2.46;ND;9.94;7.95;NA;NA;ND;NA;NA;NA;
2;5;7.67;18.17;4.53;ND;16.56;8.15;NA;NA;ND;NA;NA;NA;
2;6;24.68;53.47;6.64;ND;27.42;17.2;NA;NA;ND;NA;NA;NA;
2;7;25.56;88.11;21.36;ND;53.67;15.43;NA;NA;ND;NA;NA;NA;
2;8;13.19;14.39;10.55;ND;42.7;16.25;NA;NA;ND;NA;NA;NA;
2;9;15.47;15.28;8.53;ND;17.08;8.58;NA;NA;ND;NA;NA;NA;
2;10;10.18;21.57;7.65;ND;2.55;6.43;NA;NA;ND;NA;NA;NA;
2;11;19.71;25.93;14.14;ND;4.29;10.24;NA;NA;ND;NA;NA;NA;
2;12;4.82;41.91;3.34;ND;5.68;14.05;NA;NA;ND;NA;NA;NA;
2;13;12.02;22.64;1.69;ND;12.08;8;NA;NA;ND;NA;NA;NA;
2;14;11.41;25.92;2.56;ND;30.87;6.96;NA;NA;ND;NA;NA;NA;
2;15;12.97;17.29;6.15;ND;11.07;11.48;NA;NA;ND;NA;NA;NA;
2;16;9.41;32.27;12.61;ND;14.68;13.92;NA;NA;ND;NA;NA;NA;
2;17;11.89;19.17;10.79;ND;6.96;7.36;NA;NA;ND;NA;NA;NA;
2;18;14.67;16.27;24.92;ND;22.58;5.78;NA;NA;ND;NA;NA;NA;
2;19;9.15;14.23;7.93;ND;21.92;2.02;NA;NA;ND;NA;NA;NA;
2;20;11.6;18.19;15.85;ND;21.1;8.99;NA;NA;ND;NA;NA;NA;
2;21;7.74;6.97;13.8;ND;3.8;10.54;NA;NA;ND;NA;NA;NA;
2;22;9.75;5.48;12.92;ND;28.51;12.69;NA;NA;ND;NA;NA;NA;
2;23;8.5;8.98;7.02;ND;30.31;8.32;NA;NA;ND;NA;NA;NA;
3;0;10.91;5.76;19.95;ND;19.27;7.67;NA;NA;ND;NA;NA;NA;
3;1;4.78;3.74;7.38;ND;9.49;9.07;NA;NA;ND;NA;NA;NA;
3;2;8.48;11.97;2.08;ND;1.6;7.4;NA;NA;ND;NA;NA;NA;
