DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;2.39;1.4;2.53;ND;4.13;1.72;ND;4.73;ND;NA;NA;NA;
1;1;2.54;1.57;ND;ND;ND;2.14;ND;17.17;ND;NA;NA;NA;
1;2;2.28;1.39;2.1;ND;4.22;3.08;ND;10.17;ND;NA;NA;NA;
1;3;4.97;1.68;3.29;ND;6.66;3.52;ND;5.72;ND;NA;NA;NA;
1;4;5.88;2.25;3.21;ND;2.23;2.5;ND;5.27;ND;NA;NA;NA;
1;5;7.17;3.48;2.68;ND;3.62;2.7;ND;8.66;ND;NA;NA;NA;
1;6;8.32;6.13;5.89;ND;5.81;4.12;ND;8.39;ND;NA;NA;NA;
1;7;9.77;4.66;9.11;ND;8.71;5.03;ND;27.45;ND;NA;NA;NA;
1;8;7.5;2.58;5.37;ND;6.22;3.8;ND;38.76;ND;NA;NA;NA;
1;9;4.32;2.82;5.16;ND;4.04;1.64;ND;19.98;ND;NA;NA;NA;
1;10;4.17;3.12;6.78;ND;1.8;1.39;ND;5.31;ND;NA;NA;NA;
1;11;2.34;3.11;5.17;NA;3.03;ND;ND;4.17;ND;NA;NA;NA;
1;12;3.68;2.45;4.28;NA;ND;ND;ND;ND;ND;NA;NA;NA;
1;13;2.32;1.25;2.15;NA;2.43;0.15;ND;ND;ND;NA;NA;NA;
1;14;1.98;1.13;2.02;NA;2.46;ND;ND;ND;ND;NA;NA;NA;
1;15;1.59;0.87;2.43;NA;1.32;ND;ND;0;ND;NA;NA;NA;
1;16;1.82;0.99;3.51;NA;2.25;2.03;ND;0;ND;NA;NA;NA;
1;17;1.96;0.78;3.94;NA;2.39;1.18;ND;0.06;ND;NA;NA;NA;
1;18;2.28;1.06;4.99;NA;2.73;1.76;ND;0.08;ND;NA;NA;NA;
1;19;2.57;1.23;4.32;NA;3.53;1.76;ND;0.96;ND;NA;NA;NA;
1;20;3.29;1.83;4.07;NA;3.13;1.25;ND;0.69;ND;NA;NA;NA;
1;21;4.4;1.88;3.58;NA;6.43;1.21;ND;0.68;ND;NA;NA;NA;
1;22;3.55;ND;3.84;NA;6.06;2.3;ND;0.8;ND;NA;NA;NA;
1;23;3.35;ND;3.83;NA;1.68;2.39;ND;2.09;ND;NA;NA;NA;
2;0;3.04;1.74;2.88;NA;9.2;2.32;ND;1.92;ND;NA;NA;NA;
2;1;ND;ND;6.52;NA;5.98;ND;ND;9.09;ND;NA;NA;NA;
2;2;2.1;1.22;2.78;NA;4.51;1.65;ND;11.7;ND;NA;NA;NA;
2;3;2.44;1.28;2.83;NA;14.71;2.07;ND;8.46;ND;NA;NA;NA;
2;4;2.86;1.13;2.63;NA;9.17;1.6;ND;7.22;ND;NA;NA;NA;
2;5;5.94;1.68;2.89;NA;6.95;2.03;ND;7;ND;NA;NA;NA;
2;6;8.72;4.41;5.28;NA;9.25;2.63;ND;11.96;ND;NA;NA;NA;
2;7;8.55;4.54;6.52;NA;12.01;2.93;ND;44.17;ND;NA;NA;NA;
2;8;4.64;2.69;5.43;NA;7.41;3.13;ND;17.02;ND;NA;NA;NA;
2;9;3.36;1.91;5.2;NA;3.58;2.12;ND;5.18;ND;NA;NA;NA;
2;10;2.46;1.34;3.91;NA;2.49;1.68;ND;0.6;ND;NA;NA;NA;
2;11;2.11;1.35;3.4;NA;2.13;1.65;ND;0.1;ND;NA;NA;NA;
2;12;1.73;0.74;3.11;NA;2.05;1.81;ND;0;ND;NA;NA;NA;
2;13;1.65;0.61;2.97;NA;4.14;1.66;ND;0.19;ND;NA;NA;NA;
