DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;ND;0.34;0.82;NA;0.28;0.68;0.69;NA;ND;NA;NA;NA;
1;1;0.41;0.34;0.81;NA;0.2;0.68;0.58;NA;ND;NA;NA;NA;
1;2;0.31;0.31;0.63;NA;0.05;0.48;0.64;NA;ND;NA;NA;NA;
1;3;0.14;0.17;0.54;NA;0.01;0.34;0.54;NA;ND;NA;NA;NA;
1;4;0.19;0.2;0.55;NA;0.06;0.41;0.51;NA;ND;NA;NA;NA;
1;5;0.29;0.36;0.63;NA;0.21;0.44;0.53;NA;ND;NA;NA;NA;
1;6;0.98;0.74;1.76;NA;1.16;1.05;0.64;NA;ND;NA;NA;NA;
1;7;1.61;0.93;3.15;NA;1.64;2.45;0.72;NA;ND;NA;NA;NA;
1;8;1.66;0.9;2.72;NA;2.18;2.49;1.42;NA;ND;NA;NA;NA;
1;9;1.81;0.84;2.88;NA;1.72;3.09;1.33;NA;ND;NA;NA;NA;
1;10;1.75;0.77;3.17;NA;1.46;2.66;1.1;NA;ND;NA;NA;NA;
1;11;1.19;0.79;2.37;NA;0.71;1.89;1.14;NA;ND;NA;NA;NA;
1;12;0.58;0.58;1.87;NA;0.6;1.34;1.02;NA;ND;NA;NA;NA;
1;13;0.38;0.39;1.55;NA;0.7;0.86;0.95;NA;ND;NA;NA;NA;
1;14;0.29;0.32;1.33;NA;0.74;0.98;1.07;NA;ND;NA;NA;NA;
1;15;0.29;0.31;1.36;NA;0.78;1.11;1;NA;ND;NA;NA;NA;
1;16;0.24;0.3;1.35;NA;0.73;0.89;1;NA;ND;NA;NA;NA;
1;17;0.25;0.41;1.84;NA;0.48;1.02;0.99;NA;ND;NA;NA;NA;
1;18;0.56;0.53;2.05;NA;0.62;0.94;1.02;NA;ND;NA;NA;NA;
1;19;1.09;0.65;1.59;NA;0.87;1.07;0.95;NA;ND;NA;NA;NA;
1;20;0.61;0.55;1.3;NA;0.48;0.8;0.95;NA;ND;NA;NA;NA;
1;21;0.65;0.56;1.1;NA;0.46;0.65;1.08;NA;ND;NA;NA;NA;
1;22;0.74;0.62;1.26;NA;0.42;1.08;1.03;NA;ND;NA;NA;NA;
1;23;0.73;0.41;1.13;NA;0.59;1.24;0.87;NA;ND;NA;NA;NA;
2;0;0.58;0.29;1.09;NA;0.46;1.12;1;NA;ND;NA;NA;NA;
2;1;0.53;0.26;0.97;NA;0.22;0.8;0.9;NA;ND;NA;NA;NA;
2;2;0.37;0.32;0.64;NA;0.04;0.47;0.58;NA;ND;NA;NA;NA;
2;3;0.29;0.34;0.68;NA;0.05;0.4;0.58;NA;ND;NA;NA;NA;
2;4;0.24;0.35;0.62;NA;0.07;0.37;0.69;NA;ND;NA;NA;NA;
2;5;0.3;0.38;0.68;NA;0.27;0.51;0.76;NA;ND;NA;NA;NA;
2;6;0.78;0.96;1.1;NA;0.85;1.4;1.1;NA;ND;NA;NA;NA;
2;7;1.51;1.84;1.88;NA;1.45;2.3;1.34;NA;ND;NA;NA;NA;
2;8;0.88;1.08;2.6;NA;1.69;2.22;1.3;NA;ND;NA;NA;NA;
2;9;0.8;0.68;2.27;NA;0.9;1.84;1.16;NA;ND;NA;NA;NA;
2;10;0.53;0.5;1.43;NA;0.6;1;0.93;NA;ND;NA;NA;NA;
2;11;0.73;ND;1.68;NA;0.47;1.11;0.75;NA;ND;NA;NA;NA;
2;12;0.82;0.55;1.65;NA;0.48;1.04;0.64;NA;ND;NA;NA;NA;
2;13;0.98;0.63;1.45;NA;0.4;0.99;0.6;NA;ND;NA;NA;NA;
2;14;0.73;0.5;1.64;NA;0.18;0.94;0.64;NA;ND;NA;NA;NA;
2;15;1.05;0.53;1.44;NA;0.25;0.96;0.66;NA;ND;NA;NA;NA;
2;16;1.16;0.59;1.81;NA;0.27;0.97;0.66;NA;ND;NA;NA;NA;
2;17;1.13;0.76;1.58;NA;0.25;0.94;0.67;NA;ND;NA;NA;NA;
2;18;1.25;0.93;2.18;NA;1.06;1.01;0.93;NA;ND;NA;NA;NA;
2;19;0.94;0.8;2.27;NA;1.94;2.64;1.54;NA;ND;NA;NA;NA;
2;20;0.94;1.23;2.29;NA;1.99;2.21;2.2;NA;ND;NA;NA;NA;
2;21;1.33;1.92;2.51;NA;2.52;1.91;0.95;NA;ND;NA;NA;NA;
2;22;1.71;2.09;1.95;NA;2.16;1.93;1.66;NA;ND;NA;NA;NA;
2;23;1.91;1.53;1.62;NA;1.98;1.19;1.34;NA;ND;NA;NA;NA;
3;0;ND;ND;1.42;NA;1.7;1.56;1.16;NA;ND;NA;NA;NA;
3;1;0.76;1.58;0.95;NA;1.51;0.79;0.84;NA;ND;NA;NA;NA;
3;2;0.6;1.22;1.15;NA;1.09;1.09;0.76;NA;ND;NA;NA;NA;
3;3;0.54;0.66;1.04;NA;0.64;1.04;0.58;NA;ND;NA;NA;NA;
3;4;0.69;0.71;1.11;NA;0.74;1.2;0.58;NA;ND;NA;NA;NA;
3;5;0.7;1.22;1.31;NA;1.28;1.42;0.67;NA;ND;NA;NA;NA;
3;6;1.9;2.4;1.78;NA;2.38;2.68;0.83;NA;ND;NA;NA;NA;
3;7;3.21;2.32;2.97;NA;1.65;2.94;0.8;NA;ND;NA;NA;NA;
3;8;0.93;1.22;2.17;NA;0.86;1.62;0.65;NA;ND;NA;NA;NA;
