DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;0.38;0.21;0.47;NA;0.44;0.42;ND;NA;ND;NA;NA;NA;
1;1;0.31;0.13;0.49;NA;0.33;0.31;0.31;NA;ND;NA;NA;NA;
1;2;0.29;0.13;0.49;NA;0.24;0.28;0.24;NA;ND;NA;NA;NA;
1;3;0.31;0.16;0.47;NA;0.23;0.28;0.24;NA;ND;NA;NA;NA;
1;4;0.31;0.16;0.48;NA;0.26;0.29;0.3;NA;ND;NA;NA;NA;
1;5;0.36;0.18;0.61;NA;0.32;0.39;0.44;NA;ND;NA;NA;NA;
1;6;0.52;0.23;0.61;NA;0.63;0.48;0.42;NA;ND;NA;NA;NA;
1;7;0.54;0.59;0.88;NA;0.66;0.68;0.62;NA;ND;NA;NA;NA;
1;8;0.73;0.44;1.06;NA;0.84;0.83;0.54;NA;ND;NA;NA;NA;
1;9;0.51;0.39;0.9;NA;1.03;0.96;0.59;NA;ND;NA;NA;NA;
1;10;0.57;0.45;0.87;NA;0.72;0.79;0.87;NA;ND;NA;NA;NA;
1;11;0.62;0.48;0.81;NA;0.75;0.69;0.59;NA;ND;NA;NA;NA;
1;12;0.63;0.37;1.22;NA;0.92;0.74;0.71;NA;ND;NA;NA;NA;
1;13;0.5;0.43;1;NA;0.85;0.72;0.44;NA;ND;NA;NA;NA;
1;14;0.34;0.28;0.68;NA;0.71;0.68;0.5;NA;ND;NA;NA;NA;
1;15;0.36;0.24;0.69;NA;0.64;0.62;0.57;NA;ND;NA;NA;NA;
1;16;0.49;0.28;0.9;NA;0.68;0.6;0.52;NA;ND;NA;NA;NA;
1;17;0.63;0.29;0.93;NA;0.68;0.58;0.49;NA;ND;NA;NA;NA;
1;18;0.7;0.32;0.99;NA;0.93;0.74;0.54;NA;ND;NA;NA;NA;
1;19;0.79;0.49;1.01;NA;1;0.77;0.56;NA;ND;NA;NA;NA;
1;20;0.65;0.5;1.31;NA;1.13;0.68;0.58;NA;ND;NA;NA;NA;
1;21;0.61;0.4;1.27;NA;0.89;0.85;0.86;NA;ND;NA;NA;NA;
1;22;0.56;0.51;0.88;NA;0.51;0.71;0.5;NA;ND;NA;NA;NA;
1;23;0.52;0.47;0.66;NA;0.44;0.73;0.34;NA;ND;NA;NA;NA;
2;0;ND;0.4;ND;NA;ND;ND;0.29;NA;ND;NA;NA;NA;
2;1;0.69;0.41;0.51;NA;0.33;0.34;0.27;NA;ND;NA;NA;NA;
2;2;0.69;0.26;0.55;NA;0.3;0.38;0.29;NA;ND;NA;NA;NA;
2;3;0.68;0.19;0.58;NA;0.33;0.35;0.35;NA;ND;NA;NA;NA;
2;4;0.55;0.23;0.64;NA;0.39;0.4;0.35;NA;ND;NA;NA;NA;
2;5;0.52;0.3;0.65;NA;0.54;0.61;0.47;NA;ND;NA;NA;NA;
2;6;0.56;0.57;0.83;NA;0.86;0.9;0.89;NA;ND;NA;NA;NA;
2;7;0.73;0.54;1.01;NA;0.92;0.96;0.58;NA;ND;NA;NA;NA;
2;8;0.62;0.46;0.92;NA;0.7;0.73;0.49;NA;ND;NA;NA;NA;
2;9;0.59;0.38;0.85;NA;0.49;0.56;0.35;NA;ND;NA;NA;NA;
2;10;0.51;0.39;0.87;NA;0.53;0.42;0.28;NA;ND;NA;NA;NA;
2;11;0.47;0.37;0.79;NA;0.76;0.64;0.44;NA;ND;NA;NA;NA;
2;12;0.39;0.32;0.61;NA;0.71;0.54;0.57;NA;ND;NA;NA;NA;
2;13;0.38;0.33;0.65;NA;0.57;0.47;0.46;NA;ND;NA;NA;NA;
2;14;0.39;0.29;0.61;NA;0.56;0.56;0.4;NA;ND;NA;NA;NA;
2;15;0.38;0.29;0.7;NA;0.58;0.69;0.44;NA;ND;NA;NA;NA;
2;16;0.42;0.35;0.8;NA;0.57;0.51;0.46;NA;ND;NA;NA;NA;
2;17;0.55;0.27;0.81;NA;0.52;0.62;0.61;NA;ND;NA;NA;NA;
