DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;14.6;ND;15.21;NA;23.41;35.12;NA;NA;ND;NA;NA;NA;
1;1;4.91;ND;12.58;NA;24.06;23.72;NA;NA;ND;NA;NA;NA;
1;2;9.15;ND;14.26;NA;12.36;20.08;NA;NA;ND;NA;NA;NA;
1;3;3.68;ND;11.3;NA;24.66;14.63;NA;NA;ND;NA;NA;NA;
1;4;9.34;ND;5.42;NA;15.77;13.91;NA;NA;ND;NA;NA;NA;
1;5;11.07;ND;16.88;NA;22.91;21.5;NA;NA;ND;NA;NA;NA;
1;6;24.57;ND;15.81;NA;43.77;34.51;NA;NA;ND;NA;NA;NA;
1;7;22.45;ND;31.99;NA;93.93;60.84;NA;NA;ND;NA;NA;NA;
1;8;22.41;ND;70.41;NA;58.56;63.96;NA;NA;ND;NA;NA;NA;
1;9;24.05;ND;60.51;NA;49.74;27.86;NA;NA;ND;NA;NA;NA;
1;10;28.97;ND;50.18;NA;26.05;27.91;NA;NA;ND;NA;NA;NA;
1;11;25.61;ND;25.15;NA;23.23;26.11;NA;NA;ND;NA;NA;NA;
1;12;19.35;ND;19.03;NA;25.11;22.35;NA;NA;ND;NA;NA;NA;
1;13;4.68;ND;16.92;NA;35.12;26.75;NA;NA;ND;NA;NA;NA;
1;14;11.07;ND;12.02;NA;27.8;17.48;NA;NA;ND;NA;NA;NA;
1;15;10.03;ND;10.01;NA;12.63;12.81;NA;NA;ND;NA;NA;NA;
1;16;12.89;ND;22.6;NA;17.91;24.58;NA;NA;ND;NA;NA;NA;
1;17;13.79;5.57;20.52;NA;11.75;13.28;NA;NA;ND;NA;NA;NA;
1;18;4.7;14.61;11.73;NA;14.89;1.4;NA;NA;ND;NA;NA;NA;
1;19;8.49;8.64;17.57;NA;11.74;17.49;NA;NA;ND;NA;NA;NA;
1;20;17.85;6.92;17.03;NA;41.11;11.74;NA;NA;ND;NA;NA;NA;
1;21;21.88;3.76;16.88;NA;34.23;32.55;NA;NA;ND;NA;NA;NA;
1;22;18.81;23.21;28.16;NA;35.99;31.66;NA;NA;ND;NA;NA;NA;
1;23;ND;15.72;24.44;NA;ND;31.42;NA;NA;ND;NA;NA;NA;
2;0;12.32;24.66;28.47;NA;38.5;33.78;NA;NA;ND;NA;NA;NA;
2;1;10.74;11.36;15.78;NA;29.19;26.55;NA;NA;ND;NA;NA;NA;
2;2;12.99;39;8.4;NA;29.24;18.17;NA;NA;ND;NA;NA;NA;
2;3;1.38;30.22;11.97;NA;32.52;16.5;NA;NA;ND;NA;NA;NA;
2;4;16.83;35.71;16.01;NA;46.83;24.89;NA;NA;ND;NA;NA;NA;
2;5;25.09;29.64;21.14;NA;44.56;29.07;NA;NA;ND;NA;NA;NA;
2;6;25.81;20.22;23;NA;45.06;27.65;NA;NA;ND;NA;NA;NA;
2;7;19.71;28.04;26.78;NA;78.15;52.16;NA;NA;ND;NA;NA;NA;
2;8;41.17;34.43;54.57;NA;88.81;93.26;NA;NA;ND;NA;NA;NA;
2;9;35.41;23.79;67.09;NA;58.92;67.27;NA;NA;ND;NA;NA;NA;
2;10;28.34;13.67;21.78;NA;13.6;10.2;NA;NA;ND;NA;NA;NA;
2;11;ND;11.33;8.13;NA;6.98;10.02;NA;NA;ND;NA;NA;NA;
2;12;ND;6.32;6.22;NA;14.72;9.38;NA;NA;ND;NA;NA;NA;
2;13;ND;11.92;13.59;NA;7.2;9.59;NA;NA;ND;NA;NA;NA;
2;14;ND;17.67;20.75;NA;19.79;8.86;NA;NA;ND;NA;NA;NA;
2;15;ND;12.11;18.36;NA;25.68;24.47;NA;NA;ND;NA;NA;NA;
2;16;ND;19.94;12.11;NA;11.11;21.33;NA;NA;ND;NA;NA;NA;
2;17;ND;18.89;14.32;NA;22.06;10.96;NA;NA;ND;NA;NA;NA;
2;18;ND;29.45;16.12;NA;17.86;18.46;NA;NA;ND;NA;NA;NA;
2;19;ND;32.37;23.03;NA;24.82;22;NA;NA;ND;NA;NA;NA;
2;20;ND;15.59;19.86;NA;49.18;10.67;NA;NA;ND;NA;NA;NA;
2;21;ND;24.84;16.18;NA;49.33;18.89;NA;NA;ND;NA;NA;NA;
2;22;ND;14.34;26.03;NA;26.21;15.77;NA;NA;ND;NA;NA;NA;
2;23;ND;40.26;24.26;NA;ND;20.59;NA;NA;ND;NA;NA;NA;
3;0;ND;28.15;ND;NA;40.13;8.52;NA;NA;ND;NA;NA;NA;
3;1;ND;30.88;15.51;NA;11.91;23.32;NA;NA;ND;NA;NA;NA;
3;2;ND;19.48;15.13;NA;16.44;11.92;NA;NA;ND;NA;NA;NA;
3;3;ND;31.95;9.34;NA;18.04;13.13;NA;NA;ND;NA;NA;NA;
3;4;ND;34.36;12.74;NA;11.92;15.09;NA;NA;ND;NA;NA;NA;
3;5;ND;30.28;15.39;NA;22.64;17.82;NA;NA;ND;NA;NA;NA;
3;6;ND;13.03;14.36;NA;41.9;36.72;NA;NA;ND;NA;NA;NA;
3;7;ND;38.64;25.26;NA;54.87;49.9;NA;NA;ND;NA;NA;NA;
3;8;ND;44.52;53.71;NA;63.17;42.44;NA;NA;ND;NA;NA;NA;
3;9;ND;33.07;41.1;NA;32.86;26.6;NA;NA;ND;NA;NA;NA;
3;10;ND;26.6;26.26;NA;24.71;15.35;NA;NA;ND;NA;NA;NA;
3;11;ND;12.93;ND;NA;7.32;15.92;NA;NA;ND;NA;NA;NA;
3;12;ND;11.01;11.36;NA;18.65;15.88;NA;NA;ND;NA;NA;NA;
3;13;ND;20.52;7.94;NA;3.7;11.37;NA;NA;ND;NA;NA;NA;
3;14;ND;8.58;10.99;NA;9.43;9.25;NA;NA;ND;NA;NA;NA;
3;15;ND;9.18;12.51;NA;15.18;17.76;NA;NA;ND;NA;NA;NA;
3;16;ND;24.69;18.24;NA;9.3;14.46;NA;NA;ND;NA;NA;NA;
3;17;ND;16.33;15.19;NA;12.66;11.75;NA;NA;ND;NA;NA;NA;
3;18;ND;22.42;16.93;NA;21.18;13.5;NA;NA;ND;NA;NA;NA;
3;19;ND;19.56;20;NA;36.25;12.44;NA;NA;ND;NA;NA;NA;
3;20;ND;16.47;18.4;NA;39.33;23.66;NA;NA;ND;NA;NA;NA;
3;21;ND;14.87;ND;NA;39;31.17;NA;NA;ND;NA;NA;NA;
3;22;ND;8.78;28.86;NA;34.8;24.32;NA;NA;ND;NA;NA;NA;
3;23;ND;22.97;26.99;NA;ND;17.1;NA;NA;ND;NA;NA;NA;
4;0;ND;32.4;32.78;NA;16.2;22.69;NA;NA;ND;NA;NA;NA;
4;1;ND;20.73;20.79;NA;11.39;12.11;NA;NA;ND;NA;NA;NA;
4;2;ND;23.53;17.5;NA;15.44;11.99;NA;NA;ND;NA;NA;NA;
4;3;ND;20.22;4.18;NA;6.69;8.78;NA;NA;ND;NA;NA;NA;
4;4;ND;24.66;4.03;NA;12.66;7.93;NA;NA;ND;NA;NA;NA;
