DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;0.57;ND;ND;NA;ND;0.86;0.26;NA;ND;NA;NA;NA;
1;1;0.49;0.35;0.32;NA;0.62;0.78;0.26;NA;ND;NA;NA;NA;
1;2;0.49;0.31;0.35;NA;0.67;0.61;0.27;NA;ND;NA;NA;NA;
1;3;0.46;0.29;0.36;NA;0.64;0.58;0.27;NA;ND;NA;NA;NA;
1;4;0.42;0.3;0.39;NA;0.62;0.6;0.29;NA;ND;NA;NA;NA;
1;5;0.48;0.42;0.46;NA;0.85;0.8;0.61;NA;ND;NA;NA;NA;
1;6;0.83;0.68;0.71;NA;1.72;1.44;1.52;NA;ND;NA;NA;NA;
1;7;0.99;1.02;1.14;NA;1.56;1.92;0.92;NA;ND;NA;NA;NA;
1;8;1.24;0.83;1.49;NA;1.17;1.37;0.84;NA;ND;NA;NA;NA;
1;9;0.61;0.61;1.13;NA;0.98;0.97;0.37;NA;ND;NA;NA;NA;
1;10;0.39;0.6;0.81;NA;0.79;0.85;0.4;NA;ND;NA;NA;NA;
1;11;0.31;0.58;0.64;NA;0.73;0.65;0.39;NA;ND;NA;NA;NA;
1;12;0.38;0.67;ND;NA;0.91;0.65;0.51;NA;ND;NA;NA;NA;
1;13;0.35;0.65;ND;NA;1.09;0.77;0.62;NA;ND;NA;NA;NA;
1;14;0.37;0.64;0.45;NA;0.86;0.69;0.46;NA;ND;NA;NA;NA;
1;15;0.37;0.66;0.71;NA;0.88;0.66;0.48;NA;ND;NA;NA;NA;
1;16;0.39;0.63;0.87;NA;0.94;0.65;0.54;NA;ND;NA;NA;NA;
1;17;0.43;0.6;0.98;NA;0.92;0.66;0.6;NA;ND;NA;NA;NA;
1;18;0.53;0.65;1.3;NA;0.93;1.1;0.6;NA;ND;NA;NA;NA;
1;19;0.56;0.58;1.35;NA;0.91;1.28;0.5;NA;ND;NA;NA;NA;
1;20;0.71;0.59;1.01;NA;0.95;1.15;0.39;NA;ND;NA;NA;NA;
1;21;0.61;0.47;0.88;NA;0.65;0.93;0.33;NA;ND;NA;NA;NA;
1;22;0.52;0.42;0.74;NA;0.59;1.14;0.34;NA;ND;NA;NA;NA;
1;23;0.76;0.46;0.74;NA;0.49;0.88;0.46;NA;ND;NA;NA;NA;
2;0;ND;0.35;0.56;NA;0.39;ND;ND;NA;ND;NA;NA;NA;
2;1;0.5;0.36;0.34;NA;0.35;0.41;0.22;NA;ND;NA;NA;NA;
2;2;0.46;0.38;0.29;NA;0.3;0.35;0.22;NA;ND;NA;NA;NA;
2;3;0.47;0.37;0.32;NA;0.4;0.42;0.22;NA;ND;NA;NA;NA;
2;4;0.47;0.32;0.37;NA;0.53;0.41;0.23;NA;ND;NA;NA;NA;
2;5;0.53;0.51;0.47;NA;0.8;0.6;0.27;NA;ND;NA;NA;NA;
2;6;0.89;0.94;1.28;NA;1.49;1.26;0.47;NA;ND;NA;NA;NA;
2;7;1.23;1.43;1.62;NA;1.53;1.59;0.4;NA;ND;NA;NA;NA;
2;8;1.3;1.23;1.29;NA;0.89;1.36;0.38;NA;ND;NA;NA;NA;
2;9;1.25;0.93;1.19;NA;0.53;0.77;0.3;NA;ND;NA;NA;NA;
2;10;0.91;0.76;0.85;NA;0.54;0.62;0.29;NA;ND;NA;NA;NA;
2;11;0.61;0.64;0.76;NA;0.81;0.95;0.36;NA;ND;NA;NA;NA;
2;12;0.46;0.75;0.78;NA;1.13;0.89;0.53;NA;ND;NA;NA;NA;
2;13;0.39;0.71;1.08;NA;1.08;0.86;0.76;NA;ND;NA;NA;NA;
2;14;0.41;0.6;1.02;NA;0.73;0.96;0.72;NA;ND;NA;NA;NA;
2;15;0.49;0.68;0.95;NA;0.73;0.88;0.65;NA;ND;NA;NA;NA;
2;16;0.78;0.59;1.05;NA;0.99;0.64;0.59;NA;ND;NA;NA;NA;
2;17;0.7;0.79;1.49;NA;1.21;0.76;0.8;NA;ND;NA;NA;NA;
2;18;0.9;0.95;1.46;NA;1.52;1.37;0.81;NA;ND;NA;NA;NA;
2;19;1.05;1.29;1.64;NA;1.73;1.71;1.13;NA;ND;NA;NA;NA;
2;20;1.11;0.85;1.74;NA;2.26;1.83;1.7;NA;ND;NA;NA;NA;
2;21;1.06;0.62;1.17;NA;1.91;2.75;1.41;NA;ND;NA;NA;NA;
2;22;0.69;0.38;1.32;NA;1.9;2.37;0.77;NA;ND;NA;NA;NA;
2;23;0.46;0.47;1.45;NA;0.91;1.71;0.76;NA;ND;NA;NA;NA;
3;0;0.42;ND;ND;NA;ND;1.2;1.04;NA;ND;NA;NA;NA;
3;1;0.45;0.55;1.02;NA;1.29;1.51;0.71;NA;ND;NA;NA;NA;
3;2;0.51;0.52;1.08;NA;1.31;1.54;0.53;NA;ND;NA;NA;NA;
