DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;5.14;6.67;6.01;NA;2.37;0.92;30.13;23.89;13.89;NA;NA;NA;
1;1;8.8;13.68;19.09;NA;2.96;0.77;29.62;19.51;ND;NA;NA;NA;
1;2;6.94;ND;ND;NA;ND;1.13;25.03;13.44;3.72;NA;NA;NA;
1;3;6.65;17.62;3.07;NA;2.19;0.73;28.42;7.18;3.72;NA;NA;NA;
1;4;5.63;13.49;0.27;NA;4.02;0.86;28.03;5.12;3.74;NA;NA;NA;
1;5;4.5;7.3;0.19;NA;0.98;0.67;11.96;1.68;5.04;NA;NA;NA;
1;6;5.19;4.6;1.49;NA;3.73;2.44;5.22;3.05;6.67;NA;NA;NA;
1;7;13.51;12.19;6.12;NA;8.04;5.92;16.49;9.27;11.18;NA;NA;NA;
1;8;20.36;21.56;11.91;NA;26.58;18.16;38.83;16.78;24.33;NA;NA;NA;
1;9;44.94;38.41;16.35;NA;25;20.88;58.46;31.08;24.96;NA;NA;NA;
1;10;68.48;50.98;45.9;NA;40.87;47.33;61.13;ND;30.52;NA;NA;NA;
1;11;65.82;49.43;64.07;NA;68.71;80.28;60.42;ND;41.35;NA;NA;NA;
1;12;58.44;46.91;ND;NA;58.43;68.65;77.19;67.32;70.63;NA;NA;NA;
1;13;56.88;48.23;ND;NA;35.52;53;69.49;63.09;63.46;NA;NA;NA;
1;14;51.73;45.92;48.96;NA;38.45;48.71;75.47;ND;59.6;NA;NA;NA;
1;15;44.66;44.03;29.81;NA;25.57;39.56;76.59;ND;36.42;NA;NA;NA;
1;16;38.78;31.48;18.38;NA;24.52;33.95;47.37;ND;21.15;NA;NA;NA;
1;17;33.47;19.5;7.81;NA;20.44;15.51;27.39;23.25;15.8;NA;NA;NA;
1;18;22.53;13.52;0.91;NA;13.57;4.96;31.76;18.1;8.99;NA;NA;NA;
1;19;12.48;11.64;0.27;NA;9.9;2.91;28.11;16.61;12.85;NA;NA;NA;
1;20;5.8;10.41;0.12;NA;12.34;9.71;43.34;14.96;14.61;NA;NA;NA;
1;21;3.94;12.27;4.8;NA;29.22;9.66;50.02;14.15;17.29;NA;NA;NA;
1;22;8.92;12.38;7.68;NA;34.65;8.51;40.68;12.6;17.26;NA;NA;NA;
1;23;9.22;20.06;5.58;NA;30.32;8.1;25.2;9.89;6.2;NA;NA;NA;
2;0;3.33;19.42;7.86;NA;33.82;10.57;47.96;12.4;12.29;NA;NA;NA;
2;1;13.26;6.71;24.84;NA;41.92;31.25;ND;6.22;17.23;NA;NA;NA;
2;2;ND;14.39;27.04;NA;48.38;ND;54.33;7.52;23.24;NA;NA;NA;
2;3;15.82;15.81;22.52;NA;40.22;28.79;59.02;15.99;26.06;NA;NA;NA;
2;4;4.36;8.96;20.23;NA;24.63;31.37;52.24;4.42;24.94;NA;NA;NA;
2;5;3.86;7.01;15.66;NA;7.85;17.45;41.06;4.8;16.21;NA;NA;NA;
2;6;2.29;3.8;3.09;NA;3.88;7.6;40.42;3.31;9.67;NA;NA;NA;
2;7;4.71;3.55;4.46;NA;9.42;11.02;44.87;5.83;13;NA;NA;NA;
2;8;12.32;11.66;15.93;NA;32.72;25.61;50.27;14.66;19.02;NA;NA;NA;
2;9;26.84;22.01;19.97;NA;50.87;49.39;55.19;27.33;18.11;NA;NA;NA;
2;10;38.34;33.01;28.53;NA;50.8;55.62;60.19;44.49;18.27;NA;NA;NA;
2;11;51.51;46.72;35.6;NA;40.21;34.97;61.25;58;30.31;NA;NA;NA;
2;12;46.46;56.84;36.61;NA;21.07;30.57;45.3;70.14;47.64;NA;NA;NA;
2;13;31.98;46.39;9.69;NA;11.25;17.48;22.29;56.87;30.02;NA;NA;NA;
2;14;30.5;36.66;9.87;NA;21.18;14.36;23.47;44.07;13.93;NA;NA;NA;
2;15;30.04;29.35;14.14;NA;22.59;15.05;20.51;37.13;16.92;NA;NA;NA;
2;16;15.32;24.27;10.32;NA;17.08;24.77;34.02;21.49;12.96;NA;NA;NA;
2;17;9.65;18.38;2.64;NA;11.89;13.95;21.2;20.99;9.51;NA;NA;NA;
2;18;3.78;7.52;0.89;NA;1.16;6.12;17.5;9.54;6.71;NA;NA;NA;
2;19;3.47;5.66;1.04;NA;0.91;1.9;6.25;6.21;6.99;NA;NA;NA;
2;20;1.39;8.87;2.16;NA;1.6;1.89;2.64;1.55;8.33;NA;NA;NA;
2;21;2.59;7.64;2.46;NA;2.17;2.65;1.97;0.98;6.7;NA;NA;NA;
2;22;5.77;16.28;2.54;NA;2.14;1.54;9.67;0.19;6.34;NA;NA;NA;
2;23;14.86;15.66;0.29;NA;1.59;1.07;10.35;0.24;6.12;NA;NA;NA;
3;0;18.01;10.52;0.05;NA;1.74;1.2;1.53;ND;5.03;NA;NA;NA;
3;1;16;9.69;0.14;NA;0.75;1.19;3.58;0.07;ND;NA;NA;NA;
3;2;8.49;ND;ND;NA;ND;1.18;12.62;0.05;4.76;NA;NA;NA;
3;3;1.4;0.95;0.39;NA;0.46;0.94;21.7;0.09;4.18;NA;NA;NA;
3;4;0.9;1.37;0.92;NA;0.26;1.01;9.44;0.06;4.21;NA;NA;NA;
3;5;0.9;0.7;2.09;NA;1.37;0.74;2.24;0.12;4.5;NA;NA;NA;
3;6;1.99;2.15;1.93;NA;2.2;1.84;4.38;0.52;6.17;NA;NA;NA;
3;7;4.57;5.33;2.38;NA;3.28;3.35;14.54;1.88;10.55;NA;NA;NA;
3;8;10.98;11.91;7.72;NA;11.84;9.74;27.54;6.69;14.74;NA;NA;NA;
3;9;27.73;22.02;16.3;NA;17.38;19.84;50.36;16.13;19.2;NA;NA;NA;
3;10;36.74;30.48;25.36;NA;29.62;21.71;41.68;29.24;28.22;NA;NA;NA;
3;11;52.84;36.82;34.24;NA;40.67;38.22;36.1;54.19;45.24;NA;NA;NA;
3;12;50.18;42.82;40.14;NA;23.28;40.71;37.1;54.49;53.42;NA;NA;NA;
3;13;47.62;40.98;40.17;NA;19.03;24.44;46.99;56.15;31.9;NA;NA;NA;
3;14;44.56;36.59;17.95;NA;25.46;23;31.32;42.83;34.12;NA;NA;NA;
3;15;33.84;28.46;14.68;NA;32.84;22.33;28.43;30.52;33.95;NA;NA;NA;
3;16;27.96;22.79;8.11;NA;26.24;10.98;29.61;21.12;37.04;NA;NA;NA;
3;17;18.07;17.81;3.1;NA;9.39;4.69;18.61;17.7;33.16;NA;NA;NA;
3;18;12.46;17.56;3.7;NA;3.78;1.14;8.9;9.29;17.82;NA;NA;NA;
3;19;8.79;14.58;0.93;NA;3.03;1.1;8.67;3.09;11.36;NA;NA;NA;
3;20;7.13;17.28;1.38;NA;1.78;0.73;32.72;2.11;9.93;NA;NA;NA;
3;21;5.72;12.68;0.27;NA;2.44;1.18;30.05;4.02;9.23;NA;NA;NA;
3;22;6.65;16.47;2.99;NA;2.93;1.05;14.83;6.31;8.47;NA;NA;NA;
3;23;5.75;17.13;3.78;NA;2.22;1.05;19.27;8.22;6.16;NA;NA;NA;
4;0;7.71;17.51;0.41;NA;0.98;1.36;25.71;11.92;5.28;NA;NA;NA;
4;1;11.15;16.88;1.41;NA;0;1.12;ND;17.2;4.53;NA;NA;NA;
4;2;ND;14.74;2.82;NA;0.66;ND;15.03;20.06;4.31;NA;NA;NA;
4;3;6.97;15.08;0.36;NA;1.43;1.27;9.88;20.4;7.67;NA;NA;NA;
4;4;4.41;14.55;0;NA;2.77;1.55;3.89;23.05;3.48;NA;NA;NA;
4;5;4.46;12.05;2.34;NA;0;1.82;20.65;18.64;3.15;NA;NA;NA;
4;6;5.57;11.31;3.34;NA;0;2.08;18.84;15.84;5.25;NA;NA;NA;
4;7;9.18;11.47;5.72;NA;1.51;4.78;27.47;15.2;8.2;NA;NA;NA;
4;8;22.68;18.09;14.75;NA;10.67;15.49;31.49;15.54;20.8;NA;NA;NA;
4;9;31.27;26.07;26.1;NA;29.86;36.71;49.55;19.24;37.7;NA;NA;NA;
4;10;51.47;40.54;34.47;NA;39.14;47.24;71.97;35.14;39.78;NA;NA;NA;
