DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;3.46;11.97;7.18;NA;8.69;6.27;ND;1.44;ND;NA;NA;NA;
1;1;2.6;ND;ND;NA;ND;6.69;ND;1.46;ND;NA;NA;NA;
1;2;2.31;3.49;8.16;NA;7.66;6.76;ND;1.45;ND;NA;NA;NA;
1;3;2.26;2.83;6.91;NA;7.02;6.35;ND;3.13;ND;NA;NA;NA;
1;4;2.2;4.66;13.69;NA;6.85;5.26;ND;3.54;ND;NA;NA;NA;
1;5;2.8;5.21;11.6;NA;7.34;5.17;ND;3.27;ND;NA;NA;NA;
1;6;3.92;4.54;7.86;NA;10.65;7.39;ND;3.43;ND;NA;NA;NA;
1;7;5.64;6.07;11.82;NA;11.96;10.6;ND;8.81;ND;NA;NA;NA;
1;8;10.97;6.27;15.56;NA;7.25;8.49;ND;12.47;ND;NA;NA;NA;
1;9;5.67;2.71;16.82;NA;11.98;10.01;ND;10.37;ND;NA;NA;NA;
1;10;3.21;2.3;7.75;NA;8.51;6.52;ND;ND;ND;NA;NA;NA;
1;11;2.53;2.15;5.7;NA;4.28;5.03;ND;ND;ND;NA;NA;NA;
1;12;2.38;2.11;ND;NA;4.32;4.53;ND;1.73;ND;NA;NA;NA;
1;13;1.64;1.71;ND;NA;4.28;2.97;ND;1.98;ND;NA;NA;NA;
1;14;1.58;1.12;3.69;NA;3.39;2.86;ND;ND;ND;NA;NA;NA;
1;15;1.45;1.04;5.39;NA;3.33;1.84;ND;1.04;ND;NA;NA;NA;
1;16;1.16;1.89;5.29;NA;3.22;2.41;ND;1.1;ND;NA;NA;NA;
1;17;1.07;2.15;4.95;NA;2.73;2.51;ND;1.03;ND;NA;NA;NA;
1;18;1.27;1.68;5.27;NA;2.84;3.34;ND;1.53;ND;NA;NA;NA;
1;19;1.49;2.06;5.1;NA;2.82;3.36;ND;1.26;ND;NA;NA;NA;
1;20;1.81;1.98;5.21;NA;3.57;3.17;ND;1.28;ND;NA;NA;NA;
1;21;1.86;1.98;4.59;NA;2.76;3.51;ND;1.09;ND;NA;NA;NA;
1;22;1.26;1.47;3.69;NA;2.39;3.78;ND;1.15;ND;NA;NA;NA;
1;23;1.54;3.57;3.13;NA;2.81;3.21;ND;1.25;ND;NA;NA;NA;
2;0;2;2.32;3.26;NA;2.51;3.2;ND;1.45;ND;NA;NA;NA;
2;1;ND;4.32;3.33;NA;2.6;ND;ND;3.24;ND;NA;NA;NA;
2;2;1.97;3.07;3.65;NA;2.14;4.41;ND;3.32;ND;NA;NA;NA;
2;3;2.06;2.69;3.63;NA;3.39;3.73;ND;2.15;ND;NA;NA;NA;
2;4;1.9;3.84;3.49;NA;7.46;2.64;ND;4.31;ND;NA;NA;NA;
2;5;2.28;4.69;4.11;NA;8.97;3.5;ND;4.19;ND;NA;NA;NA;
2;6;3.26;10.06;7.05;NA;9.65;5.05;ND;6.98;ND;NA;NA;NA;
2;7;5.24;25.71;8.1;NA;10.42;5.67;ND;10.2;ND;NA;NA;NA;
2;8;6.44;13.38;8.01;NA;5.79;5.86;ND;11.49;ND;NA;NA;NA;
2;9;7.87;7.69;11.34;NA;3.41;4.25;ND;6.92;ND;NA;NA;NA;
2;10;7.52;5.04;9.91;NA;3.41;2.45;ND;4;ND;NA;NA;NA;
2;11;5.39;2.6;7.93;NA;5.83;2.4;ND;2.79;ND;NA;NA;NA;
2;12;2.43;1.51;5.99;NA;4.56;3.53;ND;2.44;ND;NA;NA;NA;
2;13;1.9;2.83;5.88;NA;3.19;3.12;ND;2.44;ND;NA;NA;NA;
2;14;1.4;3.17;ND;NA;2.47;3.29;ND;2.02;ND;NA;NA;NA;
2;15;1.43;2.5;4.38;NA;3.15;3.1;ND;1.78;ND;NA;NA;NA;
2;16;1.81;2.28;3.34;NA;2.73;2.52;ND;2.02;ND;NA;NA;NA;
2;17;2.16;2.68;4.33;NA;3.39;2.62;ND;2.22;ND;NA;NA;NA;
2;18;2.61;5.54;4.9;NA;7.94;3.23;ND;2.64;ND;NA;NA;NA;
2;19;3.4;5.58;5.54;NA;9.83;4.04;ND;2.54;ND;NA;NA;NA;
2;20;3.16;3.6;6.07;NA;12.04;4.21;ND;3.05;ND;NA;NA;NA;
2;21;2.73;3.02;5.36;NA;14.14;6.08;ND;4.66;ND;NA;NA;NA;
2;22;2.01;2.34;5.31;NA;7.98;6.87;ND;5.25;ND;NA;NA;NA;
2;23;1.52;2.57;6.2;NA;8.92;6.69;ND;4.27;ND;NA;NA;NA;
3;0;1.68;10.45;5.61;NA;9.84;7.32;ND;3.71;ND;NA;NA;NA;
3;1;1.68;ND;7.48;NA;ND;7.39;ND;4.66;ND;NA;NA;NA;
3;2;1.76;7.77;8.64;NA;12.45;6.74;ND;4.64;ND;NA;NA;NA;
3;3;2.49;8.15;7.48;NA;13.82;5.85;ND;3.66;ND;NA;NA;NA;
3;4;5.57;7.93;6.1;NA;8.09;5.37;ND;4.75;ND;NA;NA;NA;
3;5;5.77;8.84;5.52;NA;10.7;4.67;ND;5.94;ND;NA;NA;NA;
3;6;5.57;12.03;5.93;NA;14.02;6.33;ND;4.93;ND;NA;NA;NA;
