DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;16.14;3.44;8.3;NA;17.55;14.33;NA;NA;ND;NA;NA;NA;
1;1;14.51;12.56;13.81;NA;18.22;21.63;NA;NA;ND;NA;NA;NA;
1;2;6.62;11.44;13.06;NA;8;9.5;NA;NA;ND;NA;NA;NA;
1;3;2.96;7.7;13.1;NA;17.73;12.57;NA;NA;ND;NA;NA;NA;
1;4;12.07;16.29;12.56;NA;6.28;10.17;NA;NA;ND;NA;NA;NA;
1;5;11.77;9.47;12.21;NA;10.07;8.35;NA;NA;ND;NA;NA;NA;
1;6;21.58;4.91;13.5;NA;20.41;11.29;NA;NA;ND;NA;NA;NA;
1;7;23.18;17.11;23.96;NA;32.44;17.76;NA;NA;ND;NA;NA;NA;
1;8;18.11;21.57;25.33;NA;35.61;27.11;NA;NA;ND;NA;NA;NA;
1;9;19.99;6.27;27.45;NA;20.16;23.03;NA;NA;ND;NA;NA;NA;
1;10;11.01;20.76;31.62;NA;27.35;27.93;NA;NA;ND;NA;NA;NA;
1;11;20.47;17.89;28;NA;28.48;31.21;NA;NA;ND;NA;NA;NA;
1;12;10.91;19.28;27.31;NA;43.71;28.9;NA;NA;ND;NA;NA;NA;
1;13;15.92;8.14;11.81;NA;27.79;23.24;NA;NA;ND;NA;NA;NA;
1;14;4.16;2.49;ND;NA;19.26;16.22;NA;NA;ND;NA;NA;NA;
1;15;7.68;11.39;ND;NA;24.11;21.67;NA;NA;ND;NA;NA;NA;
1;16;8.1;6.91;21.47;NA;16.82;10.13;NA;NA;ND;NA;NA;NA;
1;17;7.26;12.14;19.41;NA;22.75;12.23;NA;NA;ND;NA;NA;NA;
1;18;5.22;12.76;25.44;NA;19.57;25.69;NA;NA;ND;NA;NA;NA;
1;19;1.78;10.45;15.57;NA;24.46;14.9;NA;NA;ND;NA;NA;NA;
1;20;4.53;1.77;24.05;NA;20.07;18.47;NA;NA;ND;NA;NA;NA;
1;21;10.8;8.7;20.21;NA;23.15;16.38;NA;NA;ND;NA;NA;NA;
1;22;0.37;0.14;ND;NA;13.86;24.62;NA;NA;ND;NA;NA;NA;
1;23;ND;17.33;ND;NA;13.52;24.26;NA;NA;ND;NA;NA;NA;
2;0;1.4;11.18;6.05;NA;19.07;13.13;NA;NA;ND;NA;NA;NA;
2;1;21.47;10.87;14.3;NA;9.32;14.76;NA;NA;ND;NA;NA;NA;
2;2;10.92;13.25;8.89;NA;5.77;11.63;NA;NA;ND;NA;NA;NA;
2;3;17.99;11.3;11.38;NA;10.21;7.48;NA;NA;ND;NA;NA;NA;
2;4;22.27;3.34;7.99;NA;15.51;10.23;NA;NA;ND;NA;NA;NA;
2;5;17.55;16.61;7.68;NA;11.56;9.27;NA;NA;ND;NA;NA;NA;
2;6;22.67;20.13;18.89;NA;9.65;13.73;NA;NA;ND;NA;NA;NA;
2;7;20.04;20.39;29.29;NA;16.87;23.23;NA;NA;ND;NA;NA;NA;
2;8;20.73;24.92;21.93;NA;22.1;17.22;NA;NA;ND;NA;NA;NA;
2;9;31.62;14.25;28.57;NA;19.56;25.29;NA;NA;ND;NA;NA;NA;
2;10;30.04;12.42;35.92;NA;26.63;29.62;NA;NA;ND;NA;NA;NA;
2;11;21.12;11.56;28.66;NA;24.8;23.6;NA;NA;ND;NA;NA;NA;
2;12;ND;11.85;26.08;NA;21.66;20.66;NA;NA;ND;NA;NA;NA;
2;13;ND;3.09;26.26;NA;22.89;23.19;NA;NA;ND;NA;NA;NA;
2;14;ND;16.8;15.33;NA;20.69;22.58;NA;NA;ND;NA;NA;NA;
2;15;ND;7.79;ND;NA;7.66;12.71;NA;NA;ND;NA;NA;NA;
2;16;11.64;9.19;17.5;NA;11.21;16.17;NA;NA;ND;NA;NA;NA;
2;17;8.21;7.22;16.3;NA;19.54;11.87;NA;NA;ND;NA;NA;NA;
2;18;0.91;7.48;12.89;NA;12.65;9.35;NA;NA;ND;NA;NA;NA;
2;19;3.62;13.19;17.81;NA;8.82;13.73;NA;NA;ND;NA;NA;NA;
2;20;15.75;15.25;18.22;NA;21.71;13.48;NA;NA;ND;NA;NA;NA;
2;21;7.19;6.95;11.23;NA;22.98;10.31;NA;NA;ND;NA;NA;NA;
2;22;13.21;0.29;10.46;NA;13.88;11.28;NA;NA;ND;NA;NA;NA;
2;23;ND;20.5;12.32;NA;9.14;10.48;NA;NA;ND;NA;NA;NA;
3;0;7.19;24.44;8.86;NA;23.86;27.13;NA;NA;ND;NA;NA;NA;
3;1;12.84;7.67;11.71;NA;9.38;17.63;NA;NA;ND;NA;NA;NA;
3;2;9.68;5.3;9.61;NA;5.49;12.41;NA;NA;ND;NA;NA;NA;
3;3;11.35;5.52;10.9;NA;6.3;8.84;NA;NA;ND;NA;NA;NA;
3;4;8.91;12.21;13.38;NA;16.37;15.65;NA;NA;ND;NA;NA;NA;
3;5;10.83;1.98;12.49;NA;20.39;17.86;NA;NA;ND;NA;NA;NA;
3;6;17.55;10;14.47;NA;35;14.53;NA;NA;ND;NA;NA;NA;
3;7;14.74;6.5;21.97;NA;28.9;11.43;NA;NA;ND;NA;NA;NA;
3;8;7.19;4.67;17.02;NA;18.53;10.25;NA;NA;ND;NA;NA;NA;
3;9;9.63;6.12;20.57;NA;21.41;12.4;NA;NA;ND;NA;NA;NA;
3;10;9.52;7.51;22.28;NA;17.38;18.19;NA;NA;ND;NA;NA;NA;
3;11;5.03;1.92;21.66;NA;24.81;17.86;NA;NA;ND;NA;NA;NA;
3;12;6.3;6.84;8.26;NA;12.24;5.08;NA;NA;ND;NA;NA;NA;
3;13;2.87;5.56;16.98;NA;10.87;15.06;NA;NA;ND;NA;NA;NA;
3;14;8.06;11.18;17.68;NA;26.03;17.18;NA;NA;ND;NA;NA;NA;
3;15;0.55;2.95;10.97;NA;13.56;8.12;NA;NA;ND;NA;NA;NA;
3;16;6.81;10.81;7.58;NA;9.04;8.14;NA;NA;ND;NA;NA;NA;
3;17;7.33;9.5;17.16;NA;17.15;20.44;NA;NA;ND;NA;NA;NA;
3;18;6.25;15.92;19.04;NA;17.93;14.49;NA;NA;ND;NA;NA;NA;
3;19;8;10.07;19.42;NA;16.93;17.82;NA;NA;ND;NA;NA;NA;
3;20;6.89;14.38;17.42;NA;20.35;11.76;NA;NA;ND;NA;NA;NA;
3;21;10.78;10.27;19.39;NA;29.48;9.53;NA;NA;ND;NA;NA;NA;
3;22;0.91;ND;14.19;NA;18.88;9.54;NA;NA;ND;NA;NA;NA;
3;23;ND;ND;13.73;NA;18.19;12.87;NA;NA;ND;NA;NA;NA;
4;0;3.81;13.48;10.81;NA;4.33;22.25;NA;NA;ND;NA;NA;NA;
4;1;5.17;7.58;14.67;NA;20.44;16.79;NA;NA;ND;NA;NA;NA;
4;2;5.5;4.08;11.94;NA;13.3;12.19;NA;NA;ND;NA;NA;NA;
4;3;3.02;14.4;11.35;NA;11.45;9.98;NA;NA;ND;NA;NA;NA;
4;4;1.62;14.26;7.54;NA;7.62;4.88;NA;NA;ND;NA;NA;NA;
4;5;2.15;10.39;9.15;NA;9.55;10.66;NA;NA;ND;NA;NA;NA;
4;6;6.11;10.38;10.64;NA;16.07;7.35;NA;NA;ND;NA;NA;NA;
4;7;11.68;10.47;13.97;NA;10.87;10.73;NA;NA;ND;NA;NA;NA;
4;8;9.76;9.58;19.13;NA;12.56;20.96;NA;NA;ND;NA;NA;NA;
4;9;8.51;12.22;22.69;NA;22.7;16.55;NA;NA;ND;NA;NA;NA;
4;10;6.14;4.03;30.52;NA;32.24;32.37;NA;NA;ND;NA;NA;NA;
4;11;8.48;22.5;33.84;NA;17.49;40.06;NA;NA;ND;NA;NA;NA;
4;12;13.89;14.25;36.16;NA;41.35;40.2;NA;NA;ND;NA;NA;NA;
4;13;7.96;5.6;20.48;NA;30.68;27.62;NA;NA;ND;NA;NA;NA;
4;14;9.81;2.06;23.2;NA;21.9;22.28;NA;NA;ND;NA;NA;NA;
4;15;12.77;13.34;17.26;NA;18.88;15.12;NA;NA;ND;NA;NA;NA;
4;16;7.58;16.06;11.89;NA;9.49;10.99;NA;NA;ND;NA;NA;NA;
4;17;8.83;14.02;15.88;NA;19.34;18.86;NA;NA;ND;NA;NA;NA;
4;18;10.79;12.55;15.14;NA;12.44;18.28;NA;NA;ND;NA;NA;NA;
4;19;5.75;16.71;10.37;NA;22.75;13.46;NA;NA;ND;NA;NA;NA;
4;20;3.67;11.41;17.95;NA;21.83;12.81;NA;NA;ND;NA;NA;NA;
4;21;11.74;18.3;12.96;NA;17.66;17.9;NA;NA;ND;NA;NA;NA;
4;22;4.72;4.01;10.63;NA;17.8;12.57;NA;NA;ND;NA;NA;NA;
4;23;ND;2.64;15.61;NA;25.22;17.22;NA;NA;ND;NA;NA;NA;
5;0;13.08;4.53;8.43;NA;8.32;4.03;NA;NA;ND;NA;NA;NA;
