DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;3.4;2.86;0.97;NA;1.23;0.89;ND;1.06;ND;NA;NA;NA;
1;1;ND;ND;ND;NA;ND;ND;ND;0.84;ND;NA;NA;NA;
1;2;1.8;3.17;1.29;NA;5.38;1.91;ND;1.12;ND;NA;NA;NA;
1;3;1.58;4.8;1.12;NA;3.17;0.84;ND;2.24;ND;NA;NA;NA;
1;4;2.41;7.23;0.83;NA;4.45;1.75;ND;4.43;ND;NA;NA;NA;
1;5;2.58;6.53;0.93;NA;7.4;3.44;ND;4.14;ND;NA;NA;NA;
1;6;4.29;8.25;3.36;NA;12.92;6.9;ND;2.43;ND;NA;NA;NA;
1;7;4.56;10.49;7.95;NA;15.27;10.62;ND;4.89;ND;NA;NA;NA;
1;8;6.76;7.32;10.57;NA;7.35;8.7;ND;5.23;ND;NA;NA;NA;
1;9;5.3;5.27;10.89;NA;5.73;5.63;ND;6.06;ND;NA;NA;NA;
1;10;2.81;4.1;7.11;NA;10.31;7.49;ND;3.64;ND;NA;NA;NA;
1;11;1.04;3.23;4.33;NA;7.41;6.05;ND;2.35;ND;NA;NA;NA;
1;12;0.82;ND;ND;NA;4.59;4.74;ND;1.88;ND;NA;NA;NA;
1;13;0.74;3.35;ND;NA;3.75;3.03;ND;1.76;ND;NA;NA;NA;
1;14;0.66;ND;0.54;NA;2.36;2.74;ND;1.44;ND;NA;NA;NA;
1;15;0.68;ND;ND;NA;2.48;1.43;ND;1.16;ND;NA;NA;NA;
1;16;0.53;2.73;ND;NA;1.7;2.54;ND;1.27;ND;NA;NA;NA;
1;17;1.72;4.11;1.46;NA;1.82;2.54;ND;1.27;ND;NA;NA;NA;
1;18;2.7;4.89;1.76;NA;2.39;2.77;ND;1.43;ND;NA;NA;NA;
1;19;1.07;4.76;1.52;NA;2.97;3.89;ND;1.28;ND;NA;NA;NA;
1;20;0.8;4.73;1.39;NA;3.32;2.53;ND;1.26;ND;NA;NA;NA;
1;21;1.07;4.76;0.94;NA;2.73;1.33;ND;1.16;ND;NA;NA;NA;
1;22;0.76;4.78;0.53;NA;1.93;1.42;ND;1.16;ND;NA;NA;NA;
1;23;1.95;4.65;0.31;NA;2.31;0.76;ND;1.28;ND;NA;NA;NA;
2;0;2.41;6.32;0.03;NA;1.7;0.58;ND;1.07;ND;NA;NA;NA;
2;1;1.6;5.2;0.1;NA;1.19;0.43;ND;1.58;ND;NA;NA;NA;
2;2;2.03;4.78;0.01;NA;1.39;0.31;ND;1.06;ND;NA;NA;NA;
2;3;1.33;4.69;0;NA;1.1;0.38;ND;0.82;ND;NA;NA;NA;
2;4;1.53;4.88;0.02;NA;1.98;0.39;ND;0.87;ND;NA;NA;NA;
2;5;2.26;5.11;0.08;NA;1.99;0.62;ND;1.46;ND;NA;NA;NA;
2;6;4.25;8.26;1.02;NA;4.27;1.59;ND;2.93;ND;NA;NA;NA;
2;7;6.7;12.16;2.27;NA;7.75;3.49;ND;3.7;ND;NA;NA;NA;
2;8;3.62;10.99;3.31;NA;14.29;8.71;ND;2.12;ND;NA;NA;NA;
2;9;7.21;11.33;9.02;NA;7.52;11.54;ND;1.98;ND;NA;NA;NA;
2;10;3.75;6.91;8.16;NA;10.15;12.45;ND;3.19;ND;NA;NA;NA;
2;11;1.37;5.38;6.09;NA;8.03;8.18;ND;ND;ND;NA;NA;NA;
2;12;1.04;4.53;3.77;NA;3.51;4.77;ND;ND;ND;NA;NA;NA;
2;13;ND;3.85;3.32;NA;2.37;1.81;ND;ND;ND;NA;NA;NA;
2;14;ND;2.79;3.53;NA;2.33;1.08;ND;1.23;ND;NA;NA;NA;
2;15;0.72;2.71;2.1;NA;2.25;1.08;ND;1.13;ND;NA;NA;NA;
2;16;0.62;2.91;2.46;NA;2.2;1.12;ND;1.02;ND;NA;NA;NA;
2;17;1;3.85;3.56;NA;2.35;1.56;ND;0.95;ND;NA;NA;NA;
