DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;3.46;1.73;5.83;NA;8.68;3.52;ND;1.95;ND;NA;NA;NA;
1;1;ND;1.89;5.05;NA;3.22;ND;ND;1.27;ND;NA;NA;NA;
1;2;2.1;1.68;3.91;NA;3.66;3.41;ND;1.49;ND;NA;NA;NA;
1;3;3.39;2.18;3.74;NA;5.87;3.08;ND;1.89;ND;NA;NA;NA;
1;4;5.12;3.22;2.3;NA;4.59;2.84;ND;9.57;ND;NA;NA;NA;
1;5;5.35;3.28;3.01;NA;9.82;5.13;ND;6.84;ND;NA;NA;NA;
1;6;19.08;6.56;4.23;NA;11.79;5.25;ND;18.74;ND;NA;NA;NA;
1;7;11.05;13.56;5.87;NA;8.15;6.25;ND;42.15;ND;NA;NA;NA;
1;8;6.35;9.74;6.15;NA;4.33;2.77;ND;29.52;ND;NA;NA;NA;
1;9;5.85;7.02;5;NA;3.56;1.99;ND;10.54;ND;NA;NA;NA;
1;10;8.37;3.51;6.25;NA;6.47;4.04;ND;5.97;ND;NA;NA;NA;
1;11;6.84;3.21;5.97;NA;7.24;6.06;ND;20.46;ND;NA;NA;NA;
1;12;3.32;2.37;6.56;NA;4.25;7.29;ND;6.08;ND;NA;NA;NA;
1;13;3.19;2.57;4.15;NA;6.14;4.47;ND;2.52;ND;NA;NA;NA;
1;14;2.79;2.03;3.36;NA;5.09;2.64;ND;1.18;ND;NA;NA;NA;
1;15;2.38;1.94;2.91;NA;3.71;2.13;ND;1.81;ND;NA;NA;NA;
1;16;2.38;1.73;3.5;NA;3.1;2.1;ND;2.17;ND;NA;NA;NA;
1;17;2.37;2.11;6.51;NA;3.23;3.48;ND;2.08;ND;NA;NA;NA;
1;18;2.63;2.29;8.85;NA;4.04;2.25;ND;2.32;ND;NA;NA;NA;
1;19;4.52;2.38;8.61;NA;9.86;3.49;ND;1.96;ND;NA;NA;NA;
1;20;5.17;2.3;8.69;NA;9.73;5.98;ND;1.86;ND;NA;NA;NA;
1;21;5.3;2.46;13.17;NA;7.35;7.32;ND;1.81;ND;NA;NA;NA;
1;22;7.34;2.38;10.18;NA;8.36;5.58;ND;1.62;ND;NA;NA;NA;
1;23;6.57;2;10.06;NA;2.93;3.86;ND;1.41;ND;NA;NA;NA;
2;0;2.62;1.79;7.96;NA;5.2;4.89;ND;1.42;ND;NA;NA;NA;
2;1;2.9;ND;ND;NA;ND;5.36;ND;2.75;ND;NA;NA;NA;
2;2;3.2;1.67;4.47;NA;2.6;4.52;ND;3.06;ND;NA;NA;NA;
2;3;3.31;2.41;3.14;NA;4.23;4.16;ND;9.8;ND;NA;NA;NA;
2;4;3.51;2.87;3.63;NA;3.64;3.82;ND;9.93;ND;NA;NA;NA;
2;5;3.94;2.56;3.17;NA;3.92;3.61;ND;10.57;ND;NA;NA;NA;
2;6;5.86;2.69;4.13;NA;4.77;3.98;ND;14.09;ND;NA;NA;NA;
2;7;6.98;4.09;7.97;NA;6.27;5.32;ND;17.68;ND;NA;NA;NA;
2;8;9.87;7.23;8.91;NA;7.12;5.15;ND;17.49;ND;NA;NA;NA;
2;9;10.65;7.56;8.47;NA;5.51;3.08;ND;12.08;ND;NA;NA;NA;
2;10;7.92;5.74;7.08;NA;8.23;3.83;ND;9.78;ND;NA;NA;NA;
2;11;5.5;4.15;6.89;NA;16.17;4.94;ND;6.14;ND;NA;NA;NA;
2;12;4.05;2.92;4.75;NA;4.57;4.19;ND;3.89;ND;NA;NA;NA;
2;13;3.77;2.45;3.39;NA;3.16;3.88;ND;2.68;ND;NA;NA;NA;
2;14;2.37;1.59;3.64;NA;2.77;3.04;ND;1.94;ND;NA;NA;NA;
2;15;1.98;1.12;2.85;NA;2.25;2.22;ND;2.22;ND;NA;NA;NA;
2;16;2.09;0.82;3.52;NA;2.49;1.05;ND;2.17;ND;NA;NA;NA;
2;17;2.21;1.12;6.33;NA;3.79;0.52;ND;1.77;ND;NA;NA;NA;
2;18;3.54;1.67;4.77;NA;5.41;0.46;ND;1.58;ND;NA;NA;NA;
2;19;3.78;1.84;3.74;NA;6.24;1.28;ND;1.54;ND;NA;NA;NA;
2;20;3.81;2.02;5.28;NA;5.59;2.51;ND;1.65;ND;NA;NA;NA;
2;21;4.99;2;5.16;NA;2.9;3.16;ND;1.3;ND;NA;NA;NA;
2;22;5.08;1.6;4.09;NA;3.18;3.73;ND;1.6;ND;NA;NA;NA;
2;23;3.75;1.84;4.69;NA;5.17;4.78;ND;1.92;ND;NA;NA;NA;
3;0;2.98;1.47;3.85;NA;4.54;4.42;ND;2.48;ND;NA;NA;NA;
3;1;ND;1.37;2.22;NA;2.66;ND;ND;1.78;ND;NA;NA;NA;
3;2;2.67;1.56;2.18;NA;2.07;3.82;ND;1.29;ND;NA;NA;NA;
3;3;2.88;1.49;2.52;NA;1.85;3.29;ND;32.95;ND;NA;NA;NA;
3;4;3.8;1.37;2.39;NA;3.8;3.18;ND;57.26;ND;NA;NA;NA;
3;5;3.95;1.6;2.35;NA;5.91;4.29;ND;22.22;ND;NA;NA;NA;
3;6;5.36;1.68;5.48;NA;12.91;4.84;ND;19.52;ND;NA;NA;NA;
3;7;8.52;3.48;5.9;NA;10.93;3.86;ND;29.44;ND;NA;NA;NA;
3;8;7.91;4.95;3.4;NA;3.89;1.99;ND;22.77;ND;NA;NA;NA;
3;9;6.64;5.79;4.17;NA;2.28;1.69;ND;10.38;ND;NA;NA;NA;
3;10;4.45;4.21;3.15;NA;3.37;2.08;ND;7.01;ND;NA;NA;NA;
3;11;3.62;2.91;3.59;NA;4.74;2.96;ND;3.78;ND;NA;NA;NA;
3;12;2.65;1.36;3.27;NA;2.78;2.57;ND;3.12;ND;NA;NA;NA;
3;13;2.16;1.33;2.24;NA;2.06;2.1;ND;2.53;ND;NA;NA;NA;
3;14;1.74;1.28;1.92;NA;1.91;1.51;ND;2.31;ND;NA;NA;NA;
3;15;1.82;0.97;1.82;NA;1.66;1.16;ND;1.98;ND;NA;NA;NA;
3;16;1.9;1.07;2.54;NA;1.45;0.39;ND;2.15;ND;NA;NA;NA;
3;17;2.12;1.5;3.74;NA;1.93;1.05;ND;2.63;ND;NA;NA;NA;
3;18;2.07;1.94;3.21;NA;1.66;1.6;ND;2.12;ND;NA;NA;NA;
3;19;2.14;1.81;2.76;NA;2.23;1.48;ND;1.6;ND;NA;NA;NA;
3;20;1.95;1.69;2.69;NA;2.65;1.38;ND;1.57;ND;NA;NA;NA;
3;21;1.71;1.47;2.64;NA;2.02;1.61;ND;1.22;ND;NA;NA;NA;
3;22;2.9;1.47;2.02;NA;2.02;1.63;ND;1.58;ND;NA;NA;NA;
3;23;2.77;1.4;1.69;NA;1.99;1.53;ND;1.28;ND;NA;NA;NA;
4;0;2.01;1.14;1.39;NA;3.28;1.63;ND;1.11;ND;NA;NA;NA;
4;1;1.71;ND;ND;NA;ND;1.99;ND;1.22;ND;NA;NA;NA;
4;2;1.83;1.44;1.58;NA;6.62;2.15;ND;1.23;ND;NA;NA;NA;
4;3;2.04;1.36;2.87;NA;5.08;2.72;ND;1.21;ND;NA;NA;NA;
4;4;2.62;1.12;2.61;NA;4.56;3.13;ND;1.12;ND;NA;NA;NA;
4;5;1.88;1.18;2.71;NA;6.37;3.02;ND;1.45;ND;NA;NA;NA;
4;6;2.45;1.16;2.12;NA;4.59;3.8;ND;1.28;ND;NA;NA;NA;
4;7;3.33;1.39;2.98;NA;8.22;6.31;ND;1.39;ND;NA;NA;NA;
4;8;4.27;1.75;5.51;NA;6.41;4.5;ND;2.04;ND;NA;NA;NA;
4;9;4.31;1.33;6.1;NA;5.87;2.44;ND;2.84;ND;NA;NA;NA;
4;10;3.06;1.92;6.54;NA;8.44;3.43;ND;5.24;ND;NA;NA;NA;
4;11;2.5;1.52;3.54;NA;4.83;4.38;ND;2.58;ND;NA;NA;NA;
4;12;2.71;1.42;2.11;NA;2.86;3.85;ND;1.33;ND;NA;NA;NA;
4;13;2.62;1.63;1.98;NA;2.82;3.1;ND;1.66;ND;NA;NA;NA;
4;14;1.91;1.15;2.04;NA;2.18;2.7;ND;1.3;ND;NA;NA;NA;
4;15;1.61;1.08;2.01;NA;2.52;2.82;ND;1.49;ND;NA;NA;NA;
4;16;1.85;0.95;2.49;NA;2.45;1.95;ND;1.56;ND;NA;NA;NA;
4;17;1.82;1.34;4.2;NA;2.53;1.13;ND;1.48;ND;NA;NA;NA;
4;18;1.74;1.92;2.9;NA;2.94;0.31;ND;1.33;ND;NA;NA;NA;
4;19;2.24;1.58;3.05;NA;4.28;0.7;ND;1.35;ND;NA;NA;NA;
4;20;2.78;1.69;4.22;NA;3.65;1.32;ND;1.2;ND;NA;NA;NA;
4;21;2.49;1.41;3.28;NA;4.64;1.95;ND;1.1;ND;NA;NA;NA;
4;22;2.53;1.68;4.43;NA;4.02;2.08;ND;1.12;ND;NA;NA;NA;
4;23;3.11;1.41;4.56;NA;4.01;2.27;ND;1.26;ND;NA;NA;NA;
5;0;2.27;1.3;7.45;NA;3.79;3.06;ND;1.04;ND;NA;NA;NA;
5;1;ND;1.26;7.72;NA;3.63;ND;ND;1.14;ND;NA;NA;NA;
5;2;2.04;1.34;5.31;NA;4.11;4.56;ND;0.86;ND;NA;NA;NA;
5;3;2.22;1.38;3.67;NA;2.17;3.17;ND;0.85;ND;NA;NA;NA;
