DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;1.75;3.48;1.18;NA;3.14;3.33;ND;6.39;ND;NA;NA;NA;
1;1;3.62;2.93;1.6;NA;ND;ND;ND;6.65;ND;NA;NA;NA;
1;2;2.53;5.22;1.54;NA;3;3.67;ND;6.11;ND;NA;NA;NA;
1;3;2.66;2.95;2.95;NA;2.04;5.76;ND;6.86;ND;NA;NA;NA;
1;4;4.02;4.78;2.43;NA;2.27;5.33;ND;6.37;ND;NA;NA;NA;
1;5;5.37;6.58;2.37;NA;1.83;5.41;ND;6.07;ND;NA;NA;NA;
1;6;5.98;4.37;2.17;NA;2.36;5.14;ND;5.96;ND;NA;NA;NA;
1;7;2.43;3.23;2.1;NA;3.29;4.75;ND;6.33;ND;NA;NA;NA;
1;8;2.03;3.68;3.2;NA;3.06;8.46;ND;6.46;ND;NA;NA;NA;
1;9;2.8;4.07;2.92;NA;3.41;5.31;ND;5.51;ND;NA;NA;NA;
1;10;2.69;2.27;ND;NA;3.39;2.74;ND;5.33;ND;NA;NA;NA;
1;11;ND;2.07;ND;NA;3.55;2.38;ND;5.66;ND;NA;NA;NA;
1;12;0.11;2.36;ND;NA;3.09;1.65;ND;4.13;ND;NA;NA;NA;
1;13;0.14;1.42;ND;NA;2.88;1.3;ND;3.63;ND;NA;NA;NA;
1;14;ND;ND;1.85;NA;2.01;1.33;ND;4.12;ND;NA;NA;NA;
1;15;ND;ND;2.2;NA;1.92;0.92;ND;4.26;ND;NA;NA;NA;
1;16;0.3;0.45;1.9;NA;2.2;1.67;ND;4.05;ND;NA;NA;NA;
1;17;0.36;0.44;2.75;NA;1.73;2.22;ND;3.95;ND;NA;NA;NA;
1;18;0.94;ND;2.96;NA;1.96;2.48;ND;4.47;ND;NA;NA;NA;
1;19;1.48;0.63;3.93;NA;2.24;5.85;ND;4.53;ND;NA;NA;NA;
1;20;0.96;0.43;2.88;NA;2.55;5.32;ND;4.39;ND;NA;NA;NA;
1;21;1.21;0.93;2.18;NA;3.23;4.66;ND;5.44;ND;NA;NA;NA;
1;22;2.34;2.04;1.66;NA;4.94;3.94;ND;5.07;ND;NA;NA;NA;
1;23;1.48;2.89;1.39;NA;8.46;3.21;ND;4.48;ND;NA;NA;NA;
2;0;1.44;4.28;1.46;NA;7.74;3.05;ND;4.73;ND;NA;NA;NA;
2;1;ND;7.1;ND;NA;8.8;3.14;ND;6.06;ND;NA;NA;NA;
2;2;1.68;10.96;1.26;NA;11.13;6.07;ND;5.25;ND;NA;NA;NA;
2;3;1.61;7.16;1.54;NA;7.58;4.07;ND;4.55;ND;NA;NA;NA;
2;4;2.52;6.76;1.1;NA;5.63;3.22;ND;4.73;ND;NA;NA;NA;
2;5;2.91;9.53;1.37;NA;8.7;4.61;ND;5.4;ND;NA;NA;NA;
2;6;5.2;10.16;6.22;NA;10.59;6.45;ND;6.24;ND;NA;NA;NA;
2;7;8.01;12.78;4.89;NA;7.37;6.79;ND;8.17;ND;NA;NA;NA;
2;8;9.7;2.96;3.81;NA;3.81;6.76;ND;13.46;ND;NA;NA;NA;
2;9;5.47;1.73;3.11;NA;2.91;2.82;ND;10.69;ND;NA;NA;NA;
2;10;3.82;1.47;3.7;NA;3.69;1.95;ND;6.91;ND;NA;NA;NA;
2;11;1.28;1.08;1.96;NA;2.68;ND;ND;5;ND;NA;NA;NA;
2;12;1.21;1.19;1.94;NA;1.98;ND;ND;3.38;ND;NA;NA;NA;
2;13;1.07;0.86;1.93;NA;2.28;ND;ND;3.85;ND;NA;NA;NA;
2;14;1.04;0.75;1.99;NA;2.19;0.59;ND;ND;ND;NA;NA;NA;
2;15;0.96;0.68;2.17;NA;2.46;0.84;ND;ND;ND;NA;NA;NA;
2;16;1.06;0.74;2.75;NA;1.41;1.09;ND;5.29;ND;NA;NA;NA;
2;17;1.21;0.88;3.08;NA;1.2;1.36;ND;5.05;ND;NA;NA;NA;
2;18;1.28;1.22;3.54;NA;2.66;1.57;ND;4.82;ND;NA;NA;NA;
2;19;1.3;1.38;5.56;NA;4.74;2.29;ND;4.6;ND;NA;NA;NA;
2;20;1.44;0.97;5.23;NA;5.95;1.56;ND;5.17;ND;NA;NA;NA;
2;21;1.16;1.09;4.5;NA;9.46;1.95;ND;4.7;ND;NA;NA;NA;
2;22;0.98;1.19;5.76;NA;6.85;2.08;ND;4.82;ND;NA;NA;NA;
2;23;0.49;0.73;5.11;NA;9.44;2.84;ND;4.95;ND;NA;NA;NA;
3;0;0.78;0.77;5.96;NA;10.87;4.07;ND;6.32;ND;NA;NA;NA;
3;1;0.88;ND;8.54;NA;ND;ND;ND;7.01;ND;NA;NA;NA;
3;2;0.81;1.61;9.24;NA;12.92;4.46;ND;7.47;ND;NA;NA;NA;
3;3;0.91;4.83;9.33;NA;5.52;3.34;ND;6.24;ND;NA;NA;NA;
3;4;1.23;5.75;5.61;NA;5.22;3.31;ND;6.18;ND;NA;NA;NA;
3;5;1.76;3.94;5.62;NA;43.82;13.14;ND;6.45;ND;NA;NA;NA;
3;6;3.01;5.19;15.74;NA;55.76;16.19;ND;6.62;ND;NA;NA;NA;
3;7;5.19;5.9;15.91;NA;98.09;11.3;ND;7.37;ND;NA;NA;NA;
3;8;8.85;4.17;9.54;NA;27.11;17.67;ND;13.99;ND;NA;NA;NA;
3;9;7.81;2.43;6.05;NA;10.86;6.36;ND;11.17;ND;NA;NA;NA;
3;10;6.98;3.15;5.9;NA;4.79;5.13;ND;6.39;ND;NA;NA;NA;
3;11;3.09;2.44;3.91;NA;6.95;3.21;ND;5.62;ND;NA;NA;NA;
3;12;2.45;1.23;3.74;NA;7.95;2.14;ND;5.23;ND;NA;NA;NA;
3;13;1.67;1.12;3.07;NA;2.28;1.39;ND;4.54;ND;NA;NA;NA;
3;14;1.26;1.21;3.11;NA;2.15;1.13;ND;4.67;ND;NA;NA;NA;
3;15;0.81;1.81;2.05;NA;2.83;0.96;ND;5.26;ND;NA;NA;NA;
3;16;1.09;1.08;2.92;NA;2.71;1.4;ND;5.88;ND;NA;NA;NA;
