DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;18.58;20.87;ND;NA;17.65;18.01;NA;NA;ND;NA;NA;NA;
1;1;10.91;8.77;25.62;NA;31.03;20.78;NA;NA;ND;NA;NA;NA;
1;2;6.41;11.92;18.47;NA;28.52;27.55;NA;NA;ND;NA;NA;NA;
1;3;17.41;13.75;14.91;NA;27.92;20.76;NA;NA;ND;NA;NA;NA;
1;4;15.4;3.29;18.81;NA;22.11;25.64;NA;NA;ND;NA;NA;NA;
1;5;15.07;15.46;18.35;NA;24.25;27.69;NA;NA;ND;NA;NA;NA;
1;6;19.12;12.38;27.1;NA;40.22;33.29;NA;NA;ND;NA;NA;NA;
1;7;18.2;23.5;32.61;NA;57.32;44.54;NA;NA;ND;NA;NA;NA;
1;8;20.06;27.94;23.84;NA;49.78;31.96;NA;NA;ND;NA;NA;NA;
1;9;26.48;22.93;22.38;NA;33.16;34.3;NA;NA;ND;NA;NA;NA;
1;10;28.44;15.77;32.5;NA;38.53;27.67;NA;NA;ND;NA;NA;NA;
1;11;17;8.06;28.03;NA;23.96;34.69;NA;NA;ND;NA;NA;NA;
1;12;29.93;17.21;28.65;NA;22.05;33.84;NA;NA;ND;NA;NA;NA;
1;13;5.3;8.79;18.66;NA;15.89;27.39;NA;NA;ND;NA;NA;NA;
1;14;3.52;2.43;5.3;NA;13.98;2.66;NA;NA;ND;NA;NA;NA;
1;15;18.9;16.84;25.41;NA;15.72;8.92;NA;NA;ND;NA;NA;NA;
1;16;8.54;13.59;14.62;NA;18.67;11.99;NA;NA;ND;NA;NA;NA;
1;17;7.21;9.56;17.43;NA;ND;11.53;NA;NA;ND;NA;NA;NA;
1;18;7.67;14.21;10.56;NA;ND;12.23;NA;NA;ND;NA;NA;NA;
1;19;19.29;14.78;18.61;NA;22.31;13.88;NA;NA;ND;NA;NA;NA;
1;20;11.52;11.97;8.9;NA;28.61;26.31;NA;NA;ND;NA;NA;NA;
1;21;9.79;17.46;18.66;NA;25.88;16.08;NA;NA;ND;NA;NA;NA;
1;22;12.12;17.71;7.16;NA;11.12;9.89;NA;NA;ND;NA;NA;NA;
1;23;9.94;18.13;9.14;NA;29.27;14.66;NA;NA;ND;NA;NA;NA;
2;0;13.55;14.25;5.53;NA;35.72;20.06;NA;NA;ND;NA;NA;NA;
2;1;19.02;17.64;13.32;NA;5.87;25.06;NA;NA;ND;NA;NA;NA;
2;2;11.55;17.45;14.44;NA;13.66;17.63;NA;NA;ND;NA;NA;NA;
2;3;11.47;15.99;10.13;NA;23.86;9.05;NA;NA;ND;NA;NA;NA;
2;4;15.8;21.47;11.77;NA;21.61;15.85;NA;NA;ND;NA;NA;NA;
2;5;16.61;17.9;12.64;NA;30.41;13.34;NA;NA;ND;NA;NA;NA;
2;6;14.99;20.44;15.05;NA;22.99;25.36;NA;NA;ND;NA;NA;NA;
2;7;16.15;29.15;7.76;NA;36.91;20.27;NA;NA;ND;NA;NA;NA;
2;8;21.08;19.08;15.04;NA;41.64;26.83;NA;NA;ND;NA;NA;NA;
2;9;22.28;26.36;26.88;NA;37.24;27.29;NA;NA;ND;NA;NA;NA;
2;10;31.89;7.86;12.12;NA;ND;22.46;NA;NA;ND;NA;NA;NA;
2;11;17.75;20.49;27.54;NA;ND;22.67;NA;NA;ND;NA;NA;NA;
2;12;21.38;27.03;18.89;NA;ND;23.34;NA;NA;ND;NA;NA;NA;
2;13;8.36;17.56;20.68;NA;ND;24.61;NA;NA;ND;NA;NA;NA;
2;14;6.53;7.74;8.67;NA;ND;21.21;NA;NA;ND;NA;NA;NA;
2;15;7.83;13.68;11.65;NA;ND;6.99;NA;NA;ND;NA;NA;NA;
2;16;8.55;9.1;11.07;NA;ND;3.91;NA;NA;ND;NA;NA;NA;
2;17;10.18;8.7;16.84;NA;ND;18.13;NA;NA;ND;NA;NA;NA;
2;18;7.33;16.03;17.14;NA;ND;15.27;NA;NA;ND;NA;NA;NA;
2;19;21.59;13.3;11.39;NA;ND;13.94;NA;NA;ND;NA;NA;NA;
2;20;21.42;17.38;17.71;NA;ND;17.72;NA;NA;ND;NA;NA;NA;
2;21;25.45;16.67;19.09;NA;ND;18.08;NA;NA;ND;NA;NA;NA;
2;22;20.29;13.76;12.77;NA;ND;11.86;NA;NA;ND;NA;NA;NA;
2;23;40.82;20.7;11.94;NA;ND;17.49;NA;NA;ND;NA;NA;NA;
3;0;27.51;12.39;0.14;NA;ND;6.93;NA;NA;ND;NA;NA;NA;
3;1;16.12;27.93;9.82;NA;ND;17.14;NA;NA;ND;NA;NA;NA;
3;2;14.35;16.55;12.09;NA;ND;23.26;NA;NA;ND;NA;NA;NA;
3;3;6.32;33.54;12.34;NA;ND;13.4;NA;NA;ND;NA;NA;NA;
3;4;20.04;27.63;7.93;NA;ND;26.17;NA;NA;ND;NA;NA;NA;
3;5;15.85;33.45;10.3;NA;ND;24.41;NA;NA;ND;NA;NA;NA;
3;6;35.13;58.79;24.02;NA;ND;45.28;NA;NA;ND;NA;NA;NA;
3;7;38.28;62.2;45.36;NA;ND;61.29;NA;NA;ND;NA;NA;NA;
3;8;38.22;32.5;52.44;NA;ND;47.56;NA;NA;ND;NA;NA;NA;
3;9;38.34;14.24;26.62;NA;ND;19.91;NA;NA;ND;NA;NA;NA;
3;10;25.7;16.22;ND;NA;ND;22.3;NA;NA;ND;NA;NA;NA;
3;11;14.19;9.67;ND;NA;ND;32.34;NA;NA;ND;NA;NA;NA;
3;12;8.78;11.47;ND;NA;ND;12.05;NA;NA;ND;NA;NA;NA;
3;13;5.17;0.97;11.93;NA;56.74;4.1;NA;NA;ND;NA;NA;NA;
3;14;7.95;19.62;9.2;NA;ND;6.42;NA;NA;ND;NA;NA;NA;
3;15;9.85;13.42;ND;NA;ND;15.26;NA;NA;ND;NA;NA;NA;
3;16;8.38;16.53;28.41;NA;49.22;25.26;NA;NA;ND;NA;NA;NA;
3;17;10.07;9.32;17.67;NA;23.35;14.62;NA;NA;ND;NA;NA;NA;
3;18;5.63;13.15;18.13;NA;19.29;12.97;NA;NA;ND;NA;NA;NA;
3;19;4.92;22.21;21.38;NA;21.85;12.61;NA;NA;ND;NA;NA;NA;
3;20;8.08;22.29;19.02;NA;27.25;21.94;NA;NA;ND;NA;NA;NA;
3;21;9.2;20.36;18.85;NA;18.6;29.14;NA;NA;ND;NA;NA;NA;
3;22;13.84;20.24;14.52;NA;27.57;18.04;NA;NA;ND;NA;NA;NA;
3;23;13.38;19.85;20.89;NA;12.41;11.34;NA;NA;ND;NA;NA;NA;
4;0;20.37;14.11;20.45;NA;5.18;9.01;NA;NA;ND;NA;NA;NA;
4;1;18.79;19.03;15.82;NA;22.93;15.39;NA;NA;ND;NA;NA;NA;
4;2;26.45;15.67;18.48;NA;21.36;20.59;NA;NA;ND;NA;NA;NA;
4;3;28.45;11.19;14.95;NA;23.88;21.66;NA;NA;ND;NA;NA;NA;
4;4;26.41;18.75;22.79;NA;16.97;28.93;NA;NA;ND;NA;NA;NA;
4;5;28.75;18.86;19.54;NA;27.87;22.26;NA;NA;ND;NA;NA;NA;
4;6;33.06;28.86;27.91;NA;36.6;30.88;NA;NA;ND;NA;NA;NA;
4;7;36.5;35.65;34.03;NA;50.79;42.15;NA;NA;ND;NA;NA;NA;
4;8;34.52;30.81;41.7;NA;51.88;54.23;NA;NA;ND;NA;NA;NA;
4;9;31.73;38.61;50.72;NA;47.02;53.54;NA;NA;ND;NA;NA;NA;
4;10;38.15;34.23;43.59;NA;25.28;34.88;NA;NA;ND;NA;NA;NA;
4;11;21.15;29.26;29.8;NA;31.66;26.77;NA;NA;ND;NA;NA;NA;
4;12;13.8;21.16;35.8;NA;28.81;35.62;NA;NA;ND;NA;NA;NA;
4;13;7.74;31.94;18.34;NA;40.54;37.65;NA;NA;ND;NA;NA;NA;
4;14;5.78;16.41;13.58;NA;10.24;9.94;NA;NA;ND;NA;NA;NA;
4;15;6.75;8.73;11.07;NA;0.66;4.38;NA;NA;ND;NA;NA;NA;
4;16;2.76;18.89;8.41;NA;11.02;2.92;NA;NA;ND;NA;NA;NA;
4;17;14.53;14.35;18.15;NA;22.36;26.98;NA;NA;ND;NA;NA;NA;
4;18;4.37;15.71;16.06;NA;9.25;13.56;NA;NA;ND;NA;NA;NA;
4;19;6.44;12.85;19.4;NA;6.08;13.72;NA;NA;ND;NA;NA;NA;
4;20;11.98;11.41;11.52;NA;8.04;18.11;NA;NA;ND;NA;NA;NA;
4;21;5.86;12.75;16.81;NA;22.42;15.04;NA;NA;ND;NA;NA;NA;
4;22;3.79;ND;10.18;NA;8.85;11.81;NA;NA;ND;NA;NA;NA;
4;23;7.09;ND;10.46;NA;12;10.87;NA;NA;ND;NA;NA;NA;
5;0;5.03;14.15;10.41;NA;16.23;2.35;NA;NA;ND;NA;NA;NA;
5;1;5.7;9.89;9.71;NA;8.92;12.21;NA;NA;ND;NA;NA;NA;
5;2;9;8.84;8.19;NA;3.49;9.87;NA;NA;ND;NA;NA;NA;
5;3;5.09;8.3;8.03;NA;4.97;9.03;NA;NA;ND;NA;NA;NA;
5;4;8.66;2.8;8.85;NA;0.04;6.34;NA;NA;ND;NA;NA;NA;
5;5;7.63;15.13;9.09;NA;5.35;13.49;NA;NA;ND;NA;NA;NA;
5;6;19.82;25.96;13.59;NA;19.88;17.33;NA;NA;ND;NA;NA;NA;
5;7;24.07;23.59;25.71;NA;33.13;30.14;NA;NA;ND;NA;NA;NA;
5;8;20.78;12.75;26.43;NA;34.86;31.67;NA;NA;ND;NA;NA;NA;
5;9;21.72;23.63;17.75;NA;ND;20.25;NA;NA;ND;NA;NA;NA;
5;10;23.4;20.3;19.19;NA;ND;29.22;NA;NA;ND;NA;NA;NA;
5;11;21.3;16.42;13.86;NA;ND;16.11;NA;NA;ND;NA;NA;NA;
5;12;18.57;20.04;22.24;NA;ND;30;NA;NA;ND;NA;NA;NA;
5;13;1.9;54.02;27.92;NA;36.33;24.94;NA;NA;ND;NA;NA;NA;
5;14;13.27;24.71;31.69;NA;19;31.27;NA;NA;ND;NA;NA;NA;
5;15;9.98;21.81;15.3;NA;17.34;8.07;NA;NA;ND;NA;NA;NA;
5;16;20.35;11.94;18.12;NA;28.86;13.87;NA;NA;ND;NA;NA;NA;
5;17;9.82;5.69;23.95;NA;18.93;19.47;NA;NA;ND;NA;NA;NA;
5;18;3.54;35.78;28.11;NA;12.92;25.17;NA;NA;ND;NA;NA;NA;
5;19;7.28;28.53;23.54;NA;26.57;24.79;NA;NA;ND;NA;NA;NA;
5;20;9.59;24.08;25.84;NA;42.25;28.66;NA;NA;ND;NA;NA;NA;
5;21;12.55;16.36;22.61;NA;43.91;22.24;NA;NA;ND;NA;NA;NA;
5;22;14.03;23.09;25.15;NA;37.75;30.24;NA;NA;ND;NA;NA;NA;
5;23;17.51;18.59;17.16;NA;26.24;17.32;NA;NA;ND;NA;NA;NA;
6;0;20.07;30.98;14.17;NA;49.2;20.59;NA;NA;ND;NA;NA;NA;
6;1;20.17;14.49;22.72;NA;34.23;29.94;NA;NA;ND;NA;NA;NA;
6;2;27.87;23.25;29.43;NA;39.71;33.78;NA;NA;ND;NA;NA;NA;
6;3;19.29;19.48;25.17;NA;26.59;19.97;NA;NA;ND;NA;NA;NA;
6;4;23.12;11.24;27.85;NA;29.01;14.61;NA;NA;ND;NA;NA;NA;
6;5;24.74;21.5;10.03;NA;15.46;16.34;NA;NA;ND;NA;NA;NA;
6;6;17.23;28.06;24.03;NA;47.97;24.62;NA;NA;ND;NA;NA;NA;
6;7;20.82;26.24;30.87;NA;39.48;27.66;NA;NA;ND;NA;NA;NA;
6;8;24.58;26.79;29.17;NA;46.13;26.34;NA;NA;ND;NA;NA;NA;
6;9;12.39;23.3;16.96;NA;29.95;19.53;NA;NA;ND;NA;NA;NA;
6;10;21;16.52;15.15;NA;5.95;9.71;NA;NA;ND;NA;NA;NA;
6;11;16.91;16.7;10.33;NA;12.04;7.86;NA;NA;ND;NA;NA;NA;
6;12;13.14;1.78;14.72;NA;8.31;16.83;NA;NA;ND;NA;NA;NA;
6;13;15.93;24.32;15.12;NA;10.48;16.03;NA;NA;ND;NA;NA;NA;
6;14;4.87;29.09;9.55;NA;17.22;18.98;NA;NA;ND;NA;NA;NA;
6;15;11.83;31.62;13.43;NA;18.85;11.26;NA;NA;ND;NA;NA;NA;
6;16;11.1;18.69;8.6;NA;11.5;28.9;NA;NA;ND;NA;NA;NA;
6;17;15.99;12.23;22.76;NA;12.65;15.91;NA;NA;ND;NA;NA;NA;
6;18;11.05;12.89;11.88;NA;22.25;21.71;NA;NA;ND;NA;NA;NA;
6;19;9.13;16.49;10.84;NA;20.45;13.62;NA;NA;ND;NA;NA;NA;
6;20;7.73;18.85;5.91;NA;22.92;15.55;NA;NA;ND;NA;NA;NA;
6;21;8.49;18.51;19.08;NA;22.81;25.24;NA;NA;ND;NA;NA;NA;
6;22;13.73;24.91;21.89;NA;26.89;13.38;NA;NA;ND;NA;NA;NA;
6;23;7.58;22.71;22.56;NA;22.72;25.35;NA;NA;ND;NA;NA;NA;
7;0;21.55;12.4;25.69;NA;31.17;18.28;NA;NA;ND;NA;NA;NA;
7;1;21.67;9.58;19.93;NA;19.8;29.02;NA;NA;ND;NA;NA;NA;
7;2;17.5;2.67;22.12;NA;32.77;26.08;NA;NA;ND;NA;NA;NA;
7;3;12.37;16.75;15.66;NA;20.19;19.62;NA;NA;ND;NA;NA;NA;
7;4;14.34;11.57;20.87;NA;19.71;23.94;NA;NA;ND;NA;NA;NA;
7;5;15.33;16.25;17.88;NA;32.97;26.32;NA;NA;ND;NA;NA;NA;
