DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;4.7;16.31;6.26;NA;2.98;2.47;18.76;30.06;21.94;NA;NA;NA;
1;1;3.46;12.65;4.06;NA;6.2;6.1;ND;25.52;21.04;NA;NA;NA;
1;2;ND;11.88;4.78;NA;7.21;ND;12.4;22.68;20.93;NA;NA;NA;
1;3;2.12;9.64;2.16;NA;4.66;5.19;13.32;26.1;20.89;NA;NA;NA;
1;4;3.32;9.08;3.27;NA;3.03;1.59;11.24;21.22;15.55;NA;NA;NA;
1;5;0.82;5.07;0.88;NA;3.34;1.21;4.49;15.09;14.53;NA;NA;NA;
1;6;1.35;0.38;0;NA;2.72;1.42;1.58;9.16;7.63;NA;NA;NA;
1;7;2.15;4.11;0.23;NA;3.76;2.87;6.84;7.89;3.24;NA;NA;NA;
1;8;3.73;8.91;1.5;NA;12.72;5.73;12.45;15.59;5.96;NA;NA;NA;
1;9;7.68;13.72;2.53;NA;8.94;8.57;14.47;18.92;15.04;NA;NA;NA;
1;10;23.24;20.71;7.75;NA;ND;ND;29.38;27.7;13.87;NA;NA;NA;
1;11;37.86;37.09;20.23;NA;15.41;22;45.85;41.64;29.31;NA;NA;NA;
1;12;43.37;42.71;27.39;NA;30.89;46.49;45.05;53.04;16.12;NA;NA;NA;
1;13;33.12;32.46;27.44;NA;ND;48.72;57.56;46.55;ND;NA;NA;NA;
1;14;33.99;39.83;30.36;NA;ND;39.22;58.5;47.11;ND;NA;NA;NA;
1;15;35.86;41.91;23.95;NA;25.91;38.38;46.33;49.74;ND;NA;NA;NA;
1;16;32.04;30.56;15.55;NA;14.54;29.29;26.8;36.81;25.46;NA;NA;NA;
1;17;22.87;23.44;9.24;NA;12.49;15.97;18.14;28.32;20.98;NA;NA;NA;
1;18;16.29;18.82;0.05;NA;11.75;5.77;11.53;22.3;12.12;NA;NA;NA;
1;19;14.35;17.67;0.17;NA;7.92;6.43;7.66;22.36;18.67;NA;NA;NA;
1;20;7.64;15.59;0;NA;1.7;3.69;7.8;21.98;18.01;NA;NA;NA;
1;21;8.84;16.49;0.95;NA;4.51;3.69;0.99;26.23;18.68;NA;NA;NA;
