DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;0.95;ND;ND;NA;ND;0.79;0.33;NA;ND;NA;NA;NA;
1;1;0.77;0.48;0.92;NA;0.84;0.8;0.55;NA;ND;NA;NA;NA;
1;2;0.81;0.57;1.09;NA;0.89;0.99;0.47;NA;ND;NA;NA;NA;
1;3;0.49;0.51;0.84;NA;0.92;1.01;0.29;NA;ND;NA;NA;NA;
1;4;0.34;0.37;0.45;NA;0.87;0.61;0.53;NA;ND;NA;NA;NA;
1;5;0.36;0.25;0.52;NA;0.66;0.76;0.43;NA;ND;NA;NA;NA;
1;6;0.49;0.62;0.87;NA;1.16;0.96;0.76;NA;ND;NA;NA;NA;
1;7;0.56;0.64;1.07;NA;1.24;0.82;0.6;NA;ND;NA;NA;NA;
1;8;0.58;0.69;1;NA;0.92;0.62;0.54;NA;ND;NA;NA;NA;
1;9;0.48;0.65;0.51;NA;0.57;0.43;0.37;NA;ND;NA;NA;NA;
1;10;0.35;0.56;0.52;NA;0.45;0.28;0.35;NA;ND;NA;NA;NA;
1;11;0.35;0.62;0.52;NA;0.42;0.28;0.36;NA;ND;NA;NA;NA;
1;12;0.34;0.56;0.45;NA;0.48;0.26;0.36;NA;ND;NA;NA;NA;
1;13;0.34;0.56;0.5;NA;0.4;0.25;0.37;NA;ND;NA;NA;NA;
1;14;0.34;0.49;0.42;NA;0.41;0.29;0.42;NA;ND;NA;NA;NA;
1;15;0.35;0.49;0.42;NA;0.41;0.3;0.4;NA;ND;NA;NA;NA;
1;16;0.34;0.49;0.48;NA;0.44;0.31;0.41;NA;ND;NA;NA;NA;
1;17;0.34;0.46;0.5;NA;0.5;0.36;0.45;NA;ND;NA;NA;NA;
1;18;0.44;0.53;0.53;NA;0.58;0.35;0.45;NA;ND;NA;NA;NA;
1;19;0.58;0.67;0.55;NA;0.7;0.38;0.44;NA;ND;NA;NA;NA;
1;20;0.62;0.65;0.44;NA;0.71;0.32;0.39;NA;ND;NA;NA;NA;
1;21;0.57;0.68;0.4;NA;0.56;0.35;0.33;NA;ND;NA;NA;NA;
1;22;0.48;1.42;0.41;NA;0.42;0.41;0.33;NA;ND;NA;NA;NA;
1;23;0.52;0.51;0.36;NA;0.31;0.29;0.29;NA;ND;NA;NA;NA;
2;0;ND;0.45;0.32;NA;0.3;ND;ND;NA;ND;NA;NA;NA;
2;1;0.38;0.27;0.29;NA;0.33;0.19;0.22;NA;ND;NA;NA;NA;
2;2;0.34;0.27;0.28;NA;0.43;0.21;0.2;NA;ND;NA;NA;NA;
2;3;0.34;0.3;0.3;NA;0.35;0.21;0.21;NA;ND;NA;NA;NA;
2;4;0.35;0.23;0.33;NA;0.39;0.27;0.21;NA;ND;NA;NA;NA;
2;5;0.47;0.73;0.42;NA;0.74;0.39;0.26;NA;ND;NA;NA;NA;
2;6;0.91;1.42;0.55;NA;1.33;0.64;0.31;NA;ND;NA;NA;NA;
2;7;0.68;0.9;0.61;NA;0.94;0.69;0.33;NA;ND;NA;NA;NA;
2;8;0.5;0.7;0.58;NA;1.09;0.53;0.34;NA;ND;NA;NA;NA;
2;9;0.46;0.57;0.69;NA;0.74;0.48;0.33;NA;ND;NA;NA;NA;
2;10;0.45;0.6;0.53;NA;0.53;0.44;0.34;NA;ND;NA;NA;NA;
2;11;0.42;0.54;0.58;NA;0.46;0.39;0.38;NA;ND;NA;NA;NA;
2;12;0.36;0.55;0.6;NA;0.46;0.41;0.39;NA;ND;NA;NA;NA;
2;13;0.38;0.59;0.59;NA;0.46;0.33;0.37;NA;ND;NA;NA;NA;
2;14;0.35;0.58;0.57;NA;0.47;0.35;0.46;NA;ND;NA;NA;NA;
2;15;0.39;0.59;0.65;NA;0.51;0.41;0.49;NA;ND;NA;NA;NA;
2;16;0.35;0.55;0.82;NA;0.59;0.43;0.47;NA;ND;NA;NA;NA;
2;17;0.47;0.59;0.83;NA;0.62;0.5;0.5;NA;ND;NA;NA;NA;
