DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;1.11;6;0.01;NA;0.6;3.45;22.57;1.73;0.18;NA;NA;NA;
1;1;0.87;1.28;0.52;NA;1.05;3.73;13.09;0.57;ND;NA;NA;NA;
1;2;1.09;ND;0.09;NA;ND;1.74;15.98;2.15;0.19;NA;NA;NA;
1;3;6.57;2.93;0.56;NA;1.61;1.45;23.85;0.98;0.18;NA;NA;NA;
1;4;18.59;8.64;8.71;NA;1.75;4.29;12.64;0.27;0.18;NA;NA;NA;
1;5;14.2;18.3;4.05;NA;2.5;2.02;15.67;0.03;0.17;NA;NA;NA;
1;6;8.71;5.88;1.19;NA;1.29;2.18;9.83;0.53;0.71;NA;NA;NA;
1;7;15.57;10.15;8.03;NA;8.88;13.09;21.82;2.97;3.76;NA;NA;NA;
1;8;17.08;8.56;13.39;NA;19.53;24.64;26.88;14;9.47;NA;NA;NA;
1;9;26.83;23.78;27.03;NA;33.73;36.92;37.89;16.24;6.99;NA;NA;NA;
1;10;35.77;39.34;29.55;NA;32.23;40.01;44.28;31.7;14.73;NA;NA;NA;
1;11;41.79;43.24;32.2;NA;38.5;38.91;42.61;36.77;33.3;NA;NA;NA;
1;12;49.25;51.84;38.9;NA;44.64;47.15;51.36;45.48;39.66;NA;NA;NA;
1;13;51.62;53.44;43.18;NA;50.06;55.29;51.9;46.19;38.82;NA;NA;NA;
1;14;48.59;51.51;40.72;NA;45.35;49.27;44.85;43.3;36.78;NA;NA;NA;
1;15;41.65;46.01;34.82;NA;42.46;42.41;45.48;39.8;37.96;NA;NA;NA;
1;16;36.83;42.71;28.94;NA;38.72;41.02;40.8;36.44;34.7;NA;NA;NA;
1;17;39.09;45.87;24.03;NA;32.27;33.45;37.31;36.84;35.6;NA;NA;NA;
1;18;25.85;43.04;27.29;NA;30.97;38.43;41.29;37.55;31.97;NA;NA;NA;
1;19;21.22;30.74;32.41;NA;24.49;39.69;38.96;32.03;19.37;NA;NA;NA;
1;20;20.16;24.67;34.55;NA;24.87;42.3;38.87;26.38;5.5;NA;NA;NA;
1;21;19.75;17.87;35.99;NA;22.02;41.12;40.73;39.09;0.35;NA;NA;NA;
1;22;23.31;3.12;29.66;NA;34.12;42.67;40.72;30.45;1.78;NA;NA;NA;
1;23;17.07;17.57;33.58;NA;47.65;39.69;40.13;2.42;2.48;NA;NA;NA;
2;0;16.81;13.66;35.35;NA;46.09;41.54;48.73;ND;4.45;NA;NA;NA;
2;1;21.48;22.56;37.99;NA;38.09;46.82;ND;1.33;6.98;NA;NA;NA;
2;2;ND;16.16;ND;NA;27.58;ND;46.95;3.78;7.61;NA;NA;NA;
2;3;23.37;13.84;33.73;NA;27.73;33.82;43.78;7.52;7.65;NA;NA;NA;
2;4;16.16;25.04;31.73;NA;17.89;29.38;41.87;1.69;3.31;NA;NA;NA;
2;5;9.79;3.35;23.03;NA;3.95;21.86;39.55;1.5;2.08;NA;NA;NA;
2;6;6.18;3.92;24.65;NA;4.23;19.04;38.13;1.75;0.59;NA;NA;NA;
2;7;27.43;15.67;28.43;NA;17.21;26.73;39.01;7.08;3.66;NA;NA;NA;
2;8;37.28;30.68;32.23;NA;17.24;38.72;43.06;13.75;6.91;NA;NA;NA;
2;9;37.45;42.79;27.53;NA;35.92;41.19;42.58;19.97;10.61;NA;NA;NA;
2;10;39.94;46.6;36.47;NA;42.11;46.75;46.34;38.34;30.14;NA;NA;NA;
2;11;42.04;50.76;36.93;NA;44.92;49.91;49.4;44.88;36.76;NA;NA;NA;
2;12;48.71;55.31;37.75;NA;47.36;50;49.02;46.46;41.27;NA;NA;NA;
2;13;49.21;53.12;38.71;NA;47.49;52.03;56.82;46.35;40.44;NA;NA;NA;
2;14;50.15;51.09;36.23;NA;49.15;50.38;52.75;44.24;36.01;NA;NA;NA;
2;15;38.63;44.91;29.63;NA;41.63;43.02;43.13;44.56;30.45;NA;NA;NA;
2;16;37.42;42.61;22.31;NA;34.84;38.14;40.84;40.86;31.59;NA;NA;NA;
2;17;28.77;39.76;17.66;NA;23.91;27.55;42.56;36.02;25.17;NA;NA;NA;
2;18;21.9;34.41;14.32;NA;10.59;19.59;35.88;31.66;22.6;NA;NA;NA;
2;19;19.61;26.44;17.55;NA;7.91;28.3;35.07;34.53;20.97;NA;NA;NA;
2;20;3.75;22.87;20.27;NA;19.03;33.68;24.68;26.4;6.47;NA;NA;NA;
2;21;3.18;12.58;29.02;NA;13.63;33.29;16.41;9.02;0.39;NA;NA;NA;
2;22;3.29;ND;30.85;NA;12.16;33.44;20.71;3.33;0.13;NA;NA;NA;
2;23;4.59;ND;29.17;NA;9.41;34.9;30.81;6.75;0.15;NA;NA;NA;
3;0;5.44;6.98;33.09;NA;1.76;15.17;42.65;4.18;0.1;NA;NA;NA;
3;1;7.11;12.09;20.87;NA;6.51;19.87;43.97;0.5;ND;NA;NA;NA;
3;2;22.69;ND;25.98;NA;ND;28.92;46.08;0.44;0.75;NA;NA;NA;
3;3;25.79;6.48;11.5;NA;7.42;24.79;47.57;0.79;2.61;NA;NA;NA;
3;4;8.73;11.83;4.18;NA;12.34;10.94;43.99;0.98;0.78;NA;NA;NA;
3;5;3.35;4.77;2.09;NA;4.6;6.69;44.39;0.7;0.2;NA;NA;NA;
3;6;3.15;4.29;9.68;NA;3.46;13.52;41.68;1.51;0.51;NA;NA;NA;
3;7;16.55;9.38;29.98;NA;9.4;27.24;41.85;6.44;3.22;NA;NA;NA;
3;8;40.58;34.82;33.01;NA;38.52;36.54;46.03;19.1;6.01;NA;NA;NA;
3;9;45.6;50.03;36.69;NA;50.16;47.67;50.35;46.58;19.79;NA;NA;NA;
3;10;48.13;57.37;39.51;NA;55.85;48.74;51.85;49.08;38.63;NA;NA;NA;
3;11;53.7;58.6;39.84;NA;50.05;50.57;ND;46.67;40.11;NA;NA;NA;
3;12;52.83;57.39;40.17;NA;51.03;53.48;45.64;ND;44.18;NA;NA;NA;
3;13;54.12;57.18;44.96;NA;53.6;53.53;45.53;ND;40.12;NA;NA;NA;
3;14;48.25;54.06;ND;NA;53.47;44.5;ND;33.8;36.23;NA;NA;NA;
3;15;39.27;45.69;ND;NA;47.13;45.91;49.1;38;36.28;NA;NA;NA;
3;16;41.97;48.87;23.45;NA;44.33;45.44;44.69;37.25;33.11;NA;NA;NA;
3;17;35.87;46.39;16.26;NA;29.05;32.41;40.74;37.88;30.47;NA;NA;NA;
3;18;30.97;31.31;9.04;NA;25.79;18.42;29.09;33.12;23.67;NA;NA;NA;
3;19;13.95;25.44;4.39;NA;9.05;5.22;18.48;28.86;22.93;NA;NA;NA;
3;20;1.59;23.03;1.48;NA;4.22;2.63;22.18;23.3;11.81;NA;NA;NA;
3;21;2.69;16.04;3.51;NA;3.7;3.19;14.7;27.28;7.93;NA;NA;NA;
3;22;6.45;10.47;6.28;NA;3.66;4.33;14.8;29.24;0.34;NA;NA;NA;
3;23;6.14;5.07;0.18;NA;3.82;6.52;8.62;22.27;0.16;NA;NA;NA;
4;0;2.37;16.71;1.07;NA;2.84;2.58;29.1;ND;0.22;NA;NA;NA;
4;1;3.26;17.06;0;NA;2.64;1.73;ND;2.24;0.14;NA;NA;NA;
4;2;ND;15.98;ND;NA;0.96;ND;18.17;1.82;0.23;NA;NA;NA;
4;3;5.7;10.4;4.88;NA;4.56;6.16;38.72;0.15;0.14;NA;NA;NA;
4;4;3.48;6.01;4;NA;6.87;10.72;37.55;2.03;0.14;NA;NA;NA;
4;5;1.33;2.18;0.51;NA;2.55;2.93;32.18;0.4;0.21;NA;NA;NA;
4;6;1.47;3.65;1.46;NA;4.35;2.7;15.16;1.16;0.34;NA;NA;NA;
4;7;4.55;10.83;3.8;NA;8;6.73;27.67;3.51;2.69;NA;NA;NA;
4;8;17.81;26.87;10.12;NA;18.59;13.08;42.76;13.46;15.28;NA;NA;NA;
4;9;35.42;37.75;18.31;NA;23.49;19.33;44.93;29.2;7.66;NA;NA;NA;
4;10;44.28;50.38;35.19;NA;42.11;44.55;49.06;43.93;17.9;NA;NA;NA;
4;11;55.09;55.42;42.51;NA;54.76;57.14;63.02;63.2;45.39;NA;NA;NA;
4;12;64.58;62.98;42.79;NA;53.77;52.93;69.12;65.99;45.96;NA;NA;NA;
4;13;49.57;57.8;38.29;NA;53.55;54.36;63;46.57;37.81;NA;NA;NA;
4;14;46.32;57.65;36.25;NA;45.27;44.37;52.9;47.43;36.66;NA;NA;NA;
4;15;48.5;57.95;46;NA;47.36;52.83;49.16;57.95;31.74;NA;NA;NA;
4;16;44.8;54.78;38.19;NA;36.65;50.74;49.09;54.9;36.83;NA;NA;NA;
4;17;41.14;47.35;26.07;NA;34.22;39.95;39.69;46.28;27.92;NA;NA;NA;
4;18;33.49;33;12.2;NA;15.08;14.33;27.5;37.64;24.22;NA;NA;NA;
4;19;26.07;27.31;4.53;NA;5.96;1.98;15.53;35.12;26.62;NA;NA;NA;
4;20;13.09;21.84;1.99;NA;5.09;1.82;17.69;36.46;17.21;NA;NA;NA;
4;21;3.12;16.99;1.03;NA;4.12;1.69;8.36;33.97;2.03;NA;NA;NA;
4;22;2.99;12.16;0.01;NA;3.96;2.18;1.96;27.07;1.68;NA;NA;NA;
4;23;1.84;19.22;0;NA;3.58;1.66;11.96;15.9;9.44;NA;NA;NA;
5;0;4.92;19.43;0;NA;1.77;2.08;19.47;1.85;0.87;NA;NA;NA;
5;1;9.31;16.37;2.45;NA;3.33;2.61;13.45;12.97;ND;NA;NA;NA;
5;2;15.03;ND;6.78;NA;ND;3.03;21.53;2.01;0.12;NA;NA;NA;
5;3;6.85;11.39;6.53;NA;5.39;3.21;19.69;0.78;0.2;NA;NA;NA;
5;4;2.27;2.58;4.68;NA;3.71;2.23;23.81;0.54;0.18;NA;NA;NA;
5;5;1.51;3.23;0.5;NA;4.42;2.16;6.92;0.55;0.15;NA;NA;NA;
5;6;2.74;1.48;0.62;NA;3.35;2.73;11.23;0.75;0.25;NA;NA;NA;
5;7;6.48;11.31;2.49;NA;10.23;4.56;10.36;2.81;1.44;NA;NA;NA;
5;8;15.82;12.69;5.27;NA;18.16;12.62;26.01;10.65;4.85;NA;NA;NA;
5;9;22.82;20.9;14.25;NA;28.75;19.04;30.91;24.75;14.57;NA;NA;NA;
5;10;37.98;44.86;23.25;NA;41.72;37.88;38.44;36.84;34.74;NA;NA;NA;
5;11;49.03;59;35.44;NA;55.87;49.05;48.15;53.37;45.43;NA;NA;NA;
