DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;14.95;22.45;4.85;NA;5.37;1.48;13.55;24.6;0.17;NA;NA;NA;
1;1;17.95;24.06;3.4;NA;13.83;1.62;15.73;25.3;ND;NA;NA;NA;
1;2;16.8;ND;ND;NA;18.32;4.74;13.24;23.98;0.18;NA;NA;NA;
1;3;13.57;24.81;0.33;NA;3.75;8.28;6.01;21.33;0.16;NA;NA;NA;
1;4;14.77;23.43;0;NA;0.74;1.98;3.5;20.8;0.12;NA;NA;NA;
1;5;13.8;15.19;0.11;NA;0.61;1.58;3.03;22.06;0.13;NA;NA;NA;
1;6;4.51;6.51;0.61;NA;2.7;2.49;2.74;18.29;0.31;NA;NA;NA;
1;7;7.28;7.18;2.93;NA;6.63;4.86;23.12;20.03;2.68;NA;NA;NA;
1;8;17.29;15.42;13.34;NA;22.84;16.17;29.23;22.14;7.74;NA;NA;NA;
1;9;29.24;30.69;18.09;NA;31.74;20.64;31.51;26.69;23.64;NA;NA;NA;
1;10;43.97;39.08;31.39;NA;36.88;33.49;38.36;42.53;28.39;NA;NA;NA;
1;11;36.73;39.73;31.39;NA;47.43;44.86;32.02;50.55;26.59;NA;NA;NA;
1;12;39.72;42.66;41.38;NA;33.97;49.64;40.85;53.42;39.36;NA;NA;NA;
1;13;34.81;45.61;30.69;NA;31.53;29.01;34;50.13;27.72;NA;NA;NA;
1;14;29.98;37.79;28.05;NA;37.53;30.29;40.67;46.34;30.35;NA;NA;NA;
1;15;23.88;25.49;31.39;NA;21.28;32.78;31.08;40.6;23.74;NA;NA;NA;
1;16;23.44;25.6;14.21;NA;18.46;14.96;30.81;27.28;17.36;NA;NA;NA;
1;17;9.63;15.92;ND;NA;7.71;12.12;12.43;7.65;1.28;NA;NA;NA;
1;18;1.74;8.67;ND;NA;1.86;2.98;7.28;9.96;0.27;NA;NA;NA;
1;19;2.91;5.39;ND;NA;1.44;3.11;4.29;11.92;0.08;NA;NA;NA;
1;20;2.73;17.28;0.67;NA;3.19;3.21;3.16;19.2;0.2;NA;NA;NA;
1;21;0.78;17.99;1.96;NA;1.99;1.98;ND;21.49;0.17;NA;NA;NA;
1;22;1.21;20.4;0.6;NA;1.03;1.93;ND;23.46;0.19;NA;NA;NA;
1;23;7.07;22.9;1.07;NA;1.46;1.54;ND;26.49;0.16;NA;NA;NA;
2;0;11.05;23.72;6.54;NA;3.09;8.05;1.02;ND;0.15;NA;NA;NA;
2;1;7.62;22.39;5.34;NA;4.45;11.23;ND;23.82;0.15;NA;NA;NA;
2;2;ND;21.51;8.11;NA;ND;ND;0.45;22.45;5.28;NA;NA;NA;
2;3;14.97;22.93;10.77;NA;4.4;7.09;0.77;19.65;7.12;NA;NA;NA;
2;4;16.13;24.44;10.82;NA;2.96;6.41;1.16;20.93;14.94;NA;NA;NA;
2;5;13.4;19.16;7.82;NA;2.15;5.88;1.3;20.84;10.06;NA;NA;NA;
2;6;1.81;7.08;1.52;NA;2.42;2.67;1.33;10.82;5.81;NA;NA;NA;
2;7;3.51;13.56;1.5;NA;2.69;3.93;9.9;13.75;8.72;NA;NA;NA;
2;8;12.25;24.04;3.32;NA;9.44;6.41;16.97;20.71;12.86;NA;NA;NA;
2;9;18.09;21.34;6.91;NA;16.66;11.76;21.34;26.75;18.96;NA;NA;NA;
2;10;32.64;37.06;14.53;NA;24.86;21.08;27.49;38.77;28.42;NA;NA;NA;
2;11;52.29;50.9;28.21;NA;36.36;33.7;35.88;56.74;39.46;NA;NA;NA;
2;12;56.89;50.49;32.59;NA;48.21;48.05;52.26;68.78;49.68;NA;NA;NA;
2;13;49.99;52.92;38.46;NA;54.53;53.73;69.89;79.49;46.77;NA;NA;NA;
2;14;40.54;49.95;34.9;NA;59.68;48.52;52.31;59.84;55.18;NA;NA;NA;
2;15;30.19;45.01;25.19;NA;40.46;39.33;29.72;54.39;38.53;NA;NA;NA;
2;16;24.48;34.65;9.01;NA;16.06;17.25;27.51;31.25;23.59;NA;NA;NA;
2;17;7.19;18.61;4.33;NA;7.19;4.24;15.43;12.7;15.59;NA;NA;NA;
2;18;2.61;7.91;1.36;NA;3.56;2.85;6.43;10.56;9.95;NA;NA;NA;
2;19;2.18;13.17;0.27;NA;1.92;2.29;2.43;7.96;0.64;NA;NA;NA;
2;20;0.71;13.14;0.2;NA;2.55;2.35;1.36;9.74;0.14;NA;NA;NA;
2;21;0.39;1.53;0.11;NA;2.46;2.32;1.86;15.12;0.93;NA;NA;NA;
2;22;0.49;5.99;0;NA;2.34;1.83;2.42;16.74;7.29;NA;NA;NA;
2;23;1.48;13.83;0;NA;0.78;1.59;1.26;11.93;13.47;NA;NA;NA;
3;0;3.29;15.28;0;NA;1.12;1.75;4.11;19.35;9.6;NA;NA;NA;
3;1;6.58;8.49;0.07;NA;0.59;2.27;11.94;19.93;ND;NA;NA;NA;
3;2;ND;ND;ND;NA;3.25;5.2;17.26;16.97;0.08;NA;NA;NA;
3;3;3.51;9.91;1.7;NA;3.34;7.87;19.5;18.24;0.1;NA;NA;NA;
3;4;1.64;10.1;0.51;NA;3.96;9.38;22.73;6.84;0.16;NA;NA;NA;
3;5;2.46;5.02;3.59;NA;2.07;7.66;23.66;0.48;0.31;NA;NA;NA;
3;6;1.99;4.37;3.87;NA;5;4.51;23.23;0.76;0.39;NA;NA;NA;
3;7;6.65;9.14;14.26;NA;18.93;13.67;27.21;5.4;1.95;NA;NA;NA;
3;8;19.84;17.23;18.44;NA;23.93;22;31.64;16.05;8.65;NA;NA;NA;
3;9;30.69;27.64;20.06;NA;30.87;26.95;35.61;27.86;23.78;NA;NA;NA;
3;10;36.49;42.42;26.35;NA;41.19;34.74;37.94;38.16;31.68;NA;NA;NA;
3;11;40.58;43.56;30.3;NA;42.23;37.88;37.19;34.88;33.83;NA;NA;NA;
3;12;35.11;40.23;26.2;NA;39.66;36.76;33.03;31.68;37.76;NA;NA;NA;
3;13;28.82;36.57;20.55;NA;36.8;29.65;33.4;31.44;27.67;NA;NA;NA;
3;14;27.11;30.82;19.99;NA;32.2;23.74;30.06;29.5;27.42;NA;NA;NA;
3;15;23.79;29.56;15.45;NA;ND;21.28;29.32;26.87;23.7;NA;NA;NA;
3;16;18.09;27.91;11.93;NA;ND;18.79;23.96;24.88;20.77;NA;NA;NA;
3;17;12.58;25.58;9.47;NA;7.72;14.83;19.52;23.14;17.62;NA;NA;NA;
3;18;5.13;21.58;6.81;NA;8.59;4.93;15.95;16.92;10.16;NA;NA;NA;
3;19;2.57;12.57;7.13;NA;3.7;2.52;12.06;8.09;5.63;NA;NA;NA;
3;20;1.21;7.23;2.76;NA;2.99;4.68;18.34;3.1;0.53;NA;NA;NA;
3;21;0.93;5.58;0.87;NA;1.75;4.44;18.92;1.54;0.23;NA;NA;NA;
3;22;0.85;4;0.09;NA;1.5;6.11;19.29;0.26;0.23;NA;NA;NA;
3;23;0.8;6.19;0.15;NA;1.66;6.12;6.2;0.13;0.19;NA;NA;NA;
4;0;3.5;5.22;0.24;NA;1.31;2.82;16.77;ND;0.1;NA;NA;NA;
4;1;1.08;0.77;0.04;NA;1.01;4.34;ND;0.01;0.13;NA;NA;NA;
4;2;0.4;3.25;0.19;NA;1.41;ND;18.85;0;0.15;NA;NA;NA;
4;3;0.76;1.24;0.08;NA;1.36;2.38;14.35;0;0.14;NA;NA;NA;
4;4;0.57;0.52;0.28;NA;1.13;1.99;6.45;0;0.09;NA;NA;NA;
4;5;0.57;1.5;0.05;NA;0.59;3.43;2.52;0.03;0.19;NA;NA;NA;
4;6;1.2;2.54;0.44;NA;1.9;3.62;11.51;0.68;0.27;NA;NA;NA;
4;7;3.35;3.11;1.46;NA;3.86;4.56;16.98;1.58;1.9;NA;NA;NA;
4;8;10.33;11.23;4.38;NA;9.75;12.12;24.67;5.29;8.17;NA;NA;NA;
4;9;15.97;18.41;10.67;NA;20.34;22.78;30.17;15.12;21.31;NA;NA;NA;
4;10;25.83;34.18;16.12;NA;30.13;24.85;39.36;25.93;24.72;NA;NA;NA;
4;11;35.63;50.01;21.91;NA;34.23;33.44;47.27;36.78;27.6;NA;NA;NA;
4;12;38.1;49.46;24.63;NA;36.07;32.75;44.88;48.89;36.13;NA;NA;NA;
