DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;1.72;1.86;3.59;NA;2.15;2.3;ND;1.42;ND;NA;NA;NA;
1;1;1.61;ND;ND;NA;ND;2.38;ND;1.31;ND;NA;NA;NA;
1;2;1.43;2.4;4.34;NA;2.65;1.36;ND;1.57;ND;NA;NA;NA;
1;3;1.3;1.92;4.41;NA;2.48;0.97;ND;1.54;ND;NA;NA;NA;
1;4;1.16;1.65;4.71;NA;2.38;1.03;ND;1.45;ND;NA;NA;NA;
1;5;1.35;1.72;5.23;NA;2.89;2.14;ND;1.46;ND;NA;NA;NA;
1;6;1.61;2.01;5.7;NA;3.88;2.5;ND;1.43;ND;NA;NA;NA;
1;7;1.57;2.08;6.09;NA;25.68;4.33;ND;1.44;ND;NA;NA;NA;
1;8;2.74;2.17;9.38;NA;6.43;7.91;ND;1.89;ND;NA;NA;NA;
1;9;2.37;2.28;7.05;NA;2.25;3.47;ND;2.61;ND;NA;NA;NA;
1;10;1.9;1.7;4.99;NA;2.44;0.92;ND;2.4;ND;NA;NA;NA;
1;11;2;2.79;3;NA;2.3;0.7;ND;2.53;ND;NA;NA;NA;
1;12;1.33;2.84;2.61;NA;1.99;1.39;ND;4.61;ND;NA;NA;NA;
1;13;1.17;2.79;1.97;NA;1.59;0.81;ND;6.51;ND;NA;NA;NA;
1;14;1.02;2.71;1.89;NA;1.25;1.23;ND;4.74;ND;NA;NA;NA;
1;15;1.12;2.1;2.26;NA;1.33;0.76;ND;3.35;ND;NA;NA;NA;
1;16;1.17;2.41;2.19;NA;1.27;0.64;ND;2.68;ND;NA;NA;NA;
1;17;1.19;2.82;ND;NA;1.25;1.14;ND;4.04;ND;NA;NA;NA;
1;18;1.39;2.32;ND;NA;2.81;2.41;ND;4.55;ND;NA;NA;NA;
1;19;1.57;2.14;3.73;NA;3.73;2.24;ND;2.27;ND;NA;NA;NA;
1;20;1.47;1.92;ND;NA;5.04;2.46;ND;1.72;ND;NA;NA;NA;
