DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;0.4;ND;ND;NA;ND;0.14;0.79;NA;ND;NA;NA;NA;
1;1;0.34;0.34;0.24;NA;0.31;0.11;0.78;NA;ND;NA;NA;NA;
1;2;0.34;0.29;0.22;NA;0.3;0.09;0.77;NA;ND;NA;NA;NA;
1;3;0.35;0.33;0.23;NA;0.31;0.1;0.75;NA;ND;NA;NA;NA;
1;4;0.4;0.33;0.26;NA;0.34;0.14;0.78;NA;ND;NA;NA;NA;
1;5;0.7;0.95;0.29;NA;0.59;0.28;0.82;NA;ND;NA;NA;NA;
1;6;2.15;2.33;0.59;NA;1.38;0.63;0.99;NA;ND;NA;NA;NA;
1;7;1.39;0.84;0.83;NA;0.86;0.64;0.97;NA;ND;NA;NA;NA;
1;8;1.03;0.65;0.75;NA;0.58;0.34;0.93;NA;ND;NA;NA;NA;
1;9;0.51;0.39;0.5;NA;0.61;0.36;0.88;NA;ND;NA;NA;NA;
1;10;ND;0.28;0.49;NA;0.49;0.32;0.9;NA;ND;NA;NA;NA;
1;11;ND;0.26;0.5;NA;0.51;ND;0.92;NA;ND;NA;NA;NA;
1;12;ND;0.34;0.5;NA;0.57;ND;0.95;NA;ND;NA;NA;NA;
1;13;0.42;0.36;0.49;NA;0.56;0.15;0.91;NA;ND;NA;NA;NA;
1;14;ND;0.35;0.38;NA;0.68;ND;0.99;NA;ND;NA;NA;NA;
1;15;0.37;0.31;0.34;NA;0.82;ND;1.17;NA;ND;NA;NA;NA;
1;16;0.38;ND;0.66;NA;0.86;0.55;1.04;NA;ND;NA;NA;NA;
1;17;0.43;ND;0.64;NA;1.11;0.73;1.15;NA;ND;NA;NA;NA;
1;18;0.57;0.36;0.88;NA;1.17;1.89;1.92;NA;ND;NA;NA;NA;
1;19;0.58;0.56;0.95;NA;1.25;1.31;1.08;NA;ND;NA;NA;NA;
1;20;0.73;0.39;0.83;NA;1.16;0.92;1.07;NA;ND;NA;NA;NA;
1;21;0.81;0.42;0.52;NA;1.15;0.55;1.14;NA;ND;NA;NA;NA;
1;22;0.79;0.44;0.69;NA;1.06;0.46;0.98;NA;ND;NA;NA;NA;
1;23;0.46;0.25;0.61;NA;0.92;0.48;0.88;NA;ND;NA;NA;NA;
2;0;0.37;0.54;0.43;NA;0.57;ND;ND;NA;ND;NA;NA;NA;
2;1;0.37;0.51;0.49;NA;0.67;0.34;0.82;NA;ND;NA;NA;NA;
2;2;0.45;0.35;0.44;NA;0.64;0.29;0.81;NA;ND;NA;NA;NA;
