DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;20.69;29.22;12.5;NA;23.94;8.2;NA;NA;ND;NA;NA;NA;
1;1;5.29;18.45;7.59;NA;5.33;15.09;NA;NA;ND;NA;NA;NA;
1;2;6.46;11.91;16.49;NA;12.37;10.77;NA;NA;ND;NA;NA;NA;
1;3;13.85;19.26;5.45;NA;14.44;12.15;NA;NA;ND;NA;NA;NA;
1;4;14.82;23.7;5.63;NA;4.1;8.07;NA;NA;ND;NA;NA;NA;
1;5;17.54;22.16;8.15;NA;10.71;11.04;NA;NA;ND;NA;NA;NA;
1;6;18.84;33.8;9.69;NA;4.21;16.57;NA;NA;ND;NA;NA;NA;
1;7;6.23;36.21;4.73;NA;18.69;18.24;NA;NA;ND;NA;NA;NA;
1;8;4.57;28.16;8.4;NA;20.75;10.92;NA;NA;ND;NA;NA;NA;
1;9;15.9;27.05;11.81;NA;14.99;6.2;NA;NA;ND;NA;NA;NA;
1;10;7.12;38.45;3.86;NA;14.29;10.75;NA;NA;ND;NA;NA;NA;
1;11;9.89;25.83;7.62;NA;7.16;7.17;NA;NA;ND;NA;NA;NA;
1;12;10.91;27.79;8.31;NA;1.97;5.35;NA;NA;ND;NA;NA;NA;
1;13;11.48;52.73;10.08;NA;2.52;17.82;NA;NA;ND;NA;NA;NA;
1;14;12.67;28.6;4.79;NA;10.72;12.09;NA;NA;ND;NA;NA;NA;
1;15;4.99;55.85;12.34;NA;20.98;10.42;NA;NA;ND;NA;NA;NA;
1;16;9.9;31.61;12.05;NA;7.74;18.34;NA;NA;ND;NA;NA;NA;
1;17;5.68;33.38;14.54;NA;7.15;8.85;NA;NA;ND;NA;NA;NA;
1;18;14.79;25.88;16.15;NA;19.72;15.17;NA;NA;ND;NA;NA;NA;
1;19;8.38;30.83;13.93;NA;24.64;26.97;NA;NA;ND;NA;NA;NA;
1;20;11.25;31.85;17.03;NA;24.13;37.01;NA;NA;ND;NA;NA;NA;
1;21;15.1;37.5;13.27;NA;28.95;21.04;NA;NA;ND;NA;NA;NA;
1;22;12.36;26.66;12.71;NA;17.31;22.47;NA;NA;ND;NA;NA;NA;
1;23;ND;32.45;9.74;NA;12.03;13.43;NA;NA;ND;NA;NA;NA;
2;0;13.94;30.61;11.24;NA;8.79;14.54;NA;NA;ND;NA;NA;NA;
2;1;7.46;19.89;10.26;NA;20.82;25.61;NA;NA;ND;NA;NA;NA;
2;2;7.33;0.24;9;NA;16.76;13.71;NA;NA;ND;NA;NA;NA;
2;3;10.08;35.32;11.52;NA;6.62;12.66;NA;NA;ND;NA;NA;NA;
2;4;16.97;43.56;2.32;NA;18.33;12.39;NA;NA;ND;NA;NA;NA;
2;5;4.29;36.98;6.99;NA;9.8;8.71;NA;NA;ND;NA;NA;NA;
2;6;6.55;28.59;8.53;NA;19.78;14.16;NA;NA;ND;NA;NA;NA;
2;7;4.44;21.07;2.4;NA;6.13;8.01;NA;NA;ND;NA;NA;NA;
2;8;9.95;24.14;8.56;NA;15.81;7.94;NA;NA;ND;NA;NA;NA;
2;9;14.29;54.65;7.04;NA;11.14;4;NA;NA;ND;NA;NA;NA;
2;10;10.14;57.17;6.17;NA;8.8;10.35;NA;NA;ND;NA;NA;NA;
2;11;11.36;37.19;4.66;NA;8.08;8.2;NA;NA;ND;NA;NA;NA;
