DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;8.38;7.25;7.45;NA;5.81;10.67;19.68;ND;0.3;NA;NA;NA;
1;1;11.06;10.69;10.98;NA;11.76;14.29;ND;0;0.61;NA;NA;NA;
1;2;ND;13.64;19.37;NA;14.81;ND;20.81;0;0.69;NA;NA;NA;
1;3;7.73;5.12;13.03;NA;13.49;3;20.36;0.04;0.4;NA;NA;NA;
1;4;0.19;2.48;6.29;NA;3.53;1.92;15.6;0;0.81;NA;NA;NA;
1;5;0;3.51;0.43;NA;1.32;2.18;12.78;0;1.12;NA;NA;NA;
1;6;0.91;2.5;0.64;NA;7.7;2.6;4.36;0.09;2.57;NA;NA;NA;
1;7;2.3;4.69;3.2;NA;2.94;3.29;8.58;0.65;3.55;NA;NA;NA;
1;8;12.67;20.95;8.2;NA;12.04;11.08;17.76;2.3;6.96;NA;NA;NA;
1;9;26.3;27.64;13.05;NA;28.16;19.66;28.06;5.86;25.15;NA;NA;NA;
1;10;30.64;27.85;23.08;NA;34.42;26.4;32.89;ND;28.35;NA;NA;NA;
1;11;31.06;33.41;25.05;NA;31.99;23.77;45.42;ND;34.76;NA;NA;NA;
1;12;45.26;45.38;39.69;NA;39.22;41.78;45.26;ND;47.59;NA;NA;NA;
1;13;47.86;46.64;46.78;NA;47.37;48;53.48;50.06;61.48;NA;NA;NA;
1;14;40.54;44.53;38.31;NA;49.92;51.23;44.1;43.76;57.36;NA;NA;NA;
1;15;42.13;43.21;38.87;NA;36.76;40.02;37.91;32.36;43.11;NA;NA;NA;
1;16;28.73;36.12;19.13;NA;15.32;18.44;28.81;19.58;14.35;NA;NA;NA;
1;17;19.55;29.37;20.76;NA;9.63;8.34;18.85;19.22;6.27;NA;NA;NA;
1;18;13.36;21.21;4.42;NA;0.39;2.72;9.1;23.43;3.84;NA;NA;NA;
1;19;14.86;16.45;6.33;NA;0.49;1.36;10.92;20.01;24.84;NA;NA;NA;
1;20;8.44;16.13;5.4;NA;1.74;1.44;3.41;18.04;16.4;NA;NA;NA;
1;21;6.54;10.51;5.4;NA;2.18;1.82;4.06;19.92;3.42;NA;NA;NA;
1;22;7.82;18.12;1.59;NA;3.26;2.87;7.9;14.15;17.47;NA;NA;NA;
1;23;1.21;20.3;1.02;NA;2.57;7.18;12.89;15.86;5.7;NA;NA;NA;
2;0;2.93;15.5;5.31;NA;3.01;8.33;9.62;ND;20.94;NA;NA;NA;
2;1;6.96;19.33;7.68;NA;5.06;5.74;8.61;20.23;11.73;NA;NA;NA;
2;2;7.21;ND;ND;NA;ND;9.16;4.86;16.1;8.64;NA;NA;NA;
2;3;3.11;19.12;5.51;NA;1.9;2.7;7.18;10.35;1.01;NA;NA;NA;
