DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;7.76;19.49;13.61;NA;40.26;10.66;ND;30.43;20.95;NA;NA;NA;
1;1;ND;12.59;5.34;NA;18.84;10.02;ND;11.08;20.56;NA;NA;NA;
1;2;5.27;11.57;2.7;NA;12.2;7.88;ND;8.73;16.66;NA;NA;NA;
1;3;4.41;6.09;3.47;NA;15.58;7.85;ND;7.97;13.17;NA;NA;NA;
1;4;3.07;0.99;3.85;NA;22.98;7.93;ND;7.69;10.4;NA;NA;NA;
1;5;2.69;0.86;2.58;NA;17.39;8.61;ND;5.94;16.99;NA;NA;NA;
1;6;2.36;0.68;2.67;NA;9.67;11.46;ND;6.02;23.2;NA;NA;NA;
1;7;2.74;0.81;1.74;NA;4.42;6.58;ND;6.54;26.43;NA;NA;NA;
1;8;2.4;1.28;1.67;NA;3.25;3.62;ND;7.62;24.45;NA;NA;NA;
1;9;2.24;1.17;1.94;NA;5.85;4.55;ND;9.52;20.02;NA;NA;NA;
1;10;1.63;1.36;2.76;NA;5.65;4.19;ND;10.81;31.74;NA;NA;NA;
1;11;3.28;2.76;3.7;NA;3.99;3.74;ND;12;5.85;NA;NA;NA;
1;12;3.67;2.43;4.23;NA;8.43;3.54;ND;17.36;19.36;NA;NA;NA;
1;13;2.05;2.23;6;NA;15.35;7.39;ND;15.08;17.47;NA;NA;NA;
1;14;2.17;1.25;4.54;NA;7.89;6.2;ND;12.82;8.35;NA;NA;NA;
1;15;1.23;0.41;3.57;NA;7.54;4.05;ND;9.32;6.78;NA;NA;NA;
1;16;1;0.41;1.19;NA;3.02;3.23;ND;6.91;5.56;NA;NA;NA;
1;17;1.21;0.63;0.64;NA;2.5;2.24;ND;6.45;7.29;NA;NA;NA;
1;18;1.3;0.75;1.54;NA;2.74;2.48;ND;5.09;9.68;NA;NA;NA;
1;19;1.57;0.56;1.29;NA;2.4;2.16;ND;4.93;37.27;NA;NA;NA;
1;20;1.47;0.33;1.06;NA;2.01;1.94;ND;5.44;23.36;NA;NA;NA;
1;21;1.07;0.39;0.76;NA;1.87;2.27;ND;5.13;21.78;NA;NA;NA;
1;22;1.08;0.17;0.19;NA;1.5;1.79;ND;5.24;24.64;NA;NA;NA;
1;23;0.98;0.1;0.31;NA;1.17;1.59;ND;5.04;4.91;NA;NA;NA;
2;0;1.04;0.24;0;NA;0.7;1.35;ND;4.46;20.6;NA;NA;NA;
2;1;0.81;ND;ND;NA;0.85;1.24;ND;4.56;4.44;NA;NA;NA;
2;2;0.92;0.13;0.78;NA;1.29;2.15;ND;4.53;4.46;NA;NA;NA;
2;3;1.12;0.14;1.45;NA;1.69;1.96;ND;4.46;4.55;NA;NA;NA;
2;4;1.54;0.47;2.04;NA;1.79;2.26;ND;4.66;5.05;NA;NA;NA;
2;5;2.32;1.8;2.82;NA;3.96;2.73;ND;5.18;6.09;NA;NA;NA;
2;6;4.63;3.2;3.87;NA;5.94;5;ND;5.81;7.64;NA;NA;NA;
2;7;3.36;2.91;3.16;NA;6.75;5.34;ND;20.5;12.05;NA;NA;NA;
2;8;3.43;1.36;5.68;NA;6.6;6.5;ND;18.49;11.05;NA;NA;NA;
2;9;5.56;3.05;8.88;NA;10.73;8.87;ND;9.81;16.25;NA;NA;NA;
2;10;6.89;5.74;8.76;NA;6.39;5.68;ND;7.98;39.58;NA;NA;NA;
2;11;4.08;4.07;4.41;NA;2.13;5.39;ND;10.48;28.58;NA;NA;NA;
2;12;4.77;6.72;4.52;NA;3.74;5.15;ND;9.32;14.53;NA;NA;NA;
2;13;5.25;3.06;5.61;NA;7.9;6.31;ND;9.81;22.95;NA;NA;NA;
2;14;2.99;0.96;3.44;NA;3.58;ND;ND;6.21;ND;NA;NA;NA;
2;15;2.88;1.13;2.74;NA;3.18;2.86;ND;5.87;ND;NA;NA;NA;
2;16;1.99;0.76;2.96;NA;2.41;3.43;ND;5.47;2.07;NA;NA;NA;
2;17;1.82;0.54;1.94;NA;2.45;2.23;ND;5.36;6.22;NA;NA;NA;
2;18;1.78;0.87;2.57;NA;2.69;1.92;ND;6.15;17.34;NA;NA;NA;
2;19;2.22;1.04;2.48;NA;3.57;2.64;ND;6.39;17.85;NA;NA;NA;
2;20;2.69;0.26;2.37;NA;3.41;2.7;ND;6.13;13.23;NA;NA;NA;
2;21;2.06;0.13;1.2;NA;2.42;1.93;ND;5.95;5.43;NA;NA;NA;
2;22;1.48;0.08;0.84;NA;1.41;1.33;ND;5.22;7.53;NA;NA;NA;
2;23;1.31;0.04;0.61;NA;1.16;1.1;ND;5.8;9.55;NA;NA;NA;
3;0;1.32;0.03;0.23;NA;1.03;1.09;ND;4.48;7.02;NA;NA;NA;
3;1;ND;0;0.18;NA;0.63;1.03;ND;4.46;7.53;NA;NA;NA;
3;2;1.48;0.06;0.47;NA;0.64;1.2;ND;4.3;3.07;NA;NA;NA;
3;3;1.61;0;1.01;NA;0.78;1.22;ND;5.46;2.47;NA;NA;NA;
3;4;2.01;0;0.82;NA;1.76;1.54;ND;5.47;5.42;NA;NA;NA;
3;5;1.61;0;0.49;NA;1.77;1.38;ND;5.2;8.43;NA;NA;NA;
3;6;3.88;ND;1.76;NA;4.37;2.95;ND;5.24;6.21;NA;NA;NA;
3;7;2.6;ND;3.23;NA;6.44;5.04;ND;5.64;10.26;NA;NA;NA;
3;8;4.5;0.36;5.84;NA;6.88;6.61;ND;17.31;18.86;NA;NA;NA;
3;9;4;1.66;6.96;NA;10.24;5.74;ND;14.16;23.05;NA;NA;NA;
3;10;ND;6.46;13.18;NA;14.78;9.14;ND;11.82;27.28;NA;NA;NA;
3;11;ND;1.2;11.26;NA;18.19;11.87;ND;14.83;23.08;NA;NA;NA;
3;12;ND;0.05;9.57;NA;11.56;8.98;ND;14.95;12.45;NA;NA;NA;
3;13;ND;1.95;8.37;NA;9.28;8.4;ND;7.63;3.57;NA;NA;NA;
3;14;ND;3.73;2.47;NA;ND;4.5;ND;4.68;2.05;NA;NA;NA;
3;15;ND;ND;3.04;NA;1.81;ND;ND;4.32;1.84;NA;NA;NA;
3;16;ND;ND;2.31;NA;2.51;3.32;ND;4.45;1.89;NA;NA;NA;
3;17;ND;0.61;2.76;NA;2.22;3.04;ND;4.94;2.01;NA;NA;NA;
3;18;ND;0.86;3.35;NA;2.27;3.19;ND;5.34;4.59;NA;NA;NA;
3;19;ND;0.61;4.11;NA;4.14;3.87;ND;5.19;4.12;NA;NA;NA;
3;20;ND;0.63;7.05;NA;7.97;7.37;ND;5.29;3.95;NA;NA;NA;
3;21;ND;0.4;7.93;NA;8.2;7.91;ND;4.67;5.18;NA;NA;NA;
3;22;ND;0.64;6.04;NA;6.16;4.62;ND;4.3;6;NA;NA;NA;
3;23;ND;0.38;2.98;NA;7.55;4.36;ND;4.24;3.75;NA;NA;NA;
4;0;ND;0.38;1.8;NA;4.97;3.24;ND;4.29;3.49;NA;NA;NA;
4;1;ND;0.09;ND;NA;3.8;ND;ND;4.23;3.23;NA;NA;NA;
4;2;ND;0.02;0.51;NA;3.02;3.93;ND;4.15;4.86;NA;NA;NA;
4;3;ND;0;0.63;NA;2.86;2.26;ND;4.23;3.37;NA;NA;NA;
4;4;ND;0;0.57;NA;1.71;1.84;ND;4.11;4.39;NA;NA;NA;
4;5;ND;0;0.45;NA;2.16;1.92;ND;4.39;3.26;NA;NA;NA;
4;6;ND;0.15;1.19;NA;3.37;2.1;ND;4.9;2.34;NA;NA;NA;
4;7;ND;2.02;4.03;NA;3.96;2.98;ND;5.5;2.93;NA;NA;NA;
4;8;ND;1.49;4.41;NA;5.13;2.81;ND;5.91;5.6;NA;NA;NA;
4;9;ND;0.88;3.2;NA;5.74;2.67;ND;6.09;32.08;NA;NA;NA;
