DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;6.01;2.06;0.44;NA;3.48;1.42;13.55;ND;0.1;NA;NA;NA;
1;1;4.4;2.51;0.18;NA;4.84;0.57;ND;0;0.01;NA;NA;NA;
1;2;4.63;0.97;ND;NA;ND;ND;12.6;0;0;NA;NA;NA;
1;3;3.97;1.08;0.24;NA;0.73;0.78;9.4;0;0;NA;NA;NA;
1;4;2.76;0.95;1.63;NA;1.14;1.33;0.53;0;0;NA;NA;NA;
1;5;1.28;1.43;0.46;NA;0.95;0.83;1.18;0;0.23;NA;NA;NA;
1;6;1.43;2.92;1.39;NA;3.73;1.96;5.54;0.29;0.67;NA;NA;NA;
1;7;7.9;11.99;7.25;NA;6.42;6.81;11.78;5.6;2.37;NA;NA;NA;
1;8;23.06;32.01;14.81;NA;15.7;17.03;25.25;17.93;9.22;NA;NA;NA;
1;9;41.72;45.82;29.42;NA;32.71;27.64;31.94;38.14;19.32;NA;NA;NA;
1;10;50.28;50.4;42.71;NA;37.37;47.77;66.36;50.45;31.41;NA;NA;NA;
1;11;55.52;56.35;54.59;NA;56.96;62.5;51.99;59.24;29.12;NA;NA;NA;
1;12;59.3;60.2;57.73;NA;67.69;67.86;67.59;58.53;52.06;NA;NA;NA;
1;13;53.71;54.97;53.54;NA;63.79;66.42;55.3;63.25;66.31;NA;NA;NA;
1;14;47.49;54.1;51.12;NA;42.98;54.29;55.44;52.95;53.85;NA;NA;NA;
1;15;47.9;50.09;43.48;NA;25.3;36.66;ND;50.25;44.41;NA;NA;NA;
1;16;45.11;47.42;40.31;NA;30.87;22.3;ND;49.48;31.59;NA;NA;NA;
1;17;40.84;38.42;15.14;NA;21.61;19.43;ND;37.06;17.56;NA;NA;NA;
1;18;24.11;28.49;10.07;NA;10.53;9.2;8.38;28.38;13.46;NA;NA;NA;
1;19;16.25;24.47;6.73;NA;9.81;7.99;5.88;23.63;16;NA;NA;NA;
1;20;10.94;12.97;1.42;NA;4.59;3.27;1.97;19.65;8.49;NA;NA;NA;
1;21;16.69;11.74;1.47;NA;3.7;2.43;4.39;8.73;9.63;NA;NA;NA;
1;22;14.5;23.79;2.96;NA;3.06;1.08;2.86;0.16;0.24;NA;NA;NA;
1;23;6.65;15.84;1.16;NA;2.75;1.26;8.3;0.34;0.08;NA;NA;NA;
2;0;6.52;7.69;0.4;NA;0.57;1.74;2.64;0.38;0.05;NA;NA;NA;
2;1;6.96;5.17;0.19;NA;2.15;1.9;10.32;0;ND;NA;NA;NA;
2;2;ND;ND;0.21;NA;1.18;1.58;7.73;0;0;NA;NA;NA;
2;3;7.99;1.07;0.19;NA;1.13;0.63;2.63;0;0.16;NA;NA;NA;
2;4;5.88;0.86;0.33;NA;0.74;0.42;5.47;0;0.01;NA;NA;NA;
2;5;5.53;1.05;0.54;NA;1.04;1.37;18.15;0;0;NA;NA;NA;
2;6;6.47;2.39;1.79;NA;5.32;2.56;17.66;0.13;0.7;NA;NA;NA;
2;7;19.24;15.11;9.64;NA;8.88;12.61;28.97;1.81;5.27;NA;NA;NA;
2;8;29.26;33.38;27.01;NA;27.46;33.17;34.2;13.51;18.77;NA;NA;NA;
2;9;43.04;43.84;43.35;NA;46.97;50.23;42.09;31.61;34.48;NA;NA;NA;
2;10;46.31;52.63;43.42;NA;45.17;48.18;46.84;41.69;26.25;NA;NA;NA;
2;11;45.83;58.7;47.37;NA;45.74;55.9;51.49;55.1;34.7;NA;NA;NA;
2;12;51.46;62.9;52;NA;53;59.36;51.54;55.47;52.15;NA;NA;NA;
2;13;55.67;53.12;46.41;NA;57.54;59.91;56.93;45.83;53.97;NA;NA;NA;
2;14;47.08;46.93;39.26;NA;48.74;44.83;45.25;39.8;36.55;NA;NA;NA;
2;15;43.55;43.95;39.39;NA;47.74;46.68;37.87;39.64;35.87;NA;NA;NA;
2;16;39.22;41.96;36.52;NA;42.96;40.8;35.02;38.1;29.21;NA;NA;NA;
2;17;40.22;39.09;34.92;NA;46.38;42.49;37.66;36.32;36.17;NA;NA;NA;
2;18;28.33;33.43;29.3;NA;31.19;29.31;30.75;23.54;20.6;NA;NA;NA;
2;19;31.49;30.53;17.65;NA;12.58;18.86;22.84;21.26;15;NA;NA;NA;
2;20;15.93;27.48;10.47;NA;11.93;14.1;16.49;11.99;2.14;NA;NA;NA;
2;21;11.93;23.99;18.29;NA;11.33;8.72;16.4;11.71;1.05;NA;NA;NA;
2;22;16.65;24.49;20.41;NA;3.97;16.04;26.35;4.27;0.35;NA;NA;NA;
2;23;12.43;25.76;21.21;NA;3.22;24;30.42;0.76;0.13;NA;NA;NA;
3;0;19.39;28.21;26.33;NA;8.21;24.86;30.77;ND;0;NA;NA;NA;
3;1;33.22;29.76;26.2;NA;13.67;30.13;ND;1.03;0.02;NA;NA;NA;
3;2;37.45;40.45;ND;NA;ND;ND;33.98;0.04;0;NA;NA;NA;
3;3;37.57;42.93;35.73;NA;29.4;32.28;35.06;7.41;0;NA;NA;NA;
3;4;25.63;32.43;21.71;NA;28.15;22.5;34.75;3;ND;NA;NA;NA;
3;5;13.66;4.34;14.53;NA;6.27;5.51;29.89;0.8;ND;NA;NA;NA;
3;6;4.59;3.54;9.44;NA;3.81;8.42;30.21;0.55;0.7;NA;NA;NA;
3;7;19.79;9.18;19.59;NA;10.35;21.28;38.19;1.78;2.94;NA;NA;NA;
3;8;35.89;26.97;25.81;NA;30.97;36.46;41.73;14.28;21.41;NA;NA;NA;
3;9;39.34;31.16;31.05;NA;42.92;40.05;44.17;21.67;32.99;NA;NA;NA;
3;10;42.3;44.45;38.51;NA;47.56;47.58;44.59;36.53;48.44;NA;NA;NA;
3;11;43.72;52.69;37.88;NA;53.45;ND;44.52;41.47;48.49;NA;NA;NA;
3;12;43.17;48.34;38.29;NA;50.14;ND;45.46;41.97;44.73;NA;NA;NA;
3;13;38.52;42.64;34.22;NA;44.16;45.2;45.59;37.07;40.2;NA;NA;NA;
3;14;39.47;45.11;34.47;NA;40.74;43.81;45.3;39.08;38.53;NA;NA;NA;
3;15;36.04;40.38;29.5;NA;36.07;39.99;38.93;38.01;37.48;NA;NA;NA;
3;16;35.02;38.57;29.4;NA;33.24;37.82;42.1;39.8;39.04;NA;NA;NA;
3;17;31.61;34.65;23.3;NA;31.42;33.54;33.71;38.71;34.84;NA;NA;NA;
3;18;22.53;23.67;16.88;NA;19.01;27.93;32.22;35.32;31.45;NA;NA;NA;
3;19;17.7;20.9;24.81;NA;11.65;23.23;32.61;36.52;15.31;NA;NA;NA;
3;20;15.31;21.55;10.25;NA;13.54;6.43;34.11;31.53;3.41;NA;NA;NA;
3;21;21.27;25.12;10.01;NA;2.64;18.57;38.72;30.61;3.17;NA;NA;NA;
3;22;25.41;25.46;23.13;NA;2.6;21.75;37.9;4.98;ND;NA;NA;NA;
3;23;27.64;28.82;30.39;NA;4;24.35;37.04;1.28;ND;NA;NA;NA;
4;0;37.33;29;35.2;NA;14.06;25.23;37.4;2.21;0.84;NA;NA;NA;
4;1;39.23;31.19;37.29;NA;27.82;30.74;37.67;2.92;ND;NA;NA;NA;
4;2;ND;32.34;38.27;NA;26.88;ND;38.73;2.83;1.23;NA;NA;NA;
4;3;34.11;27.46;34.89;NA;16.5;19.99;38.17;0.96;0.57;NA;NA;NA;
4;4;15.92;28.23;33.6;NA;22.53;25.97;34.74;0.06;2.55;NA;NA;NA;
4;5;12.9;16.74;30.1;NA;8.13;12.3;31.65;0;0.46;NA;NA;NA;
4;6;7.41;3.08;10.74;NA;3.51;11.02;26.36;0.35;0.69;NA;NA;NA;
4;7;8.63;5.84;7.31;NA;4.17;11.14;27.57;0.66;1.42;NA;NA;NA;
4;8;15.68;7.71;12.13;NA;17.69;15.26;27.14;2.14;1.26;NA;NA;NA;
4;9;19.19;15.77;9.3;NA;17.29;15.07;29.63;4.45;3.43;NA;NA;NA;
4;10;20.43;22.23;18.74;NA;25.9;24.53;32.82;10.35;12.43;NA;NA;NA;
4;11;33.53;32.65;30.11;NA;34.42;35.96;38.18;19.68;22.21;NA;NA;NA;
4;12;41.01;41.99;36.65;NA;41.74;40.25;41.04;ND;33.2;NA;NA;NA;
4;13;37.72;39.75;32.6;NA;40.3;42.47;39.67;ND;37.35;NA;NA;NA;
4;14;34.38;39.15;28.64;NA;35.47;35.25;40.4;ND;31.36;NA;NA;NA;
4;15;34.47;36.87;30.27;NA;36.71;38.07;39.42;35.27;37.09;NA;NA;NA;
4;16;29.59;30.4;23.77;NA;32.05;31.51;36.4;30.39;32.44;NA;NA;NA;
4;17;22.91;22.48;21.01;NA;18.38;21.94;28.51;27.74;24.64;NA;NA;NA;
4;18;15.38;12.7;17.31;NA;13.11;19.96;26.93;24.35;19.67;NA;NA;NA;
4;19;10.94;22.1;4.43;NA;15.53;11.21;27.11;14.26;13.44;NA;NA;NA;
4;20;13.77;20.42;2.74;NA;10.69;5.14;24.54;2.98;3.26;NA;NA;NA;
4;21;14.56;18.72;1.94;NA;7.33;6.64;25.36;1.01;1.12;NA;NA;NA;
4;22;20.05;14.95;7.27;NA;2.51;5.29;30.02;0.36;0.44;NA;NA;NA;
4;23;20.95;15.57;21.76;NA;1.76;3.01;33.45;0;0.13;NA;NA;NA;
5;0;28.04;17.61;22.44;NA;1.88;6.04;36.87;ND;0.28;NA;NA;NA;
5;1;21.29;19.99;15.85;NA;9.13;16.46;ND;0;0.06;NA;NA;NA;
5;2;20.54;ND;ND;NA;ND;16.9;40.77;0;0.39;NA;NA;NA;
5;3;17.13;11.96;22.22;NA;11.16;18.4;41.66;0;0.14;NA;NA;NA;
5;4;11.38;2.92;34.96;NA;13.24;22.81;39.08;0;0;NA;NA;NA;
5;5;5.95;2.73;27.89;NA;8.5;18.75;35.7;0;0.03;NA;NA;NA;
5;6;3.69;3.17;10.33;NA;3.31;15.94;33.76;0.2;0.85;NA;NA;NA;
5;7;7.61;8.88;16.29;NA;10.45;28.38;35.56;1.63;4.13;NA;NA;NA;
5;8;28.32;23.44;23.05;NA;28.21;28.64;38.55;2.41;9.26;NA;NA;NA;
5;9;38.5;35.82;29.04;NA;38.15;45.44;41.92;7.7;5.43;NA;NA;NA;
5;10;ND;44.67;38.21;NA;46.43;47.82;45.78;20.67;23.77;NA;NA;NA;
