DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;3.54;3.3;3.45;NA;3.52;2.41;ND;2.05;6.17;NA;NA;NA;
1;1;4.99;4.86;ND;NA;ND;ND;ND;2.93;5.14;NA;NA;NA;
1;2;5.27;11.69;2.26;NA;13.97;3.6;ND;2.65;5.31;NA;NA;NA;
1;3;5.43;12.25;2.83;NA;14.41;5.45;ND;2.89;5.33;NA;NA;NA;
1;4;4.69;7.59;3.08;NA;16.62;5.1;ND;2.76;8.5;NA;NA;NA;
1;5;6.11;11.04;3.65;NA;22.37;5.18;ND;2.68;6.24;NA;NA;NA;
1;6;8.52;10.2;6.75;NA;16.71;7.57;ND;4.13;6.36;NA;NA;NA;
1;7;8.46;9.45;8.92;NA;18.33;10.58;ND;8.06;10.1;NA;NA;NA;
1;8;8.39;8.85;8.79;NA;11.51;7.57;ND;9.08;17.56;NA;NA;NA;
1;9;8.93;8.88;7.37;NA;7.3;5.36;ND;7.03;16.8;NA;NA;NA;
1;10;15.9;ND;7.42;NA;7.96;3.36;ND;7.67;15.92;NA;NA;NA;
1;11;25.45;37.82;10.59;NA;5.56;4.18;ND;11.89;36.95;NA;NA;NA;
1;12;25.88;22.15;21.4;NA;10.12;9.4;ND;26.79;18.15;NA;NA;NA;
1;13;16.13;9.96;15.58;NA;21.72;14.8;ND;23.23;24.13;NA;NA;NA;
1;14;6.05;6.47;8.42;NA;16.09;7.4;ND;12.15;11.62;NA;NA;NA;
1;15;7.06;4.98;8.72;NA;13.98;13.4;ND;5.79;14.75;NA;NA;NA;
1;16;4.49;5.6;3.67;NA;10.02;9.47;ND;6;14.73;NA;NA;NA;
1;17;4.22;4.68;7.92;NA;9.52;9.17;ND;4.71;6.7;NA;NA;NA;
1;18;6.39;6.2;5.58;NA;9.36;8.73;ND;4.56;7.88;NA;NA;NA;
1;19;6.76;4.27;4.91;NA;7.06;5.56;ND;4.05;7.99;NA;NA;NA;
1;20;5.76;3.82;5.28;NA;11.44;6.63;ND;2.93;14.69;NA;NA;NA;
1;21;4.19;2.85;6.26;NA;10.05;6.94;ND;2.95;15.87;NA;NA;NA;
1;22;3.8;2.05;6.88;NA;10.07;6.98;ND;2.78;13.07;NA;NA;NA;
1;23;3.64;2.11;7.06;NA;8.1;7.2;ND;2.48;8.36;NA;NA;NA;
2;0;4.1;2.21;5.34;NA;11.85;8.11;ND;3.48;15.51;NA;NA;NA;
2;1;ND;7.87;6.2;NA;24.45;10.39;ND;11.28;9.13;NA;NA;NA;
2;2;3.34;15.85;6.62;NA;9.71;8.51;ND;9.94;7.32;NA;NA;NA;
2;3;4.73;13.26;6.9;NA;9.93;9.5;ND;4.75;15.53;NA;NA;NA;
2;4;7.23;6.45;6.06;NA;17.94;8.24;ND;4.85;9.58;NA;NA;NA;
2;5;7.6;4.74;4.92;NA;69.01;8.34;ND;2.92;8.4;NA;NA;NA;
2;6;7.62;5.66;4.26;NA;53.87;8.67;ND;4.23;9.97;NA;NA;NA;
2;7;10.84;10.74;8.26;NA;30.7;7.3;ND;17.02;18.07;NA;NA;NA;
2;8;9.58;11.41;3.32;NA;7.19;4.63;ND;11.14;16.14;NA;NA;NA;
2;9;6.11;9.2;1.68;NA;2.2;1.76;ND;6.65;9.56;NA;NA;NA;
2;10;3.33;3.89;1.5;NA;2.88;1.89;ND;6.54;23.12;NA;NA;NA;
2;11;1.47;2.01;1.21;NA;4.09;1.62;ND;3.23;14.04;NA;NA;NA;
2;12;1.41;2.05;0.78;NA;2.19;1.1;ND;1.93;3.8;NA;NA;NA;
2;13;6.13;13.18;0.86;NA;2.08;0.96;ND;1.71;2.97;NA;NA;NA;
2;14;19.4;19.58;10.01;NA;3.02;1.51;ND;8.54;1.79;NA;NA;NA;
2;15;12.3;8.36;10.77;NA;12.96;6.03;ND;19.39;15.72;NA;NA;NA;
2;16;11.34;10.94;12.33;NA;10.13;6.55;ND;21.32;30.13;NA;NA;NA;
2;17;5.58;4.31;12.32;NA;6.44;8.08;ND;18.35;10.08;NA;NA;NA;
2;18;4.66;3.17;10.11;NA;8.1;10.21;ND;10;6.51;NA;NA;NA;
2;19;7.49;5.18;5.27;NA;7.94;7.84;ND;4.17;5.2;NA;NA;NA;
2;20;9.84;8.18;11.51;NA;3.84;5.31;ND;3.4;6.2;NA;NA;NA;
2;21;6.46;15.88;5.73;NA;3.41;4.69;ND;3.64;5.8;NA;NA;NA;
2;22;4.65;18.91;4.26;NA;3.93;3.29;ND;3.79;5.85;NA;NA;NA;
2;23;6.15;19.58;2.62;NA;4.39;1.67;ND;7.38;4.94;NA;NA;NA;
3;0;12.02;22.29;1.26;NA;2.95;1.12;ND;3.74;4.58;NA;NA;NA;
3;1;21.57;ND;ND;NA;ND;ND;ND;3.65;4.32;NA;NA;NA;
3;2;20.06;19.5;8.95;NA;1.58;2.29;ND;4.54;4.19;NA;NA;NA;
3;3;8.64;6.57;9.46;NA;11.15;12.17;ND;13.41;7.91;NA;NA;NA;
3;4;5;4.74;5.06;NA;8.3;7.62;ND;8.74;6.96;NA;NA;NA;
3;5;6.25;7.81;2.75;NA;4.79;6.08;ND;7.75;9.81;NA;NA;NA;
3;6;10.74;15.66;2.31;NA;9.86;6.32;ND;7.91;12.03;NA;NA;NA;
3;7;5.14;13.8;2.18;NA;9.08;3.58;ND;15.63;14.2;NA;NA;NA;
3;8;2.53;7.49;2.61;NA;4.37;3.37;ND;13.47;9.36;NA;NA;NA;
3;9;2.65;7.9;2.98;NA;2.35;3.86;ND;9.91;4.68;NA;NA;NA;
3;10;2.33;4.66;2.89;NA;3.64;3.4;ND;4.91;2.72;NA;NA;NA;
3;11;1.76;2.76;1.45;NA;2.89;ND;ND;1.62;1.64;NA;NA;NA;
3;12;1.52;2.48;1.54;NA;2.6;2.82;ND;1.68;1.54;NA;NA;NA;
3;13;1.42;3.07;1.73;NA;2.84;2.26;ND;2.21;1.8;NA;NA;NA;
3;14;1.21;2.12;1.38;NA;1.83;2.34;ND;1.48;2.04;NA;NA;NA;
3;15;1.41;2.89;1.72;NA;1.9;2.51;ND;1.26;1.74;NA;NA;NA;
3;16;1.37;3.23;1.92;NA;2.54;2.55;ND;1.45;2;NA;NA;NA;
3;17;1.49;2.92;2.26;NA;1.79;2.69;ND;1.33;1.7;NA;NA;NA;
3;18;2.28;5.34;2.72;NA;2.32;2.71;ND;1.41;2.66;NA;NA;NA;
3;19;3.4;3.03;1.78;NA;6.6;2.67;ND;1.52;4.04;NA;NA;NA;
3;20;4.18;2.63;3.69;NA;5.42;7.65;ND;2.17;6.92;NA;NA;NA;
3;21;3.24;3.03;3.7;NA;9.41;4.76;ND;2.52;3.92;NA;NA;NA;
3;22;2.8;3.57;2.74;NA;7.57;2.81;ND;8.86;16.02;NA;NA;NA;
3;23;3.36;2.61;1.54;NA;8.01;2.7;ND;4.81;42.8;NA;NA;NA;
4;0;1.85;2.04;0.23;NA;7.01;4.31;ND;4.31;20.91;NA;NA;NA;
4;1;ND;1.61;0.1;NA;4.2;ND;ND;4.83;8.54;NA;NA;NA;
4;2;1.31;1.84;0.23;NA;4.08;3.79;ND;3.99;6.39;NA;NA;NA;
4;3;2.28;1.81;0.39;NA;5.57;3.55;ND;3.47;5.12;NA;NA;NA;
4;4;2.76;1.88;0.7;NA;4.09;4.41;ND;5.92;4.94;NA;NA;NA;
4;5;3.31;3.19;0.28;NA;6.06;4.38;ND;15.38;5.61;NA;NA;NA;
4;6;4.45;7.49;2.36;NA;9.36;5.27;ND;15.42;10.61;NA;NA;NA;
