DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;ND;ND;ND;NA;ND;ND;ND;NA;ND;NA;NA;NA;
1;1;0.27;0.41;0.36;NA;0.56;0.44;0.4;NA;ND;NA;NA;NA;
1;2;0.27;0.38;0.27;NA;0.43;0.38;0.39;NA;ND;NA;NA;NA;
1;3;0.24;0.37;0.29;NA;0.42;0.38;0.46;NA;ND;NA;NA;NA;
1;4;0.19;0.36;0.29;NA;0.41;0.38;0.46;NA;ND;NA;NA;NA;
1;5;0.24;0.41;0.26;NA;0.45;0.41;0.47;NA;ND;NA;NA;NA;
1;6;0.41;0.67;0.53;NA;0.86;0.59;0.84;NA;ND;NA;NA;NA;
1;7;1.28;1.3;0.86;NA;1.68;1.42;1.24;NA;ND;NA;NA;NA;
1;8;1.62;1.27;1.84;NA;1.28;1.86;0.69;NA;ND;NA;NA;NA;
1;9;1.04;0.81;1.49;NA;1.17;1.27;0.65;NA;ND;NA;NA;NA;
1;10;0.47;0.65;1.12;NA;1.02;0.79;0.5;NA;ND;NA;NA;NA;
1;11;0.3;0.54;1.01;NA;0.96;1.15;0.4;NA;ND;NA;NA;NA;
1;12;0.25;0.55;0.83;NA;1.1;0.95;0.49;NA;ND;NA;NA;NA;
1;13;0.3;0.6;0.78;NA;0.82;0.69;0.46;NA;ND;NA;NA;NA;
1;14;0.28;0.52;0.68;NA;0.76;0.66;0.51;NA;ND;NA;NA;NA;
1;15;0.26;0.53;0.58;NA;0.81;0.63;0.64;NA;ND;NA;NA;NA;
1;16;0.27;0.58;0.51;NA;0.8;0.71;0.56;NA;ND;NA;NA;NA;
1;17;0.24;0.61;0.86;NA;0.85;0.77;0.54;NA;ND;NA;NA;NA;
1;18;0.31;0.72;0.93;NA;1.09;1.07;0.65;NA;ND;NA;NA;NA;
1;19;0.68;0.7;1.03;NA;1.24;1.32;0.7;NA;ND;NA;NA;NA;
1;20;0.82;0.63;1.14;NA;1.52;1.04;0.66;NA;ND;NA;NA;NA;
1;21;0.79;0.66;0.98;NA;1.16;0.78;0.63;NA;ND;NA;NA;NA;
1;22;0.54;0.73;0.98;NA;0.84;0.79;0.57;NA;ND;NA;NA;NA;
1;23;0.56;0.6;0.75;NA;0.99;0.87;0.75;NA;ND;NA;NA;NA;
2;0;0.48;0.64;0.63;NA;1.01;0.83;0.5;NA;ND;NA;NA;NA;
2;1;0.52;0.54;0.51;NA;0.95;0.8;0.75;NA;ND;NA;NA;NA;
2;2;0.44;0.6;0.49;NA;0.69;0.69;0.72;NA;ND;NA;NA;NA;
2;3;0.65;0.74;0.44;NA;0.9;0.69;0.98;NA;ND;NA;NA;NA;
2;4;0.48;0.55;0.47;NA;0.86;0.89;0.93;NA;ND;NA;NA;NA;
2;5;0.43;0.51;0.51;NA;1.12;1.08;1.5;NA;ND;NA;NA;NA;
2;6;0.67;0.77;0.69;NA;1.71;1.15;1.9;NA;ND;NA;NA;NA;
2;7;0.82;0.69;0.88;NA;2.4;1.61;2.15;NA;ND;NA;NA;NA;
2;8;0.85;0.8;1.28;NA;2.03;1.42;1.63;NA;ND;NA;NA;NA;
