DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;18.55;20.31;20.82;NA;30.09;20.53;NA;NA;ND;NA;NA;NA;
1;1;15.49;7.92;19.99;NA;10.42;19.93;NA;NA;ND;NA;NA;NA;
1;2;14.53;4.33;16.58;NA;12.96;10.81;NA;NA;ND;NA;NA;NA;
1;3;9.36;11.25;10.31;NA;12.95;11.51;NA;NA;ND;NA;NA;NA;
1;4;16.3;9.54;9.92;NA;15.61;14.62;NA;NA;ND;NA;NA;NA;
1;5;6.44;3.73;15.2;NA;11.21;14.5;NA;NA;ND;NA;NA;NA;
1;6;11.37;25.92;7.14;NA;14.03;7.59;NA;NA;ND;NA;NA;NA;
1;7;13.68;9.29;14.56;NA;30.78;11.67;NA;NA;ND;NA;NA;NA;
1;8;32.54;24.91;26.32;NA;14.77;23.3;NA;NA;ND;NA;NA;NA;
1;9;22.75;17.02;22.48;NA;5.91;17.68;NA;NA;ND;NA;NA;NA;
1;10;19.64;5.17;25.35;NA;14.29;15.92;NA;NA;ND;NA;NA;NA;
1;11;19.42;17.01;34.07;NA;7.31;21.71;NA;NA;ND;NA;NA;NA;
1;12;5.59;5.09;19.71;NA;45.96;33.1;NA;NA;ND;NA;NA;NA;
1;13;7.75;2.96;25.46;NA;22.68;21.26;NA;NA;ND;NA;NA;NA;
1;14;7.93;10.06;20.58;NA;28.93;22.13;NA;NA;ND;NA;NA;NA;
1;15;7.37;3.77;10.32;NA;26.41;12.99;NA;NA;ND;NA;NA;NA;
1;16;15.99;12.54;18.49;NA;31.26;23.25;NA;NA;ND;NA;NA;NA;
1;17;16.21;10.87;20.15;NA;24.03;26.17;NA;NA;ND;NA;NA;NA;
1;18;5.1;21.78;18.03;NA;25.01;22.82;NA;NA;ND;NA;NA;NA;
1;19;10.12;17.25;12.09;NA;27.07;24.45;NA;NA;ND;NA;NA;NA;
1;20;18.88;15.29;18.4;NA;30.2;27.22;NA;NA;ND;NA;NA;NA;
1;21;15.68;12.03;16.08;NA;14.59;16.19;NA;NA;ND;NA;NA;NA;
1;22;13.27;20.38;16.23;NA;35.49;12.6;NA;NA;ND;NA;NA;NA;
1;23;16.2;12.71;16.01;NA;ND;21.86;NA;NA;ND;NA;NA;NA;
2;0;25.97;14.95;9.52;NA;23.46;29.68;NA;NA;ND;NA;NA;NA;
2;1;21.89;13.49;19.05;NA;23.23;24.35;NA;NA;ND;NA;NA;NA;
2;2;21.78;12.41;17.67;NA;31.29;18.09;NA;NA;ND;NA;NA;NA;
2;3;26.42;17.63;12.72;NA;33.07;22.68;NA;NA;ND;NA;NA;NA;
2;4;19.22;11.67;18.51;NA;26.16;19.97;NA;NA;ND;NA;NA;NA;
2;5;19.27;13.33;14.19;NA;33.69;26.9;NA;NA;ND;NA;NA;NA;
2;6;20.67;31.49;20.72;NA;42.01;33.96;NA;NA;ND;NA;NA;NA;
2;7;29.3;20.58;25.4;NA;59.63;32.48;NA;NA;ND;NA;NA;NA;
