DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;0.19;ND;0.28;NA;ND;ND;0.46;NA;ND;NA;NA;NA;
1;1;0.19;0.27;0.32;NA;0.42;0.68;0.44;NA;ND;NA;NA;NA;
1;2;0.14;0.26;0.2;NA;0.28;0.53;0.39;NA;ND;NA;NA;NA;
1;3;0.14;0.25;0.23;NA;0.32;0.57;0.37;NA;ND;NA;NA;NA;
1;4;0.13;0.25;0.16;NA;0.22;0.59;0.37;NA;ND;NA;NA;NA;
1;5;0.21;0.38;0.15;NA;0.37;0.55;0.36;NA;ND;NA;NA;NA;
1;6;0.31;0.49;0.36;NA;0.74;0.95;0.48;NA;ND;NA;NA;NA;
1;7;0.42;0.53;0.51;NA;0.96;1;0.47;NA;ND;NA;NA;NA;
1;8;0.45;0.53;0.57;NA;0.53;0.82;0.44;NA;ND;NA;NA;NA;
1;9;0.39;0.47;0.54;NA;0.35;0.68;0.39;NA;ND;NA;NA;NA;
1;10;0.23;0.51;0.38;NA;0.42;0.65;0.39;NA;ND;NA;NA;NA;
1;11;0.15;0.45;0.23;NA;0.46;0.47;0.46;NA;ND;NA;NA;NA;
1;12;0.11;0.42;0.25;NA;0.5;0.52;0.43;NA;ND;NA;NA;NA;
1;13;0.06;0.4;0.29;NA;0.66;0.8;0.56;NA;ND;NA;NA;NA;
1;14;0.05;0.38;0.36;NA;0.67;0.84;0.54;NA;ND;NA;NA;NA;
1;15;0.11;0.4;0.52;NA;0.57;0.85;0.75;NA;ND;NA;NA;NA;
1;16;0.39;0.56;0.55;NA;0.64;0.93;0.89;NA;ND;NA;NA;NA;
1;17;0.28;0.6;0.66;NA;0.67;1.16;0.96;NA;ND;NA;NA;NA;
1;18;0.35;0.48;0.59;NA;1.35;1.01;0.93;NA;ND;NA;NA;NA;
1;19;0.37;0.46;0.74;NA;1.37;1.01;1.28;NA;ND;NA;NA;NA;
1;20;0.51;0.47;0.66;NA;1.09;0.92;0.82;NA;ND;NA;NA;NA;
1;21;0.4;0.37;0.62;NA;0.88;0.81;0.71;NA;ND;NA;NA;NA;
1;22;0.24;0.3;0.36;NA;0.49;0.71;0.59;NA;ND;NA;NA;NA;
1;23;0.17;0.33;0.28;NA;0.3;0.65;0.53;NA;ND;NA;NA;NA;
2;0;ND;0.27;ND;NA;0.25;0.56;ND;NA;ND;NA;NA;NA;
2;1;0.08;0.23;0.17;NA;0.22;0.49;0.4;NA;ND;NA;NA;NA;
2;2;0.08;0.23;0.1;NA;0.19;0.46;0.36;NA;ND;NA;NA;NA;
2;3;0.13;0.27;0.1;NA;0.23;0.5;0.41;NA;ND;NA;NA;NA;
2;4;0.17;0.27;0.15;NA;0.29;0.53;0.43;NA;ND;NA;NA;NA;
2;5;0.27;0.59;0.23;NA;0.42;0.73;0.63;NA;ND;NA;NA;NA;
2;6;0.82;1.28;0.92;NA;1.68;1.31;0.73;NA;ND;NA;NA;NA;
2;7;0.96;1.4;1.06;NA;1.41;1.28;0.7;NA;ND;NA;NA;NA;
2;8;0.62;1.24;0.57;NA;1.08;0.75;0.58;NA;ND;NA;NA;NA;
2;9;0.61;0.73;0.85;NA;0.7;0.78;0.42;NA;ND;NA;NA;NA;
2;10;0.46;0.5;0.66;NA;0.52;ND;0.48;NA;ND;NA;NA;NA;
2;11;0.27;0.46;0.6;NA;0.43;ND;0.47;NA;ND;NA;NA;NA;
2;12;0.15;0.44;0.62;NA;0.45;0.49;0.45;NA;ND;NA;NA;NA;
2;13;0.06;0.5;0.51;NA;0.56;0.5;0.52;NA;ND;NA;NA;NA;
2;14;0.05;0.41;0.38;NA;0.66;0.48;0.68;NA;ND;NA;NA;NA;
2;15;0.06;0.39;0.6;NA;0.49;0.57;0.62;NA;ND;NA;NA;NA;
2;16;0.12;0.58;0.67;NA;0.66;0.75;0.82;NA;ND;NA;NA;NA;
2;17;0.63;0.8;1.33;NA;0.71;0.97;0.67;NA;ND;NA;NA;NA;
2;18;0.52;1.04;1.56;NA;1.18;1.06;0.78;NA;ND;NA;NA;NA;
2;19;0.47;1.08;1.13;NA;0.97;1.4;1.2;NA;ND;NA;NA;NA;
2;20;0.56;0.96;1.14;NA;1.03;1.85;0.66;NA;ND;NA;NA;NA;
2;21;0.52;0.86;1.45;NA;1.31;1.76;0.88;NA;ND;NA;NA;NA;
2;22;0.46;0.76;1.34;NA;1.11;2;0.6;NA;ND;NA;NA;NA;
2;23;0.52;0.81;1.05;NA;1.33;1.51;0.96;NA;ND;NA;NA;NA;
