DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;10.13;11.77;8;NA;ND;12.18;NA;NA;43.25;NA;NA;NA;
1;1;5.83;7.75;6.35;NA;ND;10.13;NA;NA;13.16;NA;NA;NA;
1;2;9.61;12.3;7.47;NA;ND;4.63;NA;NA;13.6;NA;NA;NA;
1;3;12.28;9.68;4.78;NA;ND;7.48;NA;NA;22.27;NA;NA;NA;
1;4;8.06;13.37;4.24;NA;ND;3.66;NA;NA;16.82;NA;NA;NA;
1;5;14.51;13.06;5.18;NA;ND;4.11;NA;NA;20.25;NA;NA;NA;
1;6;29.45;51.08;5.27;NA;ND;5.41;NA;NA;18.93;NA;NA;NA;
1;7;26.43;8.59;11.08;NA;ND;2.3;NA;NA;21.25;NA;NA;NA;
1;8;11.75;3.85;7.18;NA;ND;7.24;NA;NA;18.44;NA;NA;NA;
1;9;9.66;5.07;9.95;NA;ND;6.49;NA;NA;10.03;NA;NA;NA;
1;10;9.14;8.77;4.61;NA;ND;4.54;NA;NA;6.4;NA;NA;NA;
1;11;10.41;8.85;8.25;NA;ND;4.62;NA;NA;4.11;NA;NA;NA;
1;12;7.37;6.69;4.92;NA;ND;7.25;NA;NA;8.91;NA;NA;NA;
1;13;2.51;12.32;4.6;NA;ND;2.38;NA;NA;3.01;NA;NA;NA;
1;14;7.3;4.92;8.92;NA;ND;6.54;NA;NA;6.19;NA;NA;NA;
1;15;ND;17.55;6.99;NA;ND;8.8;NA;NA;10.58;NA;NA;NA;
1;16;ND;7.44;7.03;NA;ND;11.72;NA;NA;6.49;NA;NA;NA;
1;17;7.93;11.24;21.86;NA;ND;12.01;NA;NA;11.05;NA;NA;NA;
1;18;11.23;34.72;11.22;NA;ND;11.72;NA;NA;15.92;NA;NA;NA;
1;19;9.35;25.42;13.33;NA;ND;8.29;NA;NA;5.66;NA;NA;NA;
1;20;8.84;15.26;16.48;NA;ND;9.61;NA;NA;6.62;NA;NA;NA;
1;21;7;10.17;8.78;NA;ND;6.1;NA;NA;13.54;NA;NA;NA;
1;22;3.71;12.34;13;NA;ND;12.06;NA;NA;16.69;NA;NA;NA;
1;23;7.08;10.89;10.7;NA;ND;7.58;NA;NA;19.96;NA;NA;NA;
2;0;7.55;7.99;8.48;NA;ND;7.02;NA;NA;1.11;NA;NA;NA;
2;1;9.16;10.36;8.64;NA;ND;8.92;NA;NA;9.59;NA;NA;NA;
2;2;6.11;10.85;2.81;NA;ND;8.55;NA;NA;7.46;NA;NA;NA;
2;3;5.83;7.75;9.72;NA;ND;3.73;NA;NA;13.68;NA;NA;NA;
2;4;3.17;4.16;2.69;NA;ND;5.1;NA;NA;17.88;NA;NA;NA;
2;5;7.33;14.16;6.59;NA;ND;7.15;NA;NA;9.8;NA;NA;NA;
2;6;9.87;45.28;6.03;NA;ND;15.22;NA;NA;27.29;NA;NA;NA;
2;7;21.47;32.56;12.71;NA;ND;17.71;NA;NA;26.56;NA;NA;NA;
2;8;17.28;4.18;8.37;NA;ND;8.13;NA;NA;14.34;NA;NA;NA;
2;9;7.68;5.32;9.83;NA;ND;1.22;NA;NA;9.3;NA;NA;NA;
2;10;ND;6.42;6.02;NA;ND;8.82;NA;NA;10.91;NA;NA;NA;
2;11;ND;5.16;1.51;NA;ND;5.86;NA;NA;4.19;NA;NA;NA;
2;12;16.55;7.88;1.86;NA;ND;4.41;NA;NA;3.95;NA;NA;NA;
2;13;7.19;14.78;5.2;NA;ND;9.21;NA;NA;0.13;NA;NA;NA;
2;14;ND;11.55;8.84;NA;ND;3.84;NA;NA;7.78;NA;NA;NA;
2;15;8.17;10.14;10.66;NA;ND;6.99;NA;NA;6.11;NA;NA;NA;
2;16;14.6;9.5;4.36;NA;ND;7.04;NA;NA;5.82;NA;NA;NA;
2;17;2.56;14.2;15.94;NA;ND;5.07;NA;NA;5.08;NA;NA;NA;
2;18;0.18;30.9;17.69;NA;ND;13.86;NA;NA;12.12;NA;NA;NA;
2;19;1.87;28.13;15.51;NA;ND;12.86;NA;NA;17.34;NA;NA;NA;
2;20;17.19;29.39;15.17;NA;ND;14.36;NA;NA;25.42;NA;NA;NA;
2;21;19.79;29.53;12.12;NA;ND;14.28;NA;NA;5.66;NA;NA;NA;
2;22;16.53;30.8;7.91;NA;ND;8.73;NA;NA;21.34;NA;NA;NA;
2;23;12.47;20.6;8.96;NA;ND;10.7;NA;NA;21.88;NA;NA;NA;
3;0;21.68;22.02;1.82;NA;ND;4.93;NA;NA;35.41;NA;NA;NA;
3;1;16.99;27;3.12;NA;ND;11.2;NA;NA;24.99;NA;NA;NA;
3;2;17.59;17.85;6.01;NA;ND;7.93;NA;NA;33.76;NA;NA;NA;
3;3;9.6;17.93;5.51;NA;ND;5.03;NA;NA;26.7;NA;NA;NA;
3;4;11.33;20.74;7.82;NA;ND;6.67;NA;NA;9.43;NA;NA;NA;
3;5;16.31;21.62;5.97;NA;ND;9.82;NA;NA;4.03;NA;NA;NA;
3;6;30.7;77.4;15.36;NA;ND;10.52;NA;NA;29.35;NA;NA;NA;
3;7;49.32;94.32;12.62;NA;ND;16.67;NA;NA;32.22;NA;NA;NA;
3;8;42.64;28.23;11.35;NA;ND;6.2;NA;NA;20.17;NA;NA;NA;
3;9;9.08;5.45;6.12;NA;ND;6.62;NA;NA;25.5;NA;NA;NA;
3;10;ND;6.06;8.99;NA;ND;7.23;NA;NA;14.98;NA;NA;NA;
3;11;9.18;4.73;3.89;NA;ND;8.25;NA;NA;13.96;NA;NA;NA;
3;12;1.94;10.98;11.9;NA;ND;13.98;NA;NA;9.49;NA;NA;NA;
3;13;6.32;26.93;0.86;NA;ND;2.04;NA;NA;4.97;NA;NA;NA;
3;14;3.52;17.81;7.22;NA;ND;10.35;NA;NA;7.32;NA;NA;NA;
3;15;6.79;23.85;12.92;NA;ND;6.86;NA;NA;15.28;NA;NA;NA;
3;16;6.49;5.28;13.02;NA;ND;12.29;NA;NA;6.13;NA;NA;NA;
3;17;8.8;28.25;11.6;NA;ND;5.22;NA;NA;11.68;NA;NA;NA;
3;18;8.18;42.1;16.5;NA;ND;8.25;NA;NA;10.46;NA;NA;NA;
3;19;12.39;34.8;14.18;NA;ND;15.04;NA;NA;14.4;NA;NA;NA;
3;20;14.79;34.82;15.13;NA;ND;15;NA;NA;9.42;NA;NA;NA;
3;21;20.25;28.85;6.69;NA;ND;16.74;NA;NA;21.45;NA;NA;NA;
3;22;23.69;36.47;12.06;NA;ND;11.91;NA;NA;27.97;NA;NA;NA;
3;23;22.06;31.1;14.83;NA;ND;8.69;NA;NA;42.71;NA;NA;NA;
4;0;17.64;24.52;17.17;NA;ND;10.45;NA;NA;45.53;NA;NA;NA;
4;1;25.29;32.13;27.23;NA;ND;15.02;NA;NA;22.89;NA;NA;NA;
4;2;17.31;38.78;14.93;NA;ND;18.81;NA;NA;21.47;NA;NA;NA;
4;3;20.48;39.86;10.74;NA;ND;18.78;NA;NA;27.7;NA;NA;NA;
4;4;22.06;29.63;17.55;NA;ND;18.95;NA;NA;37.1;NA;NA;NA;
4;5;26.21;35.73;19.21;NA;ND;24.05;NA;NA;46.84;NA;NA;NA;
4;6;15.33;37.12;15.92;NA;ND;17.05;NA;NA;44.04;NA;NA;NA;
4;7;14.28;22.13;18.03;NA;ND;19.47;NA;NA;37.32;NA;NA;NA;
4;8;23.42;6.18;25.42;NA;ND;13.32;NA;NA;17.45;NA;NA;NA;
4;9;23.73;22.99;18.41;NA;ND;5.78;NA;NA;15.94;NA;NA;NA;
4;10;5.36;0.6;0.62;NA;ND;6.26;NA;NA;16.61;NA;NA;NA;
4;11;8.08;2.1;15.77;NA;ND;4.75;NA;NA;1.59;NA;NA;NA;
4;12;6.93;2.28;1.27;NA;ND;9.21;NA;NA;11.12;NA;NA;NA;
4;13;7.2;7.02;6.25;NA;ND;5.66;NA;NA;1.08;NA;NA;NA;
4;14;21.6;47.67;8.03;NA;ND;13.96;NA;NA;10.31;NA;NA;NA;
4;15;12.64;44.77;5.05;NA;ND;3.5;NA;NA;5.65;NA;NA;NA;
4;16;20.09;22.1;24.54;NA;ND;14.92;NA;NA;20.87;NA;NA;NA;
4;17;17.71;38.48;29.85;NA;ND;19.84;NA;NA;18.6;NA;NA;NA;
4;18;12.6;27.17;11.17;NA;ND;8.16;NA;NA;22.46;NA;NA;NA;
4;19;12.52;24.94;7.73;NA;ND;16.21;NA;NA;29.16;NA;NA;NA;
4;20;25.73;27.51;13.86;NA;ND;17.05;NA;NA;24.09;NA;NA;NA;
4;21;18.34;22.32;24.6;NA;ND;22.37;NA;NA;12.24;NA;NA;NA;
4;22;14;22.09;18.72;NA;ND;16.47;NA;NA;15.86;NA;NA;NA;
4;23;17.74;26.3;20.24;NA;ND;22.15;NA;NA;6.38;NA;NA;NA;
5;0;11.53;29.35;11.51;NA;ND;33.31;NA;NA;21.94;NA;NA;NA;
5;1;18.04;12.35;20.79;NA;ND;27.08;NA;NA;36;NA;NA;NA;
5;2;19.2;21.96;19.04;NA;ND;19.9;NA;NA;8.19;NA;NA;NA;
5;3;26.66;29.79;18.87;NA;ND;8.2;NA;NA;24.73;NA;NA;NA;
5;4;18.88;27.11;11.94;NA;ND;8.89;NA;NA;27.99;NA;NA;NA;
5;5;29.91;32.52;10.31;NA;ND;4.97;NA;NA;6.43;NA;NA;NA;
5;6;21.21;35.59;4.4;NA;ND;5.39;NA;NA;28.32;NA;NA;NA;
5;7;21.39;0.89;9.99;NA;ND;3.87;NA;NA;12.45;NA;NA;NA;
5;8;17.34;9.8;9.37;NA;ND;6.1;NA;NA;25.74;NA;NA;NA;
5;9;22.95;0.93;2.33;NA;ND;2.46;NA;NA;4.28;NA;NA;NA;
5;10;15;7.97;5.87;NA;ND;6.86;NA;NA;6.51;NA;NA;NA;
5;11;13.07;10.13;5.36;NA;ND;10.32;NA;NA;9.7;NA;NA;NA;
5;12;8.64;1.31;6.37;NA;ND;3.65;NA;NA;1.71;NA;NA;NA;
5;13;19.64;26.22;3.31;NA;ND;7.78;NA;NA;7.22;NA;NA;NA;
5;14;13.38;28.41;18;NA;ND;16.26;NA;NA;1.83;NA;NA;NA;
5;15;9.55;14.83;11.1;NA;ND;12.08;NA;NA;1.83;NA;NA;NA;
5;16;23.71;26.44;22.13;NA;ND;19.88;NA;NA;27.75;NA;NA;NA;
5;17;26.05;45.56;16.82;NA;ND;12.65;NA;NA;18.06;NA;NA;NA;
5;18;18.54;44.7;18.49;NA;ND;25.09;NA;NA;24.93;NA;NA;NA;
5;19;24.42;32.54;22.6;NA;ND;16.94;NA;NA;18.41;NA;NA;NA;
5;20;13.63;33.15;32.29;NA;ND;26.93;NA;NA;14.18;NA;NA;NA;
5;21;9.68;26.64;21.13;NA;ND;19.7;NA;NA;23.77;NA;NA;NA;
5;22;27.87;21.76;26.81;NA;ND;23.93;NA;NA;28.05;NA;NA;NA;
5;23;22.12;25.91;20.4;NA;ND;22.68;NA;NA;21.66;NA;NA;NA;
6;0;20.32;31.02;19.96;NA;ND;14.36;NA;NA;20.05;NA;NA;NA;
6;1;14.12;35.89;20.11;NA;ND;16.02;NA;NA;24.71;NA;NA;NA;
6;2;14.38;38.19;13.86;NA;ND;17.37;NA;NA;28.17;NA;NA;NA;
6;3;10.54;26.34;14.98;NA;ND;7.2;NA;NA;9.78;NA;NA;NA;
6;4;14.53;30.02;10.63;NA;ND;7.85;NA;NA;9.52;NA;NA;NA;
6;5;14.28;31.48;10.17;NA;ND;9.9;NA;NA;37.97;NA;NA;NA;
6;6;39.88;73.93;14.83;NA;ND;16.2;NA;NA;19.66;NA;NA;NA;
6;7;51.31;22.95;12.08;NA;ND;10.56;NA;NA;3.51;NA;NA;NA;
