DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;0.54;0.28;0.35;NA;ND;0.49;ND;NA;ND;NA;NA;NA;
1;1;0.52;0.28;0.34;NA;ND;0.47;0.86;NA;0.27;NA;NA;NA;
1;2;0.49;0.25;0.27;NA;ND;0.39;0.68;NA;0.25;NA;NA;NA;
1;3;0.5;0.28;0.29;NA;ND;0.41;0.63;NA;0.27;NA;NA;NA;
1;4;0.51;0.28;0.33;NA;ND;0.43;0.7;NA;0.31;NA;NA;NA;
1;5;0.77;0.63;0.39;NA;ND;0.52;0.85;NA;0.59;NA;NA;NA;
1;6;2.43;1.45;1.1;NA;ND;1.81;1.81;NA;1.05;NA;NA;NA;
1;7;2.86;1.13;1.67;NA;ND;2.62;1.19;NA;1.47;NA;NA;NA;
1;8;1.36;0.96;1.77;NA;ND;2.74;1.37;NA;1.03;NA;NA;NA;
1;9;1.51;1;2.36;NA;ND;2.2;0.65;NA;0.97;NA;NA;NA;
1;10;1.15;0.66;2.01;NA;ND;1.18;0.58;NA;0.63;NA;NA;NA;
1;11;0.69;0.42;0.71;NA;ND;0.82;0.47;NA;0.47;NA;NA;NA;
1;12;0.54;0.36;0.75;NA;ND;0.77;0.8;NA;0.37;NA;NA;NA;
1;13;0.58;0.34;0.73;NA;ND;0.75;ND;NA;0.34;NA;NA;NA;
1;14;ND;0.32;0.59;NA;ND;0.59;0.65;NA;0.33;NA;NA;NA;
1;15;0.26;0.29;0.45;NA;ND;0.68;0.7;NA;0.31;NA;NA;NA;
1;16;0.25;0.33;0.47;NA;ND;0.72;0.79;NA;0.38;NA;NA;NA;
1;17;0.29;0.38;0.51;NA;ND;0.88;0.61;NA;0.73;NA;NA;NA;
1;18;0.4;0.51;1.05;NA;ND;1.31;1.4;NA;0.73;NA;NA;NA;
1;19;0.57;0.5;1.29;NA;ND;1.49;1.88;NA;0.45;NA;NA;NA;
1;20;0.62;0.53;0.86;NA;ND;1;1.14;NA;0.34;NA;NA;NA;
1;21;0.85;0.44;1.03;NA;ND;1.3;1.07;NA;0.46;NA;NA;NA;
1;22;0.61;0.31;0.96;NA;ND;0.91;0.7;NA;0.39;NA;NA;NA;
1;23;0.65;0.31;0.58;NA;ND;0.74;0.78;NA;0.32;NA;NA;NA;
2;0;ND;ND;ND;NA;ND;ND;ND;NA;0.29;NA;NA;NA;
2;1;0.58;0.29;0.56;NA;ND;0.53;0.68;NA;0.29;NA;NA;NA;
2;2;0.46;0.27;0.44;NA;ND;0.51;0.52;NA;0.29;NA;NA;NA;
2;3;0.33;0.25;0.38;NA;ND;0.6;0.61;NA;0.29;NA;NA;NA;
2;4;0.37;0.25;0.35;NA;ND;0.62;0.8;NA;0.29;NA;NA;NA;
