DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;7.9;14.68;21.02;NA;ND;21.87;38.45;5.49;4.22;NA;NA;NA;
1;1;18.12;17.55;1.87;NA;ND;12.37;38.74;ND;4.91;NA;NA;NA;
1;2;17.64;14.05;3;NA;ND;0.18;35.41;5.01;4.93;NA;NA;NA;
1;3;5.17;2.5;4.69;NA;ND;3.17;34.04;1.76;5.55;NA;NA;NA;
1;4;1.43;2.04;1.58;NA;ND;14.97;33.46;1.03;3.3;NA;NA;NA;
1;5;0.84;3.37;0.51;NA;ND;11.05;30.42;0.75;3.19;NA;NA;NA;
1;6;1.87;7.57;11.05;NA;ND;9.17;31.44;1.54;7.91;NA;NA;NA;
1;7;4.78;12.49;19.23;NA;ND;16.34;45.22;4.74;11.01;NA;NA;NA;
1;8;21.91;24.75;32.09;NA;ND;27.87;35.95;20.08;23.96;NA;NA;NA;
1;9;34.48;37.45;41.46;NA;ND;38.64;40.75;42.85;44.41;NA;NA;NA;
1;10;40.29;47.85;48.65;NA;ND;44.7;51.05;46.98;52.64;NA;NA;NA;
1;11;38.8;48.98;42.17;NA;ND;43;43.95;40.1;49.69;NA;NA;NA;
1;12;41.85;41.69;41.24;NA;ND;37.97;42.66;40.03;43.41;NA;NA;NA;
1;13;40.8;40.52;43.4;NA;ND;39.08;52.44;40.78;40.59;NA;NA;NA;
1;14;36.53;36.82;42.64;NA;ND;39.21;49.24;39.01;39.84;NA;NA;NA;
1;15;35.41;36.98;38.14;NA;ND;34.83;42.89;36.77;37.94;NA;NA;NA;
1;16;34.43;33.48;33.24;NA;ND;28.59;41;35.7;35.42;NA;NA;NA;
1;17;27.74;33.14;25.14;NA;ND;23.42;35.03;31.96;31.29;NA;NA;NA;
1;18;19.15;24.99;23.49;NA;ND;18.6;29.75;28.15;26.86;NA;NA;NA;
1;19;15.97;21.31;12.96;NA;ND;16.47;18.9;25.16;25.09;NA;NA;NA;
1;20;3.13;14.88;12.98;NA;ND;11.03;21.03;15.63;11.85;NA;NA;NA;
1;21;3.93;10.89;11.01;NA;ND;4;23.81;18.17;9.23;NA;NA;NA;
1;22;4.27;10.28;17.25;NA;ND;21.69;25.51;10.24;8.64;NA;NA;NA;
1;23;9.66;9.89;21.47;NA;ND;5.14;28.35;2.47;5.51;NA;NA;NA;
2;0;9.21;9.05;13.98;NA;ND;7.52;29.72;1.57;4.39;NA;NA;NA;
2;1;6.19;14.25;20.91;NA;ND;19.3;35.95;1.47;4.86;NA;NA;NA;
2;2;19.12;3.86;38.02;NA;ND;27.1;ND;0.83;ND;NA;NA;NA;
2;3;32.9;21.01;44.75;NA;ND;30.01;44.93;0.88;4.02;NA;NA;NA;
2;4;34.23;16.7;46.42;NA;ND;33.2;45.67;0.66;4.91;NA;NA;NA;
2;5;30.94;11.59;45.46;NA;ND;31.52;43.16;1.09;5.95;NA;NA;NA;
2;6;18.32;20.08;40.26;NA;ND;22.15;40.04;2.51;6.03;NA;NA;NA;
2;7;19.7;23.71;39.74;NA;ND;29.14;48.83;10.16;14.74;NA;NA;NA;
2;8;33.97;31.8;41.78;NA;ND;32.15;45.17;27.09;33.94;NA;NA;NA;
2;9;38.84;41.21;45.12;NA;ND;38.76;47.13;41.36;41.74;NA;NA;NA;
2;10;40.22;42.5;45.33;NA;ND;42.84;44.63;40.78;44.87;NA;NA;NA;
2;11;41.35;42.67;46.3;NA;ND;43.21;48.09;44.27;44.74;NA;NA;NA;
2;12;42.36;41.56;46.17;NA;ND;42.82;48.36;43.13;44.23;NA;NA;NA;
2;13;44.61;43.07;46.72;NA;ND;43.32;48.97;43.63;43.55;NA;NA;NA;
2;14;42.73;42.07;46.58;NA;ND;43.49;49.96;43.03;42.27;NA;NA;NA;
2;15;35.76;35.46;40.86;NA;ND;44.2;43.07;37.72;37.91;NA;NA;NA;
2;16;29.25;37.37;34.35;NA;ND;37.38;34.17;34.31;33.53;NA;NA;NA;
2;17;25.39;33.95;28.5;NA;ND;27.66;39.71;31.92;30.05;NA;NA;NA;
2;18;16.01;24.57;20.54;NA;ND;22.63;29.3;26.87;26.02;NA;NA;NA;
2;19;12.4;20.06;18.48;NA;ND;10.48;48.19;24.45;22.92;NA;NA;NA;
2;20;12.92;14.38;8.11;NA;ND;6.36;28.24;15.43;15.27;NA;NA;NA;
2;21;15.33;3.56;20.66;NA;ND;13.22;31.43;5.34;22.28;NA;NA;NA;
2;22;26.06;11.19;30.17;NA;ND;20.99;33.23;11.13;29.4;NA;NA;NA;
2;23;30.44;18.79;34.95;NA;ND;24.75;36.23;14.32;32.62;NA;NA;NA;
