DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;9.01;27.74;9.98;NA;ND;15.12;NA;NA;22.15;NA;NA;NA;
1;1;4.94;12.63;17.96;NA;ND;14.4;NA;NA;2.7;NA;NA;NA;
1;2;7.37;7.47;16;NA;ND;15.16;NA;NA;19.22;NA;NA;NA;
1;3;14.5;15.36;10.43;NA;ND;12.45;NA;NA;11.18;NA;NA;NA;
1;4;9.76;9.83;15.5;NA;ND;12.37;NA;NA;16.63;NA;NA;NA;
1;5;10.21;16.69;9.13;NA;ND;14.07;NA;NA;15.63;NA;NA;NA;
1;6;14.38;16.18;13.14;NA;ND;9.12;NA;NA;17.81;NA;NA;NA;
1;7;16.4;18.24;16.21;NA;ND;13.8;NA;NA;19.43;NA;NA;NA;
1;8;15.74;16.6;17.38;NA;ND;14.14;NA;NA;5.7;NA;NA;NA;
1;9;12.25;9.76;15.11;NA;ND;16.51;NA;NA;21.75;NA;NA;NA;
1;10;12.1;10.03;15.6;NA;ND;22.17;NA;NA;17.37;NA;NA;NA;
1;11;15.01;16.32;13.72;NA;ND;8.26;NA;NA;25.38;NA;NA;NA;
1;12;24.89;22.21;13.67;NA;ND;11.48;NA;NA;29.72;NA;NA;NA;
1;13;16.36;17.07;22.51;NA;ND;19.72;NA;NA;19.49;NA;NA;NA;
1;14;12.88;11.51;17.14;NA;ND;11.93;NA;NA;10.65;NA;NA;NA;
1;15;7.15;15.01;16.87;NA;ND;6.81;NA;NA;8.02;NA;NA;NA;
1;16;4.44;12.69;15.23;NA;ND;11.75;NA;NA;10.69;NA;NA;NA;
1;17;13.95;16.38;12.82;NA;ND;13.49;NA;NA;9.19;NA;NA;NA;
1;18;14.25;16.47;8.28;NA;ND;20.45;NA;NA;14.96;NA;NA;NA;
1;19;9.46;7.8;14.09;NA;ND;9.67;NA;NA;10.45;NA;NA;NA;
1;20;14.37;12.64;13.02;NA;ND;13.75;NA;NA;13.04;NA;NA;NA;
1;21;8.07;10.88;14.69;NA;ND;12.5;NA;NA;7.24;NA;NA;NA;
1;22;14.08;12.44;7.96;NA;ND;12.41;NA;NA;4.53;NA;NA;NA;
1;23;8.39;5.97;11.16;NA;ND;9.87;NA;NA;ND;NA;NA;NA;
2;0;18.71;25.21;20.24;NA;ND;3.05;NA;NA;6.34;NA;NA;NA;
2;1;12.52;17.01;6.8;NA;ND;10.16;NA;NA;2.14;NA;NA;NA;
2;2;15.35;16.14;13.36;NA;ND;11.64;NA;NA;42.96;NA;NA;NA;
2;3;10.89;13.21;15.96;NA;ND;20.11;NA;NA;22.71;NA;NA;NA;
2;4;23.81;19.08;15.25;NA;ND;21.85;NA;NA;19.9;NA;NA;NA;
2;5;21.1;16.76;25.29;NA;ND;20.37;NA;NA;5.62;NA;NA;NA;
2;6;35.05;19.37;19.91;NA;ND;21.33;NA;NA;25.59;NA;NA;NA;
2;7;25.62;18.77;14.88;NA;ND;21.38;NA;NA;3.64;NA;NA;NA;
2;8;20.15;16.18;24.71;NA;ND;21.47;NA;NA;43.31;NA;NA;NA;
2;9;34.75;25.89;25.44;NA;ND;25.69;NA;NA;23.52;NA;NA;NA;
2;10;30.98;27.45;22.46;NA;ND;18.73;NA;NA;25.44;NA;NA;NA;
2;11;23.69;27.64;28.07;NA;ND;22.51;NA;NA;21.32;NA;NA;NA;
2;12;23.02;17.44;23.7;NA;ND;20.98;NA;NA;39.86;NA;NA;NA;
2;13;20.55;25.61;16.78;NA;ND;21.27;NA;NA;28.03;NA;NA;NA;
2;14;20.87;29.92;24.14;NA;ND;24.65;NA;NA;14.91;NA;NA;NA;
2;15;24.5;34.11;29.69;NA;ND;37.71;NA;NA;26.04;NA;NA;NA;
2;16;26.52;39.29;27.16;NA;ND;41.23;NA;NA;26.1;NA;NA;NA;
2;17;28.45;37.19;37.94;NA;ND;36.15;NA;NA;27.73;NA;NA;NA;
2;18;32.72;38.46;26.94;NA;ND;32.77;NA;NA;31.26;NA;NA;NA;
2;19;28.06;34.71;23.65;NA;ND;34.81;NA;NA;11.57;NA;NA;NA;
2;20;23.48;30.75;29.2;NA;ND;26.68;NA;NA;49.53;NA;NA;NA;
2;21;21.03;23.86;24.04;NA;ND;24.73;NA;NA;20.59;NA;NA;NA;
2;22;18.42;21.82;27.19;NA;ND;24.43;NA;NA;24.3;NA;NA;NA;
2;23;22.42;20.13;17.15;NA;ND;20.88;NA;NA;ND;NA;NA;NA;
3;0;14.06;19.35;14.13;NA;ND;21.25;NA;NA;22.92;NA;NA;NA;
3;1;22.02;23.18;24.19;NA;ND;20.75;NA;NA;4.01;NA;NA;NA;
3;2;25.06;27.66;22.3;NA;ND;26.1;NA;NA;37.33;NA;NA;NA;
3;3;24.14;30.38;29.19;NA;ND;35.46;NA;NA;32.21;NA;NA;NA;
3;4;34.41;28.03;31.51;NA;ND;29.14;NA;NA;28.04;NA;NA;NA;
3;5;33.08;28.3;30.95;NA;ND;33.34;NA;NA;15.84;NA;NA;NA;
3;6;32.68;39.06;26.6;NA;ND;39.52;NA;NA;39.12;NA;NA;NA;
3;7;37.31;27.17;28.96;NA;ND;25.06;NA;NA;13.66;NA;NA;NA;
3;8;37.71;33.44;29.87;NA;ND;36.85;NA;NA;27.6;NA;NA;NA;
3;9;39.85;35.11;29.63;NA;ND;26.65;NA;NA;32.86;NA;NA;NA;
3;10;44.38;28.92;26.41;NA;ND;15.96;NA;NA;18.28;NA;NA;NA;
3;11;35.38;35.65;23.8;NA;ND;25.67;NA;NA;9.08;NA;NA;NA;
3;12;26.34;31;27.29;NA;ND;18.4;NA;NA;33.85;NA;NA;NA;
3;13;19.89;30.33;24.44;NA;ND;18.09;NA;NA;28.44;NA;NA;NA;
3;14;16.13;9.4;5.53;NA;ND;10.84;NA;NA;11.64;NA;NA;NA;
3;15;14.32;18.62;13.11;NA;ND;20.81;NA;NA;10.53;NA;NA;NA;
3;16;16.32;20.17;7.63;NA;ND;7.35;NA;NA;13.53;NA;NA;NA;
3;17;15.1;19.7;24.43;NA;ND;7.96;NA;NA;20.8;NA;NA;NA;
3;18;14.75;26.12;21.67;NA;ND;20.99;NA;NA;16.18;NA;NA;NA;
3;19;18.33;24.03;12.07;NA;ND;20.87;NA;NA;24.8;NA;NA;NA;
3;20;19.4;20.86;17.24;NA;ND;14.79;NA;NA;14.56;NA;NA;NA;
3;21;15.62;18.01;15.92;NA;ND;16.5;NA;NA;18.42;NA;NA;NA;
3;22;20.61;18.99;17.14;NA;ND;12.79;NA;NA;6.05;NA;NA;NA;
3;23;ND;19.79;14.82;NA;ND;21.15;NA;NA;ND;NA;NA;NA;
4;0;6.48;14.81;26.13;NA;ND;22.42;NA;NA;33.7;NA;NA;NA;
4;1;16.95;25.18;15.89;NA;ND;18.08;NA;NA;8.6;NA;NA;NA;
4;2;27.99;15.17;18.28;NA;ND;21.11;NA;NA;34.51;NA;NA;NA;
4;3;21.08;21.41;22.9;NA;ND;22.57;NA;NA;21.76;NA;NA;NA;
4;4;23.89;25.27;27.16;NA;ND;22.6;NA;NA;22.62;NA;NA;NA;
4;5;28.52;24.55;17.85;NA;ND;23.86;NA;NA;16.33;NA;NA;NA;
4;6;37.61;36.15;24.42;NA;ND;28.83;NA;NA;16.65;NA;NA;NA;
4;7;42.72;43.43;40.02;NA;ND;43.54;NA;NA;39.1;NA;NA;NA;
4;8;41.9;30.88;50.46;NA;ND;48.54;NA;NA;25.36;NA;NA;NA;
4;9;51.91;26.21;45.92;NA;ND;38.53;NA;NA;26.45;NA;NA;NA;
4;10;40.93;36.35;43.15;NA;ND;31.56;NA;NA;27.46;NA;NA;NA;
4;11;36.51;34.44;25.84;NA;ND;28.98;NA;NA;17.61;NA;NA;NA;
4;12;22.9;19.04;27.53;NA;ND;ND;NA;NA;15.46;NA;NA;NA;
