DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;1.66;1.4;1.22;NA;ND;1.03;1.63;1.4;9.49;NA;NA;NA;
1;1;ND;ND;1.75;NA;ND;ND;ND;1.43;4.39;NA;NA;NA;
1;2;1.96;1;2.81;NA;ND;7.54;1.26;1.36;3.2;NA;NA;NA;
1;3;1.89;0.8;4.36;NA;ND;5.03;1.16;0.92;2.79;NA;NA;NA;
1;4;1.69;0.73;4.39;NA;ND;10.35;2.21;1.09;1.09;NA;NA;NA;
1;5;2.53;0.88;4;NA;ND;10.65;2.76;1.09;0.9;NA;NA;NA;
1;6;4.57;2.94;4.16;NA;ND;6.93;2.94;1.03;0.87;NA;NA;NA;
1;7;3.76;2.64;3.24;NA;ND;8.41;2.9;1.43;1.27;NA;NA;NA;
1;8;2.93;2.22;1.7;NA;ND;2.47;1.89;1.57;2.88;NA;NA;NA;
1;9;1.38;2.09;1.38;NA;ND;0.82;1.35;1.53;2.05;NA;NA;NA;
1;10;2.73;2.17;3.33;NA;ND;3.21;1.21;3.57;0.88;NA;NA;NA;
1;11;1.35;1.62;1.27;NA;ND;2.46;0.66;1.88;0.43;NA;NA;NA;
1;12;1.01;0.71;0.97;NA;ND;0.26;0.68;1.39;0.14;NA;NA;NA;
1;13;0.94;0.62;0.98;NA;ND;0.95;1.74;1.45;0.15;NA;NA;NA;
1;14;1.05;0.57;0.91;NA;ND;1.27;1.22;1.37;0.14;NA;NA;NA;
1;15;1.1;1.24;0.94;NA;ND;1.01;0.83;1.17;0.25;NA;NA;NA;
1;16;1.14;1.41;1.66;NA;ND;1.73;0.81;1.52;0.18;NA;NA;NA;
1;17;1.19;1.17;2.23;NA;ND;2.26;1.64;1.2;0.13;NA;NA;NA;
1;18;1.49;1.66;1.62;NA;ND;2.6;2.8;1.53;0.17;NA;NA;NA;
1;19;1.52;1.26;1.11;NA;ND;1.7;1.65;1.7;6.74;NA;NA;NA;
1;20;1.78;1.25;0.77;NA;ND;1.53;2.49;1.69;20.17;NA;NA;NA;
1;21;1.4;1.32;0.82;NA;ND;1.58;2.24;1.47;13.72;NA;NA;NA;
1;22;0.93;1.31;1.04;NA;ND;1.58;1.37;1.49;7.36;NA;NA;NA;
1;23;1.39;1.18;1.21;NA;ND;1.51;1.78;1.47;4.54;NA;NA;NA;
2;0;1.52;1.01;0.93;NA;ND;1.45;1.86;1.65;2;NA;NA;NA;
2;1;1.26;1.33;1.97;NA;ND;2.43;0.87;1.61;3.37;NA;NA;NA;
2;2;1.55;1.43;2.35;NA;ND;6.59;1.04;1.54;2.85;NA;NA;NA;
2;3;2.19;0.87;1.45;NA;ND;3.5;1.36;1.62;3.35;NA;NA;NA;
2;4;2.88;0.35;1.32;NA;ND;2.74;1.32;1.41;3.07;NA;NA;NA;
2;5;2.92;0.93;1.57;NA;ND;2.14;1.38;1.95;4.17;NA;NA;NA;
2;6;5.83;ND;1.71;NA;ND;2.77;1.22;3.04;6.66;NA;NA;NA;
2;7;5.62;2.78;2.67;NA;ND;4.99;2.36;4.66;8.46;NA;NA;NA;
2;8;2.68;3.54;2.63;NA;ND;3.1;3.19;3.51;5.15;NA;NA;NA;
2;9;1.84;2.39;1.94;NA;ND;1.75;2.22;5.31;3.45;NA;NA;NA;
2;10;1.4;1.76;1.77;NA;ND;3.05;1.55;1.72;1.25;NA;NA;NA;
2;11;0.84;1.05;1.43;NA;ND;1.72;1.65;1.17;1.29;NA;NA;NA;
2;12;0.72;ND;1.7;NA;ND;2.62;0.62;1.23;0.36;NA;NA;NA;
2;13;0.9;ND;1.84;NA;ND;2.02;0.55;1.27;0.11;NA;NA;NA;
2;14;1.2;ND;1.78;NA;ND;1.93;1.07;1.15;0.19;NA;NA;NA;
2;15;1.22;ND;1.01;NA;ND;2.11;0.43;1.04;0.18;NA;NA;NA;
2;16;1.07;ND;1.18;NA;ND;2.78;0.53;1.14;0.27;NA;NA;NA;
2;17;1.39;ND;1.17;NA;ND;2.34;0.73;1.31;0.39;NA;NA;NA;
2;18;1.77;ND;1.61;NA;ND;3.49;0.57;1.19;0.43;NA;NA;NA;
2;19;1.98;ND;1.84;NA;ND;3.73;0.65;1.01;0.74;NA;NA;NA;
2;20;2.35;ND;2.26;NA;ND;4.66;0.55;2.38;1.47;NA;NA;NA;
2;21;1.99;ND;1.59;NA;ND;4;0.6;2.53;1.3;NA;NA;NA;
2;22;1.94;ND;1.33;NA;ND;2.77;0.65;1.75;0.34;NA;NA;NA;
2;23;1.81;ND;0.8;NA;ND;2.29;0.27;1.83;0.45;NA;NA;NA;
3;0;2;ND;0.72;NA;ND;1.66;0.64;ND;4.44;NA;NA;NA;
3;1;2.5;ND;1.21;NA;ND;2.64;0.51;1.76;ND;NA;NA;NA;
3;2;2.88;ND;1.87;NA;ND;3.05;0.77;1.83;5.92;NA;NA;NA;
