DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;11.99;21.36;17.13;NA;29.76;17.29;12.9;20.33;11.71;NA;NA;NA;
1;1;5.53;13.9;11.64;NA;27.88;12;6.91;18.51;13.39;NA;NA;NA;
1;2;7.45;12.49;10.84;NA;11.97;9.6;10.85;15.3;8.89;NA;NA;NA;
1;3;5.67;15.44;6.8;NA;6.43;9.41;13.7;15.18;7.82;NA;NA;NA;
1;4;7.34;15.06;6.47;NA;7.25;12.39;16.75;17.87;8.73;NA;NA;NA;
1;5;5.08;14.4;6.47;NA;4.2;7.07;13.86;16.37;3.69;NA;NA;NA;
1;6;4.82;10.07;9.53;NA;6.65;11.62;10.16;17.46;12.81;NA;NA;NA;
1;7;12.91;15.71;15.55;NA;9.61;14.94;13.3;16.8;15.8;NA;NA;NA;
1;8;22.19;25.27;22.18;NA;16.23;24.28;20.96;19.17;19.78;NA;NA;NA;
1;9;34.42;35.36;34.96;NA;27.76;40.49;31.54;32.26;36.27;NA;NA;NA;
1;10;45.25;40.31;46.53;NA;35.71;52.26;43.05;46.28;35.97;NA;NA;NA;
1;11;37.42;38.09;49.29;NA;55.57;62.96;53.18;56.92;51.68;NA;NA;NA;
1;12;35.66;45.29;36.74;NA;32.04;47.56;46.75;45.06;51.94;NA;NA;NA;
1;13;33.49;42.76;33.79;NA;33.6;46.07;41.43;47.34;46.61;NA;NA;NA;
1;14;34.14;38.94;37.02;NA;17.25;34.92;53.9;42.53;37.01;NA;NA;NA;
1;15;29.43;33.17;32.27;NA;19.24;32.39;35.76;36.39;27.97;NA;NA;NA;
1;16;23.65;27.15;21.94;NA;24.17;25.21;31.95;29.06;20.94;NA;NA;NA;
1;17;19.64;23.46;11.5;NA;16.51;16.47;23.58;24.23;25.43;NA;NA;NA;
1;18;12.08;14.93;9.96;NA;15.58;5.13;15.47;19.75;22.54;NA;NA;NA;
1;19;10.37;16.22;5.97;NA;13.29;3.31;17.22;17.16;27.66;NA;NA;NA;
1;20;7.42;12.43;2.3;NA;6.46;1.69;16.07;16.89;27.18;NA;NA;NA;
1;21;5.66;17.72;9.81;NA;4.86;4.5;2.09;16.9;0.43;NA;NA;NA;
1;22;8.62;18.2;14.91;NA;6.91;14.6;9.09;17.51;5.78;NA;NA;NA;
