DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;ND;0.65;ND;0.56;ND;0.84;0.93;NA;ND;NA;NA;NA;
1;1;0.54;0.51;0.63;0.59;0.56;0.88;0.58;NA;ND;NA;NA;NA;
1;2;0.57;0.54;0.55;0.6;0.46;0.85;0.7;NA;ND;NA;NA;NA;
1;3;0.63;0.57;0.61;0.55;0.6;0.88;0.68;NA;ND;NA;NA;NA;
1;4;0.62;0.56;0.7;0.68;0.94;0.91;0.65;NA;ND;NA;NA;NA;
1;5;0.73;0.64;0.8;0.91;0.96;1.2;0.98;NA;ND;NA;NA;NA;
1;6;1.15;1.19;1.32;1.46;1.58;2.22;1.56;NA;ND;NA;NA;NA;
1;7;1.48;1.49;1.55;1.55;2.13;2.44;1.82;NA;ND;NA;NA;NA;
1;8;1.27;1.22;1.9;1.85;1.8;2.07;1;NA;ND;NA;NA;NA;
1;9;0.84;1.06;2.19;1.47;1.4;1.76;0.86;NA;ND;NA;NA;NA;
1;10;0.67;0.78;1.91;1.14;0.89;1.72;ND;NA;ND;NA;NA;NA;
1;11;0.56;0.59;1.11;0.6;0.56;1.05;ND;NA;ND;NA;NA;NA;
1;12;0.5;0.52;0.85;0.63;0.43;0.85;ND;NA;ND;NA;NA;NA;
1;13;0.49;0.51;0.95;0.56;0.45;0.8;0.61;NA;ND;NA;NA;NA;
1;14;0.5;0.51;0.84;0.67;0.4;0.82;0.66;NA;ND;NA;NA;NA;
1;15;0.51;0.53;0.84;0.78;0.62;1.02;0.71;NA;ND;NA;NA;NA;
1;16;0.51;0.63;0.87;0.8;0.77;1.18;0.79;NA;ND;NA;NA;NA;
1;17;0.68;0.6;1.53;0.82;0.76;1.28;0.83;NA;ND;NA;NA;NA;
1;18;0.68;0.56;1.99;1.05;0.84;1.45;0.9;NA;ND;NA;NA;NA;
1;19;0.77;0.6;2.13;1.46;1.05;1.93;0.94;NA;ND;NA;NA;NA;
1;20;0.79;0.75;1.52;1.69;0.8;1.41;0.8;NA;ND;NA;NA;NA;
1;21;1.09;0.95;1.42;1.14;1.34;1.54;0.93;NA;ND;NA;NA;NA;
1;22;1.35;1.03;1.08;0.92;1.21;1.66;0.66;NA;ND;NA;NA;NA;
1;23;1.33;0.9;0.71;0.71;1.03;1.18;0.79;NA;ND;NA;NA;NA;
2;0;1.23;ND;1.01;0.82;0.81;ND;ND;NA;ND;NA;NA;NA;
2;1;1.09;0.61;0.78;0.77;0.71;1.1;1.01;NA;ND;NA;NA;NA;
2;2;0.87;0.71;0.79;0.81;0.67;0.93;0.79;NA;ND;NA;NA;NA;
2;3;0.85;0.58;0.68;0.79;0.64;0.88;0.89;NA;ND;NA;NA;NA;
2;4;0.87;0.64;0.77;0.45;0.72;0.97;0.91;NA;ND;NA;NA;NA;
2;5;1;0.92;0.79;0.62;0.93;1.3;0.74;NA;ND;NA;NA;NA;
2;6;1.48;1.54;1.25;1.41;1.88;1.81;1.33;NA;ND;NA;NA;NA;
2;7;3.03;2.49;1.99;1.96;2.82;2.71;1.45;NA;ND;NA;NA;NA;
2;8;1.75;1.27;2.28;2.02;1.96;2.16;1.73;NA;ND;NA;NA;NA;
2;9;0.99;1.02;2.56;1.42;1.12;1.55;0.82;NA;ND;NA;NA;NA;
2;10;0.68;0.74;1.44;0.66;0.53;0.96;0.62;NA;ND;NA;NA;NA;
2;11;0.57;0.63;0.87;0.6;0.56;0.81;0.65;NA;ND;NA;NA;NA;
2;12;0.49;0.57;0.75;0.52;0.37;0.72;0.66;NA;ND;NA;NA;NA;
2;13;0.52;0.62;0.79;0.59;0.46;0.81;0.68;NA;ND;NA;NA;NA;
2;14;0.53;0.57;0.68;0.55;0.58;0.94;0.75;NA;ND;NA;NA;NA;
2;15;0.51;0.6;0.72;0.59;0.7;0.96;0.78;NA;ND;NA;NA;NA;
2;16;0.54;0.63;0.94;0.65;0.69;1.08;0.84;NA;ND;NA;NA;NA;
2;17;0.56;0.68;1.19;0.76;0.83;1.49;0.9;NA;ND;NA;NA;NA;
2;18;0.63;0.76;1.56;0.97;1.07;1.48;1.06;NA;ND;NA;NA;NA;
2;19;0.86;0.72;1.76;0.89;1.09;1.63;0.99;NA;ND;NA;NA;NA;
2;20;0.81;0.69;0.96;0.53;0.82;1.3;0.9;NA;ND;NA;NA;NA;
2;21;0.85;0.67;0.64;0.48;0.61;1.02;0.79;NA;ND;NA;NA;NA;
2;22;0.74;0.67;0.65;0.57;0.53;1.01;0.77;NA;ND;NA;NA;NA;
2;23;0.63;0.71;0.98;0.9;0.62;0.87;0.73;NA;ND;NA;NA;NA;
3;0;ND;0.56;ND;0.67;ND;1.26;0.72;NA;ND;NA;NA;NA;
3;1;0.54;0.55;0.85;0.64;0.51;1.23;0.68;NA;ND;NA;NA;NA;
3;2;0.47;0.53;0.74;0.54;0.76;1.22;0.63;NA;ND;NA;NA;NA;
3;3;0.42;0.54;0.72;0.48;0.8;1.07;0.63;NA;ND;NA;NA;NA;
3;4;0.48;0.65;0.76;0.44;0.82;1.14;0.68;NA;ND;NA;NA;NA;
3;5;0.66;0.81;0.72;0.66;0.82;1.02;0.85;NA;ND;NA;NA;NA;
3;6;1.16;0.99;1.25;1.26;1.45;1.77;1.72;NA;ND;NA;NA;NA;
3;7;1.85;1.17;2.04;2.08;1.84;2.31;1.11;NA;ND;NA;NA;NA;
3;8;1.68;1.2;2.29;2.11;1.73;1.67;0.55;NA;ND;NA;NA;NA;
3;9;0.95;0.99;0.9;1.11;0.49;0.87;0.59;NA;ND;NA;NA;NA;
3;10;ND;0.7;0.9;ND;0.4;0.79;0.68;NA;ND;NA;NA;NA;
3;11;ND;0.65;0.86;1.12;0.43;0.74;0.66;NA;ND;NA;NA;NA;
3;12;0.36;0.65;0.79;0.81;0.3;0.72;0.63;NA;ND;NA;NA;NA;
3;13;0.31;0.65;0.76;0.67;0.32;0.72;0.63;NA;ND;NA;NA;NA;
3;14;0.32;0.58;0.68;0.72;0.42;0.78;0.64;NA;ND;NA;NA;NA;
3;15;0.33;0.59;0.65;0.64;0.4;0.85;0.65;NA;ND;NA;NA;NA;
3;16;0.29;0.6;1.31;0.67;0.49;0.91;0.69;NA;ND;NA;NA;NA;
3;17;0.32;0.64;0.84;0.78;0.54;1.18;0.92;NA;ND;NA;NA;NA;
3;18;0.38;0.69;1.31;0.83;0.9;1.49;1.05;NA;ND;NA;NA;NA;
3;19;0.59;0.78;1.51;1.03;1.09;1.84;1.1;NA;ND;NA;NA;NA;
3;20;0.57;0.85;1.77;1.15;0.85;1.57;0.97;NA;ND;NA;NA;NA;
3;21;0.64;0.73;1.81;1.03;0.62;1.37;0.83;NA;ND;NA;NA;NA;
3;22;0.41;0.64;1.21;0.97;0.92;1.13;0.78;NA;ND;NA;NA;NA;
3;23;0.48;0.68;0.98;0.92;0.63;0.89;0.74;NA;ND;NA;NA;NA;
4;0;0.42;ND;0.64;0.66;0.44;ND;ND;NA;ND;NA;NA;NA;
4;1;0.35;0.73;0.62;0.57;0.4;0.77;0.68;NA;ND;NA;NA;NA;
4;2;0.31;0.7;0.53;0.55;0.36;0.74;0.73;NA;ND;NA;NA;NA;
4;3;0.3;0.6;0.59;0.6;0.37;0.79;0.76;NA;ND;NA;NA;NA;
4;4;0.31;0.62;0.57;0.57;0.43;0.83;0.71;NA;ND;NA;NA;NA;
4;5;0.43;0.79;0.64;0.67;0.59;0.93;0.82;NA;ND;NA;NA;NA;
4;6;0.51;0.79;0.97;0.9;1.18;1.57;0.89;NA;ND;NA;NA;NA;
4;7;0.78;1.01;1.6;1.17;1.25;1.87;0.79;NA;ND;NA;NA;NA;
4;8;0.94;0.83;1.84;1.43;1.21;1.62;0.65;NA;ND;NA;NA;NA;
4;9;0.4;0.74;2.04;1.31;1.2;1.99;0.65;NA;ND;NA;NA;NA;
4;10;0.34;0.75;1.55;0.99;0.84;1.86;0.68;NA;ND;NA;NA;NA;
4;11;0.35;0.66;1.13;0.97;0.57;1.13;0.65;NA;ND;NA;NA;NA;
4;12;0.36;0.64;0.94;0.95;0.57;1.04;0.7;NA;ND;NA;NA;NA;
4;13;0.35;0.66;0.89;0.86;0.58;0.92;0.89;NA;ND;NA;NA;NA;
4;14;0.36;0.65;1.01;0.92;0.48;0.85;0.79;NA;ND;NA;NA;NA;
4;15;0.38;0.67;0.99;0.82;0.65;0.93;0.9;NA;ND;NA;NA;NA;
4;16;0.38;0.67;1.05;0.75;0.81;1.33;0.95;NA;ND;NA;NA;NA;
4;17;0.4;0.68;1.34;0.87;0.86;1.39;1.21;NA;ND;NA;NA;NA;
4;18;0.54;0.72;2.26;1.17;1.03;1.5;1.37;NA;ND;NA;NA;NA;
4;19;0.74;0.74;2;1.27;1.45;2.13;1.03;NA;ND;NA;NA;NA;
4;20;0.85;0.82;2.05;1.27;2.04;1.62;0.93;NA;ND;NA;NA;NA;
4;21;0.89;0.92;1.74;1.17;1.31;1.4;0.89;NA;ND;NA;NA;NA;
4;22;0.85;0.99;1.13;0.86;1.43;1.58;0.82;NA;ND;NA;NA;NA;
4;23;0.61;0.86;0.85;0.64;0.72;1.36;0.94;NA;ND;NA;NA;NA;
5;0;0.62;0.94;ND;0.73;ND;1.41;0.78;NA;ND;NA;NA;NA;
5;1;0.57;1.09;1.05;0.64;0.79;1.43;0.86;NA;ND;NA;NA;NA;
5;2;0.68;0.92;0.94;0.79;0.44;1.09;0.59;NA;ND;NA;NA;NA;
5;3;0.47;1.15;0.86;0.76;0.52;0.97;0.8;NA;ND;NA;NA;NA;
5;4;0.57;0.9;0.82;0.72;0.63;1.05;1.13;NA;ND;NA;NA;NA;
5;5;0.81;1;0.93;0.93;1.18;1.38;1.1;NA;ND;NA;NA;NA;
5;6;1.42;1.14;1.3;1.19;1.71;1.89;1.07;NA;ND;NA;NA;NA;
5;7;1.42;1.32;1.5;1.51;2.76;2.53;1.3;NA;ND;NA;NA;NA;
5;8;1.35;1.39;2.17;2.06;1.59;1.56;0.68;NA;ND;NA;NA;NA;
5;9;1.16;1.23;1.04;1.52;0.81;1.04;0.58;NA;ND;NA;NA;NA;
5;10;0.53;1.01;0.66;0.91;0.62;0.83;0.76;NA;ND;NA;NA;NA;
5;11;0.47;0.81;0.71;0.73;0.43;0.82;0.69;NA;ND;NA;NA;NA;
5;12;0.39;0.7;0.76;0.79;0.43;0.81;0.7;NA;ND;NA;NA;NA;
5;13;0.37;0.72;0.74;0.61;0.44;0.83;0.76;NA;ND;NA;NA;NA;
5;14;0.32;0.7;0.59;0.63;0.58;0.89;0.81;NA;ND;NA;NA;NA;
5;15;0.33;0.72;0.56;0.57;0.56;0.85;0.93;NA;ND;NA;NA;NA;
5;16;0.35;0.74;0.63;0.53;0.58;0.89;0.96;NA;ND;NA;NA;NA;
5;17;0.38;0.71;0.71;0.61;0.69;1.13;0.93;NA;ND;NA;NA;NA;
5;18;0.43;0.89;0.86;0.66;0.8;1.28;1.01;NA;ND;NA;NA;NA;
5;19;0.57;0.95;1.11;1.14;0.85;1.29;0.99;NA;ND;NA;NA;NA;
5;20;0.64;1.07;0.9;1.24;0.68;1.14;0.86;NA;ND;NA;NA;NA;
5;21;0.58;0.99;0.9;1;0.73;1.04;0.85;NA;ND;NA;NA;NA;
5;22;0.59;0.8;0.94;0.81;0.71;1.07;0.77;NA;ND;NA;NA;NA;
5;23;0.94;1.09;0.94;0.75;0.59;1.07;0.72;NA;ND;NA;NA;NA;
6;0;ND;ND;0.72;0.84;0.44;ND;ND;NA;ND;NA;NA;NA;
6;1;0.97;1.05;0.57;0.74;0.3;1.17;0.63;NA;ND;NA;NA;NA;
6;2;0.73;1;0.58;0.94;0.46;0.87;0.69;NA;ND;NA;NA;NA;
6;3;0.57;0.92;0.65;0.71;0.27;0.9;0.66;NA;ND;NA;NA;NA;
6;4;0.75;0.89;0.59;0.52;0.44;0.82;0.64;NA;ND;NA;NA;NA;
6;5;0.85;0.88;0.66;0.61;0.47;0.84;0.85;NA;ND;NA;NA;NA;
6;6;1.05;0.85;0.87;0.94;1.17;1.35;1.51;NA;ND;NA;NA;NA;
6;7;0.63;0.86;1.27;1.17;1.68;1.72;0.86;NA;ND;NA;NA;NA;
6;8;0.77;1.14;1.29;1.07;0.9;1.35;0.61;NA;ND;NA;NA;NA;
6;9;0.69;1.02;0.78;0.77;0.5;0.81;0.58;NA;ND;NA;NA;NA;
6;10;0.44;0.81;0.61;0.69;0.48;0.73;0.65;NA;ND;NA;NA;NA;
6;11;0.34;0.74;0.61;0.59;0.42;0.68;0.67;NA;ND;NA;NA;NA;
6;12;0.33;0.67;0.54;0.49;0.37;0.76;0.69;NA;ND;NA;NA;NA;
6;13;0.34;0.77;0.61;0.5;0.35;0.68;0.77;NA;ND;NA;NA;NA;
6;14;0.34;0.76;0.55;0.54;0.52;0.8;0.85;NA;ND;NA;NA;NA;
6;15;0.33;0.7;0.56;0.53;0.53;0.75;0.85;NA;ND;NA;NA;NA;
6;16;0.33;0.72;0.53;0.53;0.44;0.75;0.82;NA;ND;NA;NA;NA;
6;17;0.4;0.81;0.74;0.58;0.63;0.92;0.86;NA;ND;NA;NA;NA;
6;18;0.56;0.92;0.84;0.63;0.65;1.13;1.03;NA;ND;NA;NA;NA;
6;19;0.77;0.89;1.2;0.81;0.51;1.13;0.99;NA;ND;NA;NA;NA;
6;20;0.68;0.89;0.92;1.11;0.55;1.05;0.96;NA;ND;NA;NA;NA;
6;21;0.51;0.78;0.72;0.79;0.84;1.02;0.85;NA;ND;NA;NA;NA;
6;22;0.54;0.78;0.6;0.65;0.32;0.9;0.78;NA;ND;NA;NA;NA;
6;23;0.41;0.71;0.53;0.58;0.33;0.83;0.72;NA;ND;NA;NA;NA;
7;0;0.4;0.75;ND;0.55;ND;0.91;0.65;NA;ND;NA;NA;NA;
7;1;0.41;0.79;0.51;0.5;0.31;0.79;0.6;NA;ND;NA;NA;NA;
7;2;0.38;0.76;0.48;0.49;0.23;0.78;0.61;NA;ND;NA;NA;NA;
7;3;0.37;0.74;0.47;0.49;0.22;0.74;0.62;NA;ND;NA;NA;NA;
7;4;0.39;0.74;0.52;0.55;0.33;0.87;0.69;NA;ND;NA;NA;NA;
7;5;0.38;0.79;0.62;0.63;0.55;1.15;0.56;NA;ND;NA;NA;NA;
7;6;0.47;1.03;0.96;0.8;1.73;1.94;0.62;NA;ND;NA;NA;NA;
7;7;0.93;1.32;2.11;1.51;1.46;1.49;0.65;NA;ND;NA;NA;NA;
7;8;1.25;1.08;1.78;2.17;0.61;1.25;0.62;NA;ND;NA;NA;NA;
7;9;0.83;0.99;1.4;1.37;0.29;0.95;0.63;NA;ND;NA;NA;NA;
7;10;0.55;0.85;0.97;1.13;0.28;0.88;0.68;NA;ND;NA;NA;NA;
7;11;0.45;0.8;0.8;0.96;0.3;0.87;0.65;NA;ND;NA;NA;NA;
7;12;0.37;0.78;0.91;0.9;0.34;0.91;0.69;NA;ND;NA;NA;NA;
7;13;0.4;0.78;ND;0.68;0.55;0.89;0.7;NA;ND;NA;NA;NA;
7;14;0.36;0.74;0.77;0.7;0.64;0.97;0.82;NA;ND;NA;NA;NA;
7;15;0.38;0.77;0.83;0.66;0.49;1.01;0.85;NA;ND;NA;NA;NA;
7;16;0.38;0.78;0.87;0.71;0.71;1.16;0.89;NA;ND;NA;NA;NA;
7;17;0.42;0.8;1.04;0.75;0.55;1.6;0.95;NA;ND;NA;NA;NA;
7;18;0.48;0.85;1.23;0.88;0.72;1.86;1.05;NA;ND;NA;NA;NA;
7;19;0.65;0.89;1.9;1.13;0.73;1.84;1.1;NA;ND;NA;NA;NA;
7;20;0.62;0.83;1.34;1.01;0.68;1.31;0.92;NA;ND;NA;NA;NA;
7;21;0.6;0.84;0.98;0.85;0.62;1.07;0.86;NA;ND;NA;NA;NA;
7;22;0.75;0.85;0.89;0.9;0.43;1.05;0.86;NA;ND;NA;NA;NA;
7;23;0.65;1.05;0.72;0.6;0.47;0.98;0.78;NA;ND;NA;NA;NA;
8;0;ND;ND;0.68;0.6;0.32;ND;ND;NA;ND;NA;NA;NA;
8;1;0.39;0.98;0.63;0.58;0.29;0.85;0.74;NA;ND;NA;NA;NA;
8;2;0.41;0.89;0.66;0.6;0.27;0.8;0.74;NA;ND;NA;NA;NA;
8;3;0.43;0.9;0.61;0.51;0.12;0.79;0.62;NA;ND;NA;NA;NA;
8;4;0.43;0.82;0.49;0.53;0.16;0.71;0.58;NA;ND;NA;NA;NA;
8;5;0.43;0.86;0.53;0.54;0.31;0.82;0.59;NA;ND;NA;NA;NA;
8;6;0.68;1.11;1.05;1.07;0.66;1.31;0.66;NA;ND;NA;NA;NA;
8;7;0.92;1.49;1.73;1.7;1.35;1.7;0.74;NA;ND;NA;NA;NA;
8;8;1.2;1.17;1.53;1.55;0.74;1.74;0.63;NA;ND;NA;NA;NA;
8;9;0.91;1.01;1.53;1.45;0.69;1.29;0.73;NA;ND;NA;NA;NA;
8;10;0.61;1.01;1.28;1.4;0.56;1.17;0.74;NA;ND;NA;NA;NA;
8;11;0.42;0.92;1.37;1.14;0.63;1.2;0.71;NA;ND;NA;NA;NA;
8;12;0.38;0.85;1.17;1;0.74;1.4;0.7;NA;ND;NA;NA;NA;
8;13;0.51;0.96;1.48;0.91;0.75;1.27;0.69;NA;ND;NA;NA;NA;
8;14;0.54;0.89;1.51;0.9;0.88;1.26;0.77;NA;ND;NA;NA;NA;
8;15;0.51;0.85;1.3;0.73;0.65;1.44;1.01;NA;ND;NA;NA;NA;
8;16;0.47;0.85;2;0.77;0.71;1.89;0.95;NA;ND;NA;NA;NA;
8;17;0.56;0.84;1.97;1.34;0.87;1.64;1.12;NA;ND;NA;NA;NA;
8;18;0.68;0.88;1.93;1.52;1.34;1.62;0.84;NA;ND;NA;NA;NA;
8;19;0.81;0.94;1.64;1.66;1.4;1.78;1.03;NA;ND;NA;NA;NA;
8;20;1;1.18;1.72;1.85;1.67;2.3;0.96;NA;ND;NA;NA;NA;
8;21;0.74;1.14;1.16;1.29;1.76;2;1.21;NA;ND;NA;NA;NA;
8;22;0.72;ND;1.14;1.26;1.01;ND;0.88;NA;ND;NA;NA;NA;
8;23;0.71;ND;1.11;0.67;0.78;ND;0.84;NA;ND;NA;NA;NA;
9;0;0.59;0.93;ND;0.61;ND;1.15;0.75;NA;ND;NA;NA;NA;
9;1;0.45;0.79;0.56;0.57;0.36;0.9;0.72;NA;ND;NA;NA;NA;
9;2;0.34;0.76;0.49;0.5;0.29;0.87;0.76;NA;ND;NA;NA;NA;
9;3;0.32;0.76;0.48;0.46;0.28;0.83;0.72;NA;ND;NA;NA;NA;
9;4;0.34;0.76;0.51;0.43;0.22;0.77;0.7;NA;ND;NA;NA;NA;
9;5;0.43;0.92;0.5;0.45;0.4;0.77;0.75;NA;ND;NA;NA;NA;
9;6;0.78;1.11;0.69;0.91;0.69;1.22;0.95;NA;ND;NA;NA;NA;
9;7;1.03;1.34;1.32;1.12;1.1;2.05;0.91;NA;ND;NA;NA;NA;
9;8;1.29;1.41;1.79;1.66;1.12;1.83;0.66;NA;ND;NA;NA;NA;
9;9;1.21;1.1;2.06;1.8;0.55;1.48;0.75;NA;ND;NA;NA;NA;
9;10;0.77;0.98;1.95;1.05;0.61;1.92;0.7;NA;ND;NA;NA;NA;
9;11;ND;0.87;1.2;0.77;0.9;1.75;0.89;NA;ND;NA;NA;NA;
9;12;ND;0.86;1.02;0.63;0.51;1.09;0.78;NA;ND;NA;NA;NA;
9;13;0.28;0.89;0.92;0.64;0.48;1.14;0.76;NA;ND;NA;NA;NA;
9;14;0.26;0.84;0.77;0.66;0.56;1.02;0.74;NA;ND;NA;NA;NA;
9;15;0.24;0.8;0.8;0.74;0.61;1.1;0.72;NA;ND;NA;NA;NA;
9;16;0.25;0.84;0.7;0.83;0.67;1.17;0.79;NA;ND;NA;NA;NA;
9;17;0.32;0.93;0.78;1.01;0.77;1.14;0.89;NA;ND;NA;NA;NA;
9;18;0.49;1.04;0.83;0.97;1.1;1.7;0.9;NA;ND;NA;NA;NA;
9;19;0.81;1.1;0.95;0.81;1.13;1.61;0.85;NA;ND;NA;NA;NA;
9;20;0.48;1.06;1.13;0.78;1.08;1.47;0.73;NA;ND;NA;NA;NA;
9;21;0.39;1.04;1.02;0.75;0.99;1.59;0.68;NA;ND;NA;NA;NA;
9;22;0.47;0.99;0.95;1.14;1.16;1.92;0.74;NA;ND;NA;NA;NA;
9;23;0.36;0.92;0.79;0.85;0.69;1.53;0.64;NA;ND;NA;NA;NA;
10;0;0.24;ND;0.49;0.79;0.5;ND;ND;NA;ND;NA;NA;NA;
10;1;0.18;0.89;0.52;0.66;0.48;0.84;0.57;NA;ND;NA;NA;NA;
10;2;0.15;0.97;0.52;0.53;0.27;0.81;0.56;NA;ND;NA;NA;NA;
10;3;0.15;0.88;0.43;0.57;0.24;0.83;0.59;NA;ND;NA;NA;NA;
10;4;0.15;0.89;0.49;0.53;0.25;0.92;0.57;NA;ND;NA;NA;NA;
10;5;0.22;1.05;0.52;0.54;0.47;0.96;0.59;NA;ND;NA;NA;NA;
10;6;1.26;1.61;1.11;1.05;1.89;2.07;0.68;NA;ND;NA;NA;NA;
10;7;1.66;2.62;1.81;1.72;2.16;2.46;0.72;NA;ND;NA;NA;NA;
10;8;0.86;1.58;1.74;2.03;1.29;1.4;0.66;NA;ND;NA;NA;NA;
10;9;0.69;1.16;0.92;1.36;0.46;1.19;0.66;NA;ND;NA;NA;NA;
10;10;0.36;0.89;0.81;0.97;0.48;ND;0.65;NA;ND;NA;NA;NA;
10;11;0.3;0.88;0.78;0.82;0.36;0.43;0.69;NA;ND;NA;NA;NA;
10;12;0.3;0.89;0.88;0.98;0.32;0.34;0.72;NA;ND;NA;NA;NA;
10;13;0.46;0.95;0.61;1.45;0.54;0.47;0.74;NA;ND;NA;NA;NA;
10;14;0.36;0.89;0.97;1.4;0.47;ND;0.76;NA;ND;NA;NA;NA;
10;15;0.38;0.98;0.9;1.33;0.35;0.36;0.74;NA;ND;NA;NA;NA;
10;16;0.24;1.02;1.18;0.95;0.39;0.44;0.77;NA;ND;NA;NA;NA;
10;17;0.26;0.96;0.76;0.83;0.66;0.66;0.78;NA;ND;NA;NA;NA;
10;18;0.31;1.03;0.72;0.82;0.88;0.64;0.95;NA;ND;NA;NA;NA;
10;19;0.64;1.09;0.64;0.97;1.35;1.04;1.15;NA;ND;NA;NA;NA;
10;20;1.06;1.51;0.73;1.89;1.35;1.17;1.14;NA;ND;NA;NA;NA;
10;21;1.01;1.33;0.7;2.25;1.76;0.83;0.86;NA;ND;NA;NA;NA;
10;22;0.66;1.43;1.25;2.44;1.97;1.05;1;NA;ND;NA;NA;NA;
10;23;0.92;1.7;1;2.23;1.97;1.29;0.81;NA;ND;NA;NA;NA;
11;0;0.73;1.65;ND;1.32;ND;1.16;0.71;NA;ND;NA;NA;NA;
11;1;0.72;1.46;1.11;1.46;0.81;1.15;0.73;NA;ND;NA;NA;NA;
11;2;0.49;1.11;0.91;1.21;0.59;1;0.56;NA;ND;NA;NA;NA;
