DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;28.55;20.23;3.59;11.91;6.93;18.81;NA;NA;ND;NA;NA;NA;
1;1;15.06;23.54;10.83;6.12;8.23;5.48;NA;NA;ND;NA;NA;NA;
1;2;8.93;16.58;9.01;9.04;5.37;0;NA;NA;ND;NA;NA;NA;
1;3;2.21;1.11;0.9;3.99;4.87;16.66;NA;NA;ND;NA;NA;NA;
1;4;4.76;5.61;1.24;3.84;6.75;5.94;NA;NA;ND;NA;NA;NA;
1;5;3.99;6.08;2.24;1.72;7.07;0.49;NA;NA;ND;NA;NA;NA;
1;6;5.42;9.8;0;5.28;13.62;1.88;NA;NA;ND;NA;NA;NA;
1;7;3.58;5.64;6.23;6.24;9.44;12.02;NA;NA;ND;NA;NA;NA;
1;8;10.84;7.32;5.69;5.59;14.83;7.16;NA;NA;ND;NA;NA;NA;
1;9;0.23;7.48;0.76;3.11;5.97;3.53;NA;NA;ND;NA;NA;NA;
1;10;0.76;7.63;12.18;5.37;3.94;8.1;NA;NA;ND;NA;NA;NA;
1;11;2.79;6.43;4.48;3.9;1.39;13.48;NA;NA;ND;NA;NA;NA;
1;12;5.84;2.5;0.31;4.7;4.15;3.54;NA;NA;ND;NA;NA;NA;
1;13;8.15;5.48;1.91;3.14;12.94;9.82;NA;NA;ND;NA;NA;NA;
1;14;8.43;7.95;11.82;6.26;6.38;1.26;NA;NA;ND;NA;NA;NA;
1;15;6.11;9.61;6.86;17.48;6.11;17.69;NA;NA;ND;NA;NA;NA;
1;16;3.89;14.06;4.8;8.01;4.63;11.73;NA;NA;ND;NA;NA;NA;
1;17;13.25;3.69;9.97;6.02;5.86;14.4;NA;NA;ND;NA;NA;NA;
1;18;5.52;10.58;12.5;11.63;14.4;5.21;NA;NA;ND;NA;NA;NA;
1;19;3.95;8.52;12.72;6.83;15.92;2.69;NA;NA;ND;NA;NA;NA;
1;20;13.4;10;22.04;12;15.4;22.04;NA;NA;ND;NA;NA;NA;
1;21;4.77;6.08;13.29;8.03;14.14;24.34;NA;NA;ND;NA;NA;NA;
1;22;13.54;5.26;9.99;8.02;22.36;27.78;NA;NA;ND;NA;NA;NA;
1;23;4.32;2.96;15.74;15.35;12.4;17.38;NA;NA;ND;NA;NA;NA;
2;0;4.81;13.7;15.79;16.37;11.07;35.02;NA;NA;ND;NA;NA;NA;
2;1;9.83;8.35;9.97;16.81;9.03;16.75;NA;NA;ND;NA;NA;NA;
2;2;5.66;7.98;9.63;11.91;11.2;9.83;NA;NA;ND;NA;NA;NA;
2;3;9.38;7;17.1;10.12;15.78;6.22;NA;NA;ND;NA;NA;NA;
2;4;8.84;12.24;5.86;10.02;13.57;34.62;NA;NA;ND;NA;NA;NA;
2;5;6.86;10.4;21.96;12.12;16.34;24.2;NA;NA;ND;NA;NA;NA;
2;6;24.15;44.1;21.42;13.9;36.69;36.38;NA;NA;ND;NA;NA;NA;
2;7;33.79;30.69;44.32;51.85;64.8;37.12;NA;NA;ND;NA;NA;NA;
2;8;32.27;24.2;45.99;44.41;38.63;51.6;NA;NA;ND;NA;NA;NA;
2;9;25.04;20.9;12.33;18.32;10.8;17.75;NA;NA;ND;NA;NA;NA;
2;10;12.08;13.74;3.01;12.92;5.22;0.49;NA;NA;ND;NA;NA;NA;
2;11;5.18;13.82;10.32;7.99;8.87;10.91;NA;NA;ND;NA;NA;NA;
2;12;5.62;10.96;9.97;7.99;24.67;19;NA;NA;ND;NA;NA;NA;
2;13;2.45;9.56;9.67;11.32;28.78;9.15;NA;NA;ND;NA;NA;NA;
2;14;9.46;9.16;6.32;15.19;34.95;0.02;NA;NA;ND;NA;NA;NA;
2;15;11;8.48;26.91;8.95;13.47;1.44;NA;NA;ND;NA;NA;NA;
2;16;3.11;9.15;13.07;4.62;9.63;14.48;NA;NA;ND;NA;NA;NA;
2;17;11.97;11.47;7.03;4.45;11.83;10.72;NA;NA;ND;NA;NA;NA;
2;18;8.8;10.48;4.59;9.07;14.97;18.14;NA;NA;ND;NA;NA;NA;
2;19;15.08;6.15;22.57;11.2;29.1;13.63;NA;NA;ND;NA;NA;NA;
2;20;24;10.39;28.35;19.99;33.05;15.7;NA;NA;ND;NA;NA;NA;
2;21;22.27;11.88;24.31;19.66;46.5;56.71;NA;NA;ND;NA;NA;NA;
2;22;22.45;7.8;24.77;17.88;49.96;53.42;NA;NA;ND;NA;NA;NA;
2;23;17;10.7;20.26;17.59;32.02;39.53;NA;NA;ND;NA;NA;NA;
3;0;16.06;18.94;17.53;10.68;26.59;21.15;NA;NA;ND;NA;NA;NA;
3;1;14.08;17.32;14.5;16.08;17.44;5.98;NA;NA;ND;NA;NA;NA;
3;2;8.73;10.28;18.63;14.35;22.76;29.72;NA;NA;ND;NA;NA;NA;
3;3;8.43;13.72;6.95;20.33;23.33;15.13;NA;NA;ND;NA;NA;NA;
3;4;11.43;9.04;19.43;15.77;22.58;11.68;NA;NA;ND;NA;NA;NA;
3;5;14.29;19.36;10.08;12.79;37.51;26.25;NA;NA;ND;NA;NA;NA;
3;6;25.78;22.07;26.27;28.67;56;13.63;NA;NA;ND;NA;NA;NA;
3;7;28.5;30.53;44.23;39.78;83.59;71.14;NA;NA;ND;NA;NA;NA;
3;8;28.08;20.03;62.4;52.02;57.46;77.22;NA;NA;ND;NA;NA;NA;
3;9;16.06;18.3;58.15;51.86;15.9;48.43;NA;NA;ND;NA;NA;NA;
3;10;14.05;18.08;14.26;11.71;ND;9.89;NA;NA;ND;NA;NA;NA;
3;11;9.17;9.79;6.64;10.75;ND;4.72;NA;NA;ND;NA;NA;NA;
3;12;5.53;11.72;12.27;8.07;ND;19.23;NA;NA;ND;NA;NA;NA;
3;13;2.63;6.46;13.89;11.58;ND;8.36;NA;NA;ND;NA;NA;NA;
3;14;8.15;5.52;13.58;8.51;ND;4.96;NA;NA;ND;NA;NA;NA;
3;15;3.93;8.16;12.3;9.03;ND;13.47;NA;NA;ND;NA;NA;NA;
3;16;11.76;13.71;20.83;7.24;20.8;6.95;NA;NA;ND;NA;NA;NA;
3;17;9.39;14.01;20.05;9.76;10.93;7.85;NA;NA;ND;NA;NA;NA;
3;18;6.57;19.27;14.37;15.42;9.82;39.05;NA;NA;ND;NA;NA;NA;
3;19;14.65;14.6;13.19;10.87;15.19;23.19;NA;NA;ND;NA;NA;NA;
3;20;27.35;15.3;10.29;12.9;18.52;7.59;NA;NA;ND;NA;NA;NA;
3;21;22.01;15.29;13.24;14.56;26.07;27.98;NA;NA;ND;NA;NA;NA;
3;22;26.99;14.23;14.22;22.11;34.01;22.23;NA;NA;ND;NA;NA;NA;
3;23;23.91;14.66;12.2;19.07;27.23;32.33;NA;NA;ND;NA;NA;NA;
4;0;14.19;17.76;6.84;17.36;42.75;48.89;NA;NA;ND;NA;NA;NA;
4;1;21.03;22.15;5.38;22.36;29.09;16.76;NA;NA;ND;NA;NA;NA;
4;2;12.5;23.27;18.87;24.13;20.25;10.28;NA;NA;ND;NA;NA;NA;
4;3;6.45;20.31;6.02;25.43;8.29;12.54;NA;NA;ND;NA;NA;NA;
4;4;5.69;20.31;10.86;21.52;16.81;0.3;NA;NA;ND;NA;NA;NA;
4;5;10.2;23.75;5.66;23.82;22.74;12.07;NA;NA;ND;NA;NA;NA;
4;6;21.47;26.22;19.22;44.43;47.21;37.92;NA;NA;ND;NA;NA;NA;
4;7;43.65;24.74;36.02;53.01;78.3;39.19;NA;NA;ND;NA;NA;NA;
4;8;38.58;17.82;50.5;32.51;58.37;46.93;NA;NA;ND;NA;NA;NA;
4;9;21.25;14.64;24.42;34.56;24.64;11.29;NA;NA;ND;NA;NA;NA;
4;10;9.98;6.15;4.58;10.6;4.46;15.67;NA;NA;ND;NA;NA;NA;
4;11;7.21;13.97;11.91;10.85;8.04;ND;NA;NA;ND;NA;NA;NA;
4;12;10.24;5.82;6.4;15.55;7.04;ND;NA;NA;ND;NA;NA;NA;
4;13;0.4;3.48;7.98;8.8;6.35;ND;NA;NA;ND;NA;NA;NA;
4;14;3.4;10.98;15.98;14.09;9.05;ND;NA;NA;ND;NA;NA;NA;
4;15;7.21;11.25;13.42;12.75;7.62;9.4;NA;NA;ND;NA;NA;NA;
4;16;10.72;13.2;10.73;0.92;10.76;14.94;NA;NA;ND;NA;NA;NA;
4;17;19.31;19.17;13.24;13.32;15.21;0.34;NA;NA;ND;NA;NA;NA;
4;18;14.92;18.28;16.3;11.68;12.68;6.53;NA;NA;ND;NA;NA;NA;
4;19;11.28;20.74;24.96;6.83;18.48;19.51;NA;NA;ND;NA;NA;NA;
