DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;11.32;27.15;25.28;NA;11.31;5.66;30.39;ND;25.35;NA;NA;NA;
1;1;12.06;25.97;19.47;NA;11.65;7.6;29.01;18.25;10.72;NA;NA;NA;
1;2;ND;ND;ND;NA;16.54;8;31.14;14.25;6.62;NA;NA;NA;
1;3;38.4;37.53;3.14;NA;16.21;19.78;19.52;14.17;7.1;NA;NA;NA;
1;4;20.66;28.54;9.04;NA;11.53;9.5;16.54;8.56;5.26;NA;NA;NA;
1;5;3.98;9.97;4.19;NA;3.87;6.1;18.7;4.05;10.84;NA;NA;NA;
1;6;1.92;1.88;0.94;NA;3.6;2.89;3.81;2.26;6.57;NA;NA;NA;
1;7;8.51;12.92;5.27;NA;6.18;6.45;24.4;4.76;6.27;NA;NA;NA;
1;8;19.39;27.89;12.79;NA;12.46;13.47;43.82;12.87;16.92;NA;NA;NA;
1;9;42.74;49.35;17.42;NA;28.82;26.29;59.14;33.51;37.29;NA;NA;NA;
1;10;59.65;54.58;40.12;NA;45.85;44.86;96.16;49.86;59.84;NA;NA;NA;
1;11;63.42;67.98;41.4;NA;42.87;53.11;67.74;63.22;51.44;NA;NA;NA;
1;12;68.03;59.6;45.08;NA;44.64;51.77;68.15;70.15;65.88;NA;NA;NA;
1;13;62.87;56.88;48.21;NA;50.28;51.37;55.7;64.92;64.8;NA;NA;NA;
1;14;50.6;53.14;ND;NA;68.89;60.67;53.19;39.72;51.61;NA;NA;NA;
1;15;41.43;44.16;43.9;NA;53.75;ND;52.9;51.81;47;NA;NA;NA;
1;16;26.75;36.98;39.58;NA;26.33;ND;54.6;47.97;54.17;NA;NA;NA;
1;17;15.7;32.51;22.27;NA;24.45;39.36;49.47;41.08;51.4;NA;NA;NA;
1;18;10.65;24.95;2.42;NA;10.21;17.54;48.77;31.44;36.33;NA;NA;NA;
1;19;0.99;23.41;0.37;NA;9.26;5.84;46.27;25.13;23.07;NA;NA;NA;
1;20;1.16;15;0.59;NA;13.11;14.38;40.86;25.87;16.19;NA;NA;NA;
1;21;0.25;15.96;0.41;NA;10.05;12.55;45.82;25.81;23.81;NA;NA;NA;
1;22;0.06;9.84;0.49;NA;9.61;6.14;43.49;19.11;0.14;NA;NA;NA;
1;23;0.2;21.84;0.63;NA;6.4;1.62;18.39;14.59;0.43;NA;NA;NA;
2;0;0.1;18.8;0.29;NA;5.58;4.65;29.83;15.28;ND;NA;NA;NA;
2;1;0.21;13.72;0;NA;15.43;3.68;ND;11.71;2.37;NA;NA;NA;
2;2;0.58;13.49;0;NA;ND;ND;23.54;5.53;4.75;NA;NA;NA;
2;3;0.37;8.23;0.52;NA;11.51;2.48;41.31;3.39;4.2;NA;NA;NA;
2;4;0.53;5.76;0.97;NA;4.47;8.75;44.34;0.05;3.11;NA;NA;NA;
2;5;0.18;0.51;0.05;NA;6.69;6.52;29.53;0.52;0.35;NA;NA;NA;
2;6;0.81;1.16;1.27;NA;4.25;4.81;16.27;1.48;0.66;NA;NA;NA;
2;7;11.13;13.65;6.69;NA;8.52;12.27;42.82;2.88;4.82;NA;NA;NA;
2;8;21.46;24.93;14.36;NA;28.34;25.98;47.76;12.63;20.99;NA;NA;NA;
