DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;17.88;26.89;12.43;ND;16.12;22.01;NA;NA;ND;NA;NA;NA;
1;1;15.09;12.91;10.4;ND;23.95;12.78;NA;NA;ND;NA;NA;NA;
1;2;16.8;3.28;15.26;ND;23.13;22.22;NA;NA;ND;NA;NA;NA;
1;3;8.2;11.57;20.52;ND;22.64;18.52;NA;NA;ND;NA;NA;NA;
1;4;10.88;4.59;17.6;ND;18.1;21.5;NA;NA;ND;NA;NA;NA;
1;5;11.82;12.46;20.59;ND;30.25;20.19;NA;NA;ND;NA;NA;NA;
1;6;22.57;32.77;19.78;ND;35.71;28.8;NA;NA;ND;NA;NA;NA;
1;7;28.32;35.23;35.12;ND;46.7;34.57;NA;NA;ND;NA;NA;NA;
1;8;24.73;14.55;33.13;ND;43.21;50.87;NA;NA;ND;NA;NA;NA;
1;9;21.2;15.26;36.7;ND;40.23;34.07;NA;NA;ND;NA;NA;NA;
1;10;33.12;20.87;37.27;ND;27.18;27.8;NA;NA;ND;NA;NA;NA;
1;11;13.69;9.82;16.09;ND;20.11;8.15;NA;NA;ND;NA;NA;NA;
1;12;16.89;18;12.29;ND;10.28;9.1;NA;NA;ND;NA;NA;NA;
1;13;17.3;19.34;15.38;ND;10.06;14.6;NA;NA;ND;NA;NA;NA;
1;14;15.32;20.36;7.01;ND;7.87;9.19;NA;NA;ND;NA;NA;NA;
1;15;19.39;10.88;27.48;ND;ND;16.12;NA;NA;ND;NA;NA;NA;
1;16;16.01;23.7;10.87;ND;ND;19.06;NA;NA;ND;NA;NA;NA;
1;17;15.21;14.85;14.09;ND;30.79;4.02;NA;NA;ND;NA;NA;NA;
1;18;17.6;17.33;20.73;ND;12.01;18.9;NA;NA;ND;NA;NA;NA;
1;19;17.37;16.86;31.71;ND;30.83;18.84;NA;NA;ND;NA;NA;NA;
1;20;25.03;9.46;34.38;ND;21.54;18.44;NA;NA;ND;NA;NA;NA;
1;21;21.93;16.37;28.49;ND;23.59;19.98;NA;NA;ND;NA;NA;NA;
1;22;20.55;20.38;24.52;ND;16.25;14.2;NA;NA;ND;NA;NA;NA;
1;23;16.31;11.26;18.02;ND;ND;20.02;NA;NA;ND;NA;NA;NA;
2;0;28.88;7.69;12.07;ND;3.34;28.23;NA;NA;ND;NA;NA;NA;
2;1;19.61;8.77;23.84;ND;23.73;25.82;NA;NA;ND;NA;NA;NA;
2;2;22.73;34.52;25.19;ND;19.17;23.87;NA;NA;ND;NA;NA;NA;
2;3;20.31;20.84;17.67;ND;42.26;16.34;NA;NA;ND;NA;NA;NA;
2;4;23.94;25.3;28.62;ND;27.7;23.38;NA;NA;ND;NA;NA;NA;
2;5;20.99;29.41;19.63;ND;16.66;14.89;NA;NA;ND;NA;NA;NA;
2;6;28.1;38.42;20.68;ND;50.77;19.26;NA;NA;ND;NA;NA;NA;
2;7;38.11;30.55;32.82;ND;57.22;48.81;NA;NA;ND;NA;NA;NA;
2;8;37.08;14.59;40.98;ND;34.75;30.67;NA;NA;ND;NA;NA;NA;
2;9;38.72;22;31.14;ND;26.16;30.28;NA;NA;ND;NA;NA;NA;
2;10;16.44;12.47;8.95;ND;18.65;7.38;NA;NA;ND;NA;NA;NA;
2;11;10.01;15.57;8.7;ND;9.29;5.67;NA;NA;ND;NA;NA;NA;
2;12;15.74;5.62;4.85;ND;12.15;2.33;NA;NA;ND;NA;NA;NA;
2;13;16.11;16.88;2.04;ND;9.47;6.65;NA;NA;ND;NA;NA;NA;
2;14;8.03;10.88;11;ND;25.69;16.2;NA;NA;ND;NA;NA;NA;
2;15;7.82;10.19;17.31;ND;16.56;12.79;NA;NA;ND;NA;NA;NA;
2;16;5.47;16.35;11.18;ND;10.93;13.97;NA;NA;ND;NA;NA;NA;
2;17;7.34;26.5;25.02;ND;23.71;11.81;NA;NA;ND;NA;NA;NA;
2;18;13.81;21.42;23.34;ND;10.79;9.15;NA;NA;ND;NA;NA;NA;
2;19;16.21;27.18;19.35;ND;13.46;14.73;NA;NA;ND;NA;NA;NA;
2;20;9.5;11.08;14.44;ND;24;24.83;NA;NA;ND;NA;NA;NA;
2;21;2.48;2.07;7.8;ND;13.68;13.59;NA;NA;ND;NA;NA;NA;
2;22;7.1;5.93;9.56;ND;8.66;8.98;NA;NA;ND;NA;NA;NA;
2;23;11.86;14.2;6.53;ND;ND;8.92;NA;NA;ND;NA;NA;NA;
