DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;26.01;20.26;10;NA;7.94;5.74;17.74;ND;17.38;NA;NA;NA;
1;1;27.27;18.96;22.01;NA;9.72;15.76;17.58;21.59;24.63;NA;NA;NA;
1;2;ND;19.69;ND;NA;11.16;ND;14.84;13.72;11.48;NA;NA;NA;
1;3;22.13;17.26;13.83;NA;16.98;5.12;14.22;9.12;2;NA;NA;NA;
1;4;18.46;20.78;8.65;NA;5.63;5.94;8.26;12.02;1.2;NA;NA;NA;
1;5;7.72;14.4;1.73;NA;1.25;3.27;1.54;2.13;1.74;NA;NA;NA;
1;6;5.35;7.58;1.75;NA;6.27;5.92;3.21;0.18;2.05;NA;NA;NA;
1;7;6.73;11.53;5.75;NA;18.25;5.78;10.42;2.29;4.19;NA;NA;NA;
1;8;21.47;16.93;9.45;NA;16.17;11.83;21.81;7.39;9.04;NA;NA;NA;
1;9;33.63;25.22;22.59;NA;36.92;30.72;31.67;19.41;28.93;NA;NA;NA;
1;10;58.59;33.6;24.95;NA;57.66;38.26;ND;39.8;40.76;NA;NA;NA;
1;11;ND;56.44;42.61;NA;53.64;48.67;ND;59.55;36.64;NA;NA;NA;
1;12;ND;60.97;64.6;NA;48.72;71.42;ND;71.88;64.17;NA;NA;NA;
1;13;37.73;40.38;46.39;NA;37.87;65.02;36.18;69.79;88.11;NA;NA;NA;
1;14;ND;38.01;34.43;NA;34.18;39.52;36.93;44.67;52.62;NA;NA;NA;
1;15;34.17;35.29;33.53;NA;34.31;37.56;38.06;41.27;38.94;NA;NA;NA;
1;16;36.01;36.3;28;NA;32.25;36.19;36.7;39.69;39.28;NA;NA;NA;
1;17;30.94;32.42;19.9;NA;25.26;28.07;32.94;37.51;21.21;NA;NA;NA;
1;18;18.07;23.42;13.49;NA;13.94;18.27;27.95;29.11;21.79;NA;NA;NA;
1;19;16.78;19.06;6.94;NA;5.9;11.65;16.6;25.11;30.26;NA;NA;NA;
1;20;14.01;13.12;5.72;NA;4.34;12.67;10.11;26.66;24.99;NA;NA;NA;
1;21;20.09;7.23;12.76;NA;8.79;13.81;16.4;24.63;10.78;NA;NA;NA;
1;22;17.51;5.74;10.4;NA;5.75;7.98;24.97;12.45;10.01;NA;NA;NA;
1;23;18.72;9.76;0.41;NA;3.49;2.48;30.2;9.88;3.09;NA;NA;NA;
2;0;14.45;12.74;0.31;NA;9.9;4.66;22.45;7.75;4.59;NA;NA;NA;
2;1;15.12;17.67;1.3;NA;12.33;3.66;ND;4.77;ND;NA;NA;NA;
2;2;13.72;13.66;0.56;NA;16.48;3.56;14.58;3.52;6.17;NA;NA;NA;
2;3;14.25;9.76;0.36;NA;18.96;2.52;16.54;1.52;2.38;NA;NA;NA;
2;4;15.8;10.75;1.57;NA;8.81;4.21;11.39;0.03;1.73;NA;NA;NA;
2;5;11.56;2.61;0.58;NA;4.74;8.53;10.14;0.01;1.66;NA;NA;NA;
2;6;9.22;2.88;1.86;NA;2.97;3.73;2.96;0.28;1.92;NA;NA;NA;
2;7;11.73;5.3;7.06;NA;12.71;8.06;9.93;1.5;4.16;NA;NA;NA;
2;8;21.59;9.81;12.9;NA;31.41;16.73;28.48;9.57;11.18;NA;NA;NA;
2;9;36.15;23.34;22.94;NA;44.05;27.25;47.49;19.1;28.3;NA;NA;NA;
2;10;55.34;36.72;26.61;NA;35.68;30.57;78.36;ND;48.73;NA;NA;NA;
2;11;59.44;44.15;48.73;NA;51.34;53.41;87.08;ND;45.83;NA;NA;NA;
2;12;65.78;61.22;69.71;NA;75.97;76.56;49.76;ND;60.22;NA;NA;NA;
2;13;43.26;48.62;52.11;NA;41.67;64.29;35.79;83.04;89.79;NA;NA;NA;
2;14;38.82;33.21;39.65;NA;32.56;35.13;44.63;50.83;ND;NA;NA;NA;
2;15;37.3;32.89;33.19;NA;33.6;36.17;39.96;37.82;ND;NA;NA;NA;
2;16;34.41;30.93;16.95;NA;27.17;29.97;38.56;33.75;27.19;NA;NA;NA;
2;17;30.64;29.53;11.63;NA;21.94;20.23;27.51;31.89;16.66;NA;NA;NA;
2;18;24.34;24.88;5.1;NA;8.4;14.94;18.1;27.19;20.23;NA;NA;NA;
2;19;27.66;22.82;2.04;NA;5.94;10.16;16.81;27.99;18.27;NA;NA;NA;
2;20;21.8;22.12;1.44;NA;8.95;8.12;16.45;27.17;25.04;NA;NA;NA;
2;21;24.78;22.14;3.55;NA;7.25;6.92;20.75;26.54;13.72;NA;NA;NA;
2;22;27.9;21.15;6.65;NA;2.01;ND;19.17;27.7;21.08;NA;NA;NA;
2;23;31;24.03;12.96;NA;17.6;ND;20.9;22.07;24.07;NA;NA;NA;
3;0;33.11;24.24;20.89;NA;17.68;20.03;18.79;ND;19.36;NA;NA;NA;
3;1;33.74;21.8;23.39;NA;16.74;25.81;19.78;28.03;18.82;NA;NA;NA;
3;2;ND;21.94;ND;NA;14.14;ND;22.09;25.37;20.03;NA;NA;NA;
3;3;31.71;18.57;13.34;NA;10.57;13.53;19.35;18.9;23.44;NA;NA;NA;
3;4;19.02;15.84;11.33;NA;9.3;7.68;14.5;5.26;20.21;NA;NA;NA;
3;5;13.6;9.21;8.08;NA;1.92;1.85;8.39;0.83;9.98;NA;NA;NA;
3;6;9.2;5.29;2.98;NA;4.32;2.63;11.16;0.74;13.3;NA;NA;NA;
3;7;13.19;7.49;4.7;NA;44.04;5.73;8.97;7.66;4.27;NA;NA;NA;
3;8;19.48;13.3;7.3;NA;15.33;9.09;20.36;12.97;6.13;NA;NA;NA;
3;9;ND;24.31;21.94;NA;30.66;25.64;50.54;24.1;19.14;NA;NA;NA;
3;10;ND;46.71;36.13;NA;ND;37.12;51.93;46.83;37.37;NA;NA;NA;
3;11;84.36;69.19;51.99;NA;ND;50.01;70.63;63.7;19.14;NA;NA;NA;
3;12;67.24;65.63;73.35;NA;49.44;59.98;52.48;85.74;47.19;NA;NA;NA;
3;13;46.45;ND;48.36;NA;35.14;47.04;52.2;73.77;80.04;NA;NA;NA;
3;14;39.82;ND;33.1;NA;32.56;38.18;43.66;52.06;48.97;NA;NA;NA;
3;15;36.91;32.99;39.51;NA;26.5;35.87;38.64;46.65;35.25;NA;NA;NA;
3;16;35.07;32.12;9.72;NA;19.63;27.88;31.45;36.71;32.71;NA;NA;NA;
3;17;33.52;28.96;6.07;NA;16.59;16.59;34.96;31.91;13.76;NA;NA;NA;
3;18;23.62;25.64;4.85;NA;12.86;8.97;32.42;28.11;9.23;NA;NA;NA;
3;19;22.06;20.13;2.25;NA;4.29;7.38;21.19;26.79;26.31;NA;NA;NA;
3;20;23.69;16.64;2.28;NA;4.27;6.37;20.72;26.64;13.81;NA;NA;NA;
3;21;24.99;11.3;3.87;NA;10.12;3.72;18.13;16.4;12.83;NA;NA;NA;
3;22;22.8;14.25;6.66;NA;7.02;1.27;17.65;5.62;16.32;NA;NA;NA;
3;23;23.44;13.48;12.76;NA;3.57;12.94;16.71;5.32;13.42;NA;NA;NA;
4;0;22.97;8.92;16.51;NA;8.02;16.03;20.94;10.45;10.01;NA;NA;NA;
4;1;22.92;13.67;15.97;NA;6.28;18.43;ND;10.15;ND;NA;NA;NA;
4;2;22.02;17.22;8.83;NA;8.08;3.41;15.46;14.45;3.38;NA;NA;NA;
4;3;30.52;13.57;1.99;NA;6.04;6.54;15.03;14.48;4.1;NA;NA;NA;
4;4;28.82;6.72;0.33;NA;5.56;2.87;7.67;11.82;3.41;NA;NA;NA;
4;5;16.24;11.82;1.17;NA;3.14;3.88;1.45;6.57;1.85;NA;NA;NA;
4;6;17.12;6.1;11.29;NA;5.54;2.5;2.32;3.66;2.72;NA;NA;NA;
4;7;19.97;13.64;9.26;NA;13.33;9.64;13.16;4.4;5.53;NA;NA;NA;
4;8;27.9;23.91;25.52;NA;17.88;28.04;25.79;7.57;13.41;NA;NA;NA;
4;9;47.56;37.7;32.23;NA;25.86;35.56;42.43;31.24;27.73;NA;NA;NA;
4;10;76.05;56.37;45.67;NA;31.83;36.7;62.46;55.95;47.86;NA;NA;NA;
4;11;101.76;65.5;84.39;NA;52.89;69.06;79.38;70.36;46.1;NA;NA;NA;
4;12;74.22;62.43;89.56;NA;83.69;106.32;ND;82.12;48.59;NA;NA;NA;
4;13;61.12;47.35;61.81;NA;52.16;66.18;ND;68.54;85.81;NA;NA;NA;
4;14;61.95;43.1;53.95;NA;40;52.11;ND;56.05;57.21;NA;NA;NA;
4;15;56.88;41.16;61.07;NA;40.82;49.54;ND;52.3;64;NA;NA;NA;
4;16;52.13;40.84;48.03;NA;42.17;51.63;ND;46.48;63.65;NA;NA;NA;
4;17;42.58;32.43;35.13;NA;29.56;25.32;ND;32.87;40.54;NA;NA;NA;
4;18;30.85;26.41;12.31;NA;22.74;10.49;24.91;25.65;23.56;NA;NA;NA;
4;19;28.16;21.98;9.85;NA;8.05;4.89;17.93;21.32;16.55;NA;NA;NA;
4;20;20.39;19.5;3.09;NA;4.49;4.49;12.01;21.65;19.66;NA;NA;NA;
4;21;22.76;7.14;1.17;NA;8.11;3.67;14.67;20.59;16.8;NA;NA;NA;
4;22;17.94;7.68;4.11;NA;9.71;4.96;17.38;14.02;9.83;NA;NA;NA;
4;23;15.34;6.39;0.62;NA;4.65;1.49;21.54;3.46;10.67;NA;NA;NA;
5;0;16.73;6.8;0.32;NA;9.24;2.51;27.05;ND;2.14;NA;NA;NA;
5;1;20.06;0.4;1.21;NA;3.03;3.04;25.88;0.49;1.4;NA;NA;NA;
5;2;ND;0.55;ND;NA;4.2;ND;18.6;0.13;3.32;NA;NA;NA;
5;3;17.55;0.89;0.19;NA;12.12;2.63;26.19;0;1.03;NA;NA;NA;
5;4;21.03;0;0.98;NA;0.15;3.67;8.43;0;1;NA;NA;NA;
5;5;23.65;0.2;1.63;NA;2.44;2.15;2.16;0;1.26;NA;NA;NA;
5;6;17.54;1.34;1.38;NA;1.76;2.8;5.29;0;1.7;NA;NA;NA;
5;7;19.47;2.25;4.12;NA;4.74;4.95;15.31;0.76;4.24;NA;NA;NA;
5;8;28.46;11.43;13.78;NA;19.35;15.64;24.01;3.41;11.23;NA;NA;NA;
5;9;55.66;25.4;35.91;NA;27.97;32.38;52.22;14.07;24.73;NA;NA;NA;
5;10;61.25;33.56;30;NA;33.47;40.65;47.08;34.38;20.31;NA;NA;NA;
5;11;70.01;45.89;39.74;NA;42.85;41.92;61.54;44.1;28.57;NA;NA;NA;
5;12;80.38;59.13;74.09;NA;62.43;74.61;67.93;66.7;40.87;NA;NA;NA;
5;13;81.3;63.01;73.96;NA;79.12;81.22;81.97;71.36;56.24;NA;NA;NA;
5;14;64.94;50.89;70.87;NA;75.96;79.95;96.81;71.46;71.45;NA;NA;NA;
5;15;50.69;45.34;49.13;NA;56.42;65.37;71.91;59.48;65.47;NA;NA;NA;
5;16;36.5;31.75;30.03;NA;33.82;48.4;59.21;45.88;54.47;NA;NA;NA;
5;17;31.4;24.44;15.67;NA;24.17;28.04;36.59;33.22;34.52;NA;NA;NA;
5;18;26.68;19.95;9.99;NA;18.28;16.92;20.9;23.86;14.8;NA;NA;NA;
5;19;22.58;16.76;3.48;NA;10.88;5.51;20.58;21.23;3.46;NA;NA;NA;
5;20;23.51;16.83;4.37;NA;7.2;9.07;21.12;19.44;15.52;NA;NA;NA;
5;21;27.28;15.5;1.74;NA;8.8;5.09;21.98;20.08;12.29;NA;NA;NA;
5;22;25.73;14.89;4.49;NA;13.51;ND;25.81;19.27;16.47;NA;NA;NA;
