DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;20.82;1.57;18.96;ND;23.38;29.75;NA;NA;ND;NA;NA;NA;
1;1;9.71;10.2;8.09;11.65;8.59;10.13;NA;NA;ND;NA;NA;NA;
1;2;13.97;20.66;8.57;8.81;20.56;13.55;NA;NA;ND;NA;NA;NA;
1;3;9.8;1.78;6.37;13.88;11.81;3.68;NA;NA;ND;NA;NA;NA;
1;4;11.06;12.34;12.96;13.74;15.4;16.13;NA;NA;ND;NA;NA;NA;
1;5;15.86;11.04;13.64;13.83;6.62;15.91;NA;NA;ND;NA;NA;NA;
1;6;27.18;19.57;26.56;24.7;58.33;19.01;NA;NA;ND;NA;NA;NA;
1;7;45.47;17.76;25.12;28.62;66.01;30.96;NA;NA;ND;NA;NA;NA;
1;8;17.78;15.11;34.96;29.94;75.75;43.64;NA;NA;ND;NA;NA;NA;
1;9;35.3;17.58;37.94;24.95;34.82;25.41;NA;NA;ND;NA;NA;NA;
1;10;20.93;18.92;21.24;19.36;33.31;21.07;NA;NA;ND;NA;NA;NA;
1;11;21.72;7.24;18.52;20.44;25.97;12.35;NA;NA;ND;NA;NA;NA;
1;12;19.51;20.09;13.35;9.94;29.21;20.18;NA;NA;ND;NA;NA;NA;
1;13;ND;13.56;10.3;8.34;1.27;16.58;NA;NA;ND;NA;NA;NA;
1;14;ND;3.4;9.81;5.4;0.11;8.28;NA;NA;ND;NA;NA;NA;
1;15;10.58;9.02;4.86;8.9;5.3;4.43;NA;NA;ND;NA;NA;NA;
1;16;7.25;5.22;15.14;14.02;25.54;6.16;NA;NA;ND;NA;NA;NA;
1;17;6.43;10.5;18.36;18.2;17.65;4.97;NA;NA;ND;NA;NA;NA;
1;18;10.47;11.23;18.66;18.74;19.95;11.93;NA;NA;ND;NA;NA;NA;
1;19;8.64;12.87;11.19;17.4;23.61;16.89;NA;NA;ND;NA;NA;NA;
1;20;17.47;16.35;19.47;21.46;33.39;14.44;NA;NA;ND;NA;NA;NA;
1;21;4.18;17.89;14.03;19.54;29.08;8.26;NA;NA;ND;NA;NA;NA;
1;22;10.18;16.8;3.86;8.59;14.28;7.8;NA;NA;ND;NA;NA;NA;
1;23;13.1;10.51;ND;9.44;ND;16.02;NA;NA;ND;NA;NA;NA;
2;0;10.74;11.55;14.26;ND;25.25;18.28;NA;NA;ND;NA;NA;NA;
2;1;15.47;11.99;14.08;15.97;14.95;17.99;NA;NA;ND;NA;NA;NA;
2;2;18.5;14.06;14.3;13.88;19.94;15.05;NA;NA;ND;NA;NA;NA;
2;3;19.96;8.47;15.04;12.73;11.87;16.61;NA;NA;ND;NA;NA;NA;
2;4;8.19;5.95;12.64;10.97;17.44;13.73;NA;NA;ND;NA;NA;NA;
2;5;19.05;11.77;17.63;18.44;23.42;9.14;NA;NA;ND;NA;NA;NA;
2;6;23.21;27.26;18.33;26.15;33.8;18;NA;NA;ND;NA;NA;NA;
2;7;23.39;43.92;26.19;38.1;41.11;28.21;NA;NA;ND;NA;NA;NA;
2;8;31.57;31.72;30.67;38.46;35.54;37.01;NA;NA;ND;NA;NA;NA;
2;9;30.1;15.47;27.99;34.35;20.16;21.84;NA;NA;ND;NA;NA;NA;
2;10;27.17;13.77;17.24;28.47;15.15;13.05;NA;NA;ND;NA;NA;NA;
2;11;21.67;14.5;16.91;17.67;19.99;23.36;NA;NA;ND;NA;NA;NA;
2;12;15;21.22;23;20.55;5.04;20.71;NA;NA;ND;NA;NA;NA;
2;13;7.94;18.2;10.32;9.64;29.7;18.89;NA;NA;ND;NA;NA;NA;
2;14;7.57;6.2;15.46;4.58;6.15;7.27;NA;NA;ND;NA;NA;NA;
2;15;16;8.96;6.03;10.52;14;7.61;NA;NA;ND;NA;NA;NA;
2;16;12.01;9.59;22.25;12.63;20.88;13.78;NA;NA;ND;NA;NA;NA;
2;17;12.88;10.09;21.08;18.66;20.19;12.82;NA;NA;ND;NA;NA;NA;
2;18;12.91;12.41;20.57;22.65;20.07;12.17;NA;NA;ND;NA;NA;NA;
2;19;12.88;19.78;19.23;38.13;22.05;14.42;NA;NA;ND;NA;NA;NA;
2;20;7.66;12.67;17.09;32.3;28.24;10.77;NA;NA;ND;NA;NA;NA;
2;21;13.83;11.19;15.03;23.97;24.1;11.19;NA;NA;ND;NA;NA;NA;
2;22;11.33;10.89;12.95;16.62;17.3;ND;NA;NA;ND;NA;NA;NA;
2;23;6.6;7.36;ND;18.96;ND;ND;NA;NA;ND;NA;NA;NA;
3;0;15.31;4.57;22.44;ND;16.83;1.32;NA;NA;ND;NA;NA;NA;
3;1;16.06;5.09;8.64;ND;14.77;11.93;NA;NA;ND;NA;NA;NA;
3;2;5.89;11.05;16.53;ND;11.99;13.95;NA;NA;ND;NA;NA;NA;
3;3;20.07;15.3;13.9;ND;12.54;11.64;NA;NA;ND;NA;NA;NA;
3;4;16.29;17.94;15.98;ND;14.03;17.28;NA;NA;ND;NA;NA;NA;
3;5;20.25;5.17;17.35;ND;22.05;23.27;NA;NA;ND;NA;NA;NA;
3;6;30.36;24.85;16.26;ND;25.27;18.47;NA;NA;ND;NA;NA;NA;
3;7;37.32;32.94;29.2;ND;42.86;39.42;NA;NA;ND;NA;NA;NA;
3;8;34.62;26.55;41.26;ND;45.68;47.42;NA;NA;ND;NA;NA;NA;
3;9;23;25.81;36.2;ND;33.89;37.86;NA;NA;ND;NA;NA;NA;
3;10;42.38;24.42;31.7;ND;37.33;28.2;NA;NA;ND;NA;NA;NA;
3;11;31.35;21.19;29.2;ND;42.95;25.6;NA;NA;ND;NA;NA;NA;
3;12;18.07;26.58;33.44;ND;30.4;27.94;NA;NA;ND;NA;NA;NA;
3;13;18.91;18.68;21.75;ND;25.41;18.36;NA;NA;ND;NA;NA;NA;
3;14;9.13;15.32;22.92;ND;20.55;16.91;NA;NA;ND;NA;NA;NA;
3;15;11.04;7.15;44.84;ND;1.47;5.29;NA;NA;ND;NA;NA;NA;
3;16;12.19;10.34;69.75;ND;16.72;19.17;NA;NA;ND;NA;NA;NA;
3;17;12.92;6.87;27.36;ND;26.15;26.29;NA;NA;ND;NA;NA;NA;
3;18;12.86;15.74;16.46;ND;18.93;15.22;NA;NA;ND;NA;NA;NA;
3;19;12.96;15.14;17.84;ND;23.72;17.98;NA;NA;ND;NA;NA;NA;
3;20;9.74;12.53;19.8;ND;27.85;13.27;NA;NA;ND;NA;NA;NA;
3;21;13;16.39;13.07;ND;18.77;17.32;NA;NA;ND;NA;NA;NA;
3;22;11.45;17.72;7.18;ND;20.75;14.76;NA;NA;ND;NA;NA;NA;
3;23;14.15;11.79;ND;ND;ND;13.55;NA;NA;ND;NA;NA;NA;
4;0;4.39;14.63;13.14;ND;27.25;16.63;NA;NA;ND;NA;NA;NA;
4;1;20.32;13.27;6.8;ND;17.6;12.33;NA;NA;ND;NA;NA;NA;
4;2;22.15;9.81;10.58;ND;6.34;10.51;NA;NA;ND;NA;NA;NA;
4;3;14.26;8.44;13.86;ND;16.41;15.64;NA;NA;ND;NA;NA;NA;
4;4;16.64;1.36;18.86;ND;17.39;12.37;NA;NA;ND;NA;NA;NA;
4;5;11.09;23.23;15.5;ND;32.36;15.91;NA;NA;ND;NA;NA;NA;
4;6;23.74;17.87;17.29;ND;29.62;19.73;NA;NA;ND;NA;NA;NA;
4;7;19.55;15.02;14.1;ND;31.5;18.43;NA;NA;ND;NA;NA;NA;
4;8;21.31;9.48;9.3;ND;28.16;19.04;NA;NA;ND;NA;NA;NA;
4;9;18.11;22.11;17.69;ND;6.06;15.9;NA;NA;ND;NA;NA;NA;
4;10;19.97;21.07;22.93;ND;21.31;19.86;NA;NA;ND;NA;NA;NA;
4;11;17.45;12.44;20.57;ND;10.5;18.4;NA;NA;ND;NA;NA;NA;
