DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;28.38;28.46;25.51;ND;43.77;ND;NA;NA;ND;NA;NA;NA;
1;1;28.38;33.21;23.25;ND;50.98;34.73;NA;NA;ND;NA;NA;NA;
1;2;32.74;35.53;22.92;ND;52.46;36.89;NA;NA;ND;NA;NA;NA;
1;3;25.84;32.44;19.94;ND;40.74;28.77;NA;NA;ND;NA;NA;NA;
1;4;44.72;34.85;23.79;ND;32.09;35.09;NA;NA;ND;NA;NA;NA;
1;5;27.71;38.71;32.09;ND;37.14;31;NA;NA;ND;NA;NA;NA;
1;6;29.84;56.86;38.33;ND;92.5;50.62;NA;NA;ND;NA;NA;NA;
1;7;53.13;34.22;56.9;ND;96.48;71.91;NA;NA;ND;NA;NA;NA;
1;8;ND;38.8;108.98;ND;52.59;72.67;NA;NA;ND;NA;NA;NA;
1;9;ND;17.17;59.1;ND;28.08;25.23;NA;NA;ND;NA;NA;NA;
1;10;9.14;16.44;32.63;ND;14.65;14.65;NA;NA;ND;NA;NA;NA;
1;11;1.57;15.07;ND;ND;4.11;9.3;NA;NA;ND;NA;NA;NA;
1;12;29.27;29.26;0.02;ND;15.38;14.19;NA;NA;ND;NA;NA;NA;
1;13;ND;42.59;19.56;ND;22.94;18.99;NA;NA;ND;NA;NA;NA;
1;14;24.57;32.51;21.5;ND;30.41;35.53;NA;NA;ND;NA;NA;NA;
1;15;4.01;34.87;22.3;ND;46.15;75.14;NA;NA;ND;NA;NA;NA;
1;16;0.05;27.85;31.8;ND;30.46;ND;NA;NA;ND;NA;NA;NA;
1;17;6.61;36.63;41.47;ND;30.52;ND;NA;NA;ND;NA;NA;NA;
1;18;25.55;37.15;38.37;ND;64.93;0;NA;NA;ND;NA;NA;NA;
1;19;23.74;48.07;37.22;ND;50.76;0;NA;NA;ND;NA;NA;NA;
1;20;12.72;36.71;45.74;ND;47.14;0.3;NA;NA;ND;NA;NA;NA;
1;21;25.59;24.25;31.48;ND;44.23;1.49;NA;NA;ND;NA;NA;NA;
1;22;44.19;24.99;34.45;ND;39.39;7.73;NA;NA;ND;NA;NA;NA;
1;23;38.78;49.1;ND;ND;46.61;44.52;NA;NA;ND;NA;NA;NA;
2;0;38.14;38.42;24.99;ND;43.12;ND;NA;NA;ND;NA;NA;NA;
2;1;42.16;28.15;41.26;ND;38.04;30.47;NA;NA;ND;NA;NA;NA;
2;2;46.19;26.38;36.43;ND;39.38;35.58;NA;NA;ND;NA;NA;NA;
2;3;39.96;36.87;31.35;ND;41.67;39.51;NA;NA;ND;NA;NA;NA;
2;4;34.37;30.96;39.53;ND;46.64;36.01;NA;NA;ND;NA;NA;NA;
2;5;45.54;26.01;37.6;ND;43.73;41.34;NA;NA;ND;NA;NA;NA;
2;6;37.22;36.62;46.04;ND;75.8;44.03;NA;NA;ND;NA;NA;NA;
2;7;41.83;44.21;58.11;ND;54.41;46.13;NA;NA;ND;NA;NA;NA;
2;8;42.79;41.33;60.99;ND;47.73;19.35;NA;NA;ND;NA;NA;NA;
2;9;27.89;30.04;ND;ND;48.66;48.59;NA;NA;ND;NA;NA;NA;
2;10;25.1;22.64;ND;ND;45.77;24.8;NA;NA;ND;NA;NA;NA;
2;11;18.53;22.28;8.07;ND;26.62;11.06;NA;NA;ND;NA;NA;NA;
2;12;24.75;35.99;4.78;ND;10.69;39.79;NA;NA;ND;NA;NA;NA;
2;13;20.63;31.4;9.29;ND;32.88;ND;NA;NA;ND;NA;NA;NA;
2;14;27.31;20.98;9.19;ND;25.73;7.95;NA;NA;ND;NA;NA;NA;
2;15;50.42;21.35;39.83;ND;30.83;0;NA;NA;ND;NA;NA;NA;
2;16;ND;21.14;24.06;ND;24.95;0;NA;NA;ND;NA;NA;NA;
2;17;34.89;37.04;21.45;ND;26.64;0;NA;NA;ND;NA;NA;NA;
2;18;5.39;35.02;38.67;ND;41.06;12.47;NA;NA;ND;NA;NA;NA;
2;19;2.42;18.06;42.23;ND;40.81;22.24;NA;NA;ND;NA;NA;NA;
2;20;15.78;16.9;36.9;ND;43.5;32.84;NA;NA;ND;NA;NA;NA;
2;21;18;10.24;32.16;ND;39.61;18.83;NA;NA;ND;NA;NA;NA;
2;22;19.27;12.93;26.91;ND;23.16;26.65;NA;NA;ND;NA;NA;NA;
2;23;18.51;24.97;ND;ND;21.25;12.05;NA;NA;ND;NA;NA;NA;
3;0;12.37;31.55;29.07;ND;11.91;ND;NA;NA;ND;NA;NA;NA;
3;1;17.1;14.25;24.06;ND;19.11;21.46;NA;NA;ND;NA;NA;NA;
3;2;22.33;21.09;19.51;ND;18.81;20.57;NA;NA;ND;NA;NA;NA;
3;3;21.18;23.14;15.04;ND;21.29;12.63;NA;NA;ND;NA;NA;NA;
3;4;10.99;14.09;11.42;ND;23.89;13.75;NA;NA;ND;NA;NA;NA;
3;5;13.22;24.11;15.46;ND;26.88;13.43;NA;NA;ND;NA;NA;NA;
3;6;30.2;38.49;18.33;ND;53.9;29.45;NA;NA;ND;NA;NA;NA;
3;7;26.75;64.18;29.36;ND;45.27;31.77;NA;NA;ND;NA;NA;NA;
3;8;59.99;54.49;55.6;ND;56.28;34.89;NA;NA;ND;NA;NA;NA;
3;9;25.33;35.2;58.36;ND;21.46;16.72;NA;NA;ND;NA;NA;NA;
3;10;30.86;29.29;14.38;ND;22.13;10.67;NA;NA;ND;NA;NA;NA;
3;11;30.3;32.3;5.91;ND;20.73;19.48;NA;NA;ND;NA;NA;NA;
3;12;ND;24.29;8.75;ND;28;26.11;NA;NA;ND;NA;NA;NA;
3;13;ND;25.05;12.23;ND;30.67;25.54;NA;NA;ND;NA;NA;NA;
3;14;29.89;31.06;19.88;ND;37.99;41.18;NA;NA;ND;NA;NA;NA;
3;15;12.39;16.7;37.4;ND;44.9;77.6;NA;NA;ND;NA;NA;NA;
3;16;8.47;27.91;43.26;ND;37.43;ND;NA;NA;ND;NA;NA;NA;
3;17;11.73;31.62;24.69;ND;41.42;8.63;NA;NA;ND;NA;NA;NA;
3;18;9.87;30.19;26.39;ND;45.82;0;NA;NA;ND;NA;NA;NA;
3;19;11.8;17.09;20.53;ND;37.16;0;NA;NA;ND;NA;NA;NA;
3;20;15.24;15.94;35.73;ND;38.7;0;NA;NA;ND;NA;NA;NA;
3;21;21.32;27.67;26.93;ND;34.13;18.51;NA;NA;ND;NA;NA;NA;
3;22;30.67;36.27;33.91;ND;31.38;2.73;NA;NA;ND;NA;NA;NA;
3;23;25.5;33.7;ND;ND;38.94;16.54;NA;NA;ND;NA;NA;NA;
4;0;38.8;34.7;3.35;ND;54.81;ND;NA;NA;ND;NA;NA;NA;
4;1;23.04;17.96;19.96;ND;51.47;20.77;NA;NA;ND;NA;NA;NA;
4;2;21.84;25.57;26.31;ND;47.11;34.28;NA;NA;ND;NA;NA;NA;
4;3;13.96;30.47;21.45;ND;55.92;36.31;NA;NA;ND;NA;NA;NA;
4;4;23.7;32.8;29.8;ND;46.12;37.57;NA;NA;ND;NA;NA;NA;
4;5;25.77;30.21;24.37;ND;45.43;40.33;NA;NA;ND;NA;NA;NA;
4;6;33.92;58.16;28.46;ND;83.86;49.93;NA;NA;ND;NA;NA;NA;
4;7;46.36;53.8;61.93;ND;109.96;45.7;NA;NA;ND;NA;NA;NA;
4;8;63.28;24.15;36.29;ND;73.57;20.5;NA;NA;ND;NA;NA;NA;
4;9;51.71;34.8;15.66;ND;42.36;12.41;NA;NA;ND;NA;NA;NA;
4;10;40.41;22.34;27.82;ND;25.31;17.7;NA;NA;ND;NA;NA;NA;
4;11;26.8;29.43;28.43;ND;46.03;33.28;NA;NA;ND;NA;NA;NA;
4;12;16.69;23.81;22.04;ND;58.56;29.69;NA;NA;ND;NA;NA;NA;
4;13;24.9;28.41;13.1;ND;33.27;30.95;NA;NA;ND;NA;NA;NA;
4;14;20.67;35.77;24.93;ND;14.59;18.47;NA;NA;ND;NA;NA;NA;
4;15;9.93;21.54;30.54;ND;24.84;30.28;NA;NA;ND;NA;NA;NA;
4;16;14.99;14.06;40.66;ND;23.74;27.93;NA;NA;ND;NA;NA;NA;
4;17;19.11;14.3;40.89;ND;17.9;13.1;NA;NA;ND;NA;NA;NA;
4;18;14.18;24.91;35.51;ND;16.43;20.89;NA;NA;ND;NA;NA;NA;
4;19;13.23;20.78;30.14;ND;15.12;25.12;NA;NA;ND;NA;NA;NA;
4;20;15.84;17.69;31.92;ND;29.18;27.1;NA;NA;ND;NA;NA;NA;
4;21;26.77;14.6;26.07;ND;26.75;29.98;NA;NA;ND;NA;NA;NA;
4;22;19.22;5.96;25.72;ND;ND;36.68;NA;NA;ND;NA;NA;NA;
4;23;19.05;21.73;ND;ND;31.32;29.7;NA;NA;ND;NA;NA;NA;
5;0;22.78;15.39;21.53;ND;41.47;ND;NA;NA;ND;NA;NA;NA;
5;1;25.02;12.87;33.02;ND;32.13;39.1;NA;NA;ND;NA;NA;NA;
5;2;14.41;13.65;25.26;ND;28.27;27.04;NA;NA;ND;NA;NA;NA;
5;3;16.92;6.17;18.53;ND;38.43;28.11;NA;NA;ND;NA;NA;NA;
5;4;16.43;4.4;17.68;ND;26.94;15.49;NA;NA;ND;NA;NA;NA;
5;5;18.74;20.02;12.66;ND;36.23;26;NA;NA;ND;NA;NA;NA;
5;6;20.73;18.31;22.63;ND;31.97;28.99;NA;NA;ND;NA;NA;NA;
5;7;25.37;24.24;20.8;ND;37.22;24.2;NA;NA;ND;NA;NA;NA;
5;8;26.59;29.89;15.91;ND;51.07;26.2;NA;NA;ND;NA;NA;NA;
5;9;19.26;12.53;21.66;ND;53.41;27.25;NA;NA;ND;NA;NA;NA;
5;10;35.6;27.89;22.53;ND;34.57;19.5;NA;NA;ND;NA;NA;NA;
