DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;12.02;20.73;2.45;NA;2.98;1.35;31.92;2.22;0.05;NA;NA;NA;
1;1;16.45;20.21;1.55;NA;2.01;1.11;ND;15.19;ND;NA;NA;NA;
1;2;19.04;ND;3.79;NA;0.48;1.89;12.61;21.69;0.04;NA;NA;NA;
1;3;19.65;20.68;9.09;NA;2.22;2.34;11.89;22.94;0.43;NA;NA;NA;
1;4;19.41;16.83;6.67;NA;1.62;3.06;5.02;23.36;1.82;NA;NA;NA;
1;5;16.34;19.82;9.85;NA;3.25;10.71;5.97;17.41;2.33;NA;NA;NA;
1;6;12.75;11.95;7.18;NA;2.83;9.57;2.15;19.07;9.16;NA;NA;NA;
1;7;8.02;14.39;6.95;NA;9.4;7.85;8.15;17.29;3.11;NA;NA;NA;
1;8;11.83;20.12;13.16;NA;18.82;14.21;14.81;20.25;4.72;NA;NA;NA;
1;9;23.72;26.55;14.71;NA;17.38;20.44;26.38;19.57;3.21;NA;NA;NA;
1;10;37.12;35.04;29.14;NA;28.08;25.31;48.81;24.1;3.97;NA;NA;NA;
1;11;44.8;42.82;48.02;NA;36.52;52.44;36.18;40.5;4.05;NA;NA;NA;
1;12;45.41;39.8;55.86;NA;53.84;65.03;48.86;47.05;21.42;NA;NA;NA;
1;13;44.1;41.6;46.42;NA;58.55;55.07;56.5;48.17;40.3;NA;NA;NA;
1;14;45.04;43.75;48.82;NA;49.4;50.89;57.25;45.17;40.31;NA;NA;NA;
1;15;38.32;38.97;47.21;NA;49.48;51.9;49.79;45.25;28.67;NA;NA;NA;
1;16;36.34;36.74;35.27;NA;40.21;41.49;41.31;37.7;40.1;NA;NA;NA;
1;17;28.6;24.32;24.72;NA;29.16;27.21;30.18;30.12;32.13;NA;NA;NA;
1;18;20.11;17.01;13.61;NA;9.57;3.93;14.26;23.89;18.54;NA;NA;NA;
1;19;13.07;15.49;1.08;NA;3.67;4.14;2.73;20.14;16.36;NA;NA;NA;
1;20;3.75;16.34;0.04;NA;4.47;3.22;7.45;21.23;12.04;NA;NA;NA;
1;21;3.72;9.68;0;NA;2.83;1.74;10.72;21.8;10.16;NA;NA;NA;
1;22;5.09;11.12;0;NA;1.74;1.74;8.66;20.7;11.08;NA;NA;NA;
1;23;8.66;12.56;0.35;NA;2.83;1.51;4.31;16.58;11.65;NA;NA;NA;
2;0;9.46;15.92;0.46;NA;1.64;1.22;7.78;ND;7.84;NA;NA;NA;
2;1;12.36;18.11;0.88;NA;2.2;1.17;10.69;14.33;2.54;NA;NA;NA;
2;2;ND;18.25;0.43;NA;ND;ND;7.85;16.8;5.85;NA;NA;NA;
2;3;15.61;17.81;4.83;NA;4.96;3.42;6.34;14.63;3.9;NA;NA;NA;
2;4;5.06;17.07;0.97;NA;2.03;1.68;2.51;15.01;0.25;NA;NA;NA;
2;5;0.89;10.06;0;NA;1.49;1.75;1.43;14.21;0.1;NA;NA;NA;
2;6;0.42;3.9;0.32;NA;2.06;3.11;1.11;11.17;0.9;NA;NA;NA;
2;7;5.13;7.66;1.61;NA;10.58;2.61;5.3;9.47;1.6;NA;NA;NA;
2;8;16.35;19.48;11.53;NA;11.95;9.65;23.1;15.34;4.19;NA;NA;NA;
2;9;32.94;33.32;30.48;NA;27.34;23.16;29.53;27.06;7.04;NA;NA;NA;
2;10;44.18;45.43;39.05;NA;40.66;43.69;38.03;44.43;20.23;NA;NA;NA;
2;11;52.24;53.58;41.96;NA;45.99;47.99;47.92;56.28;35.15;NA;NA;NA;
2;12;51.27;49.11;36.35;NA;48.26;44.36;49.24;56.21;40.24;NA;NA;NA;
2;13;49.14;43.59;40.6;NA;40.66;40.9;47.27;50.93;42.08;NA;NA;NA;
2;14;38.28;40.7;41.3;NA;40.32;43.54;46.93;47.28;40.31;NA;NA;NA;
2;15;32.2;38.12;35.76;NA;ND;42.33;46.22;42.11;37;NA;NA;NA;
2;16;32.27;34.64;31.66;NA;27.85;34.01;46.14;36.26;40.11;NA;NA;NA;
2;17;28.66;29.17;ND;NA;23.76;24.71;32.51;29.73;30.97;NA;NA;NA;
2;18;22.14;20.38;6.38;NA;9.78;5.54;16.26;23.23;19.24;NA;NA;NA;
2;19;18.29;17.77;0.7;NA;4.58;2.44;5.81;22.69;22.18;NA;NA;NA;
2;20;13.18;19.87;0.31;NA;4.09;2.15;8.42;23.42;18.31;NA;NA;NA;
2;21;12.33;18.34;2.64;NA;5.15;6.77;8.94;20.81;12.01;NA;NA;NA;
2;22;6.56;16.46;2.73;NA;9.36;5.91;0.88;22.9;12.91;NA;NA;NA;
2;23;6.68;9.8;1.65;NA;7.76;7.62;7.99;23.93;17.98;NA;NA;NA;
3;0;9;11.92;2.81;NA;4.98;4.4;12.74;18.07;4.91;NA;NA;NA;
3;1;11.18;14.67;2.36;NA;12.18;4.24;ND;17.34;ND;NA;NA;NA;
3;2;15.66;ND;8.01;NA;6.22;5.94;11;20.09;9.83;NA;NA;NA;
3;3;10.69;16.75;6.48;NA;11.35;6.92;7.06;21.06;15.18;NA;NA;NA;
3;4;9.66;18.34;5.59;NA;5.74;5.86;0.52;18.33;10.62;NA;NA;NA;
3;5;9.8;16.06;7.66;NA;8.27;5.74;3.85;18.01;14.04;NA;NA;NA;
3;6;2.59;6.6;1.84;NA;5.73;2.18;0.89;8.85;13.51;NA;NA;NA;
3;7;2.69;7.23;2.88;NA;10.52;4.58;4.48;8.21;4.79;NA;NA;NA;
3;8;4.91;10.72;4.17;NA;9.32;9.11;12.11;15.2;7.65;NA;NA;NA;
3;9;19.34;25.43;10.59;NA;15.72;13.59;20.71;22.02;15.24;NA;NA;NA;
3;10;31.03;31.87;18.2;NA;21.68;27.84;32.95;ND;16.22;NA;NA;NA;
3;11;27.5;28.25;25.39;NA;21.46;19.83;29.36;ND;16.39;NA;NA;NA;
3;12;ND;37.57;40.25;NA;42.55;ND;40.82;ND;25.13;NA;NA;NA;
3;13;35;33.47;27.76;NA;43.1;ND;57.38;40.1;30.61;NA;NA;NA;
3;14;37.99;ND;31.35;NA;37.98;38.93;49.15;41.09;35.75;NA;NA;NA;
3;15;38.22;40.15;36.89;NA;42.49;44.69;50.95;45.06;36.11;NA;NA;NA;
3;16;30.64;31.31;23.03;NA;30.88;30.45;33.3;41.69;33.67;NA;NA;NA;
3;17;26.35;21.04;19.71;NA;17.04;16.15;22.92;25.54;27.82;NA;NA;NA;
3;18;21.31;16.04;4.84;NA;4.94;2.73;8.68;20.36;23.73;NA;NA;NA;
3;19;9.47;17.02;0.63;NA;2.09;1.51;5.91;20.01;17.01;NA;NA;NA;
3;20;7.91;18.78;0.94;NA;3.11;4.65;6.39;22.76;16.32;NA;NA;NA;
3;21;4.69;13.39;0.24;NA;2.79;2.07;4.92;21.69;14.83;NA;NA;NA;
3;22;5.32;15.46;2.44;NA;1.51;3.32;3.37;18.71;17.14;NA;NA;NA;
3;23;5.48;16.16;3.19;NA;2.24;5.42;12.72;21.14;19.34;NA;NA;NA;
4;0;5.69;15.81;4.45;NA;4.73;3.56;5.51;19.81;18.89;NA;NA;NA;
4;1;11.06;15.52;5.61;NA;6.95;7.15;2.45;21.24;11.89;NA;NA;NA;
4;2;ND;16.96;ND;NA;ND;ND;7.37;21.82;17.66;NA;NA;NA;
4;3;12.53;16.94;13.56;NA;15.59;15.16;13.17;18.68;16.97;NA;NA;NA;
4;4;9.07;15.86;10.69;NA;15.61;12.49;8.47;19.47;15.53;NA;NA;NA;
4;5;12.41;16.04;8.14;NA;7.65;10.76;4.2;19.15;14.84;NA;NA;NA;
4;6;2.67;6.73;1.71;NA;3.58;3.63;1.58;15.59;8.27;NA;NA;NA;
4;7;5.76;7.07;1.6;NA;18.71;3.65;10.75;15.86;10.54;NA;NA;NA;
4;8;10.84;21.2;6.68;NA;13.35;5.18;15.19;18.73;7.33;NA;NA;NA;
4;9;31.84;34.72;26.87;NA;21.08;27.91;21.43;21.58;10.72;NA;NA;NA;
4;10;39.95;39.9;31.68;NA;33.2;36;38.28;20.46;27.16;NA;NA;NA;
4;11;38.19;44.12;28.26;NA;35.11;35.23;43.39;33.32;41.21;NA;NA;NA;
4;12;49.55;ND;39.57;NA;30.59;36.1;48.08;48.42;ND;NA;NA;NA;
4;13;43.89;ND;38.41;NA;36.38;42.05;ND;48.87;26.98;NA;NA;NA;
4;14;39.91;39.23;38.57;NA;40.13;46.07;ND;49.19;37.67;NA;NA;NA;
4;15;34.96;41.74;33.13;NA;30.57;46.92;37.75;45.77;33.06;NA;NA;NA;
4;16;31.9;33.74;32.03;NA;35.89;42.15;34.62;45.12;38.15;NA;NA;NA;
4;17;25.2;25.02;16.65;NA;22.49;24.97;31.74;31.73;31.12;NA;NA;NA;
4;18;16.07;16.17;13.05;NA;8;14.4;15.93;23.13;18.27;NA;NA;NA;
