DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;20.31;11.74;25.38;ND;10.83;22.17;NA;NA;ND;NA;NA;NA;
1;1;10.4;11.15;20.43;23.06;25.07;16.14;NA;NA;ND;NA;NA;NA;
1;2;14.25;19.99;17.2;16.52;19.72;18.08;NA;NA;ND;NA;NA;NA;
1;3;20.38;15.48;17.35;20.27;20.47;23.06;NA;NA;ND;NA;NA;NA;
1;4;20.57;18.69;20.53;18.17;21.26;19.81;NA;NA;ND;NA;NA;NA;
1;5;13.56;3.17;16.26;17.21;24.24;12.3;NA;NA;ND;NA;NA;NA;
1;6;20.02;22.07;19.58;22.11;13.62;22.49;NA;NA;ND;NA;NA;NA;
1;7;14.33;18.8;22.18;22.41;26.95;24.87;NA;NA;ND;NA;NA;NA;
1;8;20.62;25.79;22.11;22.76;26.36;20.07;NA;NA;ND;NA;NA;NA;
1;9;24.52;17.85;20.54;21.31;23.95;18.77;NA;NA;ND;NA;NA;NA;
1;10;21.26;18.29;20.24;19.62;25.49;20.79;NA;NA;ND;NA;NA;NA;
1;11;27.56;15.47;14.94;19.56;16.03;18.17;NA;NA;ND;NA;NA;NA;
1;12;22.82;29.56;14.94;14.53;21.89;11.28;NA;NA;ND;NA;NA;NA;
1;13;26.52;31.45;13.34;18.2;22.21;23.97;NA;NA;ND;NA;NA;NA;
1;14;19.51;15.51;13.91;23.62;33.03;16.09;NA;NA;ND;NA;NA;NA;
1;15;23.22;18.65;14.33;25.5;14.34;10.86;NA;NA;ND;NA;NA;NA;
1;16;19.08;25.36;27.43;16.64;26.41;22.94;NA;NA;ND;NA;NA;NA;
1;17;10.92;15.94;17.72;16.08;10.48;10.1;NA;NA;ND;NA;NA;NA;
1;18;15.49;10.26;16.12;14.21;23.97;19.6;NA;NA;ND;NA;NA;NA;
1;19;4.71;11.61;16.32;8.77;18.75;18.73;NA;NA;ND;NA;NA;NA;
1;20;11.88;5.57;23.2;12.51;16.89;15.07;NA;NA;ND;NA;NA;NA;
1;21;8.62;8.32;13.84;12.76;9.66;22.2;NA;NA;ND;NA;NA;NA;
1;22;5.17;4.28;11.25;14.52;15.28;9.25;NA;NA;ND;NA;NA;NA;
1;23;7.16;6.51;ND;7.94;ND;16.9;NA;NA;ND;NA;NA;NA;
2;0;1.05;7.73;16.18;ND;21.73;16.11;NA;NA;ND;NA;NA;NA;
2;1;9;8.18;9;17.27;15.73;13.47;NA;NA;ND;NA;NA;NA;
2;2;7.83;7.34;15.69;13.01;18.22;17.57;NA;NA;ND;NA;NA;NA;
2;3;7.08;12.72;12.96;17.01;17.14;14.51;NA;NA;ND;NA;NA;NA;
2;4;11.27;13.33;21.22;17.76;15;12.5;NA;NA;ND;NA;NA;NA;
2;5;12.47;17.83;10.21;18.39;27.32;18.61;NA;NA;ND;NA;NA;NA;
