DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;2.25;2.2;5.21;ND;4.43;6.69;ND;1.46;ND;NA;NA;NA;
1;1;ND;2.41;6.47;ND;4.04;5.97;ND;1.79;ND;NA;NA;NA;
1;2;5.27;2.33;5.02;ND;3.84;6.09;ND;1.52;ND;NA;NA;NA;
1;3;2.59;2.23;6.3;ND;4.39;6.12;ND;1.53;ND;NA;NA;NA;
1;4;2.65;2.52;5.77;ND;4.03;5.8;ND;1.28;ND;NA;NA;NA;
1;5;3.37;2.92;6.4;ND;5.53;5.48;ND;1.59;ND;NA;NA;NA;
1;6;2.61;2.57;4.81;ND;6.67;6.57;ND;1.87;ND;NA;NA;NA;
1;7;4.75;3.44;7.02;ND;16.39;11.15;ND;3.53;ND;NA;NA;NA;
1;8;6.92;4.14;8.46;ND;12.73;9.79;ND;2.77;ND;NA;NA;NA;
1;9;5.5;5.35;8.64;ND;7.74;8.55;ND;3.4;ND;NA;NA;NA;
1;10;4.49;5.25;7.84;ND;5.16;6.02;ND;9.28;ND;NA;NA;NA;
1;11;5.16;7.55;6.21;ND;9.64;6.6;ND;7.98;ND;NA;NA;NA;
1;12;6.78;10.38;4.72;ND;9.09;6.03;ND;5.67;ND;NA;NA;NA;
1;13;6.2;8.04;3.21;ND;5.34;4.56;ND;5.25;ND;NA;NA;NA;
1;14;3.84;5.1;3.31;ND;3.52;4.02;ND;6.03;ND;NA;NA;NA;
1;15;1.38;3.35;3.48;ND;3.09;3.77;ND;3.75;ND;NA;NA;NA;
1;16;0.91;2.78;2.93;ND;2.72;3.61;ND;2.7;ND;NA;NA;NA;
1;17;0.9;2.61;3.19;ND;2.34;4.36;ND;2.07;ND;NA;NA;NA;
1;18;0.92;2.62;2.53;ND;2.64;4.2;ND;1.76;ND;NA;NA;NA;
1;19;1.77;2.64;3.9;ND;4.47;4.72;ND;1.92;ND;NA;NA;NA;
1;20;1.46;2.27;3.49;ND;4.19;6.54;ND;1.47;ND;NA;NA;NA;
1;21;1.64;2.1;2.83;ND;2.65;3.87;ND;1.55;ND;NA;NA;NA;
1;22;0.87;1.84;2.65;ND;1.99;3.48;ND;1.37;ND;NA;NA;NA;
1;23;0.21;1.78;2.51;ND;2.21;3.49;ND;1.37;ND;NA;NA;NA;
