DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;1.86;1.54;1.23;NA;0;1.25;8.33;ND;1.29;NA;NA;NA;
1;1;2.39;0.76;1.5;NA;0;2.08;13.86;0.74;1.36;NA;NA;NA;
1;2;2.15;ND;ND;NA;ND;2.02;19.03;0.98;1.28;NA;NA;NA;
1;3;1.4;1.13;0.94;NA;0;1.55;20.29;0.81;1.21;NA;NA;NA;
1;4;1.57;1.3;0.79;NA;1.39;1.23;11.13;0.81;1.03;NA;NA;NA;
1;5;1.36;2.12;0.7;NA;0;2.19;18.79;0.99;1.42;NA;NA;NA;
1;6;1.65;2.81;1.46;NA;0.11;3.82;16.81;0.99;1.8;NA;NA;NA;
1;7;2.81;4.41;2.93;NA;1.38;5.57;18.96;2.03;2.15;NA;NA;NA;
1;8;7.21;14.01;9.93;NA;13.63;15.09;22.68;5.87;7.28;NA;NA;NA;
1;9;24.97;28.48;29.04;NA;26.68;31.5;28.26;18.88;15.03;NA;NA;NA;
1;10;45.53;44.72;30.53;NA;34.15;39.97;34.74;36.2;28.56;NA;NA;NA;
1;11;55.32;48.8;46.43;NA;42.76;56.43;37.92;53;46.75;NA;NA;NA;
1;12;50.45;50.43;54.72;NA;62.63;63.72;43.14;64.72;42.96;NA;NA;NA;
1;13;42.74;44.55;54.92;NA;43.84;64.39;33.49;64.7;31.28;NA;NA;NA;
1;14;35.66;36.17;41.84;NA;26.39;30.13;31.17;34.33;30.22;NA;NA;NA;
1;15;28.87;32.97;28.7;NA;20.37;20.41;28.66;17.13;32.91;NA;NA;NA;
1;16;32.9;27.71;20.15;NA;17.78;23.59;26.93;35.38;26.52;NA;NA;NA;
1;17;13.45;27.66;14.87;NA;19.35;10.99;19.46;28.54;20.43;NA;NA;NA;
1;18;5.87;25.93;12.72;NA;10.01;10.01;17.79;22.33;6.09;NA;NA;NA;
1;19;7.85;23.53;9.21;NA;8.01;5.37;10.1;23.99;3.08;NA;NA;NA;
1;20;6.61;22.88;10.25;NA;5.74;7.84;5.93;25.05;1.25;NA;NA;NA;
1;21;9.63;25.76;14.08;NA;3.28;8.52;3.02;25.9;1.21;NA;NA;NA;
1;22;17.21;24.49;16.06;NA;1.28;14.71;6.74;26.88;3.66;NA;NA;NA;
1;23;15.63;26.4;14.63;NA;2.64;10.06;6.93;24.99;2.75;NA;NA;NA;
