DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;1.15;0.82;0.79;NA;0.65;1.04;0.68;NA;ND;NA;NA;NA;
1;1;1.12;0.64;0.79;NA;0.7;0.97;0.78;NA;ND;NA;NA;NA;
1;2;1.17;0.45;0.82;NA;0.67;0.78;0.83;NA;ND;NA;NA;NA;
1;3;1.01;0.58;0.73;NA;0.74;0.97;0.73;NA;ND;NA;NA;NA;
1;4;0.99;0.54;0.69;NA;0.96;1.16;1.02;NA;ND;NA;NA;NA;
1;5;0.91;0.7;0.57;NA;1.28;1.69;1.5;NA;ND;NA;NA;NA;
1;6;1.4;0.85;1.35;NA;2.64;2.23;1.94;NA;ND;NA;NA;NA;
1;7;1.88;1.16;2.42;NA;2.57;2.36;1.6;NA;ND;NA;NA;NA;
1;8;0.94;0.86;1.75;NA;2.07;2.07;0.74;NA;ND;NA;NA;NA;
1;9;0.7;0.59;1.05;NA;1.31;1.55;0.62;NA;ND;NA;NA;NA;
1;10;0.63;0.52;0.83;NA;0.81;0.9;0.51;NA;ND;NA;NA;NA;
1;11;ND;0.48;0.88;NA;0.56;0.74;0.63;NA;ND;NA;NA;NA;
1;12;ND;0.45;0.87;NA;0.46;0.69;0.57;NA;ND;NA;NA;NA;
1;13;0.53;0.37;0.56;NA;0.6;0.75;0.79;NA;ND;NA;NA;NA;
1;14;0.54;0.46;1.02;NA;0.46;0.95;0.83;NA;ND;NA;NA;NA;
1;15;0.78;0.56;0.5;NA;0.65;1.04;0.68;NA;ND;NA;NA;NA;
1;16;0.65;0.48;1.45;NA;0.81;1.16;0.82;NA;ND;NA;NA;NA;
1;17;0.61;0.45;1.09;NA;0.91;1.43;1.17;NA;ND;NA;NA;NA;
1;18;0.58;0.53;0.85;NA;1.12;1.32;1.47;NA;ND;NA;NA;NA;
1;19;0.72;0.64;1.32;NA;1.06;1.53;1.22;NA;ND;NA;NA;NA;
1;20;0.94;0.46;1.27;NA;0.76;1.05;0.79;NA;ND;NA;NA;NA;
1;21;0.88;0.44;0.85;NA;0.64;1.02;0.7;NA;ND;NA;NA;NA;
1;22;0.78;0.44;0.93;NA;0.72;1.06;0.89;NA;ND;NA;NA;NA;
1;23;0.62;0.37;0.72;NA;0.6;0.94;0.61;NA;ND;NA;NA;NA;
2;0;0.56;0.35;0.67;NA;0.53;0.95;0.72;NA;ND;NA;NA;NA;
2;1;0.52;0.33;0.6;NA;0.45;0.88;0.62;NA;ND;NA;NA;NA;
2;2;0.5;0.31;0.52;NA;0.44;0.68;0.6;NA;ND;NA;NA;NA;
2;3;0.51;0.29;0.59;NA;0.37;0.67;0.58;NA;ND;NA;NA;NA;
2;4;0.62;0.31;0.63;NA;0.37;0.71;0.63;NA;ND;NA;NA;NA;
2;5;0.58;0.37;0.54;NA;0.51;0.72;0.71;NA;ND;NA;NA;NA;
2;6;0.92;0.75;0.79;NA;0.6;0.98;0.66;NA;ND;NA;NA;NA;
2;7;0.99;0.63;0.95;NA;0.95;1.02;0.68;NA;ND;NA;NA;NA;
2;8;0.77;0.53;0.68;NA;0.67;0.87;0.63;NA;ND;NA;NA;NA;
2;9;0.74;0.51;0.66;NA;0.62;0.8;1.13;NA;ND;NA;NA;NA;
2;10;0.55;0.42;0.65;NA;0.64;0.77;1.14;NA;ND;NA;NA;NA;
2;11;0.55;0.44;0.53;NA;0.67;0.59;1.01;NA;ND;NA;NA;NA;
2;12;0.55;0.39;0.56;NA;0.62;0.58;0.78;NA;ND;NA;NA;NA;
2;13;0.53;0.39;0.59;NA;0.62;0.59;0.71;NA;ND;NA;NA;NA;
2;14;0.48;0.36;0.53;NA;0.61;0.57;0.68;NA;ND;NA;NA;NA;
2;15;0.48;0.37;0.6;NA;0.64;0.59;0.72;NA;ND;NA;NA;NA;
2;16;0.49;0.41;0.72;NA;0.58;0.73;0.97;NA;ND;NA;NA;NA;
2;17;0.55;0.38;0.73;NA;0.71;0.82;2.51;NA;ND;NA;NA;NA;
2;18;0.59;0.39;0.86;NA;0.73;0.97;3.98;NA;ND;NA;NA;NA;
2;19;0.75;0.38;0.84;NA;0.61;1.04;2.85;NA;ND;NA;NA;NA;
2;20;0.67;0.42;0.65;NA;0.62;0.89;1.82;NA;ND;NA;NA;NA;
2;21;0.74;0.39;0.74;NA;0.6;0.9;1.93;NA;ND;NA;NA;NA;
2;22;0.81;0.45;0.73;NA;0.43;0.94;1.86;NA;ND;NA;NA;NA;
2;23;0.62;0.37;0.62;NA;0.48;0.79;3.1;NA;ND;NA;NA;NA;
3;0;0.57;0.31;0.53;NA;0.51;0.67;1.79;NA;ND;NA;NA;NA;
3;1;0.5;0.28;0.44;NA;0.32;0.57;0.94;NA;ND;NA;NA;NA;
3;2;0.48;0.26;0.43;NA;0.3;0.55;0.6;NA;ND;NA;NA;NA;
3;3;0.45;0.26;0.44;NA;0.31;0.58;0.65;NA;ND;NA;NA;NA;
3;4;0.45;0.29;0.45;NA;0.3;0.62;0.72;NA;ND;NA;NA;NA;
3;5;0.49;0.31;0.45;NA;0.54;0.65;1.09;NA;ND;NA;NA;NA;
3;6;0.57;0.48;0.53;NA;1.2;0.82;1.96;NA;ND;NA;NA;NA;
3;7;0.73;0.57;0.84;NA;1.24;1.2;1.04;NA;ND;NA;NA;NA;
3;8;0.85;0.66;0.84;NA;0.99;1.06;0.72;NA;ND;NA;NA;NA;
3;9;0.88;0.56;0.95;NA;0.62;1.04;0.68;NA;ND;NA;NA;NA;
3;10;0.73;0.51;0.89;NA;0.66;0.96;0.69;NA;ND;NA;NA;NA;
3;11;0.6;0.46;0.75;NA;0.64;0.85;0.75;NA;ND;NA;NA;NA;
3;12;0.56;0.46;0.72;NA;0.5;0.73;0.81;NA;ND;NA;NA;NA;
3;13;0.58;0.44;0.69;NA;0.7;0.81;1.39;NA;ND;NA;NA;NA;
3;14;0.54;0.45;0.61;NA;0.88;0.8;1.15;NA;ND;NA;NA;NA;
3;15;0.55;0.42;0.71;NA;0.69;1.08;1.12;NA;ND;NA;NA;NA;
3;16;0.56;0.42;0.84;NA;0.59;1.17;1.41;NA;ND;NA;NA;NA;
3;17;0.7;0.46;0.84;NA;0.59;1;0.95;NA;ND;NA;NA;NA;
3;18;0.64;0.47;1;NA;0.67;1.3;1.15;NA;ND;NA;NA;NA;
3;19;0.65;0.45;0.98;NA;0.7;1.05;1.07;NA;ND;NA;NA;NA;
3;20;0.75;0.41;0.88;NA;0.86;0.92;0.98;NA;ND;NA;NA;NA;
3;21;0.88;0.49;1.27;NA;0.83;1.49;0.98;NA;ND;NA;NA;NA;
3;22;0.72;0.43;1.08;NA;1.29;1.6;1.05;NA;ND;NA;NA;NA;
3;23;0.59;0.39;1.39;NA;1.26;1.53;0.91;NA;ND;NA;NA;NA;
4;0;0.52;0.33;0.98;NA;0.52;1.69;0.86;NA;ND;NA;NA;NA;
4;1;0.51;0.31;0.65;NA;0.46;0.93;0.69;NA;ND;NA;NA;NA;
4;2;0.53;0.33;0.66;NA;0.63;0.78;0.66;NA;ND;NA;NA;NA;
4;3;0.57;0.4;0.69;NA;0.64;0.8;0.77;NA;ND;NA;NA;NA;
4;4;0.63;0.39;0.59;NA;0.61;0.88;0.95;NA;ND;NA;NA;NA;
4;5;0.7;0.41;0.67;NA;0.98;0.94;1.15;NA;ND;NA;NA;NA;
4;6;0.91;0.6;0.92;NA;0.94;1.45;1.77;NA;ND;NA;NA;NA;
4;7;0.96;0.62;1.55;NA;0.98;1.45;1.18;NA;ND;NA;NA;NA;
