DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;0.61;0.58;0.63;NA;0.86;0.48;0.63;NA;ND;NA;NA;NA;
1;1;0.59;0.49;0.58;NA;0.95;0.38;0.7;NA;ND;NA;NA;NA;
1;2;0.6;0.83;0.66;NA;0.84;0.48;0.62;NA;ND;NA;NA;NA;
1;3;0.69;0.65;0.97;NA;0.86;0.79;0.53;NA;ND;NA;NA;NA;
1;4;0.62;0.64;0.73;NA;0.8;0.78;0.54;NA;ND;NA;NA;NA;
1;5;0.59;0.72;0.85;NA;1.25;0.85;0.74;NA;ND;NA;NA;NA;
1;6;0.8;1.71;1.05;NA;1.61;1.53;1.42;NA;ND;NA;NA;NA;
1;7;1.08;1.11;1.61;NA;2.15;1.97;1.29;NA;ND;NA;NA;NA;
1;8;0.74;0.76;1.05;NA;1.42;1.2;0.59;NA;ND;NA;NA;NA;
1;9;0.7;0.65;0.88;NA;0.42;0.56;0.54;NA;ND;NA;NA;NA;
1;10;0.61;0.54;0.79;NA;0.42;0.43;0.38;NA;ND;NA;NA;NA;
1;11;0.43;0.38;0.7;NA;0.31;0.26;0.38;NA;ND;NA;NA;NA;
1;12;0.41;0.4;0.78;NA;0.46;0.33;0.51;NA;ND;NA;NA;NA;
1;13;0.39;0.38;0.68;NA;0.48;0.35;0.54;NA;ND;NA;NA;NA;
1;14;0.38;0.35;0.68;NA;0.38;0.37;0.47;NA;ND;NA;NA;NA;
1;15;0.35;0.33;0.65;NA;0.5;0.4;ND;NA;ND;NA;NA;NA;
1;16;0.37;0.3;0.72;NA;0.39;0.38;0.78;NA;ND;NA;NA;NA;
1;17;0.42;0.32;0.74;NA;0.4;0.37;0.68;NA;ND;NA;NA;NA;
1;18;0.46;0.37;0.96;NA;0.64;0.48;0.83;NA;ND;NA;NA;NA;
1;19;0.7;0.41;0.94;NA;0.89;0.47;0.89;NA;ND;NA;NA;NA;
1;20;0.71;0.39;0.74;NA;0.59;0.52;0.84;NA;ND;NA;NA;NA;
1;21;0.68;0.53;0.65;NA;0.32;0.39;0.69;NA;ND;NA;NA;NA;
1;22;0.59;0.47;0.67;NA;0.35;0.42;0.68;NA;ND;NA;NA;NA;
1;23;0.62;0.42;0.58;NA;0.37;0.35;0.68;NA;ND;NA;NA;NA;
2;0;0.52;0.36;0.61;NA;0.34;0.47;0.71;NA;ND;NA;NA;NA;
2;1;0.5;0.33;0.47;NA;0.26;0.41;0.41;NA;ND;NA;NA;NA;
2;2;0.46;0.32;0.42;NA;0.31;0.35;0.46;NA;ND;NA;NA;NA;
2;3;0.39;0.29;0.42;NA;0.24;0.39;0.39;NA;ND;NA;NA;NA;
2;4;0.4;0.35;0.41;NA;0.29;0.42;0.54;NA;ND;NA;NA;NA;
2;5;0.43;0.32;0.45;NA;0.47;0.43;0.63;NA;ND;NA;NA;NA;
2;6;0.54;0.4;0.61;NA;0.76;0.41;1.14;NA;ND;NA;NA;NA;
2;7;0.75;0.44;0.62;NA;0.85;0.69;0.59;NA;ND;NA;NA;NA;
2;8;1.06;0.84;1.56;NA;1.05;1.34;0.53;NA;ND;NA;NA;NA;
2;9;1.21;0.7;1.1;NA;0.99;0.71;0.41;NA;ND;NA;NA;NA;
2;10;1.09;0.71;1.01;NA;0.55;0.71;ND;NA;ND;NA;NA;NA;
2;11;0.57;0.55;0.8;NA;0.35;0.51;ND;NA;ND;NA;NA;NA;
2;12;0.68;0.42;0.84;NA;0.2;ND;ND;NA;ND;NA;NA;NA;
2;13;0.56;0.41;0.77;NA;0.23;ND;0.32;NA;ND;NA;NA;NA;
2;14;0.46;0.37;0.79;NA;0.34;0.31;0.49;NA;ND;NA;NA;NA;
2;15;0.52;0.47;0.8;NA;0.28;ND;0.59;NA;ND;NA;NA;NA;
2;16;0.48;0.39;0.77;NA;0.29;ND;0.69;NA;ND;NA;NA;NA;
2;17;0.53;0.51;1.17;NA;0.53;0.57;0.64;NA;ND;NA;NA;NA;
2;18;0.56;0.49;0.86;NA;0.79;0.86;0.99;NA;ND;NA;NA;NA;
2;19;0.9;0.59;1.44;NA;1.01;1.38;0.89;NA;ND;NA;NA;NA;
2;20;0.97;0.5;1.25;NA;1.12;1.51;0.87;NA;ND;NA;NA;NA;
2;21;0.92;0.61;0.95;NA;0.82;0.83;0.8;NA;ND;NA;NA;NA;
2;22;1.28;0.78;0.72;NA;1.03;0.86;0.69;NA;ND;NA;NA;NA;
2;23;0.9;0.91;0.66;NA;1.3;0.47;0.6;NA;ND;NA;NA;NA;
3;0;0.51;0.77;0.58;NA;1.01;0.78;0.48;NA;ND;NA;NA;NA;
3;1;0.4;0.77;0.95;NA;0.57;0.73;0.45;NA;ND;NA;NA;NA;
3;2;0.4;0.39;0.72;NA;0.33;0.51;0.45;NA;ND;NA;NA;NA;
3;3;0.44;0.39;0.57;NA;0.27;0.49;0.45;NA;ND;NA;NA;NA;
3;4;0.47;0.45;0.5;NA;0.18;0.5;0.54;NA;ND;NA;NA;NA;
3;5;0.68;0.68;0.62;NA;0.48;0.59;0.57;NA;ND;NA;NA;NA;
3;6;0.69;0.46;0.81;NA;0.72;1.03;0.65;NA;ND;NA;NA;NA;
3;7;0.65;0.58;1.18;NA;1.29;1.33;0.61;NA;ND;NA;NA;NA;
3;8;0.83;0.66;1.31;NA;0.73;0.72;0.59;NA;ND;NA;NA;NA;
3;9;ND;0.59;1.42;NA;0.54;0.53;0.56;NA;ND;NA;NA;NA;
3;10;ND;0.48;ND;NA;0.3;0.5;0.6;NA;ND;NA;NA;NA;
3;11;ND;0.42;0.85;NA;0.27;0.4;0.58;NA;ND;NA;NA;NA;
3;12;0.48;0.33;ND;NA;0.31;0.36;0.64;NA;ND;NA;NA;NA;
3;13;ND;0.39;0.62;NA;0.31;0.33;0.63;NA;ND;NA;NA;NA;
3;14;ND;0.39;0.57;NA;0.21;0.4;0.63;NA;ND;NA;NA;NA;
3;15;0.6;0.38;0.64;NA;0.29;0.35;0.62;NA;ND;NA;NA;NA;
3;16;0.59;0.46;0.69;NA;0.32;0.51;0.7;NA;ND;NA;NA;NA;
3;17;0.82;0.47;0.75;NA;0.48;0.56;0.76;NA;ND;NA;NA;NA;
3;18;1.33;0.74;0.74;NA;0.89;0.78;0.88;NA;ND;NA;NA;NA;
3;19;1.54;0.84;0.75;NA;1.47;1.55;0.86;NA;ND;NA;NA;NA;
3;20;1.11;0.69;0.67;NA;1;1.2;0.93;NA;ND;NA;NA;NA;
3;21;1.29;0.78;1.02;NA;0.96;0.78;0.73;NA;ND;NA;NA;NA;
3;22;1.36;0.71;0.67;NA;1;0.76;0.56;NA;ND;NA;NA;NA;
3;23;1.08;0.55;0.87;NA;0.43;0.73;0.52;NA;ND;NA;NA;NA;
4;0;0.91;0.39;0.5;NA;0.34;0.53;0.49;NA;ND;NA;NA;NA;
4;1;0.94;0.4;0.52;NA;0.33;0.31;0.48;NA;ND;NA;NA;NA;
4;2;0.83;0.75;0.47;NA;0.32;0.32;0.46;NA;ND;NA;NA;NA;
4;3;0.69;0.59;0.44;NA;0.4;0.44;0.46;NA;ND;NA;NA;NA;
4;4;0.83;0.63;0.44;NA;0.31;0.55;0.47;NA;ND;NA;NA;NA;
4;5;1.08;0.73;0.62;NA;0.85;0.72;0.51;NA;ND;NA;NA;NA;
4;6;2.16;1.47;1.06;NA;1.94;1.46;0.63;NA;ND;NA;NA;NA;
4;7;2.16;2.26;2.28;NA;3.27;2.77;0.65;NA;ND;NA;NA;NA;
4;8;0.88;1.16;1.23;NA;1.33;1.98;0.58;NA;ND;NA;NA;NA;
4;9;0.76;0.38;0.64;NA;0.63;0.71;0.59;NA;ND;NA;NA;NA;
4;10;0.67;ND;0.56;NA;0.5;0.56;0.6;NA;ND;NA;NA;NA;
4;11;0.61;ND;0.67;NA;ND;0.41;0.62;NA;ND;NA;NA;NA;
4;12;0.59;ND;0.6;NA;ND;0.38;0.61;NA;ND;NA;NA;NA;
4;13;0.56;ND;0.67;NA;ND;0.36;0.62;NA;ND;NA;NA;NA;
4;14;0.57;0.38;0.63;NA;0.42;0.31;0.63;NA;ND;NA;NA;NA;
4;15;0.56;ND;0.67;NA;ND;0.31;0.69;NA;ND;NA;NA;NA;
4;16;0.63;ND;0.86;NA;0.52;0.33;0.72;NA;ND;NA;NA;NA;
4;17;0.65;0.24;0.96;NA;0.62;0.57;0.74;NA;ND;NA;NA;NA;
4;18;0.59;0.46;1.01;NA;0.83;0.62;0.82;NA;ND;NA;NA;NA;
4;19;ND;0.61;1.03;NA;1.03;0.84;0.84;NA;ND;NA;NA;NA;
4;20;ND;0.53;0.68;NA;0.91;0.96;0.72;NA;ND;NA;NA;NA;
4;21;0.96;0.5;0.74;NA;0.74;0.84;0.59;NA;ND;NA;NA;NA;
4;22;0.89;0.46;0.76;NA;0.69;0.6;0.57;NA;ND;NA;NA;NA;
4;23;0.84;0.41;0.38;NA;0.51;0.33;0.52;NA;ND;NA;NA;NA;
5;0;0.88;0.45;0.35;NA;0.56;0.63;0.52;NA;ND;NA;NA;NA;
5;1;0.71;0.39;0.3;NA;0.55;0.46;0.53;NA;ND;NA;NA;NA;
5;2;0.74;0.36;0.4;NA;0.49;0.33;0.53;NA;ND;NA;NA;NA;
5;3;0.75;0.4;0.28;NA;0.42;0.26;0.49;NA;ND;NA;NA;NA;
5;4;0.79;0.37;0.28;NA;0.49;0.33;0.52;NA;ND;NA;NA;NA;
5;5;0.94;0.41;0.45;NA;0.75;0.69;0.56;NA;ND;NA;NA;NA;
5;6;1.89;1.08;0.74;NA;1.39;1.15;0.63;NA;ND;NA;NA;NA;
5;7;1.81;1.14;1.04;NA;0.76;0.87;0.59;NA;ND;NA;NA;NA;
5;8;1.27;0.93;0.94;NA;0.65;0.63;0.65;NA;ND;NA;NA;NA;
5;9;1.02;0.67;0.76;NA;0.63;0.49;0.7;NA;ND;NA;NA;NA;
5;10;0.86;0.54;0.69;NA;0.62;0.42;0.63;NA;ND;NA;NA;NA;
