DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;7.16;2.51;11.24;NA;5.59;2.2;ND;2.43;ND;NA;NA;NA;
1;1;4.72;2.14;8.22;NA;13.11;3.14;ND;2.24;ND;NA;NA;NA;
1;2;3.58;4.17;6.43;NA;33.41;3.32;ND;1.95;ND;NA;NA;NA;
1;3;2.42;8.91;7.61;NA;40.33;5.82;ND;1.86;ND;NA;NA;NA;
1;4;2.5;9.98;8.82;NA;64.08;9.58;ND;1.89;ND;NA;NA;NA;
1;5;2.14;10.06;8.34;NA;156.09;7.29;ND;2.18;ND;NA;NA;NA;
1;6;2.81;10.02;7.69;NA;172.22;9.75;ND;3.04;ND;NA;NA;NA;
1;7;8.77;10.02;13.69;NA;196.59;21.82;ND;3.93;ND;NA;NA;NA;
1;8;5.58;11.67;11.52;NA;60.81;11.83;ND;4.87;ND;NA;NA;NA;
1;9;5.01;6.95;10.01;NA;9.73;4.2;ND;3.07;ND;NA;NA;NA;
1;10;4.66;4.71;5.54;NA;4.21;3.17;ND;2.12;ND;NA;NA;NA;
1;11;2.72;2.95;3.46;NA;3.41;1.43;ND;2.33;ND;NA;NA;NA;
1;12;1.89;3.39;4.38;NA;3.88;2.07;ND;2.35;ND;NA;NA;NA;
1;13;1.7;2.49;3.63;NA;6.07;1.62;ND;2.52;ND;NA;NA;NA;
1;14;1.46;2.21;3.73;NA;3.96;1.17;ND;2.19;ND;NA;NA;NA;
1;15;1.49;2.08;3.33;NA;4.14;1.17;ND;1.77;ND;NA;NA;NA;
1;16;1.6;1.66;3.74;NA;4.29;1.32;ND;1.93;ND;NA;NA;NA;
1;17;1.55;1.87;4.19;NA;3.02;1.13;ND;1.83;ND;NA;NA;NA;
1;18;2.03;2.36;4.72;NA;3.28;1.54;ND;1.81;ND;NA;NA;NA;
1;19;2.83;2.43;4.33;NA;4.41;1.41;ND;1.55;ND;NA;NA;NA;
1;20;3.41;2.58;4.46;NA;3.69;1.55;ND;1.5;ND;NA;NA;NA;
1;21;2.58;3.34;3.86;NA;2.69;1.26;ND;1.72;ND;NA;NA;NA;
1;22;2.28;2.73;3.71;NA;2.6;1.21;ND;1.66;ND;NA;NA;NA;
1;23;2.36;2.56;4.02;NA;2.79;1.01;ND;1.66;ND;NA;NA;NA;
2;0;1.82;2.33;4.28;NA;2.08;1.18;ND;1.98;ND;NA;NA;NA;
2;1;1.73;2.23;4.61;NA;2.75;1.26;ND;2.16;ND;NA;NA;NA;
2;2;1.86;3.32;5.25;NA;11.64;1.34;ND;2.22;ND;NA;NA;NA;
2;3;2.02;3.71;4.4;NA;12.85;2.66;ND;2.65;ND;NA;NA;NA;
2;4;2.52;3.41;4.22;NA;33.04;5.44;ND;2.69;ND;NA;NA;NA;
2;5;2.54;2.36;4.49;NA;17.11;3.39;ND;3.44;ND;NA;NA;NA;
2;6;2.51;2.24;3.67;NA;12.71;2.32;ND;2.75;ND;NA;NA;NA;
2;7;2.52;2.2;3.52;NA;5.39;1.96;ND;3.58;ND;NA;NA;NA;
2;8;5.14;3.56;5.65;NA;6.83;3.5;ND;3.2;ND;NA;NA;NA;
2;9;6.25;4.04;5.72;NA;9.68;2.33;ND;4.08;ND;NA;NA;NA;
2;10;6.65;9.08;6.48;NA;6.9;3.85;ND;5.2;ND;NA;NA;NA;
2;11;3.55;5.72;5.46;NA;3.13;3.03;ND;11.75;ND;NA;NA;NA;
2;12;4.24;4.34;4.48;NA;1.81;ND;ND;11.77;ND;NA;NA;NA;
2;13;2.97;3.82;4.11;NA;1.49;ND;ND;16.98;ND;NA;NA;NA;
2;14;2.3;2.7;4.29;NA;1.9;ND;ND;4.85;ND;NA;NA;NA;
2;15;3.54;2.98;5.61;NA;2.6;ND;ND;9.1;ND;NA;NA;NA;
2;16;2.51;2.2;5.35;NA;5.13;ND;ND;4.86;ND;NA;NA;NA;
2;17;2.2;2.65;7;NA;4.79;1.25;ND;2.82;ND;NA;NA;NA;
2;18;2.09;2.84;4.74;NA;4.51;1.32;ND;2.78;ND;NA;NA;NA;
2;19;3.01;2.81;8.49;NA;5.01;1.59;ND;3.22;ND;NA;NA;NA;
2;20;4.88;2.55;9.61;NA;5.68;2.59;ND;2.92;ND;NA;NA;NA;
2;21;3.91;2.93;6.93;NA;8.45;2.18;ND;3.3;ND;NA;NA;NA;
2;22;5.74;2.71;5.89;NA;8.86;2.14;ND;2.92;ND;NA;NA;NA;
2;23;4.41;3.53;8.31;NA;8.79;1.7;ND;2.65;ND;NA;NA;NA;
3;0;3.08;4.03;6.48;NA;10.49;2.59;ND;2.36;ND;NA;NA;NA;
3;1;2.11;3.25;10.65;NA;96.56;5.18;ND;3.43;ND;NA;NA;NA;
3;2;2.12;4.49;8.68;NA;28.21;4.88;ND;8.4;ND;NA;NA;NA;
3;3;4.29;3.33;6.53;NA;21.57;4.11;ND;7.57;ND;NA;NA;NA;
3;4;3.57;3.28;6.54;NA;7.22;4;ND;6.04;ND;NA;NA;NA;
3;5;4.02;3.57;6.42;NA;21.75;6.83;ND;6.6;ND;NA;NA;NA;
3;6;3.47;2.91;11.55;NA;29.69;15.14;ND;5.78;ND;NA;NA;NA;
3;7;3.81;3.5;13.49;NA;20.88;12.67;ND;7.13;ND;NA;NA;NA;
3;8;6.29;6.18;10.38;NA;9.11;6.17;ND;10.28;ND;NA;NA;NA;
3;9;ND;6.29;9.34;NA;5.62;4.29;ND;11.49;ND;NA;NA;NA;
3;10;ND;4.49;ND;NA;3.64;2.88;ND;7.02;ND;NA;NA;NA;
3;11;ND;3.21;ND;NA;3.86;2.24;ND;3.4;ND;NA;NA;NA;
3;12;1;2.42;ND;NA;3.06;1.95;ND;1.8;ND;NA;NA;NA;
3;13;ND;2.23;1.64;NA;2.69;1.34;ND;2.18;ND;NA;NA;NA;
3;14;ND;2.39;2.45;NA;2.12;1.47;ND;1.73;ND;NA;NA;NA;
3;15;2.15;2.29;1.47;NA;2.6;2.16;ND;1.63;ND;NA;NA;NA;
3;16;2.2;2.24;0.75;NA;2.23;1.87;ND;2.52;ND;NA;NA;NA;
3;17;2.35;2.28;2.31;NA;3.04;1.51;ND;3.26;ND;NA;NA;NA;
3;18;3.03;2.45;3.03;NA;4.37;1.76;ND;3.73;ND;NA;NA;NA;
3;19;3.5;2.86;3.08;NA;6.97;3.64;ND;4.37;ND;NA;NA;NA;
3;20;3.32;2.36;3.26;NA;5.39;3.11;ND;2.81;ND;NA;NA;NA;
3;21;3.39;2.64;4.55;NA;5.07;2.26;ND;3.35;ND;NA;NA;NA;
3;22;3.7;2.28;4.11;NA;6.38;2.18;ND;1.85;ND;NA;NA;NA;
3;23;3.38;2.01;4.75;NA;8.43;4.34;ND;1.83;ND;NA;NA;NA;
4;0;3.54;2.08;4.75;NA;13.9;3.85;ND;2.16;ND;NA;NA;NA;
4;1;3.49;2.08;4.33;NA;8.71;2.34;ND;2.12;ND;NA;NA;NA;
4;2;3.36;3.35;4.41;NA;20.21;2.19;ND;2.13;ND;NA;NA;NA;
4;3;3.56;4;5.76;NA;47.23;7.11;ND;2.6;ND;NA;NA;NA;
4;4;4.85;3.94;5.36;NA;40.47;8.68;ND;3.88;ND;NA;NA;NA;
4;5;6.93;6.38;6.53;NA;26.69;7.06;ND;3.56;ND;NA;NA;NA;
4;6;9.08;6.83;9.13;NA;28.02;6.88;ND;4.48;ND;NA;NA;NA;
4;7;9.14;8.04;12.84;NA;26.47;10.73;ND;6.64;ND;NA;NA;NA;
4;8;5.93;10.39;6.48;NA;14.05;8.83;ND;11.19;ND;NA;NA;NA;
4;9;5.06;24.95;2.98;NA;5.98;3.41;ND;26.85;ND;NA;NA;NA;
