DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;1.99;1.86;5.26;NA;2.21;4.55;ND;0.99;ND;NA;NA;NA;
1;1;1.82;1.73;4.2;NA;3.9;4.44;ND;0.67;ND;NA;NA;NA;
1;2;1.91;1.53;4.17;NA;2.58;4.68;ND;0.5;ND;NA;NA;NA;
1;3;2.04;1.58;4.53;NA;11.73;6.32;ND;0.78;ND;NA;NA;NA;
1;4;2.44;1.53;6.01;NA;9.89;10.07;ND;3.2;ND;NA;NA;NA;
1;5;3.56;2.22;6.38;NA;24.5;10.59;ND;3.36;ND;NA;NA;NA;
1;6;3.28;3.56;8.48;NA;63.73;16.48;ND;5.97;ND;NA;NA;NA;
1;7;6.19;5.58;21.08;NA;29.32;22.07;ND;9.09;ND;NA;NA;NA;
1;8;12.92;7.17;26.29;NA;28.76;16.5;ND;10.04;ND;NA;NA;NA;
1;9;14.4;4.71;25.15;NA;8.82;18.17;ND;7.99;ND;NA;NA;NA;
1;10;7.74;4.19;13.98;NA;4.52;11.65;ND;3.18;ND;NA;NA;NA;
1;11;3.34;5.09;10.39;NA;9.61;8.44;ND;2.24;ND;NA;NA;NA;
1;12;2.79;3.85;7.88;NA;13.75;7.05;ND;2.64;ND;NA;NA;NA;
1;13;2.17;2.71;6.5;NA;2.51;4.99;ND;2.02;ND;NA;NA;NA;
1;14;1.56;2.25;5.67;NA;1.83;5.27;ND;1.38;ND;NA;NA;NA;
1;15;1.44;2.48;4.77;NA;2.88;5.17;ND;1.22;ND;NA;NA;NA;
1;16;1.49;1.94;5.73;NA;2.25;5.21;ND;0.88;ND;NA;NA;NA;
1;17;1.67;2.03;5.99;NA;2.52;4.77;ND;1.02;ND;NA;NA;NA;
1;18;1.69;1.86;6.75;NA;2.91;5.11;ND;0.87;ND;NA;NA;NA;
1;19;1.49;1.78;6.12;NA;1.87;4.77;ND;0.67;ND;NA;NA;NA;
1;20;1.6;1.85;6.45;NA;1.78;4.9;ND;0.62;ND;NA;NA;NA;
1;21;2.07;1.79;6.61;NA;3.14;5.54;ND;0.67;ND;NA;NA;NA;
1;22;1.88;1.51;5.59;NA;4.95;4.95;ND;0.56;ND;NA;NA;NA;
1;23;1.44;1.38;4.9;NA;5.86;4.69;ND;0.5;ND;NA;NA;NA;
2;0;1.04;1.41;4.95;NA;25.46;5.07;ND;0.55;ND;NA;NA;NA;
2;1;0.9;1.45;4.43;NA;5.13;4.87;ND;0.41;ND;NA;NA;NA;
2;2;1.07;1.39;4.26;NA;6.09;5.02;ND;0.77;ND;NA;NA;NA;
2;3;1.24;1.35;4.17;NA;6.64;5.49;ND;1.06;ND;NA;NA;NA;
2;4;1.42;1.93;4.49;NA;4.43;5.76;ND;0.84;ND;NA;NA;NA;
2;5;2.69;2.01;5.6;NA;8.35;7.05;ND;1.16;ND;NA;NA;NA;
2;6;4.28;2.62;5.97;NA;81.35;17.76;ND;2.49;ND;NA;NA;NA;
2;7;5.49;4.35;8.96;NA;54.12;23.2;ND;3.22;ND;NA;NA;NA;
2;8;7.21;3.92;11.41;NA;9.31;15.69;ND;8.83;ND;NA;NA;NA;
2;9;6.74;3.83;9.05;NA;5.11;9.8;ND;7.8;ND;NA;NA;NA;
2;10;4.44;4.03;11.41;NA;3.64;7.74;ND;3.39;ND;NA;NA;NA;
