DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;10.62;13.24;3.07;NA;0.75;1.44;6.22;4.07;3.37;NA;NA;NA;
1;1;4.08;15.73;0.64;NA;0.55;1.49;16.35;6.91;5.26;NA;NA;NA;
1;2;ND;7.69;16.25;NA;26.81;15.22;6.15;6.15;13.77;NA;NA;NA;
1;3;27.04;27.36;26.7;NA;28.16;24.83;27.06;0.84;22.36;NA;NA;NA;
1;4;18.99;25.95;26.93;NA;15.09;20.88;31.12;0.21;17.98;NA;NA;NA;
1;5;8.25;14.28;22.57;NA;10.65;21.83;32.96;5.09;10.69;NA;NA;NA;
1;6;2.15;7.48;4.04;NA;3.9;5.96;29.69;2.07;1.77;NA;NA;NA;
1;7;3.06;3.46;2.54;NA;3.27;3.93;26.19;3.48;3.13;NA;NA;NA;
1;8;5.03;8.28;7.61;NA;6.35;6.2;11.84;8.01;9.23;NA;NA;NA;
1;9;6.34;9.06;7.34;NA;9.89;7.62;14.95;9.68;10.58;NA;NA;NA;
1;10;7.88;12.7;10.15;NA;19.67;12.54;25.21;18.04;15.64;NA;NA;NA;
1;11;14.91;22.83;19.69;NA;39.62;30.54;38.23;27.53;20.72;NA;NA;NA;
1;12;46.38;40.96;33.35;NA;37.78;30.79;44.87;33.42;37.35;NA;NA;NA;
1;13;39.78;43.57;34.86;NA;41.64;38.35;39.83;42.12;43.43;NA;NA;NA;
1;14;37.76;42.09;23;NA;34.56;25.11;62.49;43.81;40.61;NA;NA;NA;
1;15;34.83;35.62;25.7;NA;28.61;20.78;61.54;43.7;40.53;NA;NA;NA;
1;16;34.49;30.69;21.65;NA;27.49;24.5;35.29;40.82;47.66;NA;NA;NA;
1;17;28.79;26.11;5.98;NA;21.88;13.22;24.72;28.86;36.9;NA;NA;NA;
1;18;11.46;18.67;1.28;NA;21.54;11.5;19.85;22.93;23.65;NA;NA;NA;
1;19;2.79;11.2;1.26;NA;8.76;16.06;26.8;21.76;15.08;NA;NA;NA;
1;20;3.82;15.26;6.05;NA;16.43;9.57;16.83;14.4;16.69;NA;NA;NA;
1;21;5.58;15.53;13.38;NA;13.03;20.18;9.12;18.43;22.74;NA;NA;NA;
1;22;4.78;15.3;3.24;NA;15.7;5.77;9.67;20.28;16.98;NA;NA;NA;
1;23;2.3;15.52;2.4;NA;2.97;2.49;7.28;11.69;16.92;NA;NA;NA;
2;0;2.41;24.6;0.57;NA;7.67;1.83;1.28;8.03;13.21;NA;NA;NA;
2;1;2.92;20.01;4.59;NA;12.54;3.48;8.57;0;ND;NA;NA;NA;
2;2;8.05;12.95;17.71;NA;20.94;14.47;25.65;0.91;0.36;NA;NA;NA;
2;3;9.41;11.78;10.96;NA;20.66;15.03;21.27;3.69;0.82;NA;NA;NA;
2;4;7.5;2.74;16.37;NA;16.03;20.18;14.34;0.59;1.92;NA;NA;NA;
2;5;2.95;2.9;8.1;NA;5.03;10.74;4.64;0.81;9.13;NA;NA;NA;
2;6;1.41;2.77;3.13;NA;2.75;3.65;1.64;1.49;1.12;NA;NA;NA;
2;7;3.14;4.43;1.85;NA;3.29;3.69;4.54;2.74;1.96;NA;NA;NA;
2;8;6.41;4.69;2.73;NA;6.88;4.74;8.18;ND;4.46;NA;NA;NA;
2;9;7.92;13.75;5.35;NA;7.28;5.17;25.91;3.13;7.82;NA;NA;NA;
2;10;18.59;22.97;16.02;NA;9.46;9.99;45.67;9.3;9.66;NA;NA;NA;
2;11;22.86;ND;14.32;NA;16.94;14.83;28.08;11.65;18.26;NA;NA;NA;
2;12;21.75;20.71;15.16;NA;28.5;26.01;34.71;8.41;30.15;NA;NA;NA;
2;13;20.36;14.6;19.87;NA;30.9;28.4;33.3;26.72;29.12;NA;NA;NA;
2;14;20.11;12.93;15.47;NA;26.04;24.97;30.31;30.25;26.73;NA;NA;NA;
2;15;12.18;10.06;11.99;NA;21.02;20.32;28.13;24.47;17.01;NA;NA;NA;
2;16;7.39;10.8;7.76;NA;19.6;16.72;24.38;24.05;12.96;NA;NA;NA;
2;17;5.07;5.53;4.66;NA;14.45;10.88;23.09;10.73;9.66;NA;NA;NA;
2;18;1.6;3.68;2.11;NA;3.04;7.16;16.91;2.96;2.71;NA;NA;NA;
2;19;1.23;2.62;1;NA;4.46;4.28;5.91;4.02;0.19;NA;NA;NA;
2;20;1.01;3.97;1.21;NA;4.05;3.13;ND;1.63;0.46;NA;NA;NA;
2;21;1.35;5.2;1.51;NA;3.73;3.24;7.63;0.62;0.8;NA;NA;NA;
