DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;0.66;ND;0.43;NA;0.55;0.58;0.44;NA;ND;NA;NA;NA;
1;1;0.48;ND;0.28;NA;0.48;0.47;0.36;NA;ND;NA;NA;NA;
1;2;0.37;0.42;0.28;NA;0.4;0.44;0.33;NA;ND;NA;NA;NA;
1;3;0.33;0.38;0.3;NA;0.46;0.59;0.32;NA;ND;NA;NA;NA;
1;4;0.32;0.43;0.27;NA;0.53;0.65;0.35;NA;ND;NA;NA;NA;
1;5;0.4;1.04;0.38;NA;0.9;0.98;0.53;NA;ND;NA;NA;NA;
1;6;1.63;1.4;1.66;NA;2.25;1.84;0.63;NA;ND;NA;NA;NA;
1;7;1.93;2.12;2.22;NA;2.72;2.64;0.5;NA;ND;NA;NA;NA;
1;8;1.65;0.99;1.24;NA;1.69;1.21;0.42;NA;ND;NA;NA;NA;
1;9;1;0.65;1.16;NA;1.07;1.04;0.54;NA;ND;NA;NA;NA;
1;10;0.55;0.41;1.41;NA;0.88;ND;0.64;NA;ND;NA;NA;NA;
1;11;0.39;0.39;0.85;NA;1.01;ND;0.5;NA;ND;NA;NA;NA;
1;12;0.49;0.43;0.79;NA;0.79;ND;0.45;NA;ND;NA;NA;NA;
1;13;0.43;0.41;0.66;NA;0.6;0.44;0.42;NA;ND;NA;NA;NA;
1;14;0.43;0.35;0.62;NA;0.58;ND;0.43;NA;ND;NA;NA;NA;
1;15;ND;0.32;0.64;NA;0.65;0.5;0.5;NA;ND;NA;NA;NA;
1;16;0.4;0.38;0.65;NA;0.88;0.65;0.68;NA;ND;NA;NA;NA;
1;17;0.45;0.38;0.71;NA;1.05;0.83;0.8;NA;ND;NA;NA;NA;
1;18;0.57;0.49;0.87;NA;1.03;1.07;1.05;NA;ND;NA;NA;NA;
1;19;0.73;0.46;1.25;NA;1.13;1.41;1.04;NA;ND;NA;NA;NA;
1;20;0.84;0.51;1.36;NA;1.17;1.57;0.75;NA;ND;NA;NA;NA;
1;21;0.77;0.5;0.87;NA;0.99;1.14;0.64;NA;ND;NA;NA;NA;
1;22;0.51;0.49;0.48;NA;0.73;0.95;0.63;NA;ND;NA;NA;NA;
1;23;0.39;0.51;0.39;NA;0.91;0.78;0.58;NA;ND;NA;NA;NA;
2;0;0.5;0.36;0.32;NA;0.87;0.52;0.5;NA;ND;NA;NA;NA;
2;1;0.42;0.29;0.4;NA;0.66;0.58;0.48;NA;ND;NA;NA;NA;
2;2;0.43;0.28;0.45;NA;0.5;0.45;0.48;NA;ND;NA;NA;NA;
2;3;0.43;0.31;0.4;NA;0.52;0.55;0.51;NA;ND;NA;NA;NA;
2;4;0.46;0.31;0.39;NA;0.61;0.63;0.54;NA;ND;NA;NA;NA;
2;5;0.61;0.54;0.47;NA;0.79;0.63;0.79;NA;ND;NA;NA;NA;
2;6;1.48;1.15;0.84;NA;1.66;1.22;1.27;NA;ND;NA;NA;NA;
2;7;2.56;1.8;1.6;NA;1.58;1.57;1.31;NA;ND;NA;NA;NA;
2;8;1.7;0.95;1.6;NA;1.12;1.37;0.95;NA;ND;NA;NA;NA;
2;9;1.6;ND;1.64;NA;0.98;1.22;0.52;NA;ND;NA;NA;NA;
2;10;0.79;ND;1.39;NA;0.89;1.01;0.51;NA;ND;NA;NA;NA;
2;11;0.46;ND;0.96;NA;0.71;1;0.55;NA;ND;NA;NA;NA;
2;12;0.47;ND;0.67;NA;ND;0.76;0.64;NA;ND;NA;NA;NA;
2;13;0.43;0.57;0.63;NA;ND;0.72;0.64;NA;ND;NA;NA;NA;
2;14;0.41;ND;0.64;NA;ND;0.74;0.49;NA;ND;NA;NA;NA;
