DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;0.39;1.38;1.91;NA;14.79;2.12;ND;2.49;ND;NA;NA;NA;
1;1;0.36;1.07;ND;NA;12.43;2.18;ND;2.44;ND;NA;NA;NA;
1;2;0.51;1.32;3.27;NA;14.13;3.43;ND;2;ND;NA;NA;NA;
1;3;0.35;1.16;3.35;NA;15.93;2.86;ND;1.78;ND;NA;NA;NA;
1;4;0.38;1.16;4.01;NA;5.61;2.3;ND;1.97;ND;NA;NA;NA;
1;5;0.63;0.95;5;NA;4.19;2.41;ND;1.86;ND;NA;NA;NA;
1;6;0.99;0.99;3.85;NA;14.69;3.37;ND;3.44;ND;NA;NA;NA;
1;7;2.29;2.4;4.72;NA;21.51;9.81;ND;3.14;ND;NA;NA;NA;
1;8;2.76;3.34;7.03;NA;20.33;12.79;ND;4.15;ND;NA;NA;NA;
1;9;2.89;2.57;5.12;NA;13.53;7.24;ND;4.04;ND;NA;NA;NA;
1;10;1.77;2.1;4.66;NA;11.17;5.94;ND;2.76;ND;NA;NA;NA;
1;11;0.91;1.42;4.37;NA;9.15;5.15;ND;2.43;ND;NA;NA;NA;
1;12;0.85;1.36;5.34;NA;3.6;ND;ND;2.28;ND;NA;NA;NA;
1;13;0.49;1.39;4.9;NA;2.82;ND;ND;2.15;ND;NA;NA;NA;
1;14;0.45;1.07;4.28;NA;2.58;ND;ND;2.41;ND;NA;NA;NA;
1;15;0.46;1.01;4.87;NA;2.51;2.2;ND;2.42;ND;NA;NA;NA;
1;16;0.37;0.99;4.54;NA;2.72;1.76;ND;2.31;ND;NA;NA;NA;
1;17;0.46;0.94;4.27;NA;2.69;1.85;ND;2.31;ND;NA;NA;NA;
1;18;0.84;0.88;4.12;NA;3.18;1.51;ND;2.43;ND;NA;NA;NA;
1;19;1.11;1.18;3.45;NA;2.93;1.54;ND;2.4;ND;NA;NA;NA;
1;20;0.49;0.82;2.64;NA;3.74;1.18;ND;2.1;ND;NA;NA;NA;
1;21;0.57;0.98;2.31;NA;2.96;1.09;ND;1.74;ND;NA;NA;NA;
1;22;0.51;0.83;2.07;NA;2.62;0.9;ND;1.54;ND;NA;NA;NA;
1;23;0.38;0.81;1.98;NA;2.56;0.69;ND;1.55;ND;NA;NA;NA;
2;0;0.24;0.96;2.44;NA;3.5;0.78;ND;1.37;ND;NA;NA;NA;
2;1;0.25;0.88;2.81;NA;2.53;1.57;ND;1.39;ND;NA;NA;NA;
2;2;0.3;0.7;3.11;NA;3.06;1.2;ND;1.5;ND;NA;NA;NA;
2;3;0.23;0.7;2.86;NA;2.92;2.57;ND;1.63;ND;NA;NA;NA;
2;4;0.24;2.46;2.9;NA;2.67;1.81;ND;1.54;ND;NA;NA;NA;
2;5;0.83;1.56;3.03;NA;2.84;1.31;ND;1.97;ND;NA;NA;NA;
2;6;1.55;1.67;3.72;NA;27.4;2.26;ND;5.64;ND;NA;NA;NA;
2;7;3.71;2.63;4.49;NA;26.14;2.49;ND;9.49;ND;NA;NA;NA;
2;8;3.91;1.99;7.36;NA;14.38;5.56;ND;8.21;ND;NA;NA;NA;
2;9;4.42;2.88;12.71;NA;10.46;9.96;ND;6.48;ND;NA;NA;NA;
2;10;3.55;3.42;11.13;NA;7.82;7.12;ND;4.57;ND;NA;NA;NA;
2;11;2.14;2.8;9.21;NA;3.95;5.79;ND;3.03;ND;NA;NA;NA;
2;12;1.23;1.77;8.97;NA;5.06;3.89;ND;3.12;ND;NA;NA;NA;
2;13;1.07;1.46;8.58;NA;3.24;2.41;ND;2.38;ND;NA;NA;NA;
2;14;0.78;1.01;6.25;NA;2.7;2.73;ND;1.94;ND;NA;NA;NA;
2;15;0.89;1.12;4.22;NA;2.63;2.49;ND;2.25;ND;NA;NA;NA;
2;16;1.22;1.18;4.24;NA;3.34;2.49;ND;2.39;ND;NA;NA;NA;
2;17;1.27;1.38;3.69;NA;4.67;2.1;ND;2.69;ND;NA;NA;NA;
2;18;0.99;0.98;4.74;NA;4.17;3.37;ND;4.3;ND;NA;NA;NA;
2;19;1.65;1.18;4.65;NA;6.99;5.07;ND;3.52;ND;NA;NA;NA;
2;20;3.15;1.19;4.71;NA;6.86;5.88;ND;3.41;ND;NA;NA;NA;
2;21;2.37;1.38;3.35;NA;7.26;5.15;ND;3.54;ND;NA;NA;NA;
2;22;1.2;1.57;3.14;NA;5.49;3.39;ND;3.69;ND;NA;NA;NA;
2;23;1.04;1.56;3.69;NA;5.98;3.98;ND;2.89;ND;NA;NA;NA;
3;0;1.21;2.04;5.51;NA;10.03;3.7;ND;2.77;ND;NA;NA;NA;
3;1;1.21;2.62;ND;NA;24.46;4.43;ND;2.9;ND;NA;NA;NA;
