DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;3.71;4.3;7.91;NA;9.34;7.11;ND;1.06;ND;NA;NA;NA;
1;1;5.13;ND;ND;NA;ND;6.06;ND;0.85;ND;NA;NA;NA;
1;2;4.71;2.68;7.94;NA;20.12;5.39;ND;0.53;ND;NA;NA;NA;
1;3;3.63;3.31;7.44;NA;17.53;6.1;ND;0.63;ND;NA;NA;NA;
1;4;3.17;3.71;7.35;NA;31.83;5.16;ND;1.7;ND;NA;NA;NA;
1;5;2.83;2.04;6.57;NA;29.61;4.49;ND;1.14;ND;NA;NA;NA;
1;6;3.97;2.34;10.8;NA;38.92;8.64;ND;8.07;ND;NA;NA;NA;
1;7;5.88;3.86;19.73;NA;45.11;11.28;ND;5.46;ND;NA;NA;NA;
1;8;7.78;4.94;15.9;NA;13.37;7.64;ND;10.67;ND;NA;NA;NA;
1;9;9.56;4.76;12.31;NA;6.93;5.56;ND;5.51;ND;NA;NA;NA;
1;10;5.98;4.97;9.41;NA;7.4;1.95;ND;4.77;ND;NA;NA;NA;
1;11;4.24;3.97;6.6;NA;6.83;4.57;ND;10.69;ND;NA;NA;NA;
1;12;4.08;3.75;6.15;NA;4.46;5.38;ND;2.98;ND;NA;NA;NA;
1;13;2.69;3.17;5.65;NA;4.76;5.22;ND;2.77;ND;NA;NA;NA;
1;14;1.16;1.66;4.81;NA;2.69;3.71;ND;2.27;ND;NA;NA;NA;
1;15;0.85;1.3;4.99;NA;2.19;1.79;ND;1.06;ND;NA;NA;NA;
1;16;0.95;1.76;4.55;NA;1.74;0.58;ND;0.53;ND;NA;NA;NA;
1;17;1.71;1.49;4.56;NA;1.66;0.87;ND;0.31;ND;NA;NA;NA;
1;18;1.47;1.69;4.34;NA;2.52;0.81;ND;0.55;ND;NA;NA;NA;
1;19;2.46;1.82;3.93;NA;1.32;1.11;ND;1.11;ND;NA;NA;NA;
1;20;2.46;3.03;3.7;NA;2.9;1.68;ND;8.02;ND;NA;NA;NA;
1;21;3.23;2.78;3.98;NA;3.17;1.47;ND;0.67;ND;NA;NA;NA;
1;22;3.86;2.64;4.57;NA;4.28;2.35;ND;0.92;ND;NA;NA;NA;
1;23;3.34;2.56;5.6;NA;6.49;2.38;ND;6.65;ND;NA;NA;NA;
2;0;3.34;2.05;6.94;NA;8.94;3.94;ND;0.04;ND;NA;NA;NA;
2;1;ND;2.26;5.83;NA;8.75;ND;ND;0.05;ND;NA;NA;NA;
2;2;2.49;3.86;4.25;NA;8.9;6.3;ND;0.28;ND;NA;NA;NA;
2;3;1.43;4.1;3.91;NA;5.3;4.4;ND;0.07;ND;NA;NA;NA;
2;4;2.54;4.19;2.72;NA;8.13;4.3;ND;0.74;ND;NA;NA;NA;
2;5;4.16;4.01;3.84;NA;11.77;6.25;ND;0.87;ND;NA;NA;NA;
2;6;7.51;8.31;9.44;NA;11.94;9.3;ND;0.94;ND;NA;NA;NA;
2;7;13.56;9.53;7.16;NA;9.08;7.41;ND;1.83;ND;NA;NA;NA;
2;8;6.9;6.45;5.75;NA;5.06;5.43;ND;2.92;ND;NA;NA;NA;
2;9;3.98;4;5.99;NA;2;2.9;ND;2.25;ND;NA;NA;NA;
2;10;4.05;3.44;6.04;NA;2.51;3.16;ND;1.77;ND;NA;NA;NA;
2;11;2.15;2.65;5.5;NA;2.87;3.89;ND;1.42;ND;NA;NA;NA;
2;12;2.19;2.15;4.85;NA;ND;ND;ND;0.44;ND;NA;NA;NA;
2;13;2.18;2;4.74;NA;3.75;4.36;ND;0.55;ND;NA;NA;NA;
2;14;2.26;1.63;4.86;NA;2.84;4.26;ND;0.36;ND;NA;NA;NA;
2;15;1.62;1.2;5.33;NA;5.16;2.48;ND;0.13;ND;NA;NA;NA;
2;16;1.37;1.58;5;NA;3.43;2.06;ND;ND;ND;NA;NA;NA;
