DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;ND;0.27;0.48;NA;0.13;ND;ND;NA;ND;NA;NA;NA;
1;1;0.35;0.25;0.41;NA;0.1;0.84;0.25;NA;ND;NA;NA;NA;
1;2;0.36;0.24;0.42;NA;0.06;0.64;0.21;NA;ND;NA;NA;NA;
1;3;0.44;0.33;0.26;NA;0.02;0.56;0.18;NA;ND;NA;NA;NA;
1;4;0.53;0.3;0.23;NA;0.17;0.7;0.19;NA;ND;NA;NA;NA;
1;5;0.7;0.34;0.35;NA;0.53;0.82;0.23;NA;ND;NA;NA;NA;
1;6;2.27;1.13;0.7;NA;0.92;1.1;0.38;NA;ND;NA;NA;NA;
1;7;1.48;0.98;0.88;NA;0.62;1.29;0.42;NA;ND;NA;NA;NA;
1;8;0.82;0.75;0.86;NA;0.25;0.71;0.34;NA;ND;NA;NA;NA;
1;9;0.53;0.41;0.58;NA;0.2;0.69;0.31;NA;ND;NA;NA;NA;
1;10;0.59;0.23;0.59;NA;0.36;ND;0.31;NA;ND;NA;NA;NA;
1;11;0.51;0.28;0.43;NA;ND;ND;0.36;NA;ND;NA;NA;NA;
1;12;0.39;0.31;0.41;NA;ND;0.34;0.32;NA;ND;NA;NA;NA;
1;13;0.35;0.39;0.48;NA;ND;0.39;0.35;NA;ND;NA;NA;NA;
1;14;0.39;0.28;0.46;NA;ND;0.34;0.37;NA;ND;NA;NA;NA;
1;15;0.41;0.29;0.45;NA;0.39;0.45;0.55;NA;ND;NA;NA;NA;
1;16;0.41;0.26;0.55;NA;0.44;0.46;0.69;NA;ND;NA;NA;NA;
1;17;0.43;0.3;0.92;NA;0.46;0.9;0.92;NA;ND;NA;NA;NA;
1;18;0.51;0.45;1.28;NA;0.71;0.93;0.92;NA;ND;NA;NA;NA;
1;19;0.78;0.44;1.07;NA;1.17;1.09;0.6;NA;ND;NA;NA;NA;
1;20;1;0.29;1.53;NA;1.64;1.76;0.75;NA;ND;NA;NA;NA;
1;21;1.19;0.49;2.02;NA;1.21;1.7;0.6;NA;ND;NA;NA;NA;
1;22;1.3;0.77;1.75;NA;0.78;0.8;0.37;NA;ND;NA;NA;NA;
1;23;1.26;0.3;0.93;NA;0.19;0.54;0.33;NA;ND;NA;NA;NA;
2;0;0.54;ND;ND;NA;ND;0.86;0.29;NA;ND;NA;NA;NA;
