DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;ND;ND;ND;NA;ND;0.74;0.45;NA;ND;NA;NA;NA;
1;1;0.37;0.27;0.77;NA;0.67;0.88;0.48;NA;ND;NA;NA;NA;
1;2;0.26;0.19;0.59;NA;0.61;0.68;0.37;NA;ND;NA;NA;NA;
1;3;0.24;0.31;0.56;NA;0.51;0.55;0.46;NA;ND;NA;NA;NA;
1;4;0.29;0.44;0.55;NA;0.63;0.63;0.68;NA;ND;NA;NA;NA;
1;5;0.4;0.38;0.53;NA;0.94;1;1.75;NA;ND;NA;NA;NA;
1;6;0.59;0.66;0.83;NA;1.84;1.72;1.36;NA;ND;NA;NA;NA;
1;7;0.84;0.65;1;NA;2.11;2.19;1.15;NA;ND;NA;NA;NA;
1;8;0.9;0.64;1.85;NA;1.3;1.48;1.35;NA;ND;NA;NA;NA;
1;9;0.64;0.63;1.35;NA;1.38;1.46;0.62;NA;ND;NA;NA;NA;
1;10;0.42;0.41;0.66;NA;0.95;1.14;0.51;NA;ND;NA;NA;NA;
1;11;0.31;0.39;0.55;NA;0.65;0.68;0.47;NA;ND;NA;NA;NA;
1;12;0.32;0.37;0.59;NA;0.61;0.61;0.54;NA;ND;NA;NA;NA;
1;13;0.29;0.37;0.51;NA;0.71;0.69;0.66;NA;ND;NA;NA;NA;
1;14;0.29;0.39;0.43;NA;0.69;0.59;0.68;NA;ND;NA;NA;NA;
1;15;0.26;0.4;0.37;NA;0.69;0.6;0.69;NA;ND;NA;NA;NA;
1;16;0.28;0.37;0.63;NA;0.63;0.71;0.79;NA;ND;NA;NA;NA;
1;17;0.37;0.4;0.89;NA;0.71;0.97;0.94;NA;ND;NA;NA;NA;
1;18;0.46;0.6;1.03;NA;0.96;1.22;1.01;NA;ND;NA;NA;NA;
1;19;0.66;0.68;1.02;NA;0.95;1.26;0.97;NA;ND;NA;NA;NA;
1;20;0.53;0.51;0.85;NA;1.21;1.22;1.54;NA;ND;NA;NA;NA;
1;21;0.52;0.31;0.8;NA;0.96;1.07;1.45;NA;ND;NA;NA;NA;
1;22;0.48;0.4;0.77;NA;0.63;0.84;0.99;NA;ND;NA;NA;NA;
